actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gobert vs. Jones: Tip to Favors,0.0,h,1.0,203497.0,Gobert,R. Gobert,0.0,,,0.0,,,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/4/f8017561-d7c7-19df-20bd-fd95ef429883_1280x720.mp4,29590,train-29590,Jump Ball PLAYER203497 vs. PLAYER1627745: Tip to PLAYER202324,PLAYER203497 PLAYER1627745 PLAYER202324,action41
8.0,Made Shot,PT11M48.00S,Favors 10' Jump Shot (2 PTS) (Rubio 1 AST),1.0,h,1.0,202324.0,Favors,D. Favors,2.0,0,2,10.0,Made,Jump Shot,1610612762.0,UTA,1.0,-50.0,91.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/8/26960172-5e47-a024-a7a1-57e4e618dd39_1280x720.mp4,29591,train-29591,PLAYER202324 10' Jump Shot (PLAYER201937 AST),PLAYER202324 PLAYER201937,action63
10.0 </> 11.0,Missed Shot </> Defensive Rebound,PT11M34.00S </> PT11M32.00S,MISS Thompson 25' 3PT Jump Shot </> Rubio REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202691.0 </> 201937.0,Thompson </> Rubio,K. Thompson </> R. Rubio,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612762.0,GSW </> UTA,1.0 </> 1.0,141.0 </> 0.0,203.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/10/f401b0ff-bd56-3afe-bec1-ddf30bbd1e06_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/11/ab3c0880-016a-a78b-0ba1-987fa7a29d19_1280x720.mp4,29592 </> 29593,train-29592 </> train-29593,MISS PLAYER202691 25' 3PT Jump Shot </> PLAYER201937 DEFENSIVE REBOUND ,PLAYER202691 </> PLAYER201937,action109 </> action135
12.0 </> 14.0,Missed Shot </> Defensive Rebound,PT11M17.00S </> PT11M13.00S,MISS Rubio 24' 3PT Jump Shot </> Durant REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201937.0 </> 201142.0,Rubio </> Durant,R. Rubio </> K. Durant,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612762.0 </> 1610612744.0,UTA </> GSW,1.0 </> 1.0,-193.0 </> 0.0,143.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/12/37b276c6-a3cb-dd48-25cf-a4a74f919254_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/14/0d2ec6b2-52b3-e0d4-cf1c-1889e341a72d_1280x720.mp4,29594 </> 29595,train-29594 </> train-29595,MISS PLAYER201937 24' 3PT Jump Shot </> PLAYER201142 DEFENSIVE REBOUND ,PLAYER201937 </> PLAYER201142,action109 </> action135
15.0,Made Shot,PT11M10.00S,Durant 17' Pullup Jump Shot (2 PTS),1.0,v,1.0,201142.0,Durant,K. Durant,4.0,2,2,17.0,Made,Pullup Jump shot,1610612744.0,GSW,1.0,-109.0,136.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/15/fa19137e-ff4e-82cb-76d7-f34ecc66e0ce_1280x720.mp4,29596,train-29596,PLAYER201142 17' Pullup Jump Shot ,PLAYER201142,action65
16.0 </> 18.0,Missed Shot </> Defensive Rebound,PT10M54.00S </> PT10M51.00S,MISS Ingles 2' Driving Layup </> Green REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,204060.0 </> 203110.0,Ingles </> Green,J. Ingles </> D. Green,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612762.0 </> 1610612744.0,UTA </> GSW,1.0 </> 1.0,-18.0 </> 0.0,8.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/16/d242c38d-c958-a0b8-a91e-78060be10dbb_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/18/d6e63a07-9d48-88e4-d064-4c35b5ec0a0d_1280x720.mp4,29597 </> 29598,train-29597 </> train-29598,MISS PLAYER204060 2' Driving Layup </> PLAYER203110 DEFENSIVE REBOUND ,PLAYER204060 </> PLAYER203110,action99 </> action135
19.0 </> 20.0,Missed Shot </> Defensive Rebound,PT10M45.00S </> PT10M38.00S,MISS Green 25' 3PT Jump Shot </> Mitchell REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203110.0 </> 1628378.0,Green </> Mitchell,D. Green </> D. Mitchell,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612762.0,GSW </> UTA,1.0 </> 1.0,67.0 </> 0.0,241.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/19/02ba0f04-02c5-cfce-7305-3939481ad19c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/20/4f9b3a0a-9f5e-3487-3b61-a0b1dae67653_1280x720.mp4,29599 </> 29600,train-29599 </> train-29600,MISS PLAYER203110 25' 3PT Jump Shot </> PLAYER1628378 DEFENSIVE REBOUND ,PLAYER203110 </> PLAYER1628378,action109 </> action135
21.0,Foul,PT10M35.00S,Jones S.FOUL (P1.T1) (L.Wood),0.0,v,1.0,1627745.0,Jones,D. Jones,0.0,,,0.0,,Shooting,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/21/f532b07f-c8be-9621-a7dc-aa53d2394f18_1280x720.mp4,29601,train-29601,PLAYER1627745 S.FOUL ,PLAYER1627745,action18
26.0,Missed Shot,PT10M29.00S,MISS Thompson 15' Jump Shot,1.0,v,1.0,202691.0,Thompson,K. Thompson,0.0,,,15.0,Missed,Jump Shot,1610612744.0,GSW,1.0,153.0,4.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/26/84aecf3e-b137-d85b-f1b5-dd8158c2313a_1280x720.mp4,29602,train-29602,MISS PLAYER202691 15' Jump Shot,PLAYER202691,action109
28.0 </> 29.0,Missed Shot </> Defensive Rebound,PT10M09.00S </> PT10M06.00S,MISS Gobert 8' Hook Shot </> Green REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,203497.0 </> 203110.0,Gobert </> Green,R. Gobert </> D. Green,0.0 </> 0.0, </> , </> ,8.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612762.0 </> 1610612744.0,UTA </> GSW,1.0 </> 1.0,-28.0 </> 0.0,76.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/28/34d4a179-30b0-94a3-35f6-455526f5a48a_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/29/ce283242-dbf9-5361-58a5-6f8d09a77bd7_1280x720.mp4,29603 </> 29604,train-29603 </> train-29604,MISS PLAYER203497 8' Hook Shot </> PLAYER203110 DEFENSIVE REBOUND ,PLAYER203497 </> PLAYER203110,action107 </> action135
30.0,Made Shot,PT10M04.00S,Jones 2' Dunk (2 PTS) (Green 1 AST),1.0,v,1.0,1627745.0,Jones,D. Jones,7.0,4,3,2.0,Made,Dunk Shot,1610612744.0,GSW,1.0,8.0,20.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/30/0158dddb-544a-bd3a-ed12-bcb375760ad9_1280x720.mp4,29605,train-29605,PLAYER1627745 2' Dunk (PLAYER203110 AST),PLAYER1627745 PLAYER203110,action56
32.0,Made Shot,PT09M38.00S,Ingles 4' Layup (2 PTS),1.0,h,1.0,204060.0,Ingles,J. Ingles,9.0,4,5,4.0,Made,Layup Shot,1610612762.0,UTA,1.0,-33.0,20.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/32/d102f132-12f0-90f7-f1c2-6d2bd21899de_1280x720.mp4,29606,train-29606,PLAYER204060 4' Layup ,PLAYER204060,action64
33.0,Foul,PT09M29.00S,Mitchell P.FOUL (P1.T1) (M.Lindsay),0.0,h,1.0,1628378.0,Mitchell,D. Mitchell,0.0,,,0.0,,Personal,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/33/4aa0755f-e793-6550-1b0f-812f1ef1655d_1280x720.mp4,29607,train-29607,PLAYER1628378 P.FOUL ,PLAYER1628378,action16
35.0,Made Shot,PT09M27.00S,Curry 16' Pullup Jump Shot (2 PTS),1.0,v,1.0,201939.0,Curry,S. Curry,11.0,6,5,16.0,Made,Pullup Jump shot,1610612744.0,GSW,1.0,-82.0,141.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/35/7f09e105-403e-6cf1-b920-662dceffff22_1280x720.mp4,29608,train-29608,PLAYER201939 16' Pullup Jump Shot ,PLAYER201939,action65
36.0,Missed Shot,PT09M03.00S,MISS Favors 3PT Jump Shot,1.0,h,1.0,202324.0,Favors,D. Favors,0.0,,,0.0,Missed,Jump Shot,1610612762.0,UTA,1.0,226.0,-8.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/36/84ea4df5-654a-fc39-c3cb-7aa2b6f597b8_1280x720.mp4,29609,train-29609,MISS PLAYER202324 3PT Jump Shot,PLAYER202324,action109
40.0,Made Shot,PT08M54.00S,Ingles 3PT Jump Shot (5 PTS) (Gobert 1 AST),1.0,h,1.0,204060.0,Ingles,J. Ingles,14.0,6,8,0.0,Made,Jump Shot,1610612762.0,UTA,1.0,-230.0,44.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/40/6d105948-7753-4083-8ea9-ab8da7141c6d_1280x720.mp4,29610,train-29610,PLAYER204060 3PT Jump Shot (PLAYER203497 AST),PLAYER204060 PLAYER203497,action63
42.0 </> 43.0,Missed Shot </> Defensive Rebound,PT08M41.00S </> PT08M38.00S,MISS Green 25' 3PT Jump Shot </> Ingles REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203110.0 </> 204060.0,Green </> Ingles,D. Green </> J. Ingles,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612762.0,GSW </> UTA,1.0 </> 1.0,-122.0 </> 0.0,213.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/42/815fd250-f70f-e7af-b2b0-d957a854a06f_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/43/2ac772f5-65fa-2045-151b-26c3d0bb0549_1280x720.mp4,29611 </> 29612,train-29611 </> train-29612,MISS PLAYER203110 25' 3PT Jump Shot </> PLAYER204060 DEFENSIVE REBOUND ,PLAYER203110 </> PLAYER204060,action109 </> action135
44.0,Foul,PT08M36.00S,Jones S.FOUL (P2.T2) (L.Wood),0.0,v,1.0,1627745.0,Jones,D. Jones,0.0,,,0.0,,Shooting,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/44/08ddc535-4504-02b1-a0bb-cc411293046d_1280x720.mp4,29613,train-29613,PLAYER1627745 S.FOUL ,PLAYER1627745,action18
49.0,Foul,PT08M20.00S,Favors S.FOUL (P1.T2) (L.Wood),0.0,h,1.0,202324.0,Favors,D. Favors,0.0,,,0.0,,Shooting,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/49/e1b2764d-9c62-821f-0f43-ba433c50ca5d_1280x720.mp4,29614,train-29614,PLAYER202324 S.FOUL ,PLAYER202324,action18
53.0,Foul,PT08M14.00S,Thompson S.FOUL (P1.T3) (M.Lindsay),0.0,v,1.0,202691.0,Thompson,K. Thompson,0.0,,,0.0,,Shooting,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/53/c18f9216-8ca0-5562-5804-8d113bd169a9_1280x720.mp4,29615,train-29615,PLAYER202691 S.FOUL ,PLAYER202691,action18
57.0,Made Shot,PT08M01.00S,Thompson 20' Pullup Jump Shot (2 PTS) (Jones 1 AST),1.0,v,1.0,202691.0,Thompson,K. Thompson,21.0,10,11,20.0,Made,Pullup Jump shot,1610612744.0,GSW,1.0,-41.0,192.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/57/2ab0a647-e2f9-eb7f-e8fb-57ace8b5ae84_1280x720.mp4,29616,train-29616,PLAYER202691 20' Pullup Jump Shot (PLAYER1627745 AST),PLAYER202691 PLAYER1627745,action65
59.0 </> 61.0,Missed Shot </> Offensive Rebound,PT07M48.00S </> PT07M45.00S,MISS Mitchell 3' Driving Layup </> Favors REBOUND (Off:1 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,1628378.0 </> 202324.0,Mitchell </> Favors,D. Mitchell </> D. Favors,0.0 </> 0.0, </> , </> ,3.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612762.0 </> 1610612762.0,UTA </> UTA,1.0 </> 1.0,30.0 </> 0.0,2.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/59/b4b2696c-2e9f-3643-7f54-33d05fe99af7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/61/5021ac9c-a594-df67-3f8d-9343cb70b9b2_1280x720.mp4,29617 </> 29618,train-29617 </> train-29618,MISS PLAYER1628378 3' Driving Layup </> PLAYER202324 OFFENSIVE REBOUND ,PLAYER1628378 </> PLAYER202324,action99 </> action135
62.0 </> 63.0,Missed Shot </> Defensive Rebound,PT07M37.00S </> PT07M33.00S,MISS Mitchell 30' 3PT Pullup Jump Shot </> Jones REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628378.0 </> 1627745.0,Mitchell </> Jones,D. Mitchell </> D. Jones,0.0 </> 0.0, </> , </> ,30.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612762.0 </> 1610612744.0,UTA </> GSW,1.0 </> 1.0,-154.0 </> 0.0,253.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/62/9c23439a-3751-b03f-047d-5c9116d14326_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/63/ac296a09-9092-740f-e423-03c173587553_1280x720.mp4,29619 </> 29620,train-29619 </> train-29620,MISS PLAYER1628378 30' 3PT Pullup Jump Shot </> PLAYER1627745 DEFENSIVE REBOUND ,PLAYER1628378 </> PLAYER1627745,action111 </> action135
64.0,Made Shot,PT07M24.00S,Thompson 21' Jump Shot (4 PTS) (Green 2 AST),1.0,v,1.0,202691.0,Thompson,K. Thompson,23.0,12,11,21.0,Made,Jump Shot,1610612744.0,GSW,1.0,150.0,148.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/64/221c1046-370e-17ea-fc4a-145b12942e36_1280x720.mp4,29621,train-29621,PLAYER202691 21' Jump Shot (PLAYER203110 AST),PLAYER202691 PLAYER203110,action63
66.0 </> 68.0,Turnover </> Foul,PT07M08.00S </> PT07M06.00S,Favors Lost Ball Turnover (P1.T1) </> Rubio P.FOUL (P1.T3) (M.Lindsay),0.0 </> 0.0,h </> h,1.0 </> 1.0,202324.0 </> 201937.0,Favors </> Rubio,D. Favors </> R. Rubio,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Lost Ball </> Personal,1610612762.0 </> 1610612762.0,UTA </> UTA,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/66/6245443e-b298-a70c-abe8-b989e59b5691_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/68/f56c30cb-a5cd-5c38-91bb-9f7bc6611a7e_1280x720.mp4,29622 </> 29623,train-29622 </> train-29623,PLAYER202324 Lost Ball Turnover  </> PLAYER201937 P.FOUL ,PLAYER202324 </> PLAYER201937,action153 </> action16
70.0 </> 71.0,Missed Shot </> Defensive Rebound,PT06M54.00S </> PT06M51.00S,MISS Durant 11' Pullup Jump Shot </> Gobert REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201142.0 </> 203497.0,Durant </> Gobert,K. Durant </> R. Gobert,0.0 </> 0.0, </> , </> ,11.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612744.0 </> 1610612762.0,GSW </> UTA,1.0 </> 1.0,63.0 </> 0.0,93.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/70/8a34b53c-5287-fa19-3ff4-ae1267e63030_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/71/c95cef55-ff31-e57e-02bb-5375700097d2_1280x720.mp4,29624 </> 29625,train-29624 </> train-29625,MISS PLAYER201142 11' Pullup Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER201142 </> PLAYER203497,action111 </> action135
72.0 </> 73.0,Missed Shot </> Offensive Rebound,PT06M43.00S </> PT06M40.00S,MISS Rubio 13' Driving Floating Jump Shot </> Favors REBOUND (Off:2 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,201937.0 </> 202324.0,Rubio </> Favors,R. Rubio </> D. Favors,0.0 </> 0.0, </> , </> ,13.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612762.0 </> 1610612762.0,UTA </> UTA,1.0 </> 1.0,123.0 </> 0.0,50.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/72/eaf88c69-5523-17d9-9964-0c1258394a0c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/73/1d16e13c-75de-4f2d-d510-7ff0b96a7fb0_1280x720.mp4,29626 </> 29627,train-29626 </> train-29627,MISS PLAYER201937 13' Driving Floating Jump Shot </> PLAYER202324 OFFENSIVE REBOUND ,PLAYER201937 </> PLAYER202324,action97 </> action135
74.0,Turnover,PT06M34.00S,Favors Bad Pass Turnover (P2.T2),0.0,h,1.0,202324.0,Favors,D. Favors,0.0,,,0.0,,Bad Pass,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/74/d90bb174-7934-e0fb-61b3-86c6c8c3bb6f_1280x720.mp4,29628,train-29628,PLAYER202324 Bad Pass Turnover ,PLAYER202324,action143
76.0,Made Shot,PT06M28.00S,Durant 2' Driving Dunk (6 PTS),1.0,v,1.0,201142.0,Durant,K. Durant,25.0,14,11,2.0,Made,Driving Dunk Shot,1610612744.0,GSW,1.0,8.0,14.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/76/7f695667-4512-7976-e372-119dcd1f777c_1280x720.mp4,29629,train-29629,PLAYER201142 2' Driving Dunk ,PLAYER201142,action48
82.0 </> 84.0,Missed Shot </> Foul,PT06M09.00S </> PT06M08.00S,MISS Crowder 26' 3PT Step Back Jump Shot </> Jones L.B.FOUL (P3.T4) (M.Callahan),1.0 </> 0.0,h </> v,1.0 </> 1.0,203109.0 </> 1627745.0,Crowder </> Jones,J. Crowder </> D. Jones,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Step Back Jump shot </> Loose Ball,1610612762.0 </> 1610612744.0,UTA </> GSW,1.0 </> 1.0,-179.0 </> 0.0,184.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/82/8cc1fa36-69fb-b5bd-9a52-077c315045ed_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/84/8b6b7aeb-53b2-cfd4-2ca8-dbd5f5a4aefc_1280x720.mp4,29630 </> 29631,train-29630 </> train-29631,MISS PLAYER203109 26' 3PT Step Back Jump Shot </> PLAYER1627745 L.B.FOUL ,PLAYER203109 </> PLAYER1627745,action126 </> action12
88.0 </> 89.0,Missed Shot </> Defensive Rebound,PT06M04.00S </> PT06M00.00S,MISS Mitchell 25' 3PT Pullup Jump Shot </> Curry REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628378.0 </> 201939.0,Mitchell </> Curry,D. Mitchell </> S. Curry,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612762.0 </> 1610612744.0,UTA </> GSW,1.0 </> 1.0,58.0 </> 0.0,247.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/88/939323d0-1a4b-0ead-98cb-419879deda86_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/89/c7dcc7b7-a329-6918-68e0-14f028a5f64c_1280x720.mp4,29632 </> 29633,train-29632 </> train-29633,MISS PLAYER1628378 25' 3PT Pullup Jump Shot </> PLAYER201939 DEFENSIVE REBOUND ,PLAYER1628378 </> PLAYER201939,action111 </> action135
90.0,Made Shot,PT05M55.00S,Looney 1' Dunk (2 PTS) (Curry 1 AST),1.0,v,1.0,1626172.0,Looney,K. Looney,27.0,16,11,1.0,Made,Dunk Shot,1610612744.0,GSW,1.0,6.0,6.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/90/a2cc38f1-370e-73a2-780d-f7c9f302675e_1280x720.mp4,29634,train-29634,PLAYER1626172 1' Dunk (PLAYER201939 AST),PLAYER1626172 PLAYER201939,action56
92.0,Made Shot,PT05M39.00S,Gobert 2' Dunk (5 PTS) (Crowder 1 AST),1.0,h,1.0,203497.0,Gobert,R. Gobert,29.0,16,13,2.0,Made,Dunk Shot,1610612762.0,UTA,1.0,13.0,11.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/92/39c7a9b2-f611-ff69-4ff4-792de681244d_1280x720.mp4,29635,train-29635,PLAYER203497 2' Dunk (PLAYER203109 AST),PLAYER203497 PLAYER203109,action56
94.0 </> 95.0,Missed Shot </> Defensive Rebound,PT05M24.00S </> PT05M22.00S,MISS Curry 25' 3PT Pullup Jump Shot </> Gobert REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,201939.0 </> 203497.0,Curry </> Gobert,S. Curry </> R. Gobert,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612744.0 </> 1610612762.0,GSW </> UTA,1.0 </> 1.0,212.0 </> 0.0,132.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/94/8de098e8-e21e-cdad-8d8b-2137587c1630_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/95/4eb22524-018b-7b32-8f34-45748b204e31_1280x720.mp4,29636 </> 29637,train-29636 </> train-29637,MISS PLAYER201939 25' 3PT Pullup Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER201939 </> PLAYER203497,action111 </> action135
96.0,Made Shot,PT05M13.00S,Rubio 9' Floating Jump Shot (2 PTS),1.0,h,1.0,201937.0,Rubio,R. Rubio,31.0,16,15,9.0,Made,Floating Jump shot,1610612762.0,UTA,1.0,-8.0,89.0,https://videos.nba.com/nba/pbp/media/2018/10/19/0021800024/96/d6116400-783a-c1c7-16a5-0887f5c21a0d_1280x720.mp4,29638,train-29638,PLAYER201937 9' Floating Jump Shot ,PLAYER201937,action59
