actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Jones vs. Ayton: Tip to Green,0.0,h,1.0,1627745.0,Jones,D. Jones,0.0,,,0.0,,,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/4/5b9553ad-0749-64be-4562-1fe3909fbbaa_1280x720.mp4,14002,train-14002,Jump Ball PLAYER1627745 vs. PLAYER1629028: Tip to PLAYER203110,PLAYER1627745 PLAYER1629028 PLAYER203110,action41
7.0,Made Shot,PT11M46.00S,Jones 2' Alley Oop Dunk (2 PTS) (Curry 1 AST),1.0,h,1.0,1627745.0,Jones,D. Jones,2.0,0,2,2.0,Made,Alley Oop Dunk Shot,1610612744.0,GSW,1.0,-5.0,23.0,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/7/3d6deb89-1194-91a0-6b0d-b2c57e997c05_1280x720.mp4,14003,train-14003,PLAYER1627745 2' Alley Oop Dunk (PLAYER201939 AST),PLAYER1627745 PLAYER201939,action42
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M25.00S </> PT11M24.00S,MISS Ayton 7' Hook Shot </> Green REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629028.0 </> 203110.0,Ayton </> Green,D. Ayton </> D. Green,0.0 </> 0.0, </> , </> ,7.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612756.0 </> 1610612744.0,PHX </> GSW,1.0 </> 1.0,12.0 </> 0.0,68.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/9/1a2379d6-eb86-0355-9dd2-6795d7bed5a0_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/10/8774c13e-be16-d929-3382-ac30404cf33d_1280x720.mp4,14004 </> 14005,train-14004 </> train-14005,MISS PLAYER1629028 7' Hook Shot </> PLAYER203110 DEFENSIVE REBOUND ,PLAYER1629028 </> PLAYER203110,action107 </> action135
11.0 </> 12.0,Missed Shot </> Offensive Rebound,PT11M17.00S </> PT11M15.00S,MISS Curry 27' 3PT Jump Shot </> Jones REBOUND (Off:1 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,201939.0 </> 1627745.0,Curry </> Jones,S. Curry </> D. Jones,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612744.0,GSW </> GSW,1.0 </> 1.0,-208.0 </> 0.0,172.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/11/36d4efb9-fd9f-3a38-9518-9c77f243f50b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/12/fe2285cb-2520-6042-411c-a24a6ad59685_1280x720.mp4,14006 </> 14007,train-14006 </> train-14007,MISS PLAYER201939 27' 3PT Jump Shot </> PLAYER1627745 OFFENSIVE REBOUND ,PLAYER201939 </> PLAYER1627745,action109 </> action135
13.0,Turnover,PT11M06.00S,Curry Bad Pass Turnover (P1.T1),0.0,h,1.0,201939.0,Curry,S. Curry,0.0,,,0.0,,Bad Pass,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/13/cd64ea95-df94-1bbc-db20-fd805681bc05_1280x720.mp4,14008,train-14008,PLAYER201939 Bad Pass Turnover ,PLAYER201939,action143
15.0,Made Shot,PT10M49.00S,Canaan 2' Driving Reverse Layup (2 PTS) (Ayton 1 AST),1.0,v,1.0,203477.0,Canaan,I. Canaan,4.0,2,2,2.0,Made,Driving Reverse Layup Shot,1610612756.0,PHX,1.0,-18.0,17.0,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/15/38c7294a-125f-6fc7-fb66-0b7ad16ac4bc_1280x720.mp4,14009,train-14009,PLAYER203477 2' Driving Reverse Layup (PLAYER1629028 AST),PLAYER203477 PLAYER1629028,action55
17.0,Made Shot,PT10M43.00S,Jones 2' Running Alley Oop Dunk Shot (4 PTS) (Green 1 AST),1.0,h,1.0,1627745.0,Jones,D. Jones,6.0,2,4,2.0,Made,Running Alley Oop Dunk Shot,1610612744.0,GSW,1.0,3.0,16.0,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/17/85b3f5e3-ffe1-0332-72c3-b7ec588009c9_1280x720.mp4,14010,train-14010,PLAYER1627745 2' Running Alley Oop Dunk Shot (PLAYER203110 AST),PLAYER1627745 PLAYER203110,action70
19.0 </> 20.0,Missed Shot </> Defensive Rebound,PT10M23.00S </> PT10M22.00S,MISS Ariza 10' Jump Shot </> Thompson REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,2772.0 </> 202691.0,Ariza </> Thompson,T. Ariza </> K. Thompson,0.0 </> 0.0, </> , </> ,10.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612744.0,PHX </> GSW,1.0 </> 1.0,95.0 </> 0.0,-1.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/19/8a37c3ce-04c3-f540-9d29-aaf862d65d9c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/20/086d1c69-c2ee-dc61-8632-bf326ab80466_1280x720.mp4,14011 </> 14012,train-14011 </> train-14012,MISS PLAYER2772 10' Jump Shot </> PLAYER202691 DEFENSIVE REBOUND ,PLAYER2772 </> PLAYER202691,action109 </> action135
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT10M18.00S </> PT10M16.00S,MISS Thompson 26' 3PT Jump Shot </> Ayton REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202691.0 </> 1629028.0,Thompson </> Ayton,K. Thompson </> D. Ayton,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612756.0,GSW </> PHX,1.0 </> 1.0,-131.0 </> 0.0,225.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/21/962bdceb-474e-292e-93ea-e488b735f858_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/22/49a7f2cd-9721-d270-5eed-5c0ad38be1ed_1280x720.mp4,14013 </> 14014,train-14013 </> train-14014,MISS PLAYER202691 26' 3PT Jump Shot </> PLAYER1629028 DEFENSIVE REBOUND ,PLAYER202691 </> PLAYER1629028,action109 </> action135
23.0,Made Shot,PT10M06.00S,Booker 19' Running Pull-Up Jump Shot (2 PTS),1.0,v,1.0,1626164.0,Booker,D. Booker,8.0,4,4,19.0,Made,Running Pull-Up Jump Shot,1610612756.0,PHX,1.0,131.0,143.0,https://videos.nba.com/nba/pbp/media/2018/10/22/0021800047/23/23bb34ae-c72c-18e4-e4b3-15415ec9af74_1280x720.mp4,14015,train-14015,PLAYER1626164 19' Running Pull-Up Jump Shot ,PLAYER1626164,action76
