actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Aldridge vs. McGee: Tip to Ball,0.0,h,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/4/f6b6db5a-201a-8386-bd93-2c5cc2f96556_1280x720.mp4,28218,train-28218,Jump PLAYER1628366 PLAYER200746 vs. PLAYER201580: Tip to PLAYER1628366,PLAYER1628366 PLAYER200746 PLAYER201580 PLAYER1628366,action41
7.0,Turnover,PT11M47.00S,McGee Traveling Turnover (P1.T1),0.0,v,1.0,201580.0,McGee,J. McGee,0.0,,,0.0,,Traveling,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/7/6d1d7d30-2d07-177c-0f85-7a4d92f394ba_1280x720.mp4,28219,train-28219,PLAYER201580 Traveling Turnover ,PLAYER201580,action163
8.0,Missed Shot,PT11M31.00S,MISS Forbes 3PT Jump Shot,1.0,h,1.0,1627854.0,Forbes,B. Forbes,0.0,,,0.0,Missed,Jump Shot,1610612759.0,SAS,1.0,-226.0,-11.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/8/9411b599-155e-5299-3fec-4040f3c1f785_1280x720.mp4,28220,train-28220,MISS PLAYER1627854 3PT Jump Shot,PLAYER1627854,action109
9.0,Defensive Rebound,PT11M28.00S,McGee REBOUND (Off:0 Def:1),0.0,v,1.0,201580.0,McGee,J. McGee,0.0,,,0.0,,Unknown,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/9/9487231f-4af2-6b3c-3d04-01191d7c7a0d_1280x720.mp4,28221,train-28221,PLAYER201580 DEFENSIVE REBOUND ,PLAYER201580,action135
10.0,Made Shot,PT11M18.00S,Kuzma 25' 3PT Jump Shot (3 PTS) (James 1 AST),1.0,v,1.0,1628398.0,Kuzma,K. Kuzma,3.0,3,0,25.0,Made,Jump Shot,1610612747.0,LAL,1.0,-206.0,136.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/10/72083c10-ab61-1497-d8d9-754d17e3a338_1280x720.mp4,28222,train-28222,PLAYER1628398 25' 3PT Jump Shot (PLAYER2544 AST),PLAYER1628398 PLAYER2544,action63
11.0,Made Shot,PT10M58.00S,Aldridge 1' Hook Bank Shot (2 PTS),1.0,h,1.0,200746.0,Aldridge,L. Aldridge,5.0,3,2,1.0,Made,Hook Bank Shot,1610612759.0,SAS,1.0,11.0,-1.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/11/2647eee2-8e2e-137f-2dcb-de3fb5b50863_1280x720.mp4,28223,train-28223,PLAYER200746 1' Hook Bank Shot ,PLAYER200746,action60
12.0,Made Shot,PT10M49.00S,Kuzma 26' 3PT Jump Shot (6 PTS) (McGee 1 AST),1.0,v,1.0,1628398.0,Kuzma,K. Kuzma,8.0,6,2,26.0,Made,Jump Shot,1610612747.0,LAL,1.0,-93.0,239.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/12/755de1fe-92f0-54e7-4876-9d71a0f22b4d_1280x720.mp4,28224,train-28224,PLAYER1628398 26' 3PT Jump Shot (PLAYER201580 AST),PLAYER1628398 PLAYER201580,action63
15.0,Missed Shot,PT10M29.00S,MISS Aldridge 17' Jump Shot,1.0,h,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,17.0,Missed,Jump Shot,1610612759.0,SAS,1.0,-9.0,170.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/15/b1f79f92-1778-cfc3-7227-aa5b267e257b_1280x720.mp4,28225,train-28225,MISS PLAYER200746 17' Jump Shot,PLAYER200746,action109
16.0,Defensive Rebound,PT10M26.00S,James REBOUND (Off:0 Def:1),0.0,v,1.0,2544.0,James,L. James,0.0,,,0.0,,Unknown,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/16/d2ed6e31-eac9-ea44-ad04-d6578f72ae97_1280x720.mp4,28226,train-28226,PLAYER2544 DEFENSIVE REBOUND ,PLAYER2544,action135
17.0,Made Shot,PT10M21.00S,James 10' Fadeaway Jumper (2 PTS),1.0,v,1.0,2544.0,James,L. James,10.0,8,2,10.0,Made,Fadeaway Jump Shot,1610612747.0,LAL,1.0,-100.0,-15.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/17/700e4dd3-068c-5e9f-d762-ec1face6f36b_1280x720.mp4,28227,train-28227,PLAYER2544 10' Fadeaway Jumper ,PLAYER2544,action57
18.0,Foul,PT10M01.00S,Ball S.FOUL (P1.T1) (G.Petraitis),0.0,v,1.0,1628366.0,Ball,L. Ball,0.0,,,0.0,,Shooting,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/18/7a026fb8-8df2-a07a-7abe-46340e335671_1280x720.mp4,28228,train-28228,PLAYER1628366 S.FOUL ,PLAYER1628366,action18
22.0,Missed Shot,PT09M53.00S,MISS Kuzma 26' 3PT Jump Shot,1.0,v,1.0,1628398.0,Kuzma,K. Kuzma,0.0,,,26.0,Missed,Jump Shot,1610612747.0,LAL,1.0,19.0,255.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/22/26e9700b-28ea-d503-dc1a-b5fa3daa58c9_1280x720.mp4,28229,train-28229,MISS PLAYER1628398 26' 3PT Jump Shot,PLAYER1628398,action109
23.0,Defensive Rebound,PT09M49.00S,DeRozan REBOUND (Off:0 Def:1),0.0,h,1.0,201942.0,DeRozan,D. DeRozan,0.0,,,0.0,,Unknown,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/27/0021800082/23/f092b27a-4bf7-005e-11f5-18609f69e81e_1280x720.mp4,28230,train-28230,PLAYER201942 DEFENSIVE REBOUND ,PLAYER201942,action135
