actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Allen vs. Jones: Tip to Russell,0.0,h,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/4/3baddd78-c52f-ba36-a38d-98a8e26a31a1_1280x720.mp4,12922,train-12922,Jump Ball PLAYER1628386 vs. PLAYER1627745: Tip to PLAYER1626156,PLAYER1628386 PLAYER1627745 PLAYER1626156,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M41.00S </> PT11M38.00S,MISS Allen 1' Cutting Layup Shot </> Green REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628386.0 </> 203110.0,Allen </> Green,J. Allen </> D. Green,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Cutting Layup Shot </> Unknown,1610612751.0 </> 1610612744.0,BKN </> GSW,1.0 </> 1.0,11.0 </> 0.0,1.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/7/3dfc4444-f6fb-4551-15f1-4a64fb794193_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/8/bd225cc6-c039-9e40-b60e-57c469c74c3a_1280x720.mp4,12923 </> 12924,train-12923 </> train-12924,MISS PLAYER1628386 1' Cutting Layup Shot </> PLAYER203110 DEFENSIVE REBOUND ,PLAYER1628386 </> PLAYER203110,action92 </> action135
9.0 </> 11.0,Missed Shot </> Defensive Rebound,PT11M29.00S </> PT11M26.00S,MISS Jones 2' Cutting Layup Shot </> Dudley REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1627745.0 </> 201162.0,Jones </> Dudley,D. Jones </> J. Dudley,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Cutting Layup Shot </> Unknown,1610612744.0 </> 1610612751.0,GSW </> BKN,1.0 </> 1.0,-18.0 </> 0.0,-1.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/9/5088e97d-583a-7d70-37a2-cc7d9ce98745_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/11/0f3d90d4-106d-0688-24f6-f583ee8ad1d1_1280x720.mp4,12925 </> 12926,train-12925 </> train-12926,MISS PLAYER1627745 2' Cutting Layup Shot </> PLAYER201162 DEFENSIVE REBOUND ,PLAYER1627745 </> PLAYER201162,action92 </> action135
12.0,Made Shot,PT11M18.00S,Allen 1' Cutting Dunk Shot (2 PTS) (Russell 1 AST),1.0,h,1.0,1628386.0,Allen,J. Allen,2.0,0,2,1.0,Made,Cutting Dunk Shot,1610612751.0,BKN,1.0,-2.0,5.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/12/b456c157-dd34-dac9-d5bf-a3763390f8cd_1280x720.mp4,12927,train-12927,PLAYER1628386 1' Cutting Dunk Shot (PLAYER1626156 AST),PLAYER1628386 PLAYER1626156,action44
14.0,Made Shot,PT10M57.00S,Durant 5' Jump Bank Shot (2 PTS) (Green 1 AST),1.0,v,1.0,201142.0,Durant,K. Durant,4.0,2,2,5.0,Made,Jump Bank Shot,1610612744.0,GSW,1.0,44.0,13.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/14/c17b9d28-7fad-7406-a67c-9fd869ad73ad_1280x720.mp4,12928,train-12928,PLAYER201142 5' Jump Bank Shot (PLAYER203110 AST),PLAYER201142 PLAYER203110,action62
16.0,Foul,PT10M47.00S,Thompson S.FOUL (P1.T1) (L.Richardson),0.0,v,1.0,202691.0,Thompson,K. Thompson,0.0,,,0.0,,Shooting,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/16/cb38db01-c6be-6fc8-53a6-d418639b48a3_1280x720.mp4,12929,train-12929,PLAYER202691 S.FOUL ,PLAYER202691,action18
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT10M39.00S </> PT10M36.00S,MISS Green 25' 3PT Jump Shot </> Allen REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203110.0 </> 1628386.0,Green </> Allen,D. Green </> J. Allen,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612751.0,GSW </> BKN,1.0 </> 1.0,-36.0 </> 0.0,248.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/21/01b85220-b175-4632-5399-9b5a177cc533_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/22/1f8bf160-a365-f5dd-7174-93605e1af33b_1280x720.mp4,12930 </> 12931,train-12930 </> train-12931,MISS PLAYER203110 25' 3PT Jump Shot </> PLAYER1628386 DEFENSIVE REBOUND ,PLAYER203110 </> PLAYER1628386,action109 </> action135
23.0,Made Shot,PT10M17.00S,LeVert 1' Driving Layup (2 PTS),1.0,h,1.0,1627747.0,LeVert,C. LeVert,7.0,2,5,1.0,Made,Driving Layup Shot,1610612751.0,BKN,1.0,10.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/23/65b8a3c7-a422-7297-1b84-3aa0c85a4f63_1280x720.mp4,12932,train-12932,PLAYER1627747 1' Driving Layup ,PLAYER1627747,action53
24.0,Turnover,PT10M11.00S,Jones Traveling Turnover (P1.T1),0.0,v,1.0,1627745.0,Jones,D. Jones,0.0,,,0.0,,Traveling,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/24/ab043b44-f6e4-3f86-3ecf-4da02d7fee08_1280x720.mp4,12933,train-12933,PLAYER1627745 Traveling Turnover ,PLAYER1627745,action163
25.0 </> 26.0,Missed Shot </> Defensive Rebound,PT10M05.00S </> PT10M01.00S,MISS Dudley 25' 3PT Jump Shot </> Green REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,201162.0 </> 203110.0,Dudley </> Green,J. Dudley </> D. Green,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612744.0,BKN </> GSW,1.0 </> 1.0,131.0 </> 0.0,212.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/25/85da9f04-9146-cdf1-8a19-2ca62f58faab_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800083/26/ff0417f9-3639-6447-9558-fbd30174b325_1280x720.mp4,12934 </> 12935,train-12934 </> train-12935,MISS PLAYER201162 25' 3PT Jump Shot </> PLAYER203110 DEFENSIVE REBOUND ,PLAYER201162 </> PLAYER203110,action109 </> action135
