actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Jordan vs. Gobert: Tip to Mitchell,0.0,h,1.0,201599.0,Jordan,D. Jordan,0.0,,,0.0,,,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/4/56329726-4f1c-1d91-716b-ece283797365_1280x720.mp4,30252,train-30252,Jump Ball PLAYER201599 vs. PLAYER203497: Tip to PLAYER1628378,PLAYER201599 PLAYER203497 PLAYER1628378,action41
7.0,Missed Shot,PT11M44.00S,MISS Crowder 25' 3PT Jump Shot,1.0,v,1.0,203109.0,Crowder,J. Crowder,0.0,,,25.0,Missed,Jump Shot,1610612762.0,UTA,1.0,133.0,216.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/7/aecfca59-a560-b9e8-7777-f3563ba2a2f9_1280x720.mp4,30253,train-30253,MISS PLAYER203109 25' 3PT Jump Shot,PLAYER203109,action109
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M32.00S </> PT11M28.00S,MISS Barnes 26' 3PT Jump Shot </> Gobert REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203084.0 </> 203497.0,Barnes </> Gobert,H. Barnes </> R. Gobert,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612762.0,DAL </> UTA,1.0 </> 1.0,23.0 </> 0.0,258.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/9/3820d9f9-e339-e895-c526-aad64cda8bba_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/10/288cf745-284c-4d9b-d049-46e8c3614432_1280x720.mp4,30254 </> 30255,train-30254 </> train-30255,MISS PLAYER203084 26' 3PT Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER203084 </> PLAYER203497,action109 </> action135
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M17.00S </> PT11M16.00S,MISS Rubio 1' Driving Layup </> Jordan REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,201937.0 </> 201599.0,Rubio </> Jordan,R. Rubio </> D. Jordan,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612762.0 </> 1610612742.0,UTA </> DAL,1.0 </> 1.0,8.0 </> 0.0,10.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/11/df65fe28-cae0-3a68-7c83-4a953bce8051_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/12/4a15bffd-2e36-13d2-7fa1-a090652e0603_1280x720.mp4,30256 </> 30257,train-30256 </> train-30257,MISS PLAYER201937 1' Driving Layup </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER201937 </> PLAYER201599,action99 </> action135
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT11M08.00S </> PT11M05.00S,MISS Smith Jr. 17' Jump Shot </> Gobert REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628372.0 </> 203497.0,Smith Jr. </> Gobert,D. Smith Jr. </> R. Gobert,0.0 </> 0.0, </> , </> ,17.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612762.0,DAL </> UTA,1.0 </> 1.0,-124.0 </> 0.0,115.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/13/bb847059-fc60-e1d4-9a84-2ef0224459cd_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/14/548ddaeb-eecd-0b21-cbd6-8d29a094b128_1280x720.mp4,30258 </> 30259,train-30258 </> train-30259,MISS PLAYER1628372 17' Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER1628372 </> PLAYER203497,action109 </> action135
15.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M49.00S </> PT10M46.00S,MISS Gobert 11' Turnaround Jump Shot </> Jordan REBOUND (Off:0 Def:3),1.0 </> 0.0,v </> h,1.0 </> 1.0,203497.0 </> 201599.0,Gobert </> Jordan,R. Gobert </> D. Jordan,0.0 </> 0.0, </> , </> ,11.0 </> 0.0,Missed </> ,Turnaround Jump Shot </> Unknown,1610612762.0 </> 1610612742.0,UTA </> DAL,1.0 </> 1.0,84.0 </> 0.0,74.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/15/6e4f5246-bf29-5629-ac9f-3e95f6275d09_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/17/f9bdcd75-3040-a91b-7a26-3cebfac0674f_1280x720.mp4,30260 </> 30261,train-30260 </> train-30261,MISS PLAYER203497 11' Turnaround Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER203497 </> PLAYER201599,action133 </> action135
18.0 </> 20.0 </> 22.0,Missed Shot </> Offensive Rebound </> Defensive Rebound,PT10M36.00S </> PT10M34.00S </> PT10M30.00S,MISS Matthews 11' Turnaround Jump Shot </> Matthews REBOUND (Off:1 Def:0) </> Gobert REBOUND (Off:0 Def:3),1.0 </> 0.0 </> 0.0,h </> h </> v,1.0 </> 1.0 </> 1.0,202083.0 </> 202083.0 </> 203497.0,Matthews </> Matthews </> Gobert,W. Matthews </> W. Matthews </> R. Gobert,0.0 </> 0.0 </> 0.0, </>  </> , </>  </> ,11.0 </> 0.0 </> 0.0,Missed </>  </> ,Turnaround Jump Shot </> Unknown </> Unknown,1610612742.0 </> 1610612742.0 </> 1610612762.0,DAL </> DAL </> UTA,1.0 </> 1.0 </> 1.0,-103.0 </> 0.0 </> 0.0,27.0 </> 0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/18/a3783f74-65ae-383c-8165-56f9cdda3e38_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/20/76615e89-c5bb-c2e1-dc14-8e8bfeeb3f0e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/22/e071874b-d877-c6fc-9492-e1a5e2b72abb_1280x720.mp4,30262 </> 30263 </> 30264,train-30262 </> train-30263 </> train-30264,MISS PLAYER202083 11' Turnaround Jump Shot </> PLAYER202083 OFFENSIVE REBOUND  </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER202083 </> PLAYER202083 </> PLAYER203497,action133 </> action135 </> action135
24.0,Made Shot,PT10M05.00S,Doncic 1' Cutting Layup Shot (2 PTS) (Matthews 1 AST),1.0,h,1.0,1629029.0,Doncic,L. Doncic,4.0,2,2,1.0,Made,Cutting Layup Shot,1610612742.0,DAL,1.0,9.0,10.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/24/de7ab4bc-b72b-728c-65c0-e96cb14dea2d_1280x720.mp4,30265,train-30265,PLAYER1629029 1' Cutting Layup Shot (PLAYER202083 AST),PLAYER1629029 PLAYER202083,action46
26.0 </> 27.0 </> 28.0,Missed Shot </> Offensive Rebound </> Made Shot,PT09M47.00S </> PT09M46.00S </> PT09M45.00S,MISS Ingles 9' Driving Floating Jump Shot </> Gobert REBOUND (Off:1 Def:3) </> Gobert 1' Putback Layup (2 PTS),1.0 </> 0.0 </> 1.0,v </> v </> v,1.0 </> 1.0 </> 1.0,204060.0 </> 203497.0 </> 203497.0,Ingles </> Gobert </> Gobert,J. Ingles </> R. Gobert </> R. Gobert,0.0 </> 0.0 </> 6.0, </>  </> 4, </>  </> 2,9.0 </> 0.0 </> 1.0,Missed </>  </> Made,Driving Floating Jump Shot </> Unknown </> Putback Layup Shot,1610612762.0 </> 1610612762.0 </> 1610612762.0,UTA </> UTA </> UTA,1.0 </> 1.0 </> 1.0,-77.0 </> 0.0 </> -1.0,36.0 </> 0.0 </> 6.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/26/61f20917-b573-dead-bc1e-464400934f68_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/27/4f3c3c2e-0137-64f0-8e6e-7ac56afea7e7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/28/14cf1b02-377e-6539-d466-0a459f6972bf_1280x720.mp4,30266 </> 30267 </> 30268,train-30266 </> train-30267 </> train-30268,MISS PLAYER204060 9' Driving Floating Jump Shot </> PLAYER203497 OFFENSIVE REBOUND  </> PLAYER203497 1' Putback Layup ,PLAYER204060 </> PLAYER203497 </> PLAYER203497,action97 </> action135 </> action67
30.0,Missed Shot,PT09M21.00S,MISS Jordan 20' Jump Shot,1.0,h,1.0,201599.0,Jordan,D. Jordan,0.0,,,20.0,Missed,Jump Shot,1610612742.0,DAL,1.0,-40.0,193.0,https://videos.nba.com/nba/pbp/media/2018/10/28/0021800084/30/c813d59a-a992-ee16-230d-d3aaa89195b9_1280x720.mp4,30269,train-30269,MISS PLAYER201599 20' Jump Shot,PLAYER201599,action109
