actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Aldridge vs. Jordan: Tip to Smith Jr.,0.0,h,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/4/1c82c505-1293-ddee-7b1a-4f5485288f11_1280x720.mp4,6894,train-6894,Jump Ball PLAYER200746 vs. PLAYER201599: Tip to PLAYER1628372,PLAYER200746 PLAYER201599 PLAYER1628372,action41
7.0,Turnover,PT11M41.00S,Smith Jr. Lost Ball Turnover (P1.T1),0.0,v,1.0,1628372.0,Smith Jr.,D. Smith Jr.,0.0,,,0.0,,Lost Ball,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/7/e7ca143e-4277-95a1-d036-bc5ce0f95f2a_1280x720.mp4,6895,train-6895,PLAYER1628372 Lost Ball Turnover ,PLAYER1628372,action153
9.0,Made Shot,PT11M30.00S,Aldridge 19' Jump Shot (2 PTS) (DeRozan 1 AST),1.0,h,1.0,200746.0,Aldridge,L. Aldridge,2.0,0,2,19.0,Made,Jump Shot,1610612759.0,SAS,1.0,-122.0,147.0,https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/9/3b8f7a3c-c292-46cc-559f-ad6b3842f68b_1280x720.mp4,6896,train-6896,PLAYER200746 19' Jump Shot (PLAYER201942 AST),PLAYER200746 PLAYER201942,action63
11.0,Made Shot,PT11M15.00S,Matthews 9' Driving Floating Jump Shot (2 PTS) (Jordan 1 AST),1.0,v,1.0,202083.0,Matthews,W. Matthews,4.0,2,2,9.0,Made,Driving Floating Jump Shot,1610612742.0,DAL,1.0,14.0,84.0,https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/11/bbe9cad5-c2f7-3122-7989-dc9460bf3c55_1280x720.mp4,6897,train-6897,PLAYER202083 9' Driving Floating Jump Shot (PLAYER201599 AST),PLAYER202083 PLAYER201599,action51
12.0 </> 13.0,Missed Shot </> Defensive Rebound,PT10M54.00S </> PT10M51.00S,MISS Aldridge 16' Fadeaway Jumper </> Barnes REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,200746.0 </> 203084.0,Aldridge </> Barnes,L. Aldridge </> H. Barnes,0.0 </> 0.0, </> , </> ,16.0 </> 0.0,Missed </> ,Fadeaway Jump Shot </> Unknown,1610612759.0 </> 1610612742.0,SAS </> DAL,1.0 </> 1.0,-158.0 </> 0.0,28.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/12/c389719c-b67b-2025-8f94-e5469890782d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/13/de4f345e-4c9a-1ff7-0573-bf774e66cfdf_1280x720.mp4,6898 </> 6899,train-6898 </> train-6899,MISS PLAYER200746 16' Fadeaway Jumper </> PLAYER203084 DEFENSIVE REBOUND ,PLAYER200746 </> PLAYER203084,action103 </> action135
14.0 </> 15.0,Missed Shot </> Defensive Rebound,PT10M46.00S </> PT10M42.00S,MISS Barnes 17' Pullup Jump Shot </> Gay REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203084.0 </> 200752.0,Barnes </> Gay,H. Barnes </> R. Gay,0.0 </> 0.0, </> , </> ,17.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612742.0 </> 1610612759.0,DAL </> SAS,1.0 </> 1.0,77.0 </> 0.0,146.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/14/90f7e60e-e6ea-779d-88ea-8611af310c62_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/15/f4609380-c26b-faf6-0812-b7c18ecf7c06_1280x720.mp4,6900 </> 6901,train-6900 </> train-6901,MISS PLAYER203084 17' Pullup Jump Shot </> PLAYER200752 DEFENSIVE REBOUND ,PLAYER203084 </> PLAYER200752,action111 </> action135
16.0,Made Shot,PT10M35.00S,Forbes 21' Pullup Jump Shot (2 PTS) (Aldridge 1 AST),1.0,h,1.0,1627854.0,Forbes,B. Forbes,6.0,2,4,21.0,Made,Pullup Jump shot,1610612759.0,SAS,1.0,-5.0,207.0,https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/16/9369b279-fb02-92fd-f6bb-1a5ad265535e_1280x720.mp4,6902,train-6902,PLAYER1627854 21' Pullup Jump Shot (PLAYER200746 AST),PLAYER1627854 PLAYER200746,action65
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M11.00S </> PT10M09.00S,MISS Matthews 2' Cutting Finger Roll Layup Shot </> Gay REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,202083.0 </> 200752.0,Matthews </> Gay,W. Matthews </> R. Gay,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Cutting Finger Roll Layup Shot </> Unknown,1610612742.0 </> 1610612759.0,DAL </> SAS,1.0 </> 1.0,8.0 </> 0.0,21.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/18/711c7087-9052-23e3-b8a4-aa7a61ad0fd8_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/19/71f38b23-ca3f-6fb1-97c5-1116dbcba86d_1280x720.mp4,6903 </> 6904,train-6903 </> train-6904,MISS PLAYER202083 2' Cutting Finger Roll Layup Shot </> PLAYER200752 DEFENSIVE REBOUND ,PLAYER202083 </> PLAYER200752,action91 </> action135
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT10M00.00S </> PT09M57.00S,MISS Aldridge 21' Jump Shot </> Jordan REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,200746.0 </> 201599.0,Aldridge </> Jordan,L. Aldridge </> D. Jordan,0.0 </> 0.0, </> , </> ,21.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612742.0,SAS </> DAL,1.0 </> 1.0,-70.0 </> 0.0,200.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/20/1cc5a85f-f25a-3ef4-1656-33ba48218c19_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/21/02ab947f-e077-08c0-a17d-0a7d73da18aa_1280x720.mp4,6905 </> 6906,train-6905 </> train-6906,MISS PLAYER200746 21' Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER200746 </> PLAYER201599,action109 </> action135
22.0 </> 24.0,Foul </> Turnover,PT09M49.00S </> PT09M49.00S,Jordan OFF.Foul (P1) (C.Kirkland) </> Jordan Offensive Foul Turnover (P1.T2),0.0 </> 0.0,v </> v,1.0 </> 1.0,201599.0 </> 201599.0,Jordan </> Jordan,D. Jordan </> D. Jordan,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Offensive </> Offensive Foul Turnover,1610612742.0 </> 1610612742.0,DAL </> DAL,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/22/5ab26f10-0c84-6a42-4dc7-86a868a5595b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/29/0021800094/24/2a3fa315-e913-410b-9eb5-641d89ca217e_1280x720.mp4,6907 </> 6908,train-6907 </> train-6908,PLAYER201599 OFF.Foul  </> PLAYER201599 Offensive Foul Turnover ,PLAYER201599 </> PLAYER201599,action14 </> action155
