actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0 </> 7.0 </> 8.0,Jump Ball </> Missed Shot </> Defensive Rebound,PT12M00.00S </> PT11M54.00S </> PT11M50.00S,Jump Ball McGee vs. Jordan: Tip to Ball </> MISS McGee 1' Alley Oop Layup </> Jordan REBOUND (Off:0 Def:1),0.0 </> 1.0 </> 0.0,h </> h </> v,1.0 </> 1.0 </> 1.0,201580.0 </> 201580.0 </> 201599.0,McGee </> McGee </> Jordan,J. McGee </> J. McGee </> D. Jordan,0.0 </> 0.0 </> 0.0, </>  </> , </>  </> ,0.0 </> 1.0 </> 0.0, </> Missed </> , </> Alley Oop Layup shot </> Unknown,1610612747.0 </> 1610612747.0 </> 1610612742.0,LAL </> LAL </> DAL,1.0 </> 1.0 </> 1.0,0.0 </> 6.0 </> 0.0,0.0 </> 4.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/4/51f93b3a-1906-398c-b7cc-b6fc5893c00b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/7/8153b504-36a1-8728-7a76-740315882350_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/8/3cc39ef3-69c8-4afd-e162-bef83027509b_1280x720.mp4,21057 </> 21058 </> 21059,train-21057 </> train-21058 </> train-21059,Jump PLAYER1628366 PLAYER201580 vs. PLAYER201599: Tip to PLAYER1628366 </> MISS PLAYER201580 1' Alley Oop Layup </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER1628366 PLAYER201580 PLAYER201599 PLAYER1628366 </> PLAYER201580 </> PLAYER201599,action41 </> action89 </> action135
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M37.00S </> PT11M34.00S,MISS Doncic 26' 3PT Step Back Jump Shot </> Ball REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629029.0 </> 1628366.0,Doncic </> Ball,L. Doncic </> L. Ball,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612742.0 </> 1610612747.0,DAL </> LAL,1.0 </> 1.0,47.0 </> 0.0,256.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/9/60ee5936-609c-66d6-bf2f-cb30895a6531_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/10/dc01cfae-8286-4b59-a5e9-4a3df3cc9cca_1280x720.mp4,21060 </> 21061,train-21060 </> train-21061,MISS PLAYER1629029 26' 3PT Step Back Jump Shot </> PLAYER1628366 DEFENSIVE REBOUND ,PLAYER1629029 </> PLAYER1628366,action126 </> action135
11.0,Turnover,PT11M22.00S,James Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0,h,1.0,2544.0,James,L. James,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/11/db6c376b-7d95-7211-5d52-7b91cff2d833_1280x720.mp4,21062,train-21062,PLAYER2544 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER2544,action157
12.0 </> 13.0,Missed Shot </> Defensive Rebound,PT11M06.00S </> PT11M03.00S,MISS Doncic 26' 3PT Pullup Jump Shot </> Kuzma REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629029.0 </> 1628398.0,Doncic </> Kuzma,L. Doncic </> K. Kuzma,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612742.0 </> 1610612747.0,DAL </> LAL,1.0 </> 1.0,-131.0 </> 0.0,226.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/12/507c617c-5e04-5456-f4ec-cb19c7a27229_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/13/4396f4d7-3abd-cb44-6816-796c2567aae2_1280x720.mp4,21063 </> 21064,train-21063 </> train-21064,MISS PLAYER1629029 26' 3PT Pullup Jump Shot </> PLAYER1628398 DEFENSIVE REBOUND ,PLAYER1629029 </> PLAYER1628398,action111 </> action135
14.0,Made Shot,PT10M50.00S,James 10' Step Back Jump Shot (2 PTS),1.0,h,1.0,2544.0,James,L. James,2.0,0,2,10.0,Made,Step Back Jump shot,1610612747.0,LAL,1.0,99.0,15.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/14/a23c77ec-990a-2589-aee8-b1c04f336fa2_1280x720.mp4,21065,train-21065,PLAYER2544 10' Step Back Jump Shot ,PLAYER2544,action80
15.0 </> 16.0,Missed Shot </> Defensive Rebound,PT10M38.00S </> PT10M35.00S,MISS Barnes 16' Pullup Jump Shot </> McGee REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203084.0 </> 201580.0,Barnes </> McGee,H. Barnes </> J. McGee,0.0 </> 0.0, </> , </> ,16.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612742.0 </> 1610612747.0,DAL </> LAL,1.0 </> 1.0,16.0 </> 0.0,163.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/15/5a96bc38-a924-fee8-bd25-5cb40e6d0e0c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/16/ba15f94e-23e1-e5f3-1ccb-d5357b49232b_1280x720.mp4,21066 </> 21067,train-21066 </> train-21067,MISS PLAYER203084 16' Pullup Jump Shot </> PLAYER201580 DEFENSIVE REBOUND ,PLAYER203084 </> PLAYER201580,action111 </> action135
17.0,Made Shot,PT10M22.00S,Ingram 12' Jump Shot (2 PTS) (James 1 AST),1.0,h,1.0,1627742.0,Ingram,B. Ingram,4.0,0,4,12.0,Made,Jump Shot,1610612747.0,LAL,1.0,32.0,117.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/17/eeb46b4b-c456-9ca6-fcdb-2d84d6d3501d_1280x720.mp4,21068,train-21068,PLAYER1627742 12' Jump Shot (PLAYER2544 AST),PLAYER1627742 PLAYER2544,action63
19.0 </> 20.0,Missed Shot </> Defensive Rebound,PT10M00.00S </> PT09M58.00S,MISS Smith Jr. 5' Driving Floating Jump Shot </> Kuzma REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628372.0 </> 1628398.0,Smith Jr. </> Kuzma,D. Smith Jr. </> K. Kuzma,0.0 </> 0.0, </> , </> ,5.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612742.0 </> 1610612747.0,DAL </> LAL,1.0 </> 1.0,0.0 </> 0.0,48.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/19/4a7b298a-9a9d-4b5b-3814-91f33f0aa5b5_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/20/efd2ed99-ef2d-49c6-e565-84a3a1cae9a3_1280x720.mp4,21069 </> 21070,train-21069 </> train-21070,MISS PLAYER1628372 5' Driving Floating Jump Shot </> PLAYER1628398 DEFENSIVE REBOUND ,PLAYER1628372 </> PLAYER1628398,action97 </> action135
21.0,Made Shot,PT09M52.00S,Kuzma 1' Running Layup (2 PTS),1.0,h,1.0,1628398.0,Kuzma,K. Kuzma,6.0,0,6,1.0,Made,Running Layup Shot,1610612747.0,LAL,1.0,-3.0,10.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/21/f0d934c4-c9af-3115-25a4-41673b53a520_1280x720.mp4,21071,train-21071,PLAYER1628398 1' Running Layup ,PLAYER1628398,action75
22.0 </> 24.0,Missed Shot </> Defensive Rebound,PT09M35.00S </> PT09M32.00S,MISS Smith Jr. 5' Floating Jump Shot </> Ball REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628372.0 </> 1628366.0,Smith Jr. </> Ball,D. Smith Jr. </> L. Ball,0.0 </> 0.0, </> , </> ,5.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612742.0 </> 1610612747.0,DAL </> LAL,1.0 </> 1.0,-24.0 </> 0.0,48.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/22/c45c7ace-cc82-b491-3b0b-de28053d7053_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800109/24/c38e04cb-0377-b112-5602-5931c69e5afd_1280x720.mp4,21072 </> 21073,train-21072 </> train-21073,MISS PLAYER1628372 5' Floating Jump Shot </> PLAYER1628366 DEFENSIVE REBOUND ,PLAYER1628372 </> PLAYER1628366,action105 </> action135
