actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Ayton vs. Aldridge: Tip to Warren,0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/4/75764a28-a4bd-cfe2-9ac4-03ead5e2122e_1280x720.mp4,7941,train-7941,Jump Ball PLAYER1629028 vs. PLAYER200746: Tip to PLAYER203933,PLAYER1629028 PLAYER200746 PLAYER203933,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M34.00S </> PT11M31.00S,MISS Warren 15' Driving Floating Jump Shot </> Cunningham REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203933.0 </> 201967.0,Warren </> Cunningham,T. Warren </> D. Cunningham,0.0 </> 0.0, </> , </> ,15.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612756.0 </> 1610612759.0,PHX </> SAS,1.0 </> 1.0,-4.0 </> 0.0,146.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/7/a5493722-734e-051b-9bc0-2d8f1219be56_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/8/2bfb6267-0aea-fe6a-5a8b-d42fd1112be6_1280x720.mp4,7942 </> 7943,train-7942 </> train-7943,MISS PLAYER203933 15' Driving Floating Jump Shot </> PLAYER201967 DEFENSIVE REBOUND ,PLAYER203933 </> PLAYER201967,action97 </> action135
10.0 </> 11.0,Missed Shot </> Defensive Rebound,PT11M11.00S </> PT11M08.00S,MISS DeRozan 17' Jump Shot </> Warren REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201942.0 </> 203933.0,DeRozan </> Warren,D. DeRozan </> T. Warren,0.0 </> 0.0, </> , </> ,17.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612756.0,SAS </> PHX,1.0 </> 1.0,166.0 </> 0.0,5.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/10/dc29cb1f-0b6a-2e23-03a5-5238feaab4b9_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/11/18931719-e575-c1f3-a657-2c981fb8511c_1280x720.mp4,7944 </> 7945,train-7944 </> train-7945,MISS PLAYER201942 17' Jump Shot </> PLAYER203933 DEFENSIVE REBOUND ,PLAYER201942 </> PLAYER203933,action109 </> action135
12.0 </> 13.0,Missed Shot </> Defensive Rebound,PT11M02.00S </> PT10M59.00S,MISS Okobo 18' Pullup Jump Shot </> DeRozan REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1629059.0 </> 201942.0,Okobo </> DeRozan,E. Okobo </> D. DeRozan,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612756.0 </> 1610612759.0,PHX </> SAS,1.0 </> 1.0,104.0 </> 0.0,150.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/12/a594b4a8-a73e-0f86-ea2e-3693f50100cc_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/13/38793705-823c-e223-e87f-2a4fe032e142_1280x720.mp4,7946 </> 7947,train-7946 </> train-7947,MISS PLAYER1629059 18' Pullup Jump Shot </> PLAYER201942 DEFENSIVE REBOUND ,PLAYER1629059 </> PLAYER201942,action111 </> action135
14.0 </> 15.0,Missed Shot </> Defensive Rebound,PT10M43.00S </> PT10M41.00S,MISS Aldridge 12' Turnaround Jump Shot </> Okobo REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,200746.0 </> 1629059.0,Aldridge </> Okobo,L. Aldridge </> E. Okobo,0.0 </> 0.0, </> , </> ,12.0 </> 0.0,Missed </> ,Turnaround Jump Shot </> Unknown,1610612759.0 </> 1610612756.0,SAS </> PHX,1.0 </> 1.0,-97.0 </> 0.0,72.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/14/f40c4855-dc8a-bfb1-2965-5a38f12ae3c3_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/15/02af80b3-4ffd-133f-56d4-f53ed4662931_1280x720.mp4,7948 </> 7949,train-7948 </> train-7949,MISS PLAYER200746 12' Turnaround Jump Shot </> PLAYER1629059 DEFENSIVE REBOUND ,PLAYER200746 </> PLAYER1629059,action133 </> action135
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M34.00S </> PT10M29.00S,MISS Ariza 25' 3PT Jump Shot </> Gay REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,2772.0 </> 200752.0,Ariza </> Gay,T. Ariza </> R. Gay,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612759.0,PHX </> SAS,1.0 </> 1.0,-177.0 </> 0.0,174.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/16/2ca5e7ff-37e5-3186-0633-2129599e1a14_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/17/7cfed482-e68d-6f0e-4c21-30cdb9a9f91c_1280x720.mp4,7950 </> 7951,train-7950 </> train-7951,MISS PLAYER2772 25' 3PT Jump Shot </> PLAYER200752 DEFENSIVE REBOUND ,PLAYER2772 </> PLAYER200752,action109 </> action135
18.0,Made Shot,PT10M21.00S,Gay Driving Dunk (2 PTS),1.0,v,1.0,200752.0,Gay,R. Gay,2.0,2,0,0.0,Made,Driving Dunk Shot,1610612759.0,SAS,1.0,-1.0,2.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/18/2fffc1da-59d0-5699-a3cb-900b8a3275e4_1280x720.mp4,7952,train-7952,PLAYER200752 Driving Dunk ,PLAYER200752,action48
19.0,Made Shot,PT10M16.00S,Ariza 25' 3PT Jump Shot (3 PTS) (Okobo 1 AST),1.0,h,1.0,2772.0,Ariza,T. Ariza,5.0,2,3,25.0,Made,Jump Shot,1610612756.0,PHX,1.0,203.0,148.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/19/f027f9bb-9b18-0a2f-5312-bbe0e2b6f5a6_1280x720.mp4,7953,train-7953,PLAYER2772 25' 3PT Jump Shot (PLAYER1629059 AST),PLAYER2772 PLAYER1629059,action63
21.0,Turnover,PT09M55.00S,Cunningham Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0,v,1.0,201967.0,Cunningham,D. Cunningham,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/21/e189b73a-b24f-7386-2cae-98930d6eef11_1280x720.mp4,7954,train-7954,PLAYER201967 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER201967,action157
23.0,Missed Shot,PT09M38.00S,MISS Okobo 16' Pullup Jump Shot,1.0,h,1.0,1629059.0,Okobo,E. Okobo,0.0,,,16.0,Missed,Pullup Jump shot,1610612756.0,PHX,1.0,65.0,148.0,https://videos.nba.com/nba/pbp/media/2018/10/31/0021800110/23/853faa63-7944-f470-9aa8-d280417e840a_1280x720.mp4,7955,train-7955,MISS PLAYER1629059 16' Pullup Jump Shot,PLAYER1629059,action111
