actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Embiid vs. Gortat: Tip to Bradley,0.0,h,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/4/2a2388b7-94d5-68a3-6c93-56d53ac6edba_1280x720.mp4,4109,train-4109,Jump Ball PLAYER203954 vs. PLAYER101162: Tip to PLAYER202340,PLAYER203954 PLAYER101162 PLAYER202340,action41
7.0,Turnover,PT11M52.00S,Beverley Traveling Turnover (P1.T1),0.0,v,1.0,201976.0,Beverley,P. Beverley,0.0,,,0.0,,Traveling,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/7/b635cab1-e638-4ce5-fa0c-fdfaa56f3158_1280x720.mp4,4110,train-4110,PLAYER201976 Traveling Turnover ,PLAYER201976,action163
8.0,Foul,PT11M43.00S,Harris P.FOUL (P1.T1) (C.Kirkland),0.0,v,1.0,202699.0,Harris,T. Harris,0.0,,,0.0,,Personal,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/8/bd10f11f-5ea8-4dd4-cf5c-8c942a6910f4_1280x720.mp4,4111,train-4111,PLAYER202699 P.FOUL ,PLAYER202699,action16
10.0,Made Shot,PT11M28.00S,Embiid 11' Turnaround Jump Shot (2 PTS),1.0,h,1.0,203954.0,Embiid,J. Embiid,2.0,0,2,11.0,Made,Turnaround Jump Shot,1610612755.0,PHI,1.0,68.0,84.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/10/a5fc9b62-4a3e-1b15-3f81-e5df26a5ce7a_1280x720.mp4,4112,train-4112,PLAYER203954 11' Turnaround Jump Shot ,PLAYER203954,action87
11.0,Turnover,PT11M09.00S,Bradley Bad Pass Turnover (P1.T2),0.0,v,1.0,202340.0,Bradley,A. Bradley,0.0,,,0.0,,Bad Pass,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/11/873fec77-0222-7627-a2e7-1cc81914c0ec_1280x720.mp4,4113,train-4113,PLAYER202340 Bad Pass Turnover ,PLAYER202340,action143
13.0,Made Shot,PT11M00.00S,Simmons 9' Fadeaway Jumper (2 PTS) (Covington 1 AST),1.0,h,1.0,1627732.0,Simmons,B. Simmons,4.0,0,4,9.0,Made,Fadeaway Jump Shot,1610612755.0,PHI,1.0,86.0,35.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/13/30acf4c9-49c1-903b-338d-caed29c945bd_1280x720.mp4,4114,train-4114,PLAYER1627732 9' Fadeaway Jumper (PLAYER203496 AST),PLAYER1627732 PLAYER203496,action57
15.0,Foul,PT10M40.00S,Embiid S.FOUL (P1.T1) (S.Twardoski),0.0,h,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,Shooting,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/15/08749929-3c93-d8b0-0133-049c2984eab3_1280x720.mp4,4115,train-4115,PLAYER203954 S.FOUL ,PLAYER203954,action18
19.0 </> 20.0,Missed Shot </> Offensive Rebound,PT10M28.00S </> PT10M25.00S,MISS Embiid 3' Layup </> Saric REBOUND (Off:1 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,203954.0 </> 203967.0,Embiid </> Saric,J. Embiid </> D. Saric,0.0 </> 0.0, </> , </> ,3.0 </> 0.0,Missed </> ,Layup Shot </> Unknown,1610612755.0 </> 1610612755.0,PHI </> PHI,1.0 </> 1.0,27.0 </> 0.0,14.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/19/36da263f-e2dc-3751-6376-5733cabd6afe_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/20/998647cb-4db2-ef2b-f1a1-2c6675078f16_1280x720.mp4,4116 </> 4117,train-4116 </> train-4117,MISS PLAYER203954 3' Layup </> PLAYER203967 OFFENSIVE REBOUND ,PLAYER203954 </> PLAYER203967,action110 </> action135
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT10M20.00S </> PT10M18.00S,MISS Simmons 12' Pullup Jump Shot </> Gallinari REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627732.0 </> 201568.0,Simmons </> Gallinari,B. Simmons </> D. Gallinari,0.0 </> 0.0, </> , </> ,12.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612755.0 </> 1610612746.0,PHI </> LAC,1.0 </> 1.0,-81.0 </> 0.0,88.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/21/1ff777cc-360b-e9b5-4af9-ebc628c3d9c6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/22/cb8031b4-a890-1272-e815-961008fe9f5d_1280x720.mp4,4118 </> 4119,train-4118 </> train-4119,MISS PLAYER1627732 12' Pullup Jump Shot </> PLAYER201568 DEFENSIVE REBOUND ,PLAYER1627732 </> PLAYER201568,action111 </> action135
23.0 </> 24.0,Missed Shot </> Defensive Rebound,PT10M10.00S </> PT10M08.00S,MISS Harris 6' Driving Floating Bank Jump Shot </> Embiid REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202699.0 </> 203954.0,Harris </> Embiid,T. Harris </> J. Embiid,0.0 </> 0.0, </> , </> ,6.0 </> 0.0,Missed </> ,Driving Floating Bank Jump Shot </> Unknown,1610612746.0 </> 1610612755.0,LAC </> PHI,1.0 </> 1.0,52.0 </> 0.0,32.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/23/023fd404-a603-b9f3-aeed-ee35eec13465_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/24/9ef9425a-6892-bb39-8f93-348b9bd4227e_1280x720.mp4,4120 </> 4121,train-4120 </> train-4121,MISS PLAYER202699 6' Driving Floating Bank Jump Shot </> PLAYER203954 DEFENSIVE REBOUND ,PLAYER202699 </> PLAYER203954,action96 </> action135
25.0 </> 26.0,Missed Shot </> Rebound,PT09M46.00S </> PT09M45.00S,MISS Embiid 8' Turnaround Fadeaway Shot </> 76ERS Rebound,1.0 </> 0.0,h </> h,1.0 </> 1.0,203954.0 </> 1610612755.0,Embiid </> ,J. Embiid </> ,0.0 </> 0.0, </> , </> ,8.0 </> 0.0,Missed </> ,Turnaround Fadeaway shot </> Unknown,1610612755.0 </> 0.0,PHI </> ,1.0 </> 1.0,-81.0 </> 0.0,17.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/25/c1e9e5fb-6a17-c1fa-ed77-7169f7bdb9f8_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/26/05417cdf-35fb-5824-a8f4-4a33c11dbe3c_1280x720.mp4,4122 </> 4123,train-4122 </> train-4123,MISS PLAYER203954 8' Turnaround Fadeaway Shot </> 76ERS Rebound,PLAYER203954 </> ,action131 </> action135
27.0,Foul,PT09M45.00S,Beverley L.B.FOUL (P1.T2) (S.Twardoski),0.0,v,1.0,201976.0,Beverley,P. Beverley,0.0,,,0.0,,Loose Ball,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/01/0021800113/27/7d1c5d13-6ca0-2993-39d8-41847626218d_1280x720.mp4,4124,train-4124,PLAYER201976 L.B.FOUL ,PLAYER201976,action12
