actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Ayton vs. Allen: Tip to Anderson,0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/4/e3a4f094-5b93-3e2f-8737-b10c880e8848_1280x720.mp4,2701,train-2701,Jump Ball PLAYER1629028 vs. PLAYER1628386: Tip to PLAYER201583,PLAYER1629028 PLAYER1628386 PLAYER201583,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M40.00S </> PT11M37.00S,MISS Canaan 25' 3PT Step Back Jump Shot </> Allen REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203477.0 </> 1628386.0,Canaan </> Allen,I. Canaan </> J. Allen,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612756.0 </> 1610612751.0,PHX </> BKN,1.0 </> 1.0,-225.0 </> 0.0,109.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/7/0de75b38-2719-133e-f4ba-4869a0002fd8_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/8/9a9b3f47-ff10-115b-3315-45521cfcf200_1280x720.mp4,2702 </> 2703,train-2702 </> train-2703,MISS PLAYER203477 25' 3PT Step Back Jump Shot </> PLAYER1628386 DEFENSIVE REBOUND ,PLAYER203477 </> PLAYER1628386,action126 </> action135
9.0,Made Shot,PT11M22.00S,Russell Cutting Layup Shot (2 PTS) (Allen 1 AST),1.0,v,1.0,1626156.0,Russell,D. Russell,2.0,2,0,0.0,Made,Cutting Layup Shot,1610612751.0,BKN,1.0,-2.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/9/14b08847-0ba4-2d46-dfbd-8980f618f4a4_1280x720.mp4,2704,train-2704,PLAYER1626156 Cutting Layup Shot (PLAYER1628386 AST),PLAYER1626156 PLAYER1628386,action46
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M06.00S </> PT11M04.00S,MISS Ayton 20' Jump Shot </> Allen REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,1629028.0 </> 1628386.0,Ayton </> Allen,D. Ayton </> J. Allen,0.0 </> 0.0, </> , </> ,20.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612751.0,PHX </> BKN,1.0 </> 1.0,-42.0 </> 0.0,198.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/11/603108b7-dbc0-317c-a4c6-f82f361ecb4b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/12/4a348ee5-3d10-cba0-16bb-86873194f2a1_1280x720.mp4,2705 </> 2706,train-2705 </> train-2706,MISS PLAYER1629028 20' Jump Shot </> PLAYER1628386 DEFENSIVE REBOUND ,PLAYER1629028 </> PLAYER1628386,action109 </> action135
13.0 </> 16.0,Missed Shot </> Foul,PT10M58.00S </> PT10M58.00S,MISS Russell 1' Running Layup </> Ayton P.FOUL (P1.T1) (R.Acosta),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626156.0 </> 1629028.0,Russell </> Ayton,D. Russell </> D. Ayton,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Running Layup Shot </> Personal,1610612751.0 </> 1610612756.0,BKN </> PHX,1.0 </> 1.0,-6.0 </> 0.0,1.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/13/2dc28488-0b27-8a2b-52bb-7f2a2dd315bb_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/16/c165fc97-5d6e-55a8-2e1e-e334482d0059_1280x720.mp4,2707 </> 2708,train-2707 </> train-2708,MISS PLAYER1626156 1' Running Layup </> PLAYER1629028 P.FOUL ,PLAYER1626156 </> PLAYER1629028,action121 </> action16
18.0 </> 19.0,Missed Shot </> Offensive Rebound,PT10M49.00S </> PT10M46.00S,MISS Russell 12' Pullup Jump Shot </> Russell REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,1626156.0 </> 1626156.0,Russell </> Russell,D. Russell </> D. Russell,0.0 </> 0.0, </> , </> ,12.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612751.0 </> 1610612751.0,BKN </> BKN,1.0 </> 1.0,-89.0 </> 0.0,79.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/18/12966297-d2d5-3332-de75-3fc584085d63_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/19/a537bb65-c7d2-0c67-ac96-8c91799b1d7c_1280x720.mp4,2709 </> 2710,train-2709 </> train-2710,MISS PLAYER1626156 12' Pullup Jump Shot </> PLAYER1626156 OFFENSIVE REBOUND ,PLAYER1626156 </> PLAYER1626156,action111 </> action135
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT10M36.00S </> PT10M34.00S,MISS Allen 24' 3PT Jump Shot </> Canaan REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628386.0 </> 203477.0,Allen </> Canaan,J. Allen </> I. Canaan,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612756.0,BKN </> PHX,1.0 </> 1.0,232.0 </> 0.0,43.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/20/78663063-f649-12cb-6b68-37149b8692f3_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/21/f5fbd544-f540-2b28-2c4a-4bb793c0f51f_1280x720.mp4,2711 </> 2712,train-2711 </> train-2712,MISS PLAYER1628386 24' 3PT Jump Shot </> PLAYER203477 DEFENSIVE REBOUND ,PLAYER1628386 </> PLAYER203477,action109 </> action135
22.0,Made Shot,PT10M27.00S,Booker 25' 3PT Pullup Jump Shot (3 PTS),1.0,h,1.0,1626164.0,Booker,D. Booker,5.0,2,3,25.0,Made,Pullup Jump shot,1610612756.0,PHX,1.0,-111.0,226.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/22/fbffe09d-9312-8c82-b57e-58ae06e19364_1280x720.mp4,2713,train-2713,PLAYER1626164 25' 3PT Pullup Jump Shot ,PLAYER1626164,action65
23.0,Turnover,PT10M14.00S,Dudley Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0,v,1.0,201162.0,Dudley,J. Dudley,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/23/18f688d0-af77-90a8-abf0-483930369ef5_1280x720.mp4,2714,train-2714,PLAYER201162 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER201162,action157
24.0 </> 25.0,Missed Shot </> Defensive Rebound,PT10M04.00S </> PT10M01.00S,MISS Booker 25' 3PT Pullup Jump Shot </> Russell REBOUND (Off:1 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626164.0 </> 1626156.0,Booker </> Russell,D. Booker </> D. Russell,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612756.0 </> 1610612751.0,PHX </> BKN,1.0 </> 1.0,150.0 </> 0.0,200.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/24/a2aca40c-5442-134a-b3af-0709f0288587_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/25/fec2138f-66e0-e88c-fb41-b2e9d547d03c_1280x720.mp4,2715 </> 2716,train-2715 </> train-2716,MISS PLAYER1626164 25' 3PT Pullup Jump Shot </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER1626164 </> PLAYER1626156,action111 </> action135
26.0 </> 27.0,Missed Shot </> Defensive Rebound,PT09M50.00S </> PT09M48.00S,MISS Harris 3PT Jump Shot </> Booker REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203925.0 </> 1626164.0,Harris </> Booker,J. Harris </> D. Booker,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612756.0,BKN </> PHX,1.0 </> 1.0,-232.0 </> 0.0,-9.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/26/20347089-7d26-136d-d0a3-ac8a1e558963_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/27/1ca3b573-9f75-5433-2948-e37df25e4b35_1280x720.mp4,2717 </> 2718,train-2717 </> train-2718,MISS PLAYER203925 3PT Jump Shot </> PLAYER1626164 DEFENSIVE REBOUND ,PLAYER203925 </> PLAYER1626164,action109 </> action135
28.0,Foul,PT09M42.00S,Harris P.FOUL (P1.T1) (R.Acosta),0.0,v,1.0,203925.0,Harris,J. Harris,0.0,,,0.0,,Personal,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/28/8246d087-ab86-4c30-85a5-806c1e228e31_1280x720.mp4,2719,train-2719,PLAYER203925 P.FOUL ,PLAYER203925,action16
31.0,Turnover,PT09M26.00S,Ayton Step Out of Bounds Turnover (P1.T1),0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,Step Out of Bounds Turnover,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/31/db4625e0-d1d4-c71c-a171-c4f906830176_1280x720.mp4,2720,train-2720,PLAYER1629028 Step Out of Bounds Turnover ,PLAYER1629028,action162
32.0,Made Shot,PT09M18.00S,Harris Driving Layup (2 PTS) (Russell 1 AST),1.0,v,1.0,203925.0,Harris,J. Harris,7.0,4,3,0.0,Made,Driving Layup Shot,1610612751.0,BKN,1.0,0.0,-4.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/32/a6479bff-f232-b0e4-6183-e854340da363_1280x720.mp4,2721,train-2721,PLAYER203925 Driving Layup (PLAYER1626156 AST),PLAYER203925 PLAYER1626156,action53
33.0,Missed Shot,PT09M03.00S,MISS Booker 17' Floating Jump Shot,1.0,h,1.0,1626164.0,Booker,D. Booker,0.0,,,17.0,Missed,Floating Jump shot,1610612756.0,PHX,1.0,-78.0,146.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/33/fe14703d-9894-7ca1-bef7-5e3f322f5980_1280x720.mp4,2722,train-2722,MISS PLAYER1626164 17' Floating Jump Shot,PLAYER1626164,action105
37.0,Made Shot,PT08M54.00S,LeVert 1' Cutting Dunk Shot (2 PTS) (Allen 2 AST),1.0,v,1.0,1627747.0,LeVert,C. LeVert,9.0,6,3,1.0,Made,Cutting Dunk Shot,1610612751.0,BKN,1.0,0.0,10.0,https://videos.nba.com/nba/pbp/media/2018/11/06/0021800151/37/aa930695-e66e-2368-00e7-01e86a6559d0_1280x720.mp4,2723,train-2723,PLAYER1627747 1' Cutting Dunk Shot (PLAYER1628386 AST),PLAYER1627747 PLAYER1628386,action44
