actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
2.0 </> 4.0,period </> Jump Ball,PT12M00.00S </> PT12M00.00S,Start of 1st Period (7:43 PM EST) </> Jump Ball Whiteside vs. Aldridge: Tip to Cunningham,0.0 </> 0.0, </> h,1.0 </> 1.0,0.0 </> 202355.0, </> Whiteside, </> H. Whiteside,0.0 </> 0.0,0 </> ,0 </> ,0.0 </> 0.0, </> ,start </> ,0.0 </> 1610612748.0, </> MIA,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/2/c3fa71ac-7b04-71fd-25ae-fa25883b9ff7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/4/ceae61ba-dfef-a492-6f18-0f0507b27b25_1280x720.mp4,31206 </> 31207,train-31206 </> train-31207,Start of 1st Period  </> Jump Ball PLAYER202355 vs. PLAYER200746: Tip to PLAYER201967, </> PLAYER202355 PLAYER200746 PLAYER201967,action171 </> action41
9.0,Made Shot,PT11M38.00S,DeRozan 12' Turnaround Fadeaway (2 PTS),1.0,v,1.0,201942.0,DeRozan,D. DeRozan,2.0,2,0,12.0,Made,Turnaround Fadeaway shot,1610612759.0,SAS,1.0,44.0,110.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/9/9d891316-bf41-9b0e-adee-e41cc7beabc0_1280x720.mp4,31208,train-31208,PLAYER201942 12' Turnaround Fadeaway ,PLAYER201942,action85
10.0 </> 11.0 </> 12.0 </> 13.0,Missed Shot </> Offensive Rebound </> Missed Shot </> Offensive Rebound,PT11M25.00S </> PT11M20.00S </> PT11M20.00S </> PT11M19.00S,MISS McGruder 2' Driving Floating Jump Shot </> Whiteside REBOUND (Off:2 Def:0) </> MISS Whiteside 1' Tip Layup Shot </> Whiteside REBOUND (Off:2 Def:0),1.0 </> 0.0 </> 1.0 </> 0.0,h </> h </> h </> h,1.0 </> 1.0 </> 1.0 </> 1.0,203585.0 </> 202355.0 </> 202355.0 </> 202355.0,McGruder </> Whiteside </> Whiteside </> Whiteside,R. McGruder </> H. Whiteside </> H. Whiteside </> H. Whiteside,0.0 </> 0.0 </> 0.0 </> 0.0, </>  </>  </> , </>  </>  </> ,2.0 </> 0.0 </> 1.0 </> 0.0,Missed </>  </> Missed </> ,Driving Floating Jump Shot </> Unknown </> Tip Layup Shot </> Unknown,1610612748.0 </> 1610612748.0 </> 1610612748.0 </> 1610612748.0,MIA </> MIA </> MIA </> MIA,1.0 </> 1.0 </> 1.0 </> 1.0,-20.0 </> 0.0 </> 0.0 </> 0.0,10.0 </> 0.0 </> -6.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/10/5180d756-8f53-eeda-9ab0-fc0bf2541b96_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/11/7507b8d2-45b7-abd6-a61a-1bd587fae380_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/12/07a2c563-a082-3fb0-e715-b0ba19c614fd_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/13/94c0640f-9be6-b1ad-5f5f-d85f57850f73_1280x720.mp4,31209 </> 31210 </> 31211 </> 31212,train-31209 </> train-31210 </> train-31211 </> train-31212,MISS PLAYER203585 2' Driving Floating Jump Shot </> PLAYER202355 OFFENSIVE REBOUND  </> MISS PLAYER202355 1' Tip Layup Shot </> PLAYER202355 OFFENSIVE REBOUND ,PLAYER203585 </> PLAYER202355 </> PLAYER202355 </> PLAYER202355,action97 </> action135 </> action128 </> action135
14.0,Made Shot,PT11M18.00S,Whiteside 1' Putback Layup (2 PTS),1.0,h,1.0,202355.0,Whiteside,H. Whiteside,4.0,2,2,1.0,Made,Putback Layup Shot,1610612748.0,MIA,1.0,-8.0,7.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/14/f552acdf-75f9-0fbd-e528-62734bc8e273_1280x720.mp4,31213,train-31213,PLAYER202355 1' Putback Layup ,PLAYER202355,action67
15.0 </> 16.0,Missed Shot </> Defensive Rebound,PT11M05.00S </> PT11M03.00S,MISS Aldridge 20' Jump Shot </> McGruder REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,200746.0 </> 203585.0,Aldridge </> McGruder,L. Aldridge </> R. McGruder,0.0 </> 0.0, </> , </> ,20.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612748.0,SAS </> MIA,1.0 </> 1.0,-2.0 </> 0.0,197.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/15/58256715-4922-b158-65cb-472f274774b2_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/16/bdc2113d-53d1-cab7-9b34-a8ea2b813780_1280x720.mp4,31214 </> 31215,train-31214 </> train-31215,MISS PLAYER200746 20' Jump Shot </> PLAYER203585 DEFENSIVE REBOUND ,PLAYER200746 </> PLAYER203585,action109 </> action135
17.0 </> 18.0,Missed Shot </> Offensive Rebound,PT10M52.00S </> PT10M50.00S,MISS Richardson 9' Floating Jump Shot </> Richardson REBOUND (Off:1 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,1626196.0 </> 1626196.0,Richardson </> Richardson,J. Richardson </> J. Richardson,0.0 </> 0.0, </> , </> ,9.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612748.0 </> 1610612748.0,MIA </> MIA,1.0 </> 1.0,84.0 </> 0.0,31.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/17/59d219f0-2595-b5bf-8e75-72b23ecb01b4_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/18/d62f58c5-5c79-e52a-a755-e82f2e806d1c_1280x720.mp4,31216 </> 31217,train-31216 </> train-31217,MISS PLAYER1626196 9' Floating Jump Shot </> PLAYER1626196 OFFENSIVE REBOUND ,PLAYER1626196 </> PLAYER1626196,action105 </> action135
19.0 </> 20.0,Missed Shot </> Offensive Rebound,PT10M45.00S </> PT10M44.00S,MISS Whiteside 13' Floating Jump Shot </> Richardson REBOUND (Off:2 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,202355.0 </> 1626196.0,Whiteside </> Richardson,H. Whiteside </> J. Richardson,0.0 </> 0.0, </> , </> ,13.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612748.0 </> 1610612748.0,MIA </> MIA,1.0 </> 1.0,29.0 </> 0.0,131.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/19/34facf88-a3db-0b4f-e0c6-c8e2df2b2f1b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/20/051d15df-55f7-d127-f797-4f69f7a1bfe8_1280x720.mp4,31218 </> 31219,train-31218 </> train-31219,MISS PLAYER202355 13' Floating Jump Shot </> PLAYER1626196 OFFENSIVE REBOUND ,PLAYER202355 </> PLAYER1626196,action105 </> action135
21.0 </> 24.0,Missed Shot </> Foul,PT10M44.00S </> PT10M44.00S,MISS McGruder 25' 3PT Jump Shot </> Forbes L.B.FOUL (P1.T1) (J.Van Duyne),1.0 </> 0.0,h </> v,1.0 </> 1.0,203585.0 </> 1627854.0,McGruder </> Forbes,R. McGruder </> B. Forbes,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Loose Ball,1610612748.0 </> 1610612759.0,MIA </> SAS,1.0 </> 1.0,169.0 </> 0.0,189.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/21/a079ad76-d56d-bf4a-8dc1-69cee5462c23_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/24/e35b1c7b-2b93-10f7-d87a-9be92eb9c057_1280x720.mp4,31220 </> 31221,train-31220 </> train-31221,MISS PLAYER203585 25' 3PT Jump Shot </> PLAYER1627854 L.B.FOUL ,PLAYER203585 </> PLAYER1627854,action109 </> action12
26.0 </> 27.0,Missed Shot </> Defensive Rebound,PT10M30.00S </> PT10M28.00S,MISS Richardson 7' Driving Floating Bank Jump Shot </> Aldridge REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626196.0 </> 200746.0,Richardson </> Aldridge,J. Richardson </> L. Aldridge,0.0 </> 0.0, </> , </> ,7.0 </> 0.0,Missed </> ,Driving Floating Bank Jump Shot </> Unknown,1610612748.0 </> 1610612759.0,MIA </> SAS,1.0 </> 1.0,-64.0 </> 0.0,36.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/26/59fb1897-3025-c8ea-f243-9c5ce66e6981_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/27/cef9cbd5-814a-1e93-7fed-afb77c38aec9_1280x720.mp4,31222 </> 31223,train-31222 </> train-31223,MISS PLAYER1626196 7' Driving Floating Bank Jump Shot </> PLAYER200746 DEFENSIVE REBOUND ,PLAYER1626196 </> PLAYER200746,action96 </> action135
28.0 </> 29.0,Missed Shot </> Defensive Rebound,PT10M08.00S </> PT10M04.00S,MISS DeRozan 15' Turnaround Fadeaway Shot </> Winslow REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201942.0 </> 1626159.0,DeRozan </> Winslow,D. DeRozan </> J. Winslow,0.0 </> 0.0, </> , </> ,15.0 </> 0.0,Missed </> ,Turnaround Fadeaway shot </> Unknown,1610612759.0 </> 1610612748.0,SAS </> MIA,1.0 </> 1.0,-130.0 </> 0.0,73.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/28/a5279e09-5806-b100-44f7-da5a4cb9cb2f_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800156/29/51d5a76f-87d4-35f8-594d-5f554ec2370b_1280x720.mp4,31224 </> 31225,train-31224 </> train-31225,MISS PLAYER201942 15' Turnaround Fadeaway Shot </> PLAYER1626159 DEFENSIVE REBOUND ,PLAYER201942 </> PLAYER1626159,action131 </> action135
