actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4,Jump Ball,PT12M00.00S,Jump Ball Gobert vs. Jordan: Tip to Doncic,0.0,h,1.0,203497.0,Gobert,R. Gobert,0.0,,,0.0,,,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/4/9ce4c6e8-226d-23fb-d19a-e6d77f7306b5_1280x720.mp4,40856,test-1730,Jump Ball PLAYER203497 vs. PLAYER201599: Tip to PLAYER1629029,PLAYER203497 PLAYER201599 PLAYER1629029,action41
7,Foul,PT11M48.00S,Favors P.FOUL (P1.T1) (S.Foster),0.0,h,1.0,202324.0,Favors,D. Favors,0.0,,,0.0,,Personal,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/7/1828b180-6682-6471-2354-3bc4850ab7e0_1280x720.mp4,40857,test-1731,PLAYER202324 P.FOUL ,PLAYER202324,action16
10,Made Shot,PT11M39.00S,Matthews 8' Driving Hook Shot (2 PTS) (Smith Jr. 1 AST),1.0,v,1.0,202083.0,Matthews,W. Matthews,2.0,2,0,8.0,Made,Driving Hook Shot,1610612742.0,DAL,1.0,-24.0,73.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/10/2232cb9e-e8f0-755a-402c-a1555cc6fb4e_1280x720.mp4,40858,test-1732,PLAYER202083 8' Driving Hook Shot (Smith AST),PLAYER202083,action52
11 </> 12,Missed Shot </> Defensive Rebound,PT11M18.00S </> PT11M15.00S,MISS Favors 17' Jump Shot </> Jordan REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202324.0 </> 201599.0,Favors </> Jordan,D. Favors </> D. Jordan,0.0 </> 0.0, </> , </> ,17.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612762.0 </> 1610612742.0,UTA </> DAL,1.0 </> 1.0,-56.0 </> 0.0,165.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/11/b57ee36b-c30b-4677-b046-77056b6a7e42_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/12/c2abac3b-9e88-b3b4-2381-854d95eebf37_1280x720.mp4,40859 </> 40860,test-1733 </> test-1734,MISS PLAYER202324 17' Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER202324 </> PLAYER201599,action109 </> action135
13,Missed Shot,PT11M05.00S,MISS Barnes 3' Driving Layup,1.0,v,1.0,203084.0,Barnes,H. Barnes,0.0,,,3.0,Missed,Driving Layup Shot,1610612742.0,DAL,1.0,-33.0,11.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/13/71420dc5-458d-00a0-f430-c78497eb00e7_1280x720.mp4,40861,test-1735,MISS PLAYER203084 3' Driving Layup,PLAYER203084,action99
18,Turnover,PT11M04.00S,Barnes Lost Ball Turnover (P1.T1),0.0,v,1.0,203084.0,Barnes,H. Barnes,0.0,,,0.0,,Lost Ball,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/18/75fbb4a5-250c-1dec-fc1f-bd6e434c883b_1280x720.mp4,40862,test-1736,PLAYER203084 Lost Ball Turnover ,PLAYER203084,action153
20,Made Shot,PT10M57.00S,Rubio 12' Turnaround Jump Shot (2 PTS),1.0,h,1.0,201937.0,Rubio,R. Rubio,4.0,2,2,12.0,Made,Turnaround Jump Shot,1610612762.0,UTA,1.0,124.0,15.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/20/e7c0114e-943d-6949-f073-e5eee12d0ca4_1280x720.mp4,40863,test-1737,PLAYER201937 12' Turnaround Jump Shot ,PLAYER201937,action87
21,Turnover,PT10M45.00S,Jordan Bad Pass Turnover (P1.T2),0.0,v,1.0,201599.0,Jordan,D. Jordan,0.0,,,0.0,,Bad Pass,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/21/10056cd4-bbc3-dfb6-e325-72da8b685fb0_1280x720.mp4,40864,test-1738,PLAYER201599 Bad Pass Turnover ,PLAYER201599,action143
23,Made Shot,PT10M36.00S,Mitchell 16' Pullup Jump Shot (2 PTS),1.0,h,1.0,1628378.0,Mitchell,D. Mitchell,6.0,2,4,16.0,Made,Pullup Jump shot,1610612762.0,UTA,1.0,-70.0,141.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/23/bfdfc6e4-7c38-20b6-f697-77789c0b2e50_1280x720.mp4,40865,test-1739,PLAYER1628378 16' Pullup Jump Shot ,PLAYER1628378,action65
25 </> 27,Missed Shot </> Defensive Rebound,PT10M23.00S </> PT10M20.00S,MISS Barnes 4' Cutting Layup Shot </> Favors REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203084.0 </> 202324.0,Barnes </> Favors,H. Barnes </> D. Favors,0.0 </> 0.0, </> , </> ,4.0 </> 0.0,Missed </> ,Cutting Layup Shot </> Unknown,1610612742.0 </> 1610612762.0,DAL </> UTA,1.0 </> 1.0,-33.0 </> 0.0,14.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/25/3deb8ea7-6f5d-1580-b8fb-e8360f11d0e6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/27/b48bedf9-2445-56b4-61c4-7b98f8a06fba_1280x720.mp4,40866 </> 40867,test-1740 </> test-1741,MISS PLAYER203084 4' Cutting Layup Shot </> PLAYER202324 DEFENSIVE REBOUND ,PLAYER203084 </> PLAYER202324,action92 </> action135
28 </> 29,Missed Shot </> Defensive Rebound,PT10M12.00S </> PT10M10.00S,MISS Mitchell 26' 3PT Pullup Jump Shot </> Doncic REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628378.0 </> 1629029.0,Mitchell </> Doncic,D. Mitchell </> L. Doncic,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612762.0 </> 1610612742.0,UTA </> DAL,1.0 </> 1.0,10.0 </> 0.0,259.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/28/6ab2e2fb-b107-4f21-c9db-fa371ed61d1e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/07/0021800160/29/174aa158-91c3-48dd-b852-f242ebe2a32e_1280x720.mp4,40868 </> 40869,test-1742 </> test-1743,MISS PLAYER1628378 26' 3PT Pullup Jump Shot </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER1628378 </> PLAYER1629029,action111 </> action135
