actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Jones vs. Allen: Tip to Harris,0.0,h,1.0,1627745.0,Jones,D. Jones,0.0,,,0.0,,,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/4/6b2cc3ee-ee16-003e-4828-95cc74d920d3_1280x720.mp4,17273,train-17273,Jump Ball PLAYER1627745 vs. PLAYER1628386: Tip to PLAYER203925,PLAYER1627745 PLAYER1628386 PLAYER203925,action41
7.0,Made Shot,PT11M43.00S,Russell 12' Step Back Jump Shot (2 PTS),1.0,v,1.0,1626156.0,Russell,D. Russell,2.0,2,0,12.0,Made,Step Back Jump shot,1610612751.0,BKN,1.0,44.0,112.0,https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/7/ccb968fa-bc6d-864e-fd9e-4d82e82002ad_1280x720.mp4,17274,train-17274,PLAYER1626156 12' Step Back Jump Shot ,PLAYER1626156,action80
8.0 </> 9.0,Missed Shot </> Defensive Rebound,PT11M22.00S </> PT11M21.00S,MISS Durant 18' Pullup Jump Shot </> Dudley REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201142.0 </> 201162.0,Durant </> Dudley,K. Durant </> J. Dudley,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612744.0 </> 1610612751.0,GSW </> BKN,1.0 </> 1.0,-107.0 </> 0.0,146.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/8/8e372a40-9530-3a59-4cf4-7d592dbee7c3_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/9/076a165b-43c4-b372-c810-3349c63a4321_1280x720.mp4,17275 </> 17276,train-17275 </> train-17276,MISS PLAYER201142 18' Pullup Jump Shot </> PLAYER201162 DEFENSIVE REBOUND ,PLAYER201142 </> PLAYER201162,action111 </> action135
10.0,Foul,PT11M13.00S,Thompson P.FOUL (P1.T1) (B.Nansel),0.0,h,1.0,202691.0,Thompson,K. Thompson,0.0,,,0.0,,Personal,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/10/6a3c1aab-1215-b6d8-532d-cc33fbffee9f_1280x720.mp4,17277,train-17277,PLAYER202691 P.FOUL ,PLAYER202691,action16
12.0,Made Shot,PT11M10.00S,Russell 29' 3PT Jump Shot (5 PTS) (Harris 1 AST),1.0,v,1.0,1626156.0,Russell,D. Russell,5.0,5,0,29.0,Made,Jump Shot,1610612751.0,BKN,1.0,-62.0,281.0,https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/12/7166ddec-8562-a372-ea4d-4dc1edce2bf7_1280x720.mp4,17278,train-17278,PLAYER1626156 29' 3PT Jump Shot (PLAYER203925 AST),PLAYER1626156 PLAYER203925,action63
13.0,Foul,PT10M52.00S,Allen P.FOUL (P1.T1) (B.Nansel),0.0,v,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,Personal,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/13/74af17ff-89ac-ce68-9a6d-598f31343763_1280x720.mp4,17279,train-17279,PLAYER1628386 P.FOUL ,PLAYER1628386,action16
15.0 </> 16.0 </> 17.0,Missed Shot </> Offensive Rebound </> Made Shot,PT10M47.00S </> PT10M45.00S </> PT10M39.00S,MISS Thompson 26' 3PT Jump Shot </> Durant REBOUND (Off:1 Def:0) </> Durant 3' Reverse Layup (2 PTS),1.0 </> 0.0 </> 1.0,h </> h </> h,1.0 </> 1.0 </> 1.0,202691.0 </> 201142.0 </> 201142.0,Thompson </> Durant </> Durant,K. Thompson </> K. Durant </> K. Durant,0.0 </> 0.0 </> 7.0, </>  </> 5, </>  </> 2,26.0 </> 0.0 </> 3.0,Missed </>  </> Made,Jump Shot </> Unknown </> Reverse Layup Shot,1610612744.0 </> 1610612744.0 </> 1610612744.0,GSW </> GSW </> GSW,1.0 </> 1.0 </> 1.0,29.0 </> 0.0 </> 7.0,255.0 </> 0.0 </> 29.0,https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/15/28823348-7cbe-5511-7ad0-a6053c457667_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/16/d5735a1a-8305-b6c0-5735-bdbd8ac3847d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/17/660f0c75-c263-3096-433e-0a1846ad7f60_1280x720.mp4,17280 </> 17281 </> 17282,train-17280 </> train-17281 </> train-17282,MISS PLAYER202691 26' 3PT Jump Shot </> PLAYER201142 OFFENSIVE REBOUND  </> PLAYER201142 3' Reverse Layup ,PLAYER202691 </> PLAYER201142 </> PLAYER201142,action109 </> action135 </> action69
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M29.00S </> PT10M27.00S,MISS Harris 3PT Jump Shot </> Jerebko REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203925.0 </> 201973.0,Harris </> Jerebko,J. Harris </> J. Jerebko,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612744.0,BKN </> GSW,1.0 </> 1.0,-223.0 </> 0.0,42.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/18/5d1d7e4b-62e1-6702-9ee2-ed9cab1a66a2_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/19/aa88f591-19e9-a0f0-4cf2-6b7f04167754_1280x720.mp4,17283 </> 17284,train-17283 </> train-17284,MISS PLAYER203925 3PT Jump Shot </> PLAYER201973 DEFENSIVE REBOUND ,PLAYER203925 </> PLAYER201973,action109 </> action135
20.0,Turnover,PT10M24.00S,Thompson Out of Bounds Lost Ball Turnover (P1.T1),0.0,h,1.0,202691.0,Thompson,K. Thompson,0.0,,,0.0,,Out of Bounds Lost Ball Turnover,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/20/929305a2-1b3a-4fc5-2f29-1b5c1bf723bf_1280x720.mp4,17285,train-17285,PLAYER202691 Out of Bounds Lost Ball Turnover ,PLAYER202691,action158
21.0,Turnover,PT10M09.00S,Dudley Bad Pass Turnover (P1.T1),0.0,v,1.0,201162.0,Dudley,J. Dudley,0.0,,,0.0,,Bad Pass,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/10/0021800182/21/346da601-de87-b251-b6f7-8c3da8a9c171_1280x720.mp4,17286,train-17286,PLAYER201162 Bad Pass Turnover ,PLAYER201162,action143
