actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Davis vs. Whiteside: Tip to Russell,0.0,h,1.0,202334.0,Davis,E. Davis,0.0,,,0.0,,,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/4/e1cbf5e2-0cb2-f27c-2e38-d3f3761f0ced_1280x720.mp4,18588,train-18588,Jump Ball PLAYER202334 vs. PLAYER202355: Tip to PLAYER1626156,PLAYER202334 PLAYER202355 PLAYER1626156,action41
7.0,Foul,PT11M45.00S,Dragic P.FOUL (P1.T1) (M.Ervin),0.0,v,1.0,201609.0,Dragic,G. Dragic,0.0,,,0.0,,Personal,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/7/e0ef3942-bbd8-e40e-fcf5-4babea45026b_1280x720.mp4,18589,train-18589,PLAYER201609 P.FOUL ,PLAYER201609,action16
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M32.00S </> PT11M28.00S,MISS Crabbe 24' 3PT Jump Shot </> Winslow REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203459.0 </> 1626159.0,Crabbe </> Winslow,A. Crabbe </> J. Winslow,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612748.0,BKN </> MIA,1.0 </> 1.0,-234.0 </> 0.0,23.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/9/2a4e4f7f-b9d1-1899-d117-b3f05b65aa60_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/10/4b8bcb36-862f-2a7c-759b-8475a5ac7221_1280x720.mp4,18590 </> 18591,train-18590 </> train-18591,MISS PLAYER203459 24' 3PT Jump Shot </> PLAYER1626159 DEFENSIVE REBOUND ,PLAYER203459 </> PLAYER1626159,action109 </> action135
11.0,Made Shot,PT11M21.00S,Dragic 6' Driving Finger Roll Layup (2 PTS),1.0,v,1.0,201609.0,Dragic,G. Dragic,2.0,2,0,6.0,Made,Driving Finger Roll Layup Shot,1610612748.0,MIA,1.0,-32.0,47.0,https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/11/d5a109e6-1694-2b93-1d62-702400bbf94a_1280x720.mp4,18592,train-18592,PLAYER201609 6' Driving Finger Roll Layup ,PLAYER201609,action49
12.0,Turnover,PT11M03.00S,Russell Palming Turnover (P1.T1),0.0,h,1.0,1626156.0,Russell,D. Russell,0.0,,,0.0,,Palming Turnover,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/12/cdf28a4b-a0d9-f34c-a79e-0e60e1cd439b_1280x720.mp4,18593,train-18593,PLAYER1626156 Palming Turnover ,PLAYER1626156,action159
13.0,Made Shot,PT10M52.00S,McGruder 3' Driving Layup (2 PTS),1.0,v,1.0,203585.0,McGruder,R. McGruder,4.0,4,0,3.0,Made,Driving Layup Shot,1610612748.0,MIA,1.0,21.0,22.0,https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/13/a67f6531-c525-e51e-d0da-667893b39279_1280x720.mp4,18594,train-18594,PLAYER203585 3' Driving Layup ,PLAYER203585,action53
14.0,Made Shot,PT10M38.00S,Davis 4' Turnaround Hook Shot (2 PTS) (Russell 1 AST),1.0,h,1.0,202334.0,Davis,E. Davis,6.0,4,2,4.0,Made,Turnaround Hook Shot,1610612751.0,BKN,1.0,-20.0,33.0,https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/14/c185cfb9-1853-27e4-78e0-55e6c6797ef2_1280x720.mp4,18595,train-18595,PLAYER202334 4' Turnaround Hook Shot (PLAYER1626156 AST),PLAYER202334 PLAYER1626156,action86
16.0,Made Shot,PT10M16.00S,Dragic 17' Pullup Jump Shot (4 PTS),1.0,v,1.0,201609.0,Dragic,G. Dragic,8.0,6,2,17.0,Made,Pullup Jump shot,1610612748.0,MIA,1.0,81.0,145.0,https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/16/f342bd7c-9901-2f74-d39e-fd7c059232f0_1280x720.mp4,18596,train-18596,PLAYER201609 17' Pullup Jump Shot ,PLAYER201609,action65
17.0 </> 18.0,Missed Shot </> Defensive Rebound,PT10M02.00S </> PT10M00.00S,MISS Davis 7' Hook Shot </> Winslow REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,202334.0 </> 1626159.0,Davis </> Winslow,E. Davis </> J. Winslow,0.0 </> 0.0, </> , </> ,7.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612751.0 </> 1610612748.0,BKN </> MIA,1.0 </> 1.0,-68.0 </> 0.0,10.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/17/2f70d91e-f87e-fc4f-659c-3c4b7f922ce0_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/18/033395dc-a4ee-068d-26fe-515af932484a_1280x720.mp4,18597 </> 18598,train-18597 </> train-18598,MISS PLAYER202334 7' Hook Shot </> PLAYER1626159 DEFENSIVE REBOUND ,PLAYER202334 </> PLAYER1626159,action107 </> action135
19.0,Made Shot,PT09M54.00S,Winslow 4' Driving Layup (2 PTS),1.0,v,1.0,1626159.0,Winslow,J. Winslow,10.0,8,2,4.0,Made,Driving Layup Shot,1610612748.0,MIA,1.0,-20.0,38.0,https://videos.nba.com/nba/pbp/media/2018/11/14/0021800205/19/f27ea2dc-b39a-c265-814d-3b7ab5d25df9_1280x720.mp4,18599,train-18599,PLAYER1626159 4' Driving Layup ,PLAYER1626159,action53
