actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gortat vs. Aldridge: Tip to Forbes,0.0,h,1.0,101162.0,Gortat,M. Gortat,0.0,,,0.0,,,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/15/0021800215/4/18942208-76d8-674d-e08b-bdbd077b1656_1280x720.mp4,24807,train-24807,Jump Ball PLAYER101162 vs. PLAYER200746: Tip to PLAYER1627854,PLAYER101162 PLAYER200746 PLAYER1627854,action41
7.0,Missed Shot,PT11M45.00S,MISS Forbes 25' 3PT Jump Shot,1.0,v,1.0,1627854.0,Forbes,B. Forbes,0.0,,,25.0,Missed,Jump Shot,1610612759.0,SAS,1.0,-138.0,206.0,https://videos.nba.com/nba/pbp/media/2018/11/15/0021800215/7/b77c722b-1a38-a921-d57d-9998a89fcfed_1280x720.mp4,24808,train-24808,MISS PLAYER1627854 25' 3PT Jump Shot,PLAYER1627854,action109
8.0,Defensive Rebound,PT11M40.00S,Gortat REBOUND (Off:0 Def:1),0.0,h,1.0,101162.0,Gortat,M. Gortat,0.0,,,0.0,,Unknown,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/15/0021800215/8/86143112-1b15-d3bd-da3f-875d645f670f_1280x720.mp4,24809,train-24809,PLAYER101162 DEFENSIVE REBOUND ,PLAYER101162,action135
9.0,Made Shot,PT11M29.00S,Harris 1' Alley Oop Layup (2 PTS) (Gortat 1 AST),1.0,h,1.0,202699.0,Harris,T. Harris,2.0,0,2,1.0,Made,Alley Oop Layup shot,1610612746.0,LAC,1.0,10.0,11.0,https://videos.nba.com/nba/pbp/media/2018/11/15/0021800215/9/470c5a0c-7b8e-5c02-0fd7-d9484e5b1019_1280x720.mp4,24810,train-24810,PLAYER202699 1' Alley Oop Layup (PLAYER101162 AST),PLAYER202699 PLAYER101162,action43
11.0,Made Shot,PT11M16.00S,Aldridge 11' Turnaround Fadeaway (2 PTS) (DeRozan 1 AST),1.0,v,1.0,200746.0,Aldridge,L. Aldridge,4.0,2,2,11.0,Made,Turnaround Fadeaway shot,1610612759.0,SAS,1.0,-97.0,52.0,https://videos.nba.com/nba/pbp/media/2018/11/15/0021800215/11/610a3aaf-ce1e-fc97-e84f-6d5d90adad44_1280x720.mp4,24811,train-24811,PLAYER200746 11' Turnaround Fadeaway (PLAYER201942 AST),PLAYER200746 PLAYER201942,action85
13.0,Missed Shot,PT11M02.00S,MISS Harris 16' Pullup Jump Shot,1.0,h,1.0,202699.0,Harris,T. Harris,0.0,,,16.0,Missed,Pullup Jump shot,1610612746.0,LAC,1.0,-8.0,164.0,https://videos.nba.com/nba/pbp/media/2018/11/15/0021800215/13/f62ca216-bc84-4643-deaf-8046f38bef23_1280x720.mp4,24812,train-24812,MISS PLAYER202699 16' Pullup Jump Shot,PLAYER202699,action111
16.0,Missed Shot,PT10M53.00S,MISS Harris 3PT Jump Shot,1.0,h,1.0,202699.0,Harris,T. Harris,0.0,,,0.0,Missed,Jump Shot,1610612746.0,LAC,1.0,-228.0,11.0,https://videos.nba.com/nba/pbp/media/2018/11/15/0021800215/16/993e11d9-0a5f-8803-b90d-50eee5f7584a_1280x720.mp4,24813,train-24813,MISS PLAYER202699 3PT Jump Shot,PLAYER202699,action109
17.0,Defensive Rebound,PT10M49.00S,White REBOUND (Off:0 Def:1),0.0,v,1.0,1628401.0,White,D. White,0.0,,,0.0,,Unknown,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/15/0021800215/17/1cb9576b-6331-d295-d3e9-c46aaddb8f25_1280x720.mp4,24814,train-24814,PLAYER1628401 DEFENSIVE REBOUND ,PLAYER1628401,action135
18.0,Made Shot,PT10M37.00S,Forbes 26' 3PT Pullup Jump Shot (3 PTS) (Cunningham 1 AST),1.0,v,1.0,1627854.0,Forbes,B. Forbes,7.0,5,2,26.0,Made,Pullup Jump shot,1610612759.0,SAS,1.0,38.0,256.0,https://videos.nba.com/nba/pbp/media/2018/11/15/0021800215/18/9332e5a8-a940-0171-0801-08058bcaf7f1_1280x720.mp4,24815,train-24815,PLAYER1627854 26' 3PT Pullup Jump Shot (PLAYER201967 AST),PLAYER1627854 PLAYER201967,action65
20.0,Missed Shot,PT10M28.00S,MISS Gallinari 25' 3PT Jump Shot,1.0,h,1.0,201568.0,Gallinari,D. Gallinari,0.0,,,25.0,Missed,Jump Shot,1610612746.0,LAC,1.0,-8.0,254.0,https://videos.nba.com/nba/pbp/media/2018/11/15/0021800215/20/9e05263e-f3e9-97c3-e42c-badaddb42628_1280x720.mp4,24816,train-24816,MISS PLAYER201568 25' 3PT Jump Shot,PLAYER201568,action109
