actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Embiid vs. Gobert: Tip to Rubio,0.0,h,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/4/4ec66f93-a5a5-e03f-94e0-f7431dc9f0b0_1280x720.mp4,26520,train-26520,Jump Ball PLAYER203954 vs. PLAYER203497: Tip to PLAYER201937,PLAYER203954 PLAYER203497 PLAYER201937,action41
7.0 </> 8.0,Missed Shot </> Offensive Rebound,PT11M46.00S </> PT11M44.00S,MISS Ingles 8' Driving Floating Jump Shot </> Gobert REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,204060.0 </> 203497.0,Ingles </> Gobert,J. Ingles </> R. Gobert,0.0 </> 0.0, </> , </> ,8.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612762.0 </> 1610612762.0,UTA </> UTA,1.0 </> 1.0,-9.0 </> 0.0,75.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/7/dbd9564f-2195-1d68-a37e-a02c6140e97a_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/8/4d8fd664-499f-787e-709b-4b975b5275dd_1280x720.mp4,26521 </> 26522,train-26521 </> train-26522,MISS PLAYER204060 8' Driving Floating Jump Shot </> PLAYER203497 OFFENSIVE REBOUND ,PLAYER204060 </> PLAYER203497,action97 </> action135
9.0,Made Shot,PT11M44.00S,Gobert 1' Tip Dunk Shot (2 PTS),1.0,v,1.0,203497.0,Gobert,R. Gobert,2.0,2,0,1.0,Made,Tip Dunk Shot,1610612762.0,UTA,1.0,0.0,-6.0,https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/9/9f03db73-2820-bbc9-5c4f-2e2de36e58d1_1280x720.mp4,26523,train-26523,PLAYER203497 1' Tip Dunk Shot ,PLAYER203497,action81
10.0,Made Shot,PT11M25.00S,Butler 1' Driving Reverse Layup (2 PTS) (Simmons 1 AST),1.0,h,1.0,202710.0,Butler,J. Butler,4.0,2,2,1.0,Made,Driving Reverse Layup Shot,1610612755.0,PHI,1.0,-7.0,10.0,https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/10/ad319770-01c9-25fc-6100-05263412d8ce_1280x720.mp4,26524,train-26524,PLAYER202710 1' Driving Reverse Layup (PLAYER1627732 AST),PLAYER202710 PLAYER1627732,action55
12.0,Turnover,PT11M09.00S,Mitchell Bad Pass Turnover (P1.T1),0.0,v,1.0,1628378.0,Mitchell,D. Mitchell,0.0,,,0.0,,Bad Pass,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/12/b9191114-bc3c-1148-d937-961fa231623e_1280x720.mp4,26525,train-26525,PLAYER1628378 Bad Pass Turnover ,PLAYER1628378,action143
14.0,Foul,PT11M05.00S,Mitchell S.FOUL (P1.T1) (T.Maddox),0.0,v,1.0,1628378.0,Mitchell,D. Mitchell,0.0,,,0.0,,Shooting,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/14/53435166-b6ae-3d22-651f-ed622cf799ed_1280x720.mp4,26526,train-26526,PLAYER1628378 S.FOUL ,PLAYER1628378,action18
19.0 </> 20.0,Missed Shot </> Defensive Rebound,PT10M55.00S </> PT10M52.00S,MISS Mitchell 20' Pullup Jump Shot </> Simmons REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628378.0 </> 1627732.0,Mitchell </> Simmons,D. Mitchell </> B. Simmons,0.0 </> 0.0, </> , </> ,20.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612762.0 </> 1610612755.0,UTA </> PHI,1.0 </> 1.0,7.0 </> 0.0,203.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/19/5fe55000-fec1-2a08-803b-421587c5ab02_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/20/e9171834-d3a8-9345-90f4-b9fea060c1a5_1280x720.mp4,26527 </> 26528,train-26527 </> train-26528,MISS PLAYER1628378 20' Pullup Jump Shot </> PLAYER1627732 DEFENSIVE REBOUND ,PLAYER1628378 </> PLAYER1627732,action111 </> action135
21.0,Made Shot,PT10M43.00S,Redick 4' Driving Finger Roll Layup (2 PTS) (Embiid 1 AST),1.0,h,1.0,200755.0,Redick,J. Redick,7.0,2,5,4.0,Made,Driving Finger Roll Layup Shot,1610612755.0,PHI,1.0,-7.0,37.0,https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/21/62ea45af-67b9-58d2-e551-674d174ae66d_1280x720.mp4,26529,train-26529,PLAYER200755 4' Driving Finger Roll Layup (PLAYER203954 AST),PLAYER200755 PLAYER203954,action49
23.0,Turnover,PT10M34.00S,Rubio Out of Bounds - Bad Pass Turnover Turnover (P1.T2),0.0,v,1.0,201937.0,Rubio,R. Rubio,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/23/ae35fe9d-ae78-483b-7a95-075a2702bcdc_1280x720.mp4,26530,train-26530,PLAYER201937 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER201937,action157
24.0,Made Shot,PT10M25.00S,Butler 25' 3PT Jump Shot (5 PTS) (Simmons 2 AST),1.0,h,1.0,202710.0,Butler,J. Butler,10.0,2,8,25.0,Made,Jump Shot,1610612755.0,PHI,1.0,221.0,116.0,https://videos.nba.com/nba/pbp/media/2018/11/16/0021800218/24/a477ae1c-9684-75d5-e636-7581c933f71f_1280x720.mp4,26531,train-26531,PLAYER202710 25' 3PT Jump Shot (PLAYER1627732 AST),PLAYER202710 PLAYER1627732,action63
