actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Allen vs. Gortat: Tip to Harris,0.0,h,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/4/f98cbf4b-f8d8-5432-bab4-e711afc976b2_1280x720.mp4,32249,train-32249,Jump Ball PLAYER1628386 vs. PLAYER101162: Tip to PLAYER203925,PLAYER1628386 PLAYER101162 PLAYER203925,action41
7.0,Made Shot,PT11M44.00S,Crabbe 26' 3PT Jump Shot (3 PTS) (Harris 1 AST),1.0,h,1.0,203459.0,Crabbe,A. Crabbe,3.0,0,3,26.0,Made,Jump Shot,1610612751.0,BKN,1.0,-134.0,225.0,https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/7/9fe09c4f-fae4-c9b2-37ef-030f8ec84a34_1280x720.mp4,32250,train-32250,PLAYER203459 26' 3PT Jump Shot (PLAYER203925 AST),PLAYER203459 PLAYER203925,action63
9.0,Missed Shot,PT11M25.00S,MISS Harris 25' 3PT Jump Shot,1.0,v,1.0,202699.0,Harris,T. Harris,0.0,,,25.0,Missed,Jump Shot,1610612746.0,LAC,1.0,-131.0,215.0,https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/9/603c0173-5431-1619-4b8c-9a83db3482a6_1280x720.mp4,32251,train-32251,MISS PLAYER203925 25' 3PT Jump Shot,PLAYER203925,action109
12.0,Made Shot,PT11M15.00S,Gortat 1' Cutting Layup Shot (2 PTS) (Beverley 1 AST),1.0,v,1.0,101162.0,Gortat,M. Gortat,5.0,2,3,1.0,Made,Cutting Layup Shot,1610612746.0,LAC,1.0,-10.0,8.0,https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/12/914c6646-cc9a-c838-edd7-076c31dfef0f_1280x720.mp4,32252,train-32252,PLAYER101162 1' Cutting Layup Shot (PLAYER201976 AST),PLAYER101162 PLAYER201976,action46
14.0,Made Shot,PT11M06.00S,Crabbe 25' 3PT Jump Shot (6 PTS) (Russell 1 AST),1.0,h,1.0,203459.0,Crabbe,A. Crabbe,8.0,2,6,25.0,Made,Jump Shot,1610612751.0,BKN,1.0,-17.0,253.0,https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/14/055a8289-7e6a-6657-9f35-ccfb1863c27b_1280x720.mp4,32253,train-32253,PLAYER203459 25' 3PT Jump Shot (PLAYER1626156 AST),PLAYER203459 PLAYER1626156,action63
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M53.00S </> PT10M50.00S,MISS Harris 14' Pullup Jump Shot </> Russell REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202699.0 </> 1626156.0,Harris </> Russell,T. Harris </> D. Russell,0.0 </> 0.0, </> , </> ,14.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612746.0 </> 1610612751.0,LAC </> BKN,1.0 </> 1.0,9.0 </> 0.0,141.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/16/90a97473-cc33-0fb1-6c0a-3ae818324b32_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/17/9a6284eb-5a36-2dd2-2a29-386e0a9f890f_1280x720.mp4,32254 </> 32255,train-32254 </> train-32255,MISS PLAYER203925 14' Pullup Jump Shot </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER203925 </> PLAYER1626156,action111 </> action135
20.0,Offensive Rebound,PT10M29.00S,Allen REBOUND (Off:1 Def:0),0.0,h,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,Unknown,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/20/f94f200a-c5a5-7d8e-322c-021a7af30886_1280x720.mp4,32256,train-32256,PLAYER1628386 OFFENSIVE REBOUND ,PLAYER1628386,action135
21.0 </> 22.0,Made Shot </> Foul,PT10M29.00S </> PT10M29.00S,Allen 1' Turnaround Hook Shot (2 PTS) </> Gortat S.FOUL (P1.T1) (N.Buchert),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628386.0 </> 101162.0,Allen </> Gortat,J. Allen </> M. Gortat,10.0 </> 0.0,2 </> ,8 </> ,1.0 </> 0.0,Made </> ,Turnaround Hook Shot </> Shooting,1610612751.0 </> 1610612746.0,BKN </> LAC,1.0 </> 1.0,-5.0 </> 0.0,12.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/21/72754db4-9033-289d-56e0-193cb18b8c5d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/22/c89efb14-07e1-7911-38ee-cb8e12fcb917_1280x720.mp4,32257 </> 32258,train-32257 </> train-32258,PLAYER1628386 1' Turnaround Hook Shot  </> PLAYER101162 S.FOUL ,PLAYER1628386 </> PLAYER101162,action86 </> action18
26.0,Made Shot,PT10M20.00S,Gortat 3' Cutting Layup Shot (4 PTS) (Gallinari 1 AST),1.0,v,1.0,101162.0,Gortat,M. Gortat,13.0,4,9,3.0,Made,Cutting Layup Shot,1610612746.0,LAC,1.0,23.0,22.0,https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/26/9a2f6d1b-d596-7d1c-6542-c75da926dd6b_1280x720.mp4,32259,train-32259,PLAYER101162 3' Cutting Layup Shot (PLAYER201568 AST),PLAYER101162 PLAYER201568,action46
28.0,Made Shot,PT10M07.00S,Harris 3' Driving Layup (2 PTS) (Dudley 1 AST),1.0,h,1.0,203925.0,Harris,J. Harris,15.0,4,11,3.0,Made,Driving Layup Shot,1610612751.0,BKN,1.0,18.0,21.0,https://videos.nba.com/nba/pbp/media/2018/11/17/0021800224/28/202ee596-d95e-0d31-5911-bdf3ff23503f_1280x720.mp4,32260,train-32260,PLAYER203925 3' Driving Layup (PLAYER201162 AST),PLAYER203925 PLAYER201162,action53
