actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Whiteside vs. McGee: Tip to Richardson,0.0,h,1.0,202355.0,Whiteside,H. Whiteside,0.0,,,0.0,,,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/4/67e95b50-c712-bb21-7002-6b21eadc7008_1280x720.mp4,32550,train-32550,Jump PLAYER1628366 PLAYER202355 vs. PLAYER201580: Tip to PLAYER1626196,PLAYER1628366 PLAYER202355 PLAYER201580 PLAYER1626196,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M39.00S </> PT11M35.00S,MISS Richardson 16' Step Back Jump Shot </> McGee REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626196.0 </> 201580.0,Richardson </> McGee,J. Richardson </> J. McGee,0.0 </> 0.0, </> , </> ,16.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612748.0 </> 1610612747.0,MIA </> LAL,1.0 </> 1.0,6.0 </> 0.0,157.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/7/f36670b0-610a-6d39-bbe5-29b5b138cfa7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/8/f1aba235-63cd-da82-7a8a-b6c5ea53bc1a_1280x720.mp4,32551 </> 32552,train-32551 </> train-32552,MISS PLAYER1626196 16' Step Back Jump Shot </> PLAYER201580 DEFENSIVE REBOUND ,PLAYER1626196 </> PLAYER201580,action126 </> action135
9.0,Made Shot,PT11M25.00S,Kuzma 2' Cutting Layup Shot (2 PTS) (James 1 AST),1.0,v,1.0,1628398.0,Kuzma,K. Kuzma,2.0,2,0,2.0,Made,Cutting Layup Shot,1610612747.0,LAL,1.0,11.0,11.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/9/ae017e66-8ecd-0bce-ddf6-ac138dca0d73_1280x720.mp4,32553,train-32553,PLAYER1628398 2' Cutting Layup Shot (PLAYER2544 AST),PLAYER1628398 PLAYER2544,action46
11.0,Missed Shot,PT11M11.00S,MISS McGruder 2' Driving Layup,1.0,h,1.0,203585.0,McGruder,R. McGruder,0.0,,,2.0,Missed,Driving Layup Shot,1610612748.0,MIA,1.0,19.0,4.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/11/ae12fd0b-3cca-3ade-7916-2eca29331e29_1280x720.mp4,32554,train-32554,MISS PLAYER203585 2' Driving Layup,PLAYER203585,action99
14.0,Turnover,PT11M09.00S,Ellington Bad Pass Turnover (P1.T1),0.0,h,1.0,201961.0,Ellington,W. Ellington,0.0,,,0.0,,Bad Pass,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/14/9b089307-039f-c44c-ed84-201723a963f0_1280x720.mp4,32555,train-32555,PLAYER201961 Bad Pass Turnover ,PLAYER201961,action143
16.0,Made Shot,PT11M03.00S,James 1' Running Dunk (2 PTS) (Ball 1 AST),1.0,v,1.0,2544.0,James,L. James,4.0,4,0,1.0,Made,Running Dunk Shot,1610612747.0,LAL,1.0,5.0,7.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/16/fd2cadbc-4e8e-74df-5edc-b521bb74aa19_1280x720.mp4,32556,train-32556,PLAYER2544 1' Running Dunk (PLAYER1628366 AST),PLAYER2544 PLAYER1628366,action72
18.0,Made Shot,PT10M47.00S,Ellington 1' Driving Finger Roll Layup (2 PTS),1.0,h,1.0,201961.0,Ellington,W. Ellington,6.0,4,2,1.0,Made,Driving Finger Roll Layup Shot,1610612748.0,MIA,1.0,12.0,8.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/18/9402fbb2-5681-f7e0-f06b-2cc39596a9ed_1280x720.mp4,32557,train-32557,PLAYER201961 1' Driving Finger Roll Layup ,PLAYER201961,action49
19.0,Made Shot,PT10M36.00S,Ingram Cutting Layup Shot (2 PTS) (McGee 1 AST),1.0,v,1.0,1627742.0,Ingram,B. Ingram,8.0,6,2,0.0,Made,Cutting Layup Shot,1610612747.0,LAL,1.0,3.0,2.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/19/2991c094-b072-d13e-0751-6ce1540737ac_1280x720.mp4,32558,train-32558,PLAYER1627742 Cutting Layup Shot (PLAYER201580 AST),PLAYER1627742 PLAYER201580,action46
21.0,Made Shot,PT10M21.00S,Richardson 1' Driving Finger Roll Layup (2 PTS),1.0,h,1.0,1626196.0,Richardson,J. Richardson,10.0,6,4,1.0,Made,Driving Finger Roll Layup Shot,1610612748.0,MIA,1.0,-10.0,11.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/21/aed6fd9d-0e56-50f5-ae78-f9e068a82204_1280x720.mp4,32559,train-32559,PLAYER1626196 1' Driving Finger Roll Layup ,PLAYER1626196,action49
22.0 </> 23.0,Missed Shot </> Offensive Rebound,PT10M10.00S </> PT10M08.00S,MISS Kuzma 1' Driving Hook Shot </> Ball REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,1628398.0 </> 1628366.0,Kuzma </> Ball,K. Kuzma </> L. Ball,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Driving Hook Shot </> Unknown,1610612747.0 </> 1610612747.0,LAL </> LAL,1.0 </> 1.0,6.0 </> 0.0,10.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/22/f3f88758-ae7b-f99e-8974-0e39ebd3e581_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/18/0021800235/23/dd7e1bbc-db11-3430-a6ab-e0699e6b85f4_1280x720.mp4,32560 </> 32561,train-32560 </> train-32561,MISS PLAYER1628398 1' Driving Hook Shot </> PLAYER1628366 OFFENSIVE REBOUND ,PLAYER1628398 </> PLAYER1628366,action98 </> action135
