actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Aldridge vs. Durant: Tip to DeRozan,0.0,h,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/4/ae0d1676-3006-c7c2-4b6d-f046aa50db6b_1280x720.mp4,27882,train-27882,Jump Ball PLAYER200746 vs. PLAYER201142: Tip to PLAYER201942,PLAYER200746 PLAYER201142 PLAYER201942,action41
7.0,Made Shot,PT11M39.00S,Aldridge 9' Turnaround Hook Shot (2 PTS),1.0,h,1.0,200746.0,Aldridge,L. Aldridge,2.0,0,2,9.0,Made,Turnaround Hook Shot,1610612759.0,SAS,1.0,-11.0,94.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/7/c8952295-e80a-0960-0600-7d1da9accae5_1280x720.mp4,27883,train-27883,PLAYER200746 9' Turnaround Hook Shot ,PLAYER200746,action86
8.0 </> 9.0,Missed Shot </> Defensive Rebound,PT11M24.00S </> PT11M21.00S,MISS Iguodala 25' 3PT Jump Shot </> Aldridge REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,2738.0 </> 200746.0,Iguodala </> Aldridge,A. Iguodala </> L. Aldridge,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612759.0,GSW </> SAS,1.0 </> 1.0,-74.0 </> 0.0,241.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/8/5d8b4e0a-ae93-7c23-29f6-879e8a061091_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/9/c40040db-5aba-2948-aaec-d71b77efc726_1280x720.mp4,27884 </> 27885,train-27884 </> train-27885,MISS PLAYER2738 25' 3PT Jump Shot </> PLAYER200746 DEFENSIVE REBOUND ,PLAYER2738 </> PLAYER200746,action109 </> action135
10.0 </> 12.0,Missed Shot </> Foul,PT11M16.00S </> PT11M16.00S,MISS Forbes 13' Pullup Jump Shot </> Cunningham P.FOUL (P1.T1) (M.Ervin),1.0 </> 0.0,h </> h,1.0 </> 1.0,1627854.0 </> 201967.0,Forbes </> Cunningham,B. Forbes </> D. Cunningham,0.0 </> 0.0, </> , </> ,13.0 </> 0.0,Missed </> ,Pullup Jump shot </> Personal,1610612759.0 </> 1610612759.0,SAS </> SAS,1.0 </> 1.0,122.0 </> 0.0,32.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/10/5ac6f23a-aafa-8a72-7d4c-6d8c078feb26_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/12/020c72e8-89b3-7c0c-5799-a1380f8a5e04_1280x720.mp4,27886 </> 27887,train-27886 </> train-27887,MISS PLAYER1627854 13' Pullup Jump Shot </> PLAYER201967 P.FOUL ,PLAYER1627854 </> PLAYER201967,action111 </> action16
14.0 </> 15.0,Missed Shot </> Defensive Rebound,PT11M05.00S </> PT11M01.00S,MISS Thompson 15' Pullup Jump Shot </> Aldridge REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,202691.0 </> 200746.0,Thompson </> Aldridge,K. Thompson </> L. Aldridge,0.0 </> 0.0, </> , </> ,15.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612744.0 </> 1610612759.0,GSW </> SAS,1.0 </> 1.0,147.0 </> 0.0,3.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/14/23349c8b-fe22-298e-88a6-1a18f103ee18_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/15/480f2f94-2391-5154-b704-fae590ad102b_1280x720.mp4,27888 </> 27889,train-27888 </> train-27889,MISS PLAYER202691 15' Pullup Jump Shot </> PLAYER200746 DEFENSIVE REBOUND ,PLAYER202691 </> PLAYER200746,action111 </> action135
16.0,Made Shot,PT10M43.00S,Gay 25' 3PT Jump Shot (3 PTS) (Forbes 1 AST),1.0,h,1.0,200752.0,Gay,R. Gay,5.0,0,5,25.0,Made,Jump Shot,1610612759.0,SAS,1.0,189.0,164.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/16/4ab12cb6-f528-580f-befb-f3563d868f8b_1280x720.mp4,27890,train-27890,PLAYER200752 25' 3PT Jump Shot (PLAYER1627854 AST),PLAYER200752 PLAYER1627854,action63
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M21.00S </> PT10M18.00S,MISS Durant 11' Pullup Jump Shot </> Aldridge REBOUND (Off:0 Def:3),1.0 </> 0.0,v </> h,1.0 </> 1.0,201142.0 </> 200746.0,Durant </> Aldridge,K. Durant </> L. Aldridge,0.0 </> 0.0, </> , </> ,11.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612744.0 </> 1610612759.0,GSW </> SAS,1.0 </> 1.0,23.0 </> 0.0,103.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/18/9170bacc-ed0d-d10c-baa8-f731e55c6fc5_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/19/1fceb573-ffdd-8aea-47c3-c2aac6dc2f2c_1280x720.mp4,27891 </> 27892,train-27891 </> train-27892,MISS PLAYER201142 11' Pullup Jump Shot </> PLAYER200746 DEFENSIVE REBOUND ,PLAYER201142 </> PLAYER200746,action111 </> action135
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT10M03.00S </> PT09M59.00S,MISS Cunningham 3PT Jump Shot </> Jerebko REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201967.0 </> 201973.0,Cunningham </> Jerebko,D. Cunningham </> J. Jerebko,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612744.0,SAS </> GSW,1.0 </> 1.0,-232.0 </> 0.0,12.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/20/e1a57827-f57a-8b43-dfa7-8404ad0a1fdc_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/21/b51cdf7b-71d2-3b90-f0da-e77dd8c0e7f0_1280x720.mp4,27893 </> 27894,train-27893 </> train-27894,MISS PLAYER201967 3PT Jump Shot </> PLAYER201973 DEFENSIVE REBOUND ,PLAYER201967 </> PLAYER201973,action109 </> action135
22.0,Foul,PT09M56.00S,Forbes S.FOUL (P1.T2) (R.Garretson),0.0,h,1.0,1627854.0,Forbes,B. Forbes,0.0,,,0.0,,Shooting,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/22/48977478-ddd6-e104-5156-1a65ba1af5cd_1280x720.mp4,27895,train-27895,PLAYER1627854 S.FOUL ,PLAYER1627854,action18
26.0,Made Shot,PT09M43.00S,Gay 11' Pullup Jump Shot (5 PTS) (Forbes 2 AST),1.0,h,1.0,200752.0,Gay,R. Gay,9.0,2,7,11.0,Made,Pullup Jump shot,1610612759.0,SAS,1.0,114.0,6.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/26/a52336ce-5998-fddc-2045-6ae32dfe9b1d_1280x720.mp4,27896,train-27896,PLAYER200752 11' Pullup Jump Shot (PLAYER1627854 AST),PLAYER200752 PLAYER1627854,action65
28.0,Made Shot,PT09M27.00S,Thompson 12' Pullup Jump Shot (2 PTS),1.0,v,1.0,202691.0,Thompson,K. Thompson,11.0,4,7,12.0,Made,Pullup Jump shot,1610612744.0,GSW,1.0,22.0,119.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/28/0e73374c-d80e-0f8c-a26c-5f69a9cde045_1280x720.mp4,27897,train-27897,PLAYER202691 12' Pullup Jump Shot ,PLAYER202691,action65
29.0,Made Shot,PT09M14.00S,Cunningham 24' 3PT Jump Shot (3 PTS) (DeRozan 1 AST),1.0,h,1.0,201967.0,Cunningham,D. Cunningham,14.0,4,10,24.0,Made,Jump Shot,1610612759.0,SAS,1.0,-235.0,4.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/29/3f84f379-58c1-4508-cdcd-4bcc85670520_1280x720.mp4,27898,train-27898,PLAYER201967 24' 3PT Jump Shot (PLAYER201942 AST),PLAYER201967 PLAYER201942,action63
31.0,Missed Shot,PT08M54.00S,MISS Looney 1' Layup,1.0,v,1.0,1626172.0,Looney,K. Looney,0.0,,,1.0,Missed,Layup Shot,1610612744.0,GSW,1.0,1.0,14.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/31/59489732-a785-4d07-40c3-28050f81fd8d_1280x720.mp4,27899,train-27899,MISS PLAYER1626172 1' Layup,PLAYER1626172,action110
32.0 </> 33.0,Offensive Rebound </> Made Shot,PT08M50.00S </> PT08M50.00S,Looney REBOUND (Off:1 Def:0) </> Looney 1' Putback Layup (2 PTS),0.0 </> 1.0,v </> v,1.0 </> 1.0,1626172.0 </> 1626172.0,Looney </> Looney,K. Looney </> K. Looney,0.0 </> 16.0, </> 6, </> 10,0.0 </> 1.0, </> Made,Unknown </> Putback Layup Shot,1610612744.0 </> 1610612744.0,GSW </> GSW,1.0 </> 1.0,0.0 </> 0.0,0.0 </> -6.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/32/f6d373e5-35f0-9471-1bcc-0e7bd04b6082_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/33/664d997b-b6ac-e2a4-d0e7-dff8ca5da6a8_1280x720.mp4,27900 </> 27901,train-27900 </> train-27901,PLAYER1626172 OFFENSIVE REBOUND  </> PLAYER1626172 1' Putback Layup ,PLAYER1626172 </> PLAYER1626172,action135 </> action67
34.0 </> 35.0,Missed Shot </> Defensive Rebound,PT08M35.00S </> PT08M31.00S,MISS Forbes 25' 3PT Jump Shot </> Durant REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627854.0 </> 201142.0,Forbes </> Durant,B. Forbes </> K. Durant,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612744.0,SAS </> GSW,1.0 </> 1.0,-164.0 </> 0.0,193.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/34/e45f9f30-9340-8b11-e156-dee709450c6c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/35/62fbca67-f818-c735-c04a-64afd36c7356_1280x720.mp4,27902 </> 27903,train-27902 </> train-27903,MISS PLAYER1627854 25' 3PT Jump Shot </> PLAYER201142 DEFENSIVE REBOUND ,PLAYER1627854 </> PLAYER201142,action109 </> action135
36.0 </> 38.0,Missed Shot </> Defensive Rebound,PT08M24.00S </> PT08M20.00S,MISS Looney 3' Layup </> Gay REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626172.0 </> 200752.0,Looney </> Gay,K. Looney </> R. Gay,0.0 </> 0.0, </> , </> ,3.0 </> 0.0,Missed </> ,Layup Shot </> Unknown,1610612744.0 </> 1610612759.0,GSW </> SAS,1.0 </> 1.0,-21.0 </> 0.0,25.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/36/27bb1ade-6cb2-f1aa-79dc-64f20fc5522f_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/18/0021800238/38/ae11566b-5b27-c3a6-83e9-1c1f59fabac7_1280x720.mp4,27904 </> 27905,train-27904 </> train-27905,MISS PLAYER1626172 3' Layup </> PLAYER200752 DEFENSIVE REBOUND ,PLAYER1626172 </> PLAYER200752,action110 </> action135
