actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Embiid vs. Ayton: Tip to Ariza,0.0,h,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/4/c6d3469f-02f4-e5f4-5ee8-3b5358ae5cb8_1280x720.mp4,28911,train-28911,Jump Ball PLAYER203954 vs. PLAYER1629028: Tip to PLAYER2772,PLAYER203954 PLAYER1629028 PLAYER2772,action41
7.0,Made Shot,PT11M44.00S,Ayton 1' Alley Oop Dunk (2 PTS) (Booker 1 AST),1.0,v,1.0,1629028.0,Ayton,D. Ayton,2.0,2,0,1.0,Made,Alley Oop Dunk Shot,1610612756.0,PHX,1.0,-5.0,5.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/7/d7f9ad87-b226-1678-e8f5-90fcdd388439_1280x720.mp4,28912,train-28912,PLAYER1629028 1' Alley Oop Dunk (PLAYER1626164 AST),PLAYER1629028 PLAYER1626164,action42
9.0,Made Shot,PT11M27.00S,Butler 13' Pullup Jump Shot (2 PTS) (Simmons 1 AST),1.0,h,1.0,202710.0,Butler,J. Butler,4.0,2,2,13.0,Made,Pullup Jump shot,1610612755.0,PHI,1.0,93.0,85.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/9/019a6d45-1364-45d3-19ae-910c4810ce95_1280x720.mp4,28913,train-28913,PLAYER202710 13' Pullup Jump Shot (PLAYER1627732 AST),PLAYER202710 PLAYER1627732,action65
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M08.00S </> PT11M05.00S,MISS Booker 11' Driving Floating Bank Jump Shot </> Simmons REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626164.0 </> 1627732.0,Booker </> Simmons,D. Booker </> B. Simmons,0.0 </> 0.0, </> , </> ,11.0 </> 0.0,Missed </> ,Driving Floating Bank Jump Shot </> Unknown,1610612756.0 </> 1610612755.0,PHX </> PHI,1.0 </> 1.0,-105.0 </> 0.0,26.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/11/d92b76af-2cbe-07b5-b1fa-a6504630c862_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/12/161b9eb1-d6d1-d6b2-7e67-a495277edece_1280x720.mp4,28914 </> 28915,train-28914 </> train-28915,MISS PLAYER1626164 11' Driving Floating Bank Jump Shot </> PLAYER1627732 DEFENSIVE REBOUND ,PLAYER1626164 </> PLAYER1627732,action96 </> action135
13.0,Foul,PT11M04.00S,Ariza Personal Take Foul (P1.T1) (J.Goldenberg),0.0,v,1.0,2772.0,Ariza,T. Ariza,0.0,,,0.0,,Personal Take,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/13/5e4857ff-d1ce-7590-6913-dd645c123cbf_1280x720.mp4,28916,train-28916,PLAYER2772 Personal Take Foul ,PLAYER2772,action17
15.0,Turnover,PT10M57.00S,Embiid Out of Bounds Lost Ball Turnover (P1.T1),0.0,h,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,Out of Bounds Lost Ball Turnover,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/15/39be192d-aee3-9e26-4d4c-22384f3246b8_1280x720.mp4,28917,train-28917,PLAYER203954 Out of Bounds Lost Ball Turnover ,PLAYER203954,action158
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M36.00S </> PT10M34.00S,MISS Ayton 2' Cutting Layup Shot </> Embiid REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629028.0 </> 203954.0,Ayton </> Embiid,D. Ayton </> J. Embiid,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Cutting Layup Shot </> Unknown,1610612756.0 </> 1610612755.0,PHX </> PHI,1.0 </> 1.0,22.0 </> 0.0,1.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/16/55cfad97-f422-a551-b694-101477c539d9_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/17/0fa96257-a7e7-9a1c-9091-a267160e24fd_1280x720.mp4,28918 </> 28919,train-28918 </> train-28919,MISS PLAYER1629028 2' Cutting Layup Shot </> PLAYER203954 DEFENSIVE REBOUND ,PLAYER1629028 </> PLAYER203954,action92 </> action135
18.0,Foul,PT10M24.00S,Bridges S.FOUL (P1.T2) (J.Goldenberg),0.0,v,1.0,1628969.0,Bridges,M. Bridges,0.0,,,0.0,,Shooting,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/18/c215693b-407f-a343-1281-20eb1f04dde3_1280x720.mp4,28920,train-28920,PLAYER1628969 S.FOUL ,PLAYER1628969,action18
23.0,Defensive Rebound,PT10M21.00S,Ayton REBOUND (Off:0 Def:1),0.0,v,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,Unknown,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/23/bf2d0503-2f5b-5994-bf78-b8fdd2795611_1280x720.mp4,28921,train-28921,PLAYER1629028 DEFENSIVE REBOUND ,PLAYER1629028,action135
24.0,Made Shot,PT10M12.00S,Ayton 17' Jump Shot (4 PTS) (Warren 1 AST),1.0,v,1.0,1629028.0,Ayton,D. Ayton,6.0,4,2,17.0,Made,Jump Shot,1610612756.0,PHX,1.0,-38.0,170.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/24/73e4d22e-044b-92b0-f773-1ca0bb38cccb_1280x720.mp4,28922,train-28922,PLAYER1629028 17' Jump Shot (PLAYER203933 AST),PLAYER1629028 PLAYER203933,action63
26.0,Made Shot,PT10M00.00S,Redick 23' Step Back Jump Shot (2 PTS),1.0,h,1.0,200755.0,Redick,J. Redick,8.0,4,4,23.0,Made,Step Back Jump shot,1610612755.0,PHI,1.0,1.0,226.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/26/ae53c863-2187-f0ff-5eba-ddfcc2abf0eb_1280x720.mp4,28923,train-28923,PLAYER200755 23' Step Back Jump Shot ,PLAYER200755,action80
27.0,Made Shot,PT09M47.00S,Booker 27' 3PT Jump Shot (3 PTS),1.0,v,1.0,1626164.0,Booker,D. Booker,11.0,7,4,27.0,Made,Jump Shot,1610612756.0,PHX,1.0,-134.0,233.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/27/ccec815f-fa31-74c9-35bf-3ce795488558_1280x720.mp4,28924,train-28924,PLAYER1626164 27' 3PT Jump Shot ,PLAYER1626164,action63
28.0,Turnover,PT09M33.00S,Simmons Bad Pass Turnover (P1.T2),0.0,h,1.0,1627732.0,Simmons,B. Simmons,0.0,,,0.0,,Bad Pass,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/19/0021800242/28/da452534-7ed9-9c09-23d1-038143beeeb6_1280x720.mp4,28925,train-28925,PLAYER1627732 Bad Pass Turnover ,PLAYER1627732,action143
