actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,,0.0,h,1.0,202355.0,Whiteside,H. Whiteside,0.0,,,0.0,,,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/4/0f70f93d-0aaa-7a99-4fe4-a2580c9648ee_1280x720.mp4,16902,train-16902,,,action41
7.0,Turnover,PT11M46.00S,McGruder Bad Pass Turnover (P1.T1),0.0,h,1.0,203585.0,McGruder,R. McGruder,0.0,,,0.0,,Bad Pass,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/7/690e9421-871c-2012-d96b-a829b5ac7064_1280x720.mp4,16903,train-16903,PLAYER203585 Bad Pass Turnover ,PLAYER203585,action143
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M41.00S </> PT11M37.00S,MISS Russell 25' 3PT Jump Shot </> Whiteside REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626156.0 </> 202355.0,Russell </> Whiteside,D. Russell </> H. Whiteside,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612748.0,BKN </> MIA,1.0 </> 1.0,-127.0 </> 0.0,220.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/9/78dfcfc3-735c-add4-39d8-b13540f00d16_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/10/f46d0c55-4eb0-778c-c071-2d2a11496b93_1280x720.mp4,16904 </> 16905,train-16904 </> train-16905,MISS PLAYER1626156 25' 3PT Jump Shot </> PLAYER202355 DEFENSIVE REBOUND ,PLAYER1626156 </> PLAYER202355,action109 </> action135
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M32.00S </> PT11M29.00S,MISS Richardson 24' 3PT Jump Shot </> Russell REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626196.0 </> 1626156.0,Richardson </> Russell,J. Richardson </> D. Russell,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612751.0,MIA </> BKN,1.0 </> 1.0,-236.0 </> 0.0,16.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/11/1e3553e9-ab1f-7e96-cdcb-07a8bb3364a3_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/12/ab451b16-5b57-bece-c3bd-77a0b764554d_1280x720.mp4,16906 </> 16907,train-16906 </> train-16907,MISS PLAYER1626196 24' 3PT Jump Shot </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER1626196 </> PLAYER1626156,action109 </> action135
13.0,Made Shot,PT11M16.00S,Russell 26' 3PT Pullup Jump Shot (3 PTS),1.0,v,1.0,1626156.0,Russell,D. Russell,3.0,3,0,26.0,Made,Pullup Jump shot,1610612751.0,BKN,1.0,128.0,221.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/13/580eb5f5-61c2-7eae-6e12-1367eb5c45b7_1280x720.mp4,16908,train-16908,PLAYER1626156 26' 3PT Pullup Jump Shot ,PLAYER1626156,action65
14.0 </> 15.0,Missed Shot </> Offensive Rebound,PT11M01.00S </> PT10M57.00S,MISS Jones Jr. 1' Cutting Layup Shot </> Jones Jr. REBOUND (Off:1 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,1627884.0 </> 1627884.0,Jones Jr. </> Jones Jr.,D. Jones Jr. </> D. Jones Jr.,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Cutting Layup Shot </> Unknown,1610612748.0 </> 1610612748.0,MIA </> MIA,1.0 </> 1.0,9.0 </> 0.0,4.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/14/afcc811c-eafc-bf97-9d22-f8c6fa21ce49_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/15/4ca1a729-b809-f847-a576-5fe099bcd8dd_1280x720.mp4,16909 </> 16910,train-16909 </> train-16910,MISS PLAYER1627884 1' Cutting Layup Shot </> PLAYER1627884 OFFENSIVE REBOUND ,PLAYER1627884 </> PLAYER1627884,action92 </> action135
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M55.00S </> PT10M51.00S,MISS Ellington 25' 3PT Jump Shot </> Russell REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,201961.0 </> 1626156.0,Ellington </> Russell,W. Ellington </> D. Russell,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612751.0,MIA </> BKN,1.0 </> 1.0,11.0 </> 0.0,251.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/16/1f7f4344-c326-2e78-9ee1-f6decd2b4f0f_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/17/414d7d0d-19fa-7c5b-668c-2e07a051f5ab_1280x720.mp4,16911 </> 16912,train-16911 </> train-16912,MISS PLAYER201961 25' 3PT Jump Shot </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER201961 </> PLAYER1626156,action109 </> action135
18.0,Made Shot,PT10M34.00S,Russell 26' 3PT Jump Shot (6 PTS) (Allen 1 AST),1.0,v,1.0,1626156.0,Russell,D. Russell,6.0,6,0,26.0,Made,Jump Shot,1610612751.0,BKN,1.0,136.0,220.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/18/0c2cf520-5518-34a5-f44c-371b24af4a9c_1280x720.mp4,16913,train-16913,PLAYER1626156 26' 3PT Jump Shot (PLAYER1628386 AST),PLAYER1626156 PLAYER1628386,action63
20.0 </> 22.0,Missed Shot </> Defensive Rebound,PT10M11.00S </> PT10M08.00S,MISS Whiteside 1' Driving Layup </> Dudley REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202355.0 </> 201162.0,Whiteside </> Dudley,H. Whiteside </> J. Dudley,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612748.0 </> 1610612751.0,MIA </> BKN,1.0 </> 1.0,9.0 </> 0.0,5.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/20/5f40e7a5-94a5-b371-7e18-b372ef14bb37_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/22/2ccabc7e-ff49-8488-7de0-faedf890b6b5_1280x720.mp4,16914 </> 16915,train-16914 </> train-16915,MISS PLAYER202355 1' Driving Layup </> PLAYER201162 DEFENSIVE REBOUND ,PLAYER202355 </> PLAYER201162,action99 </> action135
23.0,Turnover,PT10M06.00S,Russell Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0,v,1.0,1626156.0,Russell,D. Russell,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/23/a79b5dd6-878a-d3d2-7f3d-5e69c14e5497_1280x720.mp4,16916,train-16916,PLAYER1626156 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER1626156,action157
24.0 </> 25.0,Missed Shot </> Offensive Rebound,PT09M52.00S </> PT09M52.00S,MISS McGruder 3PT Jump Shot </> Whiteside REBOUND (Off:1 Def:1),1.0 </> 0.0,h </> h,1.0 </> 1.0,203585.0 </> 202355.0,McGruder </> Whiteside,R. McGruder </> H. Whiteside,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612748.0,MIA </> MIA,1.0 </> 1.0,-225.0 </> 0.0,37.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/24/5e729d80-5dfe-a3e7-25a4-4a2ae5e1ae23_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/25/50c83d54-b86f-4245-cf7e-139fb78618a0_1280x720.mp4,16917 </> 16918,train-16917 </> train-16918,MISS PLAYER203585 3PT Jump Shot </> PLAYER202355 OFFENSIVE REBOUND ,PLAYER203585 </> PLAYER202355,action109 </> action135
26.0,Foul,PT09M52.00S,Dudley P.FOUL (P1.T1) (J.Orr),0.0,v,1.0,201162.0,Dudley,J. Dudley,0.0,,,0.0,,Personal,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/26/e5f6dd5f-fd5f-d363-dcd1-ca26698c9978_1280x720.mp4,16919,train-16919,PLAYER201162 P.FOUL ,PLAYER201162,action16
28.0 </> 29.0,Missed Shot </> Defensive Rebound,PT09M44.00S </> PT09M38.00S,MISS Richardson 15' Pullup Jump Shot </> Allen REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626196.0 </> 1628386.0,Richardson </> Allen,J. Richardson </> J. Allen,0.0 </> 0.0, </> , </> ,15.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612748.0 </> 1610612751.0,MIA </> BKN,1.0 </> 1.0,-93.0 </> 0.0,118.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/28/18d78415-ffac-ed74-8dd0-1e249475e141_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/29/a031e0b7-8835-e6f2-4d91-19753f49a33c_1280x720.mp4,16920 </> 16921,train-16920 </> train-16921,MISS PLAYER1626196 15' Pullup Jump Shot </> PLAYER1628386 DEFENSIVE REBOUND ,PLAYER1626196 </> PLAYER1628386,action111 </> action135
30.0 </> 31.0,Missed Shot </> Defensive Rebound,PT09M26.00S </> PT09M22.00S,MISS Crabbe 27' 3PT Jump Shot </> Whiteside REBOUND (Off:1 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,203459.0 </> 202355.0,Crabbe </> Whiteside,A. Crabbe </> H. Whiteside,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612748.0,BKN </> MIA,1.0 </> 1.0,-80.0 </> 0.0,253.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/30/80d3f2e4-d73d-bb92-3353-5170f38ae63d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/31/11213ea0-6d5d-97a1-3989-8ca1b938f7af_1280x720.mp4,16922 </> 16923,train-16922 </> train-16923,MISS PLAYER203459 27' 3PT Jump Shot </> PLAYER202355 DEFENSIVE REBOUND ,PLAYER203459 </> PLAYER202355,action109 </> action135
32.0 </> 33.0,Missed Shot </> Defensive Rebound,PT09M16.00S </> PT09M12.00S,MISS Whiteside 4' Jump Shot </> Crabbe REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202355.0 </> 203459.0,Whiteside </> Crabbe,H. Whiteside </> A. Crabbe,0.0 </> 0.0, </> , </> ,4.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612751.0,MIA </> BKN,1.0 </> 1.0,-29.0 </> 0.0,31.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/32/223c68e7-4e85-724f-4727-2309adf5a1fa_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/33/cd05b48a-6a24-21ee-90b0-0c593efec84e_1280x720.mp4,16924 </> 16925,train-16924 </> train-16925,MISS PLAYER202355 4' Jump Shot </> PLAYER203459 DEFENSIVE REBOUND ,PLAYER202355 </> PLAYER203459,action109 </> action135
34.0 </> 35.0,Missed Shot </> Offensive Rebound,PT09M06.00S </> PT09M04.00S,MISS Dudley 27' 3PT Jump Shot </> Allen REBOUND (Off:1 Def:1),1.0 </> 0.0,v </> v,1.0 </> 1.0,201162.0 </> 1628386.0,Dudley </> Allen,J. Dudley </> J. Allen,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612751.0,BKN </> BKN,1.0 </> 1.0,99.0 </> 0.0,247.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/34/fd1e5e79-cc19-cfd0-ef72-6be6654f3dee_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/35/bb3058fb-f96d-4d51-e16a-74ac756b6967_1280x720.mp4,16926 </> 16927,train-16926 </> train-16927,MISS PLAYER201162 27' 3PT Jump Shot </> PLAYER1628386 OFFENSIVE REBOUND ,PLAYER201162 </> PLAYER1628386,action109 </> action135
36.0,Foul,PT09M04.00S,Whiteside S.FOUL (P1.T1) (C.Washington),0.0,h,1.0,202355.0,Whiteside,H. Whiteside,0.0,,,0.0,,Shooting,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/36/9f013c6a-2935-c491-40fe-5aded9d18a78_1280x720.mp4,16928,train-16928,PLAYER202355 S.FOUL ,PLAYER202355,action18
40.0 </> 42.0,Missed Shot </> Defensive Rebound,PT08M54.00S </> PT08M49.00S,MISS Jones Jr. 1' Driving Layup </> Russell REBOUND (Off:0 Def:3),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627884.0 </> 1626156.0,Jones Jr. </> Russell,D. Jones Jr. </> D. Russell,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612748.0 </> 1610612751.0,MIA </> BKN,1.0 </> 1.0,10.0 </> 0.0,8.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/40/ff4d8e98-106f-2582-b1f8-be02c144c4d0_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/42/6de7edf5-acfc-f89d-67ac-33bf95f56fd8_1280x720.mp4,16929 </> 16930,train-16929 </> train-16930,MISS PLAYER1627884 1' Driving Layup </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER1627884 </> PLAYER1626156,action99 </> action135
43.0 </> 44.0,Missed Shot </> Defensive Rebound,PT08M42.00S </> PT08M39.00S,MISS Russell 17' Pullup Jump Shot </> Jones Jr. REBOUND (Off:1 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626156.0 </> 1627884.0,Russell </> Jones Jr.,D. Russell </> D. Jones Jr.,0.0 </> 0.0, </> , </> ,17.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612751.0 </> 1610612748.0,BKN </> MIA,1.0 </> 1.0,2.0 </> 0.0,168.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/43/87936497-f1f4-e501-69af-bb53e180f39d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/44/48efca88-feb2-82fb-27d5-16e6ecd4c2f0_1280x720.mp4,16931 </> 16932,train-16931 </> train-16932,MISS PLAYER1626156 17' Pullup Jump Shot </> PLAYER1627884 DEFENSIVE REBOUND ,PLAYER1626156 </> PLAYER1627884,action111 </> action135
45.0,Made Shot,PT08M30.00S,McGruder 7' Driving Floating Bank Jump Shot (2 PTS),1.0,h,1.0,203585.0,McGruder,R. McGruder,10.0,8,2,7.0,Made,Driving Floating Bank Jump Shot,1610612748.0,MIA,1.0,-49.0,46.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/45/270ea933-ba2a-d009-e35a-a63d6555a343_1280x720.mp4,16933,train-16933,PLAYER203585 7' Driving Floating Bank Jump Shot ,PLAYER203585,action50
46.0,Foul,PT08M24.00S,Richardson P.FOUL (P1.T2) (J.Orr),0.0,h,1.0,1626196.0,Richardson,J. Richardson,0.0,,,0.0,,Personal,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/46/45ec577d-4f8b-f272-766d-2c058a84134d_1280x720.mp4,16934,train-16934,PLAYER1626196 P.FOUL ,PLAYER1626196,action16
48.0 </> 49.0,Missed Shot </> Defensive Rebound,PT08M18.00S </> PT08M16.00S,MISS Harris 26' 3PT Jump Shot </> Jones Jr. REBOUND (Off:1 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,203925.0 </> 1627884.0,Harris </> Jones Jr.,J. Harris </> D. Jones Jr.,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612748.0,BKN </> MIA,1.0 </> 1.0,6.0 </> 0.0,255.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/48/dbdcf858-def0-e7e3-2bfd-68bd9bf6b1e1_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/20/0021800250/49/c02fba22-6c14-8631-764d-adec13fb403d_1280x720.mp4,16935 </> 16936,train-16935 </> train-16936,MISS PLAYER203925 26' 3PT Jump Shot </> PLAYER1627884 DEFENSIVE REBOUND ,PLAYER203925 </> PLAYER1627884,action109 </> action135
