actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Jordan vs. Allen: Tip to Russell,0.0,h,1.0,201599.0,Jordan,D. Jordan,0.0,,,0.0,,,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/4/48a75a99-7763-f754-ac28-9c8e1a72bb93_1280x720.mp4,20702,train-20702,Jump Ball PLAYER201599 vs. PLAYER1628386: Tip to PLAYER1626156,PLAYER201599 PLAYER1628386 PLAYER1626156,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M46.00S </> PT11M43.00S,MISS Russell 24' 3PT Jump Shot </> Doncic REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626156.0 </> 1629029.0,Russell </> Doncic,D. Russell </> L. Doncic,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612742.0,BKN </> DAL,1.0 </> 1.0,228.0 </> 0.0,84.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/7/a2d25e49-394a-d01b-42db-5eb2418e8189_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/8/b837ca1e-b747-d53e-8534-28e808ee583d_1280x720.mp4,20703 </> 20704,train-20703 </> train-20704,MISS PLAYER1626156 24' 3PT Jump Shot </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER1626156 </> PLAYER1629029,action109 </> action135
9.0 </> 10.0 </> 11.0,Missed Shot </> Offensive Rebound </> Missed Shot,PT11M30.00S </> PT11M28.00S </> PT11M27.00S,MISS Doncic 5' Cutting Layup Shot </> Doncic REBOUND (Off:1 Def:1) </> MISS Doncic 2' Putback Layup,1.0 </> 0.0 </> 1.0,h </> h </> h,1.0 </> 1.0 </> 1.0,1629029.0 </> 1629029.0 </> 1629029.0,Doncic </> Doncic </> Doncic,L. Doncic </> L. Doncic </> L. Doncic,0.0 </> 0.0 </> 0.0, </>  </> , </>  </> ,5.0 </> 0.0 </> 2.0,Missed </>  </> Missed,Cutting Layup Shot </> Unknown </> Putback Layup Shot,1610612742.0 </> 1610612742.0 </> 1610612742.0,DAL </> DAL </> DAL,1.0 </> 1.0 </> 1.0,14.0 </> 0.0 </> 14.0,52.0 </> 0.0 </> 9.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/9/90b20ff3-c0c6-def8-da0e-540cd181fa23_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/10/23213cb2-9e1d-bb7b-23e1-04eb136b6ee0_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/11/01a6ef71-12c7-e344-77bc-ff9ebef48331_1280x720.mp4,20705 </> 20706 </> 20707,train-20705 </> train-20706 </> train-20707,MISS PLAYER1629029 5' Cutting Layup Shot </> PLAYER1629029 OFFENSIVE REBOUND  </> MISS PLAYER1629029 2' Putback Layup,PLAYER1629029 </> PLAYER1629029 </> PLAYER1629029,action92 </> action135 </> action113
15.0,Foul,PT11M21.00S,Allen S.FOUL (P1.T1) (J.Phillips),0.0,v,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,Shooting,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/15/bc14a0e3-0ffd-9c40-fc59-1360fd50db62_1280x720.mp4,20708,train-20708,PLAYER1628386 S.FOUL ,PLAYER1628386,action18
19.0 </> 20.0,Missed Shot </> Defensive Rebound,PT11M14.00S </> PT11M12.00S,MISS Harris 25' 3PT Jump Shot </> Jordan REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203925.0 </> 201599.0,Harris </> Jordan,J. Harris </> D. Jordan,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612742.0,BKN </> DAL,1.0 </> 1.0,18.0 </> 0.0,253.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/19/10467f91-c8b6-3e4a-2af0-ce1ddcdd57dc_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/20/d9fac4b4-e59a-a0b6-67b4-faed5fa37305_1280x720.mp4,20709 </> 20710,train-20709 </> train-20710,MISS PLAYER2734 25' 3PT Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER2734 </> PLAYER201599,action109 </> action135
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT11M08.00S </> PT11M05.00S,MISS Finney-Smith 25' 3PT Jump Shot </> Russell REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627827.0 </> 1626156.0,Finney-Smith </> Russell,D. Finney-Smith </> D. Russell,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612751.0,DAL </> BKN,1.0 </> 1.0,-193.0 </> 0.0,163.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/21/9c62c6a3-c0aa-22e4-dc66-9fadd4cd857a_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/22/ce171cd3-c930-ea67-4d65-ea7b21e26a29_1280x720.mp4,20711 </> 20712,train-20711 </> train-20712,MISS PLAYER1627827 25' 3PT Jump Shot </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER1627827 </> PLAYER1626156,action109 </> action135
23.0,Made Shot,PT10M51.00S,Crabbe 27' 3PT Jump Shot (3 PTS) (Russell 1 AST),1.0,v,1.0,203459.0,Crabbe,A. Crabbe,5.0,3,2,27.0,Made,Jump Shot,1610612751.0,BKN,1.0,9.0,270.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/23/d683abac-88b4-3d3d-3ee1-6b379fcb18e6_1280x720.mp4,20713,train-20713,PLAYER203459 27' 3PT Jump Shot (PLAYER1626156 AST),PLAYER203459 PLAYER1626156,action63
25.0,Foul,PT10M33.00S,Allen S.FOUL (P2.T2) (J.Phillips),0.0,v,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,Shooting,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/25/06912f2a-16ae-c4dd-8dc0-daf70cee3644_1280x720.mp4,20714,train-20714,PLAYER1628386 S.FOUL ,PLAYER1628386,action18
31.0,Defensive Rebound,PT10M31.00S,Davis REBOUND (Off:0 Def:1),0.0,v,1.0,202334.0,Davis,E. Davis,0.0,,,0.0,,Unknown,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/31/c28fe9b5-b986-e41e-17f5-369dfa71d6d4_1280x720.mp4,20715,train-20715,PLAYER202334 DEFENSIVE REBOUND ,PLAYER202334,action135
32.0,Made Shot,PT10M18.00S,Crabbe 27' 3PT Jump Shot (6 PTS) (Russell 2 AST),1.0,v,1.0,203459.0,Crabbe,A. Crabbe,9.0,6,3,27.0,Made,Jump Shot,1610612751.0,BKN,1.0,-110.0,242.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/32/09d0e32e-fe64-97b4-cfe5-e43ee0fa85aa_1280x720.mp4,20716,train-20716,PLAYER203459 27' 3PT Jump Shot (PLAYER1626156 AST),PLAYER203459 PLAYER1626156,action63
34.0,Made Shot,PT10M04.00S,Doncic 2' Cutting Finger Roll Layup Shot (4 PTS) (Jordan 1 AST),1.0,h,1.0,1629029.0,Doncic,L. Doncic,11.0,6,5,2.0,Made,Cutting Finger Roll Layup Shot,1610612742.0,DAL,1.0,11.0,15.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/34/2ef1816d-cbe2-208a-9a7b-5654db108247_1280x720.mp4,20717,train-20717,PLAYER1629029 2' Cutting Finger Roll Layup Shot (PLAYER201599 AST),PLAYER1629029 PLAYER201599,action45
36.0 </> 37.0,Missed Shot </> Defensive Rebound,PT09M48.00S </> PT09M46.00S,MISS Russell 25' 3PT Jump Shot </> Jordan REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626156.0 </> 201599.0,Russell </> Jordan,D. Russell </> D. Jordan,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612742.0,BKN </> DAL,1.0 </> 1.0,67.0 </> 0.0,239.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/36/f60af3e3-b2ee-0adc-d363-c9201c500aa7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/37/b9f96ef0-d66c-86da-fca4-ac1e6ec177cc_1280x720.mp4,20718 </> 20719,train-20718 </> train-20719,MISS PLAYER1626156 25' 3PT Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER1626156 </> PLAYER201599,action109 </> action135
38.0,Made Shot,PT09M31.00S,Doncic 8' Driving Floating Jump Shot (6 PTS) (Jordan 2 AST),1.0,h,1.0,1629029.0,Doncic,L. Doncic,13.0,6,7,8.0,Made,Driving Floating Jump Shot,1610612742.0,DAL,1.0,-82.0,1.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/38/cb02ba3c-96ce-d393-34a7-8beaa243b8fa_1280x720.mp4,20720,train-20720,PLAYER1629029 8' Driving Floating Jump Shot (PLAYER201599 AST),PLAYER1629029 PLAYER201599,action51
40.0,Made Shot,PT09M17.00S,Davis 2' Layup (2 PTS) (Dudley 1 AST),1.0,v,1.0,202334.0,Davis,E. Davis,15.0,8,7,2.0,Made,Layup Shot,1610612751.0,BKN,1.0,-20.0,11.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/40/59e346c3-7237-0ead-0245-efcc079b28d2_1280x720.mp4,20721,train-20721,PLAYER202334 2' Layup (PLAYER201162 AST),PLAYER202334 PLAYER201162,action64
42.0 </> 43.0,Missed Shot </> Defensive Rebound,PT08M53.00S </> PT08M51.00S,MISS Smith Jr. 2' Driving Reverse Layup </> Davis REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628372.0 </> 202334.0,Smith Jr. </> Davis,D. Smith Jr. </> E. Davis,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Driving Reverse Layup Shot </> Unknown,1610612742.0 </> 1610612751.0,DAL </> BKN,1.0 </> 1.0,11.0 </> 0.0,14.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/42/0c7795e9-d396-fc1a-72c9-1f396e38d3c9_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/43/eeefdc85-70a2-8dee-56d1-d702bf2c6bc3_1280x720.mp4,20722 </> 20723,train-20722 </> train-20723,MISS PLAYER1628372 2' Driving Reverse Layup </> PLAYER202334 DEFENSIVE REBOUND ,PLAYER1628372 </> PLAYER202334,action101 </> action135
44.0 </> 45.0,Missed Shot </> Defensive Rebound,PT08M44.00S </> PT08M41.00S,MISS Russell 20' Jump Shot </> Jordan REBOUND (Off:0 Def:3),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626156.0 </> 201599.0,Russell </> Jordan,D. Russell </> D. Jordan,0.0 </> 0.0, </> , </> ,20.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612742.0,BKN </> DAL,1.0 </> 1.0,160.0 </> 0.0,128.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/44/3ab1e52e-418c-1212-5c17-f72f46590801_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/45/677dc060-4055-dbb1-febb-e0e7a3343119_1280x720.mp4,20724 </> 20725,train-20724 </> train-20725,MISS PLAYER1626156 20' Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER1626156 </> PLAYER201599,action109 </> action135
46.0,Made Shot,PT08M37.00S,Barnes 27' 3PT Pullup Jump Shot (3 PTS) (Smith Jr. 1 AST),1.0,h,1.0,203084.0,Barnes,H. Barnes,18.0,8,10,27.0,Made,Pullup Jump shot,1610612742.0,DAL,1.0,152.0,219.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/46/0cfcf179-cd8b-3ff3-cabf-582c1abcf93d_1280x720.mp4,20726,train-20726,PLAYER203084 27' 3PT Pullup Jump Shot (Smith AST),PLAYER203084,action65
48.0 </> 49.0,Missed Shot </> Offensive Rebound,PT08M15.00S </> PT08M12.00S,MISS Russell 27' 3PT Jump Shot </> Davis REBOUND (Off:1 Def:2),1.0 </> 0.0,v </> v,1.0 </> 1.0,1626156.0 </> 202334.0,Russell </> Davis,D. Russell </> E. Davis,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612751.0 </> 1610612751.0,BKN </> BKN,1.0 </> 1.0,-136.0 </> 0.0,236.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/48/ce8a3f30-3328-e741-9f0e-9b35dad5fc8f_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/49/c294a833-ee1b-0f85-1969-d9721a4ab1e6_1280x720.mp4,20727 </> 20728,train-20727 </> train-20728,MISS PLAYER1626156 27' 3PT Jump Shot </> PLAYER202334 OFFENSIVE REBOUND ,PLAYER1626156 </> PLAYER202334,action109 </> action135
50.0,Turnover,PT08M08.00S,Harris Bad Pass Turnover (P1.T1),0.0,v,1.0,203925.0,Harris,J. Harris,0.0,,,0.0,,Bad Pass,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/50/098e3338-47b7-1553-35ae-0b48288aeea3_1280x720.mp4,20729,train-20729,PLAYER2734 Bad Pass Turnover ,PLAYER2734,action143
52.0,Foul,PT08M08.00S,Crabbe P.FOUL (P1.T3) (J.Phillips),0.0,v,1.0,203459.0,Crabbe,A. Crabbe,0.0,,,0.0,,Personal,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/52/877173f4-9cfc-a324-5582-90ebb15069e9_1280x720.mp4,20730,train-20730,PLAYER203459 P.FOUL ,PLAYER203459,action16
54.0,Made Shot,PT07M57.00S,Smith Jr. Driving Dunk (2 PTS) (Doncic 1 AST),1.0,h,1.0,1628372.0,Smith Jr.,D. Smith Jr.,20.0,8,12,0.0,Made,Driving Dunk Shot,1610612742.0,DAL,1.0,1.0,4.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/54/7fd19cba-b78d-7140-ea0d-f6fe62c2caa8_1280x720.mp4,20731,train-20731,PLAYER1628372 Driving Dunk (PLAYER1629029 AST),PLAYER1628372 PLAYER1629029,action48
55.0 </> 57.0,Made Shot </> Foul,PT07M43.00S </> PT07M43.00S,Dudley 2' Driving Layup (2 PTS) (Russell 3 AST) </> Doncic S.FOUL (P1.T1) (J.Phillips),1.0 </> 0.0,v </> h,1.0 </> 1.0,201162.0 </> 1629029.0,Dudley </> Doncic,J. Dudley </> L. Doncic,22.0 </> 0.0,10 </> ,12 </> ,2.0 </> 0.0,Made </> ,Driving Layup Shot </> Shooting,1610612751.0 </> 1610612742.0,BKN </> DAL,1.0 </> 1.0,8.0 </> 0.0,17.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/55/16482860-fbae-bee1-2cab-c7d04235a235_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/57/8afcf6e9-7706-9093-3691-0a4e5bc049e8_1280x720.mp4,20732 </> 20733,train-20732 </> train-20733,PLAYER201162 2' Driving Layup (PLAYER1626156 AST) </> PLAYER1629029 S.FOUL ,PLAYER201162 PLAYER1626156 </> PLAYER1629029,action53 </> action18
60.0,Defensive Rebound,PT07M43.00S,Barnes REBOUND (Off:0 Def:1),0.0,h,1.0,203084.0,Barnes,H. Barnes,0.0,,,0.0,,Unknown,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/60/3bffdab5-3822-2121-feee-eda8d832b822_1280x720.mp4,20734,train-20734,PLAYER203084 DEFENSIVE REBOUND ,PLAYER203084,action135
61.0 </> 62.0,Missed Shot </> Defensive Rebound,PT07M29.00S </> PT07M25.00S,MISS Jordan 16' Jump Shot </> Crabbe REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201599.0 </> 203459.0,Jordan </> Crabbe,D. Jordan </> A. Crabbe,0.0 </> 0.0, </> , </> ,16.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612751.0,DAL </> BKN,1.0 </> 1.0,136.0 </> 0.0,75.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/61/0848a297-2706-ad49-bf14-cbeb1d7b80f6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/62/030ef6ed-591f-42b1-8fe3-f272c043f531_1280x720.mp4,20735 </> 20736,train-20735 </> train-20736,MISS PLAYER201599 16' Jump Shot </> PLAYER203459 DEFENSIVE REBOUND ,PLAYER201599 </> PLAYER203459,action109 </> action135
63.0,Turnover,PT07M15.00S,Russell Out of Bounds - Bad Pass Turnover Turnover (P1.T2),0.0,v,1.0,1626156.0,Russell,D. Russell,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800261/63/117f40f1-ae8c-f0d0-3a6c-3baafc90da27_1280x720.mp4,20737,train-20737,PLAYER1626156 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER1626156,action157
