actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball McGee vs. Gobert: Tip to Ingram,0.0,h,1.0,201580.0,McGee,J. McGee,0.0,,,0.0,,,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/4/28ff29de-d9e2-2c83-32c3-04db7c2303f5_1280x720.mp4,7261,train-7261,Jump PLAYER1628366 PLAYER201580 vs. PLAYER203497: Tip to PLAYER1627742,PLAYER1628366 PLAYER201580 PLAYER203497 PLAYER1627742,action41
7.0,Made Shot,PT11M40.00S,Ball 25' 3PT Jump Shot (3 PTS),1.0,h,1.0,1628366.0,Ball,L. Ball,3.0,0,3,25.0,Made,Jump Shot,1610612747.0,LAL,1.0,177.0,180.0,https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/7/b93b9e94-020e-9887-1192-000348fa00cc_1280x720.mp4,7262,train-7262,PLAYER1628366 25' 3PT Jump Shot ,PLAYER1628366,action63
8.0 </> 9.0,Missed Shot </> Defensive Rebound,PT11M23.00S </> PT11M21.00S,MISS Mitchell 2' Driving Layup </> James REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628378.0 </> 2544.0,Mitchell </> James,D. Mitchell </> L. James,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612762.0 </> 1610612747.0,UTA </> LAL,1.0 </> 1.0,14.0 </> 0.0,19.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/8/b1f614ed-9ecf-29c2-2dea-a4c052c808f5_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/9/b3d772c6-4d84-cb17-88e4-44d56049a5cb_1280x720.mp4,7263 </> 7264,train-7263 </> train-7264,MISS PLAYER1628378 2' Driving Layup </> PLAYER2544 DEFENSIVE REBOUND ,PLAYER1628378 </> PLAYER2544,action99 </> action135
10.0,Made Shot,PT11M09.00S,James 12' Fadeaway Jumper (2 PTS),1.0,h,1.0,2544.0,James,L. James,5.0,0,5,12.0,Made,Fadeaway Jump Shot,1610612747.0,LAL,1.0,54.0,110.0,https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/10/9baeca02-8df5-2f5a-d1b9-0f92d934448c_1280x720.mp4,7265,train-7265,PLAYER2544 12' Fadeaway Jumper ,PLAYER2544,action57
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT10M47.00S </> PT10M45.00S,MISS Favors 2' Hook Shot </> Ball REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202324.0 </> 1628366.0,Favors </> Ball,D. Favors </> L. Ball,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612762.0 </> 1610612747.0,UTA </> LAL,1.0 </> 1.0,-16.0 </> 0.0,14.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/11/7da2be6f-e87b-aabf-a9b1-9abdb4ca45bb_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/12/ef578446-8147-fa53-c82a-dbf33e6fb3dc_1280x720.mp4,7266 </> 7267,train-7266 </> train-7267,MISS PLAYER202324 2' Hook Shot </> PLAYER1628366 DEFENSIVE REBOUND ,PLAYER202324 </> PLAYER1628366,action107 </> action135
13.0,Missed Shot,PT10M41.00S,MISS James 25' 3PT Jump Shot,1.0,h,1.0,2544.0,James,L. James,0.0,,,25.0,Missed,Jump Shot,1610612747.0,LAL,1.0,130.0,214.0,https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/13/9fd4a756-2499-7c0b-9d63-47c681075679_1280x720.mp4,7268,train-7268,MISS PLAYER2544 25' 3PT Jump Shot,PLAYER2544,action109
14.0,Defensive Rebound,PT10M37.00S,Rubio REBOUND (Off:0 Def:1),0.0,v,1.0,201937.0,Rubio,R. Rubio,0.0,,,0.0,,Unknown,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/14/aa496247-9c44-00d1-7101-e877bd5c0386_1280x720.mp4,7269,train-7269,PLAYER201937 DEFENSIVE REBOUND ,PLAYER201937,action135
15.0,Missed Shot,PT10M34.00S,MISS Rubio 25' 3PT Running Pull-Up Jump Shot,1.0,v,1.0,201937.0,Rubio,R. Rubio,0.0,,,25.0,Missed,Running Pull-Up Jump Shot,1610612762.0,UTA,1.0,-122.0,220.0,https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/15/f3cce8c3-b7a1-0cb0-1758-189cfff03379_1280x720.mp4,7270,train-7270,MISS PLAYER201937 25' 3PT Running Pull-Up Jump Shot,PLAYER201937,action122
16.0,Defensive Rebound,PT10M29.00S,McGee REBOUND (Off:0 Def:1),0.0,h,1.0,201580.0,McGee,J. McGee,0.0,,,0.0,,Unknown,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/16/a011218e-998d-2311-7693-99b7aea7cc06_1280x720.mp4,7271,train-7271,PLAYER201580 DEFENSIVE REBOUND ,PLAYER201580,action135
17.0,Missed Shot,PT10M20.00S,MISS Ingram 13' Jump Shot,1.0,h,1.0,1627742.0,Ingram,B. Ingram,0.0,,,13.0,Missed,Jump Shot,1610612747.0,LAL,1.0,87.0,102.0,https://videos.nba.com/nba/pbp/media/2018/11/23/0021800278/17/3816da88-c1df-9c7d-2091-fa720faaaafb_1280x720.mp4,7272,train-7272,MISS PLAYER1627742 13' Jump Shot,PLAYER1627742,action109
