actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Allen vs. Embiid: Tip to Redick,0.0,h,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/4/84010cab-ee02-5d78-8066-3593c50971ae_1280x720.mp4,43978,test-4852,Jump Ball PLAYER1628386 vs. PLAYER203954: Tip to PLAYER200755,PLAYER1628386 PLAYER203954 PLAYER200755,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M45.00S </> PT11M39.00S,MISS Chandler 14' Step Back Jump Shot </> Allen REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201163.0 </> 1628386.0,Chandler </> Allen,W. Chandler </> J. Allen,0.0 </> 0.0, </> , </> ,14.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612755.0 </> 1610612751.0,PHI </> BKN,1.0 </> 1.0,101.0 </> 0.0,98.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/7/00c84f5e-5fbb-f88d-459c-8fe475f5242a_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/8/f25ff9a9-ca6d-e1ff-4c24-959dd6f13af7_1280x720.mp4,43979 </> 43980,test-4853 </> test-4854,MISS PLAYER201163 14' Step Back Jump Shot </> PLAYER1628386 DEFENSIVE REBOUND ,PLAYER201163 </> PLAYER1628386,action126 </> action135
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M20.00S </> PT11M18.00S,MISS Harris 3' Driving Layup </> Redick REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203925.0 </> 200755.0,Harris </> Redick,J. Harris </> J. Redick,0.0 </> 0.0, </> , </> ,3.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612751.0 </> 1610612755.0,BKN </> PHI,1.0 </> 1.0,-19.0 </> 0.0,23.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/9/0cee4669-b4f3-cebe-d7ea-697054f0c4ea_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/10/90e0a832-97ec-b270-8843-3e8713a5343f_1280x720.mp4,43981 </> 43982,test-4855 </> test-4856,MISS PLAYER203925 3' Driving Layup </> PLAYER200755 DEFENSIVE REBOUND ,PLAYER203925 </> PLAYER200755,action99 </> action135
11.0,Made Shot,PT11M12.00S,Simmons 3' Turnaround Hook Shot (2 PTS),1.0,v,1.0,1627732.0,Simmons,B. Simmons,2.0,2,0,3.0,Made,Turnaround Hook Shot,1610612755.0,PHI,1.0,-4.0,31.0,https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/11/f3c490a3-b5bd-49f4-02dd-e91d8db0e778_1280x720.mp4,43983,test-4857,PLAYER1627732 3' Turnaround Hook Shot ,PLAYER1627732,action86
12.0 </> 13.0,Made Shot </> Foul,PT10M56.00S </> PT10M56.00S,Russell 17' Pullup Jump Shot (2 PTS) </> Butler S.FOUL (P1.T1) (B.Adair),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626156.0 </> 202710.0,Russell </> Butler,D. Russell </> J. Butler,4.0 </> 0.0,2 </> ,2 </> ,17.0 </> 0.0,Made </> ,Pullup Jump shot </> Shooting,1610612751.0 </> 1610612755.0,BKN </> PHI,1.0 </> 1.0,-111.0 </> 0.0,132.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/12/88217adf-7731-865e-0a23-8b33691617bb_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/13/dd5d392a-179c-e92e-7c2d-06dabde6f974_1280x720.mp4,43984 </> 43985,test-4858 </> test-4859,PLAYER1626156 17' Pullup Jump Shot  </> PLAYER202710 S.FOUL ,PLAYER1626156 </> PLAYER202710,action65 </> action18
16.0 </> 17.0,Missed Shot </> Offensive Rebound,PT10M41.00S </> PT10M38.00S,MISS Simmons 12' Floating Jump Shot </> Butler REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,1627732.0 </> 202710.0,Simmons </> Butler,B. Simmons </> J. Butler,0.0 </> 0.0, </> , </> ,12.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612755.0 </> 1610612755.0,PHI </> PHI,1.0 </> 1.0,74.0 </> 0.0,99.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/16/f6d37e5b-48f3-5786-ec4f-f709f91447e6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/17/0d7abc73-9b26-9fe8-dbdd-7be651579f7b_1280x720.mp4,43986 </> 43987,test-4860 </> test-4861,MISS PLAYER1627732 12' Floating Jump Shot </> PLAYER202710 OFFENSIVE REBOUND ,PLAYER1627732 </> PLAYER202710,action105 </> action135
19.0 </> 20.0,Missed Shot </> Defensive Rebound,PT10M28.00S </> PT10M26.00S,MISS Embiid 14' Jump Shot </> Russell REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203954.0 </> 1626156.0,Embiid </> Russell,J. Embiid </> D. Russell,0.0 </> 0.0, </> , </> ,14.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612755.0 </> 1610612751.0,PHI </> BKN,1.0 </> 1.0,-129.0 </> 0.0,42.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/19/fafbe9dc-ce48-ffc6-7ee4-99b5a205dc87_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/20/7059b637-ce7b-96fe-ef55-527c6f1c09a2_1280x720.mp4,43988 </> 43989,test-4862 </> test-4863,MISS PLAYER203954 14' Jump Shot </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER203954 </> PLAYER1626156,action109 </> action135
21.0,Made Shot,PT10M19.00S,Allen 2' Cutting Layup Shot (2 PTS) (Russell 1 AST),1.0,h,1.0,1628386.0,Allen,J. Allen,7.0,2,5,2.0,Made,Cutting Layup Shot,1610612751.0,BKN,1.0,-13.0,12.0,https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/21/0720c3dc-0c18-e733-092b-287c1711eb7d_1280x720.mp4,43990,test-4864,PLAYER1628386 2' Cutting Layup Shot (PLAYER1626156 AST),PLAYER1628386 PLAYER1626156,action46
23.0,Made Shot,PT10M07.00S,Chandler 26' 3PT Jump Shot (3 PTS) (Redick 1 AST),1.0,v,1.0,201163.0,Chandler,W. Chandler,10.0,5,5,26.0,Made,Jump Shot,1610612755.0,PHI,1.0,174.0,199.0,https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/23/2b8ae284-1d69-4e3a-9e61-9e6e6c369b3a_1280x720.mp4,43991,test-4865,PLAYER201163 26' 3PT Jump Shot (PLAYER200755 AST),PLAYER201163 PLAYER200755,action63
25.0,Made Shot,PT09M51.00S,Russell 3' Driving Layup (5 PTS),1.0,h,1.0,1626156.0,Russell,D. Russell,12.0,5,7,3.0,Made,Driving Layup Shot,1610612751.0,BKN,1.0,-20.0,23.0,https://videos.nba.com/nba/pbp/media/2018/11/25/0021800289/25/7f84379a-d48d-8e97-495a-89b366539311_1280x720.mp4,43992,test-4866,PLAYER1626156 3' Driving Layup ,PLAYER1626156,action53
