actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Allen vs. Gobert: Tip to Mitchell,0.0,h,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/4/3f1af3a6-bebd-d0c6-b3cb-155ebb12d7a8_1280x720.mp4,27524,train-27524,Jump Ball PLAYER1628386 vs. PLAYER203497: Tip to PLAYER1628378,PLAYER1628386 PLAYER203497 PLAYER1628378,action41
7.0,Turnover,PT11M35.00S,Ingles Bad Pass Turnover (P1.T1),0.0,v,1.0,204060.0,Ingles,J. Ingles,0.0,,,0.0,,Bad Pass,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/7/3ac1e819-de6f-1f9d-cbe2-2aa3397e2a54_1280x720.mp4,27525,train-27525,PLAYER204060 Bad Pass Turnover ,PLAYER204060,action143
9.0 </> 10.0 </> 11.0 </> 12.0,Missed Shot </> Offensive Rebound </> Missed Shot </> Defensive Rebound,PT11M20.00S </> PT11M15.00S </> PT11M15.00S </> PT11M15.00S,MISS Hollis-Jefferson 3' Driving Layup </> Allen REBOUND (Off:1 Def:0) </> MISS Allen 1' Tip Layup Shot </> Rubio REBOUND (Off:0 Def:1),1.0 </> 0.0 </> 1.0 </> 0.0,h </> h </> h </> v,1.0 </> 1.0 </> 1.0 </> 1.0,1626178.0 </> 1628386.0 </> 1628386.0 </> 201937.0,Hollis-Jefferson </> Allen </> Allen </> Rubio,R. Hollis-Jefferson </> J. Allen </> J. Allen </> R. Rubio,0.0 </> 0.0 </> 0.0 </> 0.0, </>  </>  </> , </>  </>  </> ,3.0 </> 0.0 </> 1.0 </> 0.0,Missed </>  </> Missed </> ,Driving Layup Shot </> Unknown </> Tip Layup Shot </> Unknown,1610612751.0 </> 1610612751.0 </> 1610612751.0 </> 1610612762.0,BKN </> BKN </> BKN </> UTA,1.0 </> 1.0 </> 1.0 </> 1.0,-19.0 </> 0.0 </> 0.0 </> 0.0,22.0 </> 0.0 </> -6.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/9/01c4d8e4-841c-4c65-8cef-0956f35d44c4_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/10/81d31395-4e0f-9dd1-d573-7228583573c2_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/11/fd493749-cb77-4f6b-4656-caebaef2aed7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/12/8689ec5f-75cb-a844-83ea-7f2331a17192_1280x720.mp4,27526 </> 27527 </> 27528 </> 27529,train-27526 </> train-27527 </> train-27528 </> train-27529,MISS PLAYER1626178 3' Driving Layup </> PLAYER1628386 OFFENSIVE REBOUND  </> MISS PLAYER1628386 1' Tip Layup Shot </> PLAYER201937 DEFENSIVE REBOUND ,PLAYER1626178 </> PLAYER1628386 </> PLAYER1628386 </> PLAYER201937,action99 </> action135 </> action128 </> action135
14.0 </> 16.0,Foul </> Turnover,PT11M12.00S </> PT11M12.00S,Ingles OFF.Foul (P1) (D.Taylor) </> Ingles Offensive Foul Turnover (P2.T2),0.0 </> 0.0,v </> v,1.0 </> 1.0,204060.0 </> 204060.0,Ingles </> Ingles,J. Ingles </> J. Ingles,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Offensive </> Offensive Foul Turnover,1610612762.0 </> 1610612762.0,UTA </> UTA,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/14/2bdc4ff4-6d42-ce51-e934-151cfed02f70_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/16/f13bd2af-b9c3-804f-853a-8dbc207a01b8_1280x720.mp4,27530 </> 27531,train-27530 </> train-27531,PLAYER204060 OFF.Foul  </> PLAYER204060 Offensive Foul Turnover ,PLAYER204060 </> PLAYER204060,action14 </> action155
17.0,Turnover,PT11M02.00S,Russell Lost Ball Turnover (P1.T1),0.0,h,1.0,1626156.0,Russell,D. Russell,0.0,,,0.0,,Lost Ball,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/17/478ed0ec-2ca8-797e-df20-d4400eaf13f2_1280x720.mp4,27532,train-27532,PLAYER1626156 Lost Ball Turnover ,PLAYER1626156,action153
19.0 </> 20.0 </> 21.0 </> 22.0,Missed Shot </> Offensive Rebound </> Missed Shot </> Defensive Rebound,PT10M57.00S </> PT10M51.00S </> PT10M51.00S </> PT10M50.00S,MISS Ingles 2' Running Layup </> Gobert REBOUND (Off:1 Def:0) </> MISS Gobert 1' Tip Layup Shot </> Harris REBOUND (Off:0 Def:1),1.0 </> 0.0 </> 1.0 </> 0.0,v </> v </> v </> h,1.0 </> 1.0 </> 1.0 </> 1.0,204060.0 </> 203497.0 </> 203497.0 </> 203925.0,Ingles </> Gobert </> Gobert </> Harris,J. Ingles </> R. Gobert </> R. Gobert </> J. Harris,0.0 </> 0.0 </> 0.0 </> 0.0, </>  </>  </> , </>  </>  </> ,2.0 </> 0.0 </> 1.0 </> 0.0,Missed </>  </> Missed </> ,Running Layup Shot </> Unknown </> Tip Layup Shot </> Unknown,1610612762.0 </> 1610612762.0 </> 1610612762.0 </> 1610612751.0,UTA </> UTA </> UTA </> BKN,1.0 </> 1.0 </> 1.0 </> 1.0,-18.0 </> 0.0 </> 0.0 </> 0.0,0.0 </> 0.0 </> -6.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/19/6e85a30e-f2f6-d6df-b8db-6cbff1e250d2_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/20/65721de6-35b9-15e3-9f0f-ec59115dba2e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/21/4bd7f7f8-5011-22d7-e37c-e2028ae61165_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/22/60356309-fcb9-eac9-a664-2c9d7a73b22a_1280x720.mp4,27533 </> 27534 </> 27535 </> 27536,train-27533 </> train-27534 </> train-27535 </> train-27536,MISS PLAYER204060 2' Running Layup </> PLAYER203497 OFFENSIVE REBOUND  </> MISS PLAYER203497 1' Tip Layup Shot </> PLAYER203925 DEFENSIVE REBOUND ,PLAYER204060 </> PLAYER203497 </> PLAYER203497 </> PLAYER203925,action121 </> action135 </> action128 </> action135
23.0,Missed Shot,PT10M40.00S,MISS Crabbe 3PT Jump Shot,1.0,h,1.0,203459.0,Crabbe,A. Crabbe,0.0,,,0.0,Missed,Jump Shot,1610612751.0,BKN,1.0,-231.0,-5.0,https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/23/d948b0fd-aa27-743f-d30a-275d5f8fcbb2_1280x720.mp4,27537,train-27537,MISS PLAYER203459 3PT Jump Shot,PLAYER203459,action109
24.0,Defensive Rebound,PT10M37.00S,Favors REBOUND (Off:0 Def:1),0.0,v,1.0,202324.0,Favors,D. Favors,0.0,,,0.0,,Unknown,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/24/c87fb173-c681-82d9-cbd7-b75c5330b6e7_1280x720.mp4,27538,train-27538,PLAYER202324 DEFENSIVE REBOUND ,PLAYER202324,action135
25.0 </> 26.0,Missed Shot </> Defensive Rebound,PT10M25.00S </> PT10M23.00S,MISS Favors 1' Alley Oop Layup </> Allen REBOUND (Off:1 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202324.0 </> 1628386.0,Favors </> Allen,D. Favors </> J. Allen,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Alley Oop Layup shot </> Unknown,1610612762.0 </> 1610612751.0,UTA </> BKN,1.0 </> 1.0,4.0 </> 0.0,13.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/25/0b28b288-476d-ad72-5241-e17fd832bfa5_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/26/295775f2-cc4e-02c9-1d41-93db3a76da42_1280x720.mp4,27539 </> 27540,train-27539 </> train-27540,MISS PLAYER202324 1' Alley Oop Layup </> PLAYER1628386 DEFENSIVE REBOUND ,PLAYER202324 </> PLAYER1628386,action89 </> action135
27.0 </> 29.0,Missed Shot </> Offensive Rebound,PT10M17.00S </> PT10M13.00S,MISS Allen 3' Cutting Layup Shot </> Allen REBOUND (Off:2 Def:1),1.0 </> 0.0,h </> h,1.0 </> 1.0,1628386.0 </> 1628386.0,Allen </> Allen,J. Allen </> J. Allen,0.0 </> 0.0, </> , </> ,3.0 </> 0.0,Missed </> ,Cutting Layup Shot </> Unknown,1610612751.0 </> 1610612751.0,BKN </> BKN,1.0 </> 1.0,29.0 </> 0.0,15.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/27/4511d953-05b6-1bfb-e600-f3d5dab3dec4_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/11/28/0021800308/29/32933969-462b-1596-8e3d-16ff75e1ebd9_1280x720.mp4,27541 </> 27542,train-27541 </> train-27542,MISS PLAYER1628386 3' Cutting Layup Shot </> PLAYER1628386 OFFENSIVE REBOUND ,PLAYER1628386 </> PLAYER1628386,action92 </> action135
