actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Whiteside vs. Gobert: Tip to Richardson,0.0,h,1.0,202355.0,Whiteside,H. Whiteside,0.0,,,0.0,,,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/4/bc65c185-94f2-a2a3-a754-4cffea5fecf1_1280x720.mp4,24136,train-24136,Jump Ball PLAYER202355 vs. PLAYER203497: Tip to PLAYER1626196,PLAYER202355 PLAYER203497 PLAYER1626196,action41
7.0 </> 8.0,Missed Shot </> Offensive Rebound,PT11M44.00S </> PT11M43.00S,MISS Ellington 27' 3PT Jump Shot </> Whiteside REBOUND (Off:1 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,201961.0 </> 202355.0,Ellington </> Whiteside,W. Ellington </> H. Whiteside,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612748.0,MIA </> MIA,1.0 </> 1.0,-182.0 </> 0.0,205.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/7/5c2ef0e7-a5f8-1afd-3658-4e5e51a9094c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/8/f0757098-f0d6-318f-5c72-f693fa0fd8d4_1280x720.mp4,24137 </> 24138,train-24137 </> train-24138,MISS PLAYER201961 27' 3PT Jump Shot </> PLAYER202355 OFFENSIVE REBOUND ,PLAYER201961 </> PLAYER202355,action109 </> action135
9.0,Missed Shot,PT11M39.00S,MISS Whiteside 2' Hook Shot,1.0,h,1.0,202355.0,Whiteside,H. Whiteside,0.0,,,2.0,Missed,Hook Shot,1610612748.0,MIA,1.0,-19.0,12.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/9/6347cc44-d587-346e-8a68-7c28165a3d75_1280x720.mp4,24139,train-24139,MISS PLAYER202355 2' Hook Shot,PLAYER202355,action107
12.0,Turnover,PT11M39.00S,Richardson Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0,h,1.0,1626196.0,Richardson,J. Richardson,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/12/e7865519-97b3-8d20-13f9-b2a6e33d914e_1280x720.mp4,24140,train-24140,PLAYER1626196 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER1626196,action157
13.0,Missed Shot,PT11M27.00S,MISS Ingles 11' Floating Jump Shot,1.0,v,1.0,204060.0,Ingles,J. Ingles,0.0,,,11.0,Missed,Floating Jump shot,1610612762.0,UTA,1.0,51.0,99.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/13/b74a8c99-a25a-c323-3483-e9d922dbfd14_1280x720.mp4,24141,train-24141,MISS PLAYER204060 11' Floating Jump Shot,PLAYER204060,action105
17.0,Made Shot,PT11M20.00S,Ingles 26' 3PT Jump Shot (3 PTS) (Rubio 1 AST),1.0,v,1.0,204060.0,Ingles,J. Ingles,3.0,3,0,26.0,Made,Jump Shot,1610612762.0,UTA,1.0,-160.0,200.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/17/941e15a6-fcd6-1106-144d-c40bff3e7d3e_1280x720.mp4,24142,train-24142,PLAYER204060 26' 3PT Jump Shot (PLAYER201937 AST),PLAYER204060 PLAYER201937,action63
19.0,Missed Shot,PT11M10.00S,MISS Johnson 8' Jump Shot,1.0,h,1.0,201949.0,Johnson,J. Johnson,0.0,,,8.0,Missed,Jump Shot,1610612748.0,MIA,1.0,-82.0,-5.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/19/de50e12e-8efd-637f-d933-5d9591cfdcfc_1280x720.mp4,24143,train-24143,MISS Johnson 8' Jump Shot,,action109
22.0,Made Shot,PT11M03.00S,Whiteside 1' Alley Oop Dunk (2 PTS) (Richardson 1 AST),1.0,h,1.0,202355.0,Whiteside,H. Whiteside,5.0,3,2,1.0,Made,Alley Oop Dunk Shot,1610612748.0,MIA,1.0,-10.0,11.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/22/8d0750e1-1c9c-a2c6-f7e1-26d11321ecd6_1280x720.mp4,24144,train-24144,PLAYER202355 1' Alley Oop Dunk (PLAYER1626196 AST),PLAYER202355 PLAYER1626196,action42
24.0,Missed Shot,PT10M43.00S,MISS Crowder 12' Jump Shot,1.0,v,1.0,203109.0,Crowder,J. Crowder,0.0,,,12.0,Missed,Jump Shot,1610612762.0,UTA,1.0,89.0,76.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/24/07717e5c-fa55-e677-bb25-c70b0dc6eeca_1280x720.mp4,24145,train-24145,MISS PLAYER203109 12' Jump Shot,PLAYER203109,action109
25.0,Offensive Rebound,PT10M40.00S,Crowder REBOUND (Off:1 Def:0),0.0,v,1.0,203109.0,Crowder,J. Crowder,0.0,,,0.0,,Unknown,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/25/140089f1-a309-d89a-0042-e71e95df938d_1280x720.mp4,24146,train-24146,PLAYER203109 OFFENSIVE REBOUND ,PLAYER203109,action135
26.0,Missed Shot,PT10M37.00S,MISS Crowder 24' 3PT Jump Shot,1.0,v,1.0,203109.0,Crowder,J. Crowder,0.0,,,24.0,Missed,Jump Shot,1610612762.0,UTA,1.0,228.0,70.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/26/5e9d6216-5060-c569-a9a9-52b491d48580_1280x720.mp4,24147,train-24147,MISS PLAYER203109 24' 3PT Jump Shot,PLAYER203109,action109
28.0,Defensive Rebound,PT10M31.00S,Ellington REBOUND (Off:0 Def:1),0.0,h,1.0,201961.0,Ellington,W. Ellington,0.0,,,0.0,,Unknown,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/28/c090ba9f-7816-7ba9-9604-9522c9eeecb5_1280x720.mp4,24148,train-24148,PLAYER201961 DEFENSIVE REBOUND ,PLAYER201961,action135
29.0,Turnover,PT10M22.00S,Johnson Bad Pass Turnover (P1.T2),0.0,h,1.0,201949.0,Johnson,J. Johnson,0.0,,,0.0,,Bad Pass,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/29/d382cc22-d930-2893-6c41-b6f508b2f901_1280x720.mp4,24149,train-24149,Johnson Bad Pass Turnover ,,action143
31.0,Foul,PT10M15.00S,Whiteside P.FOUL (P1.T1) (J.Van Duyne),0.0,h,1.0,202355.0,Whiteside,H. Whiteside,0.0,,,0.0,,Personal,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/31/2b73cca6-8786-934b-6e80-62b6162ab05a_1280x720.mp4,24150,train-24150,PLAYER202355 P.FOUL ,PLAYER202355,action16
33.0,Made Shot,PT10M02.00S,Rubio 12' Jump Shot (2 PTS) (Mitchell 1 AST),1.0,v,1.0,201937.0,Rubio,R. Rubio,7.0,5,2,12.0,Made,Jump Shot,1610612762.0,UTA,1.0,100.0,59.0,https://videos.nba.com/nba/pbp/media/2018/12/02/0021800339/33/33046a42-2502-6cea-9776-047624b5c457_1280x720.mp4,24151,train-24151,PLAYER201937 12' Jump Shot (PLAYER1628378 AST),PLAYER201937 PLAYER1628378,action63
