actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gobert vs. Aldridge: Tip to Favors,0.0,h,1.0,203497.0,Gobert,R. Gobert,0.0,,,0.0,,,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/4/e0e2e354-6bc8-93d9-c7ec-ed110c70e57c_1280x720.mp4,25152,train-25152,Jump Ball PLAYER203497 vs. PLAYER200746: Tip to PLAYER202324,PLAYER203497 PLAYER200746 PLAYER202324,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M43.00S </> PT11M40.00S,MISS Mitchell 7' Driving Floating Jump Shot </> DeRozan REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628378.0 </> 201942.0,Mitchell </> DeRozan,D. Mitchell </> D. DeRozan,0.0 </> 0.0, </> , </> ,7.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612762.0 </> 1610612759.0,UTA </> SAS,1.0 </> 1.0,41.0 </> 0.0,58.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/7/73d53818-5132-b983-2f0f-978747c2fd86_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/8/7579d2bb-d541-19ae-3499-1504e193d3b9_1280x720.mp4,25153 </> 25154,train-25153 </> train-25154,MISS PLAYER1628378 7' Driving Floating Jump Shot </> PLAYER201942 DEFENSIVE REBOUND ,PLAYER1628378 </> PLAYER201942,action97 </> action135
9.0,Made Shot,PT11M34.00S,Aldridge 21' Jump Shot (2 PTS) (DeRozan 1 AST),1.0,v,1.0,200746.0,Aldridge,L. Aldridge,2.0,2,0,21.0,Made,Jump Shot,1610612759.0,SAS,1.0,19.0,205.0,https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/9/a882bea5-f9dc-14e2-d0ed-fb9f0b29dd0e_1280x720.mp4,25155,train-25155,PLAYER200746 21' Jump Shot (PLAYER201942 AST),PLAYER200746 PLAYER201942,action63
11.0,Made Shot,PT11M16.00S,Mitchell 26' 3PT Jump Shot (3 PTS) (Ingles 1 AST),1.0,h,1.0,1628378.0,Mitchell,D. Mitchell,5.0,2,3,26.0,Made,Jump Shot,1610612762.0,UTA,1.0,-116.0,229.0,https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/11/4c11b6a6-d762-c633-86ae-4f2db8a98dc9_1280x720.mp4,25156,train-25156,PLAYER1628378 26' 3PT Jump Shot (PLAYER204060 AST),PLAYER1628378 PLAYER204060,action63
13.0,Made Shot,PT10M56.00S,Aldridge 21' Pullup Jump Shot (4 PTS) (DeRozan 2 AST),1.0,v,1.0,200746.0,Aldridge,L. Aldridge,7.0,4,3,21.0,Made,Pullup Jump shot,1610612759.0,SAS,1.0,86.0,191.0,https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/13/fe82d5f4-54fa-e4cc-5d6a-6c6f8cc5eb8f_1280x720.mp4,25157,train-25157,PLAYER200746 21' Pullup Jump Shot (PLAYER201942 AST),PLAYER200746 PLAYER201942,action65
14.0,Foul,PT10M33.00S,Aldridge S.FOUL (P1.T1) (B.Taylor),0.0,v,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,Shooting,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/14/254eb665-a51c-e706-7992-e35c205aaaf7_1280x720.mp4,25158,train-25158,PLAYER200746 S.FOUL ,PLAYER200746,action18
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M21.00S </> PT10M18.00S,MISS Aldridge 20' Jump Shot </> Gobert REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,200746.0 </> 203497.0,Aldridge </> Gobert,L. Aldridge </> R. Gobert,0.0 </> 0.0, </> , </> ,20.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612762.0,SAS </> UTA,1.0 </> 1.0,-71.0 </> 0.0,191.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/18/37149197-6b3d-2118-ed64-da2fdf2dd073_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/19/16df14fe-85fe-a30f-bac8-e221919920db_1280x720.mp4,25159 </> 25160,train-25159 </> train-25160,MISS PLAYER200746 20' Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER200746 </> PLAYER203497,action109 </> action135
20.0,Made Shot,PT10M13.00S,Mitchell 24' 3PT Jump Shot (6 PTS) (Ingles 2 AST),1.0,h,1.0,1628378.0,Mitchell,D. Mitchell,12.0,4,8,24.0,Made,Jump Shot,1610612762.0,UTA,1.0,-237.0,1.0,https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/20/3c3e61cb-e914-b272-e91e-6febe8f5d75e_1280x720.mp4,25161,train-25161,PLAYER1628378 24' 3PT Jump Shot (PLAYER204060 AST),PLAYER1628378 PLAYER204060,action63
22.0,Made Shot,PT09M59.00S,DeRozan 10' Turnaround Fadeaway (2 PTS),1.0,v,1.0,201942.0,DeRozan,D. DeRozan,14.0,6,8,10.0,Made,Turnaround Fadeaway shot,1610612759.0,SAS,1.0,2.0,100.0,https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/22/3b81f6e2-ed6c-d53b-a918-d977e8d9131c_1280x720.mp4,25162,train-25162,PLAYER201942 10' Turnaround Fadeaway ,PLAYER201942,action85
23.0 </> 24.0,Missed Shot </> Defensive Rebound,PT09M45.00S </> PT09M43.00S,MISS Mitchell 10' Driving Floating Jump Shot </> Aldridge REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628378.0 </> 200746.0,Mitchell </> Aldridge,D. Mitchell </> L. Aldridge,0.0 </> 0.0, </> , </> ,10.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612762.0 </> 1610612759.0,UTA </> SAS,1.0 </> 1.0,38.0 </> 0.0,94.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/23/9b2d2003-0fbd-132b-2107-2b3942a41df2_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/04/0021800354/24/dda082c6-bce6-b7c7-a936-b64319eb3aa9_1280x720.mp4,25163 </> 25164,train-25163 </> train-25164,MISS PLAYER1628378 10' Driving Floating Jump Shot </> PLAYER200746 DEFENSIVE REBOUND ,PLAYER1628378 </> PLAYER200746,action97 </> action135
