actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
7.0,Foul,PT11M42.00S,Aldridge S.FOUL (P1.T1) (R.Acosta),0.0,v,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,Shooting,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/7/ee6b573a-e908-e0f5-27f2-2781fc6c5c5c_1280x720.mp4,31953,train-31953,PLAYER200746 S.FOUL ,PLAYER200746,action18
12.0,Defensive Rebound,PT11M39.00S,Cunningham REBOUND (Off:0 Def:1),0.0,v,1.0,201967.0,Cunningham,D. Cunningham,0.0,,,0.0,,Unknown,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/12/812ca85a-b58c-62e9-83c6-c821d233f0ec_1280x720.mp4,31954,train-31954,PLAYER201967 DEFENSIVE REBOUND ,PLAYER201967,action135
13.0,Missed Shot,PT11M26.00S,MISS Aldridge 12' Turnaround Jump Shot,1.0,v,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,12.0,Missed,Turnaround Jump Shot,1610612759.0,SAS,1.0,-119.0,21.0,https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/13/e30d54d6-3ef2-c05b-ea3e-7f96d59cd180_1280x720.mp4,31955,train-31955,MISS PLAYER200746 12' Turnaround Jump Shot,PLAYER200746,action133
14.0,Offensive Rebound,PT11M23.00S,Cunningham REBOUND (Off:1 Def:1),0.0,v,1.0,201967.0,Cunningham,D. Cunningham,0.0,,,0.0,,Unknown,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/14/b04decc8-11bc-a0c9-4923-6893d24ea4e7_1280x720.mp4,31956,train-31956,PLAYER201967 OFFENSIVE REBOUND ,PLAYER201967,action135
15.0,Made Shot,PT11M22.00S,Cunningham 2' Putback Layup (2 PTS),1.0,v,1.0,201967.0,Cunningham,D. Cunningham,2.0,2,0,2.0,Made,Putback Layup Shot,1610612759.0,SAS,1.0,0.0,15.0,https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/15/e4d2341c-792b-ff1c-50b1-8d670b37ff15_1280x720.mp4,31957,train-31957,PLAYER201967 2' Putback Layup ,PLAYER201967,action67
18.0 </> 20.0,Missed Shot </> Defensive Rebound,PT10M54.00S </> PT10M53.00S,MISS Forbes 24' 3PT Jump Shot </> McGee REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1627854.0 </> 201580.0,Forbes </> McGee,B. Forbes </> J. McGee,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612747.0,SAS </> LAL,1.0 </> 1.0,160.0 </> 0.0,185.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/18/0595cb68-6ba5-b639-55ed-e07218795e78_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/20/b86b5074-6873-4c9a-3729-9f415145019e_1280x720.mp4,31958 </> 31959,train-31958 </> train-31959,MISS PLAYER1627854 24' 3PT Jump Shot </> PLAYER201580 DEFENSIVE REBOUND ,PLAYER1627854 </> PLAYER201580,action109 </> action135
21.0 </> 23.0,Turnover </> Turnover,PT10M45.00S </> PT10M38.00S,McGee Bad Pass Turnover (P1.T1) </> Gay Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0 </> 0.0,h </> v,1.0 </> 1.0,201580.0 </> 200752.0,McGee </> Gay,J. McGee </> R. Gay,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Bad Pass </> Out of Bounds - Bad Pass Turnover,1610612747.0 </> 1610612759.0,LAL </> SAS,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/21/c4cec532-0ec6-501d-805d-ca4c3da873f2_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/23/3c2981dc-1da8-7734-4f8f-d407c56d6de3_1280x720.mp4,31960 </> 31961,train-31960 </> train-31961,PLAYER201580 Bad Pass Turnover  </> PLAYER200752 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER201580 </> PLAYER200752,action143 </> action157
24.0 </> 25.0,Missed Shot </> Defensive Rebound,PT10M30.00S </> PT10M28.00S,MISS Kuzma 20' Turnaround Jump Shot </> Cunningham REBOUND (Off:1 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628398.0 </> 201967.0,Kuzma </> Cunningham,K. Kuzma </> D. Cunningham,0.0 </> 0.0, </> , </> ,20.0 </> 0.0,Missed </> ,Turnaround Jump Shot </> Unknown,1610612747.0 </> 1610612759.0,LAL </> SAS,1.0 </> 1.0,145.0 </> 0.0,131.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/24/f459f82a-49f0-18eb-8178-66ae28786878_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/25/09fd6815-1068-ea65-b612-ccf68fe1be89_1280x720.mp4,31962 </> 31963,train-31962 </> train-31963,MISS PLAYER1628398 20' Turnaround Jump Shot </> PLAYER201967 DEFENSIVE REBOUND ,PLAYER1628398 </> PLAYER201967,action133 </> action135
27.0 </> 28.0,Missed Shot </> Defensive Rebound,PT10M07.00S </> PT10M04.00S,MISS DeRozan 18' Jump Shot </> McGee REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,201942.0 </> 201580.0,DeRozan </> McGee,D. DeRozan </> J. McGee,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612747.0,SAS </> LAL,1.0 </> 1.0,-103.0 </> 0.0,148.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/27/e9771a20-a46b-5b34-f399-101069693494_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/28/b89e4446-8b15-87ae-2a43-59dac760fbc6_1280x720.mp4,31964 </> 31965,train-31964 </> train-31965,MISS PLAYER201942 18' Jump Shot </> PLAYER201580 DEFENSIVE REBOUND ,PLAYER201942 </> PLAYER201580,action109 </> action135
30.0 </> 31.0,Missed Shot </> Defensive Rebound,PT09M41.00S </> PT09M39.00S,MISS Aldridge 2' Driving Layup </> Kuzma REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,200746.0 </> 1628398.0,Aldridge </> Kuzma,L. Aldridge </> K. Kuzma,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612759.0 </> 1610612747.0,SAS </> LAL,1.0 </> 1.0,9.0 </> 0.0,17.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/30/67b0c602-3376-ee71-eed5-371579913bd3_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/05/0021800364/31/771867b8-3170-9f48-2e88-fa20ff02d08a_1280x720.mp4,31966 </> 31967,train-31966 </> train-31967,MISS PLAYER200746 2' Driving Layup </> PLAYER1628398 DEFENSIVE REBOUND ,PLAYER200746 </> PLAYER1628398,action99 </> action135
