actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Ayton vs. Adebayo: Tip to Bridges,0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/4/a16ade68-014e-4632-f253-a9adf54c0619_1280x720.mp4,27204,train-27204,Jump Ball PLAYER1629028 vs. PLAYER1628389: Tip to PLAYER1628969,PLAYER1629028 PLAYER1628389 PLAYER1628969,action41
7.0,Made Shot,PT11M43.00S,Ariza 3PT Jump Shot (3 PTS) (Bridges 1 AST),1.0,h,1.0,2772.0,Ariza,T. Ariza,3.0,0,3,0.0,Made,Jump Shot,1610612756.0,PHX,1.0,-228.0,7.0,https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/7/ab603d41-154a-feaa-1848-5270ec73340a_1280x720.mp4,27205,train-27205,PLAYER2772 3PT Jump Shot (PLAYER1628969 AST),PLAYER2772 PLAYER1628969,action63
9.0,Made Shot,PT11M25.00S,Richardson 3PT Jump Shot (3 PTS) (Dragic 1 AST),1.0,v,1.0,1626196.0,Richardson,J. Richardson,6.0,3,3,0.0,Made,Jump Shot,1610612748.0,MIA,1.0,224.0,-4.0,https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/9/8e0a3d67-fa60-7d8d-672e-9b7ed30a0402_1280x720.mp4,27206,train-27206,PLAYER1626196 3PT Jump Shot (PLAYER201609 AST),PLAYER1626196 PLAYER201609,action63
11.0,Made Shot,PT11M14.00S,Ariza 25' 3PT Jump Shot (6 PTS) (Ayton 1 AST),1.0,h,1.0,2772.0,Ariza,T. Ariza,9.0,3,6,25.0,Made,Jump Shot,1610612756.0,PHX,1.0,-198.0,151.0,https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/11/6d724c1d-11eb-bbf1-94ec-6907a23f4ffe_1280x720.mp4,27207,train-27207,PLAYER2772 25' 3PT Jump Shot (PLAYER1629028 AST),PLAYER2772 PLAYER1629028,action63
13.0,Turnover,PT11M02.00S,Dragic Step Out of Bounds Turnover (P1.T1),0.0,v,1.0,201609.0,Dragic,G. Dragic,0.0,,,0.0,,Step Out of Bounds Turnover,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/13/f937e203-aecc-3a68-0e3c-1ae8470eeda1_1280x720.mp4,27208,train-27208,PLAYER201609 Step Out of Bounds Turnover ,PLAYER201609,action162
14.0,Foul,PT10M54.00S,Adebayo P.FOUL (P1.T1) (T.Maddox),0.0,v,1.0,1628389.0,Adebayo,B. Adebayo,0.0,,,0.0,,Personal,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/14/65fe189b-c7cb-0c4b-f42a-a7335e3ae447_1280x720.mp4,27209,train-27209,PLAYER1628389 P.FOUL ,PLAYER1628389,action16
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M39.00S </> PT10M37.00S,MISS Jackson 9' Driving Floating Jump Shot </> Adebayo REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628367.0 </> 1628389.0,Jackson </> Adebayo,J. Jackson </> B. Adebayo,0.0 </> 0.0, </> , </> ,9.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612756.0 </> 1610612748.0,PHX </> MIA,1.0 </> 1.0,64.0 </> 0.0,63.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/16/19771436-3bc2-92c4-92ab-cdb8f3c48013_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/17/3ad88293-1279-8946-11d8-93a668572b92_1280x720.mp4,27210 </> 27211,train-27210 </> train-27211,MISS PLAYER1628367 9' Driving Floating Jump Shot </> PLAYER1628389 DEFENSIVE REBOUND ,PLAYER1628367 </> PLAYER1628389,action97 </> action135
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M31.00S </> PT10M29.00S,MISS Richardson 26' 3PT Pullup Jump Shot </> Ariza REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626196.0 </> 2772.0,Richardson </> Ariza,J. Richardson </> T. Ariza,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612748.0 </> 1610612756.0,MIA </> PHX,1.0 </> 1.0,-27.0 </> 0.0,255.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/18/e916eac8-2a97-306b-76ae-7880c944f250_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/19/d651fcbb-7a18-2ed4-2ce3-0ede25423d77_1280x720.mp4,27212 </> 27213,train-27212 </> train-27213,MISS PLAYER1626196 26' 3PT Pullup Jump Shot </> PLAYER2772 DEFENSIVE REBOUND ,PLAYER1626196 </> PLAYER2772,action111 </> action135
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT10M21.00S </> PT10M17.00S,MISS Melton 11' Floating Jump Shot </> Dragic REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1629001.0 </> 201609.0,Melton </> Dragic,D. Melton </> G. Dragic,0.0 </> 0.0, </> , </> ,11.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612756.0 </> 1610612748.0,PHX </> MIA,1.0 </> 1.0,-13.0 </> 0.0,105.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/20/57a09704-d2ab-cda0-7339-756cc27af64d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/21/18f6446b-0543-4940-3d6b-c32ebebc249c_1280x720.mp4,27214 </> 27215,train-27214 </> train-27215,MISS PLAYER1629001 11' Floating Jump Shot </> PLAYER201609 DEFENSIVE REBOUND ,PLAYER1629001 </> PLAYER201609,action105 </> action135
22.0,Foul,PT10M12.00S,Bridges P.FOUL (P1.T1) (J.Tiven),0.0,h,1.0,1628969.0,Bridges,M. Bridges,0.0,,,0.0,,Personal,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/07/0021800376/22/c44689bc-e785-24a8-6e17-8d6392c37913_1280x720.mp4,27216,train-27216,PLAYER1628969 P.FOUL ,PLAYER1628969,action16
