actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Marjanovic vs. Adebayo: Tip to Gallinari,0.0,h,1.0,1626246.0,Marjanovic,B. Marjanovic,0.0,,,0.0,,,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/4/00088c44-64ef-9afe-a2f4-577b1b2b5b2b_1280x720.mp4,26148,train-26148,Jump Ball PLAYER1626246 vs. PLAYER1628389: Tip to PLAYER201568,PLAYER1626246 PLAYER1628389 PLAYER201568,action41
7.0,Made Shot,PT11M43.00S,Harris 3' Floating Jump Shot (2 PTS),1.0,h,1.0,202699.0,Harris,T. Harris,2.0,0,2,3.0,Made,Floating Jump shot,1610612746.0,LAC,1.0,13.0,32.0,https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/7/d6cf5584-2f28-a8cf-b5dc-d2e5150b04dd_1280x720.mp4,26149,train-26149,PLAYER202699 3' Floating Jump Shot ,PLAYER202699,action59
8.0,Made Shot,PT11M26.00S,Johnson Cutting Layup Shot (2 PTS) (Winslow 1 AST),1.0,v,1.0,201949.0,Johnson,J. Johnson,4.0,2,2,0.0,Made,Cutting Layup Shot,1610612748.0,MIA,1.0,-3.0,2.0,https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/8/12114f93-91e8-20cf-0702-6992193189a8_1280x720.mp4,26150,train-26150,Johnson Cutting Layup Shot (PLAYER1626159 AST),PLAYER1626159,action46
10.0,Turnover,PT11M16.00S,Harris Lost Ball Turnover (P1.T1),0.0,h,1.0,202699.0,Harris,T. Harris,0.0,,,0.0,,Lost Ball,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/10/dc7b8e02-1db3-970c-c69a-fee5cce777bf_1280x720.mp4,26151,train-26151,PLAYER202699 Lost Ball Turnover ,PLAYER202699,action153
12.0 </> 13.0,Missed Shot </> Defensive Rebound,PT11M06.00S </> PT11M02.00S,MISS McGruder 26' 3PT Step Back Jump Shot </> Harris REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203585.0 </> 202699.0,McGruder </> Harris,R. McGruder </> T. Harris,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612748.0 </> 1610612746.0,MIA </> LAC,1.0 </> 1.0,146.0 </> 0.0,211.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/12/f1aa028c-368d-9500-cef1-32b17b0c7c85_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/13/69d789cc-8c6a-490c-9dfa-3cd5372e07b1_1280x720.mp4,26152 </> 26153,train-26152 </> train-26153,MISS PLAYER203585 26' 3PT Step Back Jump Shot </> PLAYER202699 DEFENSIVE REBOUND ,PLAYER203585 </> PLAYER202699,action126 </> action135
14.0 </> 15.0,Missed Shot </> Defensive Rebound,PT10M55.00S </> PT10M52.00S,MISS Harris 14' Pullup Jump Shot </> Johnson REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202699.0 </> 201949.0,Harris </> Johnson,T. Harris </> J. Johnson,0.0 </> 0.0, </> , </> ,14.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612746.0 </> 1610612748.0,LAC </> MIA,1.0 </> 1.0,23.0 </> 0.0,136.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/14/9bcfa3ac-59db-92ce-dc88-25382ddcb4db_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/15/0bd73b33-61f6-18e6-2429-c142db064e1b_1280x720.mp4,26154 </> 26155,train-26154 </> train-26155,MISS PLAYER202699 14' Pullup Jump Shot </> Johnson DEFENSIVE REBOUND ,PLAYER202699 </> ,action111 </> action135
16.0,Foul,PT10M43.00S,Gilgeous-Alexander P.FOUL (P1.T1) (D.Taylor),0.0,h,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,0.0,,,0.0,,Personal,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/16/dcb2b4fe-f029-e3d3-20da-7b769a061a77_1280x720.mp4,26156,train-26156,PLAYER1628983 P.FOUL ,PLAYER1628983,action16
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M39.00S </> PT10M35.00S,MISS Johnson 25' 3PT Jump Shot </> Gallinari REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,204020.0 </> 201568.0,Johnson </> Gallinari,T. Johnson </> D. Gallinari,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612746.0,MIA </> LAC,1.0 </> 1.0,87.0 </> 0.0,233.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/18/efbb5197-95e5-c598-ff74-4ab7ab683e46_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/19/e4cb57dc-eca4-28c0-4930-ddb274587d23_1280x720.mp4,26157 </> 26158,train-26157 </> train-26158,MISS Johnson 25' 3PT Jump Shot </> PLAYER201568 DEFENSIVE REBOUND , </> PLAYER201568,action109 </> action135
20.0 </> 21.0 </> 22.0,Missed Shot </> Offensive Rebound </> Foul,PT10M27.00S </> PT10M27.00S </> PT10M27.00S,MISS Gallinari 3' Layup </> Marjanovic REBOUND (Off:1 Def:0) </> Adebayo S.FOUL (P1.T1) (D.Taylor),1.0 </> 0.0 </> 0.0,h </> h </> v,1.0 </> 1.0 </> 1.0,201568.0 </> 1626246.0 </> 1628389.0,Gallinari </> Marjanovic </> Adebayo,D. Gallinari </> B. Marjanovic </> B. Adebayo,0.0 </> 0.0 </> 0.0, </>  </> , </>  </> ,3.0 </> 0.0 </> 0.0,Missed </>  </> ,Layup Shot </> Unknown </> Shooting,1610612746.0 </> 1610612746.0 </> 1610612748.0,LAC </> LAC </> MIA,1.0 </> 1.0 </> 1.0,25.0 </> 0.0 </> 0.0,20.0 </> 0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/20/de07aa6a-fcd8-b037-338e-ea5610ce14c2_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/21/8fa97e09-7f13-0af6-af18-cbac0aab7696_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/22/de00702a-3c9f-3ca2-aeb7-46977e9c97e9_1280x720.mp4,26159 </> 26160 </> 26161,train-26159 </> train-26160 </> train-26161,MISS PLAYER201568 3' Layup </> PLAYER1626246 OFFENSIVE REBOUND  </> PLAYER1628389 S.FOUL ,PLAYER201568 </> PLAYER1626246 </> PLAYER1628389,action110 </> action135 </> action18
26.0 </> 27.0,Missed Shot </> Defensive Rebound,PT10M14.00S </> PT10M12.00S,MISS Winslow 18' Pullup Jump Shot </> Bradley REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626159.0 </> 202340.0,Winslow </> Bradley,J. Winslow </> A. Bradley,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612748.0 </> 1610612746.0,MIA </> LAC,1.0 </> 1.0,52.0 </> 0.0,175.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/26/a72c2bbb-b43b-250b-7573-f470796f6ca6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/08/0021800386/27/53f196dd-7c92-3c99-ddb1-78f1353da57b_1280x720.mp4,26162 </> 26163,train-26162 </> train-26163,MISS PLAYER1626159 18' Pullup Jump Shot </> PLAYER202340 DEFENSIVE REBOUND ,PLAYER1626159 </> PLAYER202340,action111 </> action135
