actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Aldridge vs. Gobert: Tip to Rubio,0.0,h,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/4/11ba921a-e293-bdf4-73cc-0f86da06abfe_1280x720.mp4,29271,train-29271,Jump Ball PLAYER200746 vs. PLAYER203497: Tip to PLAYER201937,PLAYER200746 PLAYER203497 PLAYER201937,action41
7.0,Turnover,PT11M44.00S,Gobert Lost Ball Turnover (P1.T1),0.0,v,1.0,203497.0,Gobert,R. Gobert,0.0,,,0.0,,Lost Ball,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/7/a2dcec3f-1de9-bc90-8eb2-197100a6f77e_1280x720.mp4,29272,train-29272,PLAYER203497 Lost Ball Turnover ,PLAYER203497,action153
9.0,Made Shot,PT11M32.00S,Aldridge 13' Turnaround Jump Shot (2 PTS),1.0,h,1.0,200746.0,Aldridge,L. Aldridge,2.0,0,2,13.0,Made,Turnaround Jump Shot,1610612759.0,SAS,1.0,-4.0,132.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/9/47110997-a2ed-13ec-e63b-c798b1cb3710_1280x720.mp4,29273,train-29273,PLAYER200746 13' Turnaround Jump Shot ,PLAYER200746,action87
10.0 </> 11.0,Missed Shot </> Defensive Rebound,PT11M13.00S </> PT11M10.00S,MISS Rubio 3PT Jump Shot </> Gay REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201937.0 </> 200752.0,Rubio </> Gay,R. Rubio </> R. Gay,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612762.0 </> 1610612759.0,UTA </> SAS,1.0 </> 1.0,230.0 </> 0.0,-11.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/10/e25db622-31e5-67c5-f065-dda539f9059d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/11/4bd23b0d-11be-0ea2-c6ba-336a9221d2b4_1280x720.mp4,29274 </> 29275,train-29274 </> train-29275,MISS PLAYER201937 3PT Jump Shot </> PLAYER200752 DEFENSIVE REBOUND ,PLAYER201937 </> PLAYER200752,action109 </> action135
12.0,Made Shot,PT10M56.00S,DeRozan Layup (2 PTS),1.0,h,1.0,201942.0,DeRozan,D. DeRozan,4.0,0,4,0.0,Made,Layup Shot,1610612759.0,SAS,1.0,2.0,-4.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/12/42301cb2-f855-d040-0cc8-4e2acd2ec611_1280x720.mp4,29276,train-29276,PLAYER201942 Layup ,PLAYER201942,action64
13.0,Missed Shot,PT10M36.00S,MISS Mitchell 11' Driving Layup,1.0,v,1.0,1628378.0,Mitchell,D. Mitchell,0.0,,,11.0,Missed,Driving Layup Shot,1610612762.0,UTA,1.0,-110.0,32.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/13/d4a7462f-43ad-083e-7ade-90e55e606800_1280x720.mp4,29277,train-29277,MISS PLAYER1628378 11' Driving Layup,PLAYER1628378,action99
14.0 </> 15.0,Offensive Rebound </> Made Shot,PT10M32.00S </> PT10M32.00S,Gobert REBOUND (Off:1 Def:0) </> Gobert 1' Tip Layup Shot (2 PTS),0.0 </> 1.0,v </> v,1.0 </> 1.0,203497.0 </> 203497.0,Gobert </> Gobert,R. Gobert </> R. Gobert,0.0 </> 6.0, </> 2, </> 4,0.0 </> 1.0, </> Made,Unknown </> Tip Layup Shot,1610612762.0 </> 1610612762.0,UTA </> UTA,1.0 </> 1.0,0.0 </> 0.0,0.0 </> -6.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/14/d51497c1-0294-9875-1992-88ee44feb920_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/15/9cdec858-1956-38cf-4cc0-54fa95a95fad_1280x720.mp4,29278 </> 29279,train-29278 </> train-29279,PLAYER203497 OFFENSIVE REBOUND  </> PLAYER203497 1' Tip Layup Shot ,PLAYER203497 </> PLAYER203497,action135 </> action82
17.0 </> 18.0,Missed Shot </> Defensive Rebound,PT10M12.00S </> PT10M08.00S,MISS DeRozan 22' Pullup Jump Shot </> Gobert REBOUND (Off:1 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201942.0 </> 203497.0,DeRozan </> Gobert,D. DeRozan </> R. Gobert,0.0 </> 0.0, </> , </> ,22.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612759.0 </> 1610612762.0,SAS </> UTA,1.0 </> 1.0,18.0 </> 0.0,218.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/17/9050a59d-483a-087c-b40a-d5e66b713db8_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/18/c095fa1e-36cb-8d6e-9bfe-f05b07007a94_1280x720.mp4,29280 </> 29281,train-29280 </> train-29281,MISS PLAYER201942 22' Pullup Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER201942 </> PLAYER203497,action111 </> action135
19.0,Made Shot,PT09M56.00S,Rubio 19' Pullup Jump Shot (2 PTS) (Gobert 1 AST),1.0,v,1.0,201937.0,Rubio,R. Rubio,8.0,4,4,19.0,Made,Pullup Jump shot,1610612762.0,UTA,1.0,-7.0,190.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/19/a859aa3f-4bf1-3152-c229-a5046e590d63_1280x720.mp4,29282,train-29282,PLAYER201937 19' Pullup Jump Shot (PLAYER203497 AST),PLAYER201937 PLAYER203497,action65
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT09M39.00S </> PT09M37.00S,MISS Gay 25' 3PT Jump Shot </> Gobert REBOUND (Off:1 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,200752.0 </> 203497.0,Gay </> Gobert,R. Gay </> R. Gobert,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612762.0,SAS </> UTA,1.0 </> 1.0,207.0 </> 0.0,137.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/21/6327a92b-ffd0-b146-55e6-7e477c2ea621_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/22/df3d21c1-8f45-ab9c-290e-26c0de746bec_1280x720.mp4,29283 </> 29284,train-29283 </> train-29284,MISS PLAYER200752 25' 3PT Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER200752 </> PLAYER203497,action109 </> action135
23.0 </> 24.0,Missed Shot </> Defensive Rebound,PT09M29.00S </> PT09M27.00S,MISS Rubio 7' Reverse Layup </> Forbes REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201937.0 </> 1627854.0,Rubio </> Forbes,R. Rubio </> B. Forbes,0.0 </> 0.0, </> , </> ,7.0 </> 0.0,Missed </> ,Reverse Layup Shot </> Unknown,1610612762.0 </> 1610612759.0,UTA </> SAS,1.0 </> 1.0,-67.0 </> 0.0,18.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/23/90596c08-1168-3d0a-36e5-bb09844d6ad0_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/24/6e3f186c-ce79-d78c-d206-032ce5412c64_1280x720.mp4,29285 </> 29286,train-29285 </> train-29286,MISS PLAYER201937 7' Reverse Layup </> PLAYER1627854 DEFENSIVE REBOUND ,PLAYER201937 </> PLAYER1627854,action115 </> action135
25.0 </> 26.0,Missed Shot </> Defensive Rebound,PT09M14.00S </> PT09M12.00S,MISS Gay 17' Pullup Jump Shot </> Gobert REBOUND (Off:1 Def:3),1.0 </> 0.0,h </> v,1.0 </> 1.0,200752.0 </> 203497.0,Gay </> Gobert,R. Gay </> R. Gobert,0.0 </> 0.0, </> , </> ,17.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612759.0 </> 1610612762.0,SAS </> UTA,1.0 </> 1.0,121.0 </> 0.0,126.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/25/a5b05c34-4dac-4fd0-65bc-db65e4e22620_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/26/2574b97d-d972-18c0-a1b9-35940bcf33ae_1280x720.mp4,29287 </> 29288,train-29287 </> train-29288,MISS PLAYER200752 17' Pullup Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER200752 </> PLAYER203497,action111 </> action135
27.0 </> 28.0,Missed Shot </> Defensive Rebound,PT09M04.00S </> PT09M00.00S,MISS Rubio 25' 3PT Jump Shot </> Aldridge REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201937.0 </> 200746.0,Rubio </> Aldridge,R. Rubio </> L. Aldridge,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612762.0 </> 1610612759.0,UTA </> SAS,1.0 </> 1.0,-214.0 </> 0.0,128.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/27/1737d4c0-8db8-89f7-8759-afaae6e504e6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/28/1c264f75-6138-d7ab-3f93-aae27a7287c9_1280x720.mp4,29289 </> 29290,train-29289 </> train-29290,MISS PLAYER201937 25' 3PT Jump Shot </> PLAYER200746 DEFENSIVE REBOUND ,PLAYER201937 </> PLAYER200746,action109 </> action135
29.0 </> 30.0,Missed Shot </> Defensive Rebound,PT08M52.00S </> PT08M50.00S,MISS DeRozan 11' Turnaround Fadeaway Shot </> Favors REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201942.0 </> 202324.0,DeRozan </> Favors,D. DeRozan </> D. Favors,0.0 </> 0.0, </> , </> ,11.0 </> 0.0,Missed </> ,Turnaround Fadeaway shot </> Unknown,1610612759.0 </> 1610612762.0,SAS </> UTA,1.0 </> 1.0,-112.0 </> 0.0,20.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/29/5f1e7664-7537-4545-ac91-85988901ec5f_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/30/8b023fe2-d1fd-3d82-705f-5c3590974cc7_1280x720.mp4,29291 </> 29292,train-29291 </> train-29292,MISS PLAYER201942 11' Turnaround Fadeaway Shot </> PLAYER202324 DEFENSIVE REBOUND ,PLAYER201942 </> PLAYER202324,action131 </> action135
31.0 </> 33.0,Turnover </> Foul,PT08M42.00S </> PT08M41.00S,Ingles Bad Pass Turnover (P1.T2) </> Mitchell P.FOUL (P1.T1) (B.Nansel),0.0 </> 0.0,v </> v,1.0 </> 1.0,204060.0 </> 1628378.0,Ingles </> Mitchell,J. Ingles </> D. Mitchell,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Bad Pass </> Personal,1610612762.0 </> 1610612762.0,UTA </> UTA,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/31/6fd67b90-d6dc-4ece-27f1-c89c989f0bc7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/33/0370f026-20e2-3214-b2aa-828a74101b36_1280x720.mp4,29293 </> 29294,train-29293 </> train-29294,PLAYER204060 Bad Pass Turnover  </> PLAYER1628378 P.FOUL ,PLAYER204060 </> PLAYER1628378,action143 </> action16
35.0 </> 36.0,Missed Shot </> Defensive Rebound,PT08M31.00S </> PT08M28.00S,MISS Aldridge 19' Jump Shot </> Favors REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,200746.0 </> 202324.0,Aldridge </> Favors,L. Aldridge </> D. Favors,0.0 </> 0.0, </> , </> ,19.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612762.0,SAS </> UTA,1.0 </> 1.0,130.0 </> 0.0,135.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/35/6df7bd58-a9e3-c15c-1491-4143413f3add_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/36/b21ef824-2c15-847f-fd1f-b5f5d95c5dd5_1280x720.mp4,29295 </> 29296,train-29295 </> train-29296,MISS PLAYER200746 19' Jump Shot </> PLAYER202324 DEFENSIVE REBOUND ,PLAYER200746 </> PLAYER202324,action109 </> action135
37.0,Foul,PT08M15.00S,Aldridge S.FOUL (P1.T1) (B.Nansel),0.0,h,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,Shooting,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/37/227c4740-d8b2-86f1-399f-328f677ef36f_1280x720.mp4,29297,train-29297,PLAYER200746 S.FOUL ,PLAYER200746,action18
41.0,Rebound,PT08M11.00S,Jazz Rebound,0.0,v,1.0,1610612762.0,,,0.0,,,0.0,,Unknown,0.0,,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/41/7ec67f69-2143-30fb-05a5-e9e9eb572c03_1280x720.mp4,29298,train-29298,Jazz Rebound,,action135
44.0,Made Shot,PT08M02.00S,Ingles 2' Driving Finger Roll Layup (2 PTS),1.0,v,1.0,204060.0,Ingles,J. Ingles,11.0,7,4,2.0,Made,Driving Finger Roll Layup Shot,1610612762.0,UTA,1.0,-11.0,13.0,https://videos.nba.com/nba/pbp/media/2018/12/09/0021800390/44/fee546f9-0cf2-4ac0-6dcc-70ce809ddf44_1280x720.mp4,29299,train-29299,PLAYER204060 2' Driving Finger Roll Layup ,PLAYER204060,action49
