actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4,Jump Ball,PT12M00.00S,Jump Ball McGee vs. Adebayo: Tip to Ball,0.0,h,1.0,201580.0,McGee,J. McGee,0.0,,,0.0,,,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/10/0021800401/4/3bacb151-017a-9a84-2ea8-da69440c055a_1280x720.mp4,13259,train-13259,Jump PLAYER1628366 PLAYER201580 vs. PLAYER1628389: Tip to PLAYER1628366,PLAYER1628366 PLAYER201580 PLAYER1628389 PLAYER1628366,action41
8,Missed Shot,PT11M32.00S,MISS Ball 6' Driving Layup,1.0,h,1.0,1628366.0,Ball,L. Ball,0.0,,,6.0,Missed,Driving Layup Shot,1610612747.0,LAL,1.0,11.0,56.0,https://videos.nba.com/nba/pbp/media/2018/12/10/0021800401/8/06fa4c45-10ad-9d38-febe-2e43745b926e_1280x720.mp4,13260,train-13260,MISS PLAYER1628366 6' Driving Layup,PLAYER1628366,action99
12,Made Shot,PT11M18.00S,McGruder 25' 3PT Jump Shot (3 PTS) (Johnson 1 AST),1.0,v,1.0,203585.0,McGruder,R. McGruder,3.0,3,0,25.0,Made,Jump Shot,1610612748.0,MIA,1.0,167.0,186.0,https://videos.nba.com/nba/pbp/media/2018/12/10/0021800401/12/01bad49e-e5b6-cd4d-8feb-9b6d005f3baf_1280x720.mp4,13261,train-13261,PLAYER203585 25' 3PT Jump Shot (Johnson AST),PLAYER203585,action63
14,Made Shot,PT11M07.00S,Hart 25' 3PT Jump Shot (3 PTS) (Ball 1 AST),1.0,h,1.0,1628404.0,Hart,J. Hart,6.0,3,3,25.0,Made,Jump Shot,1610612747.0,LAL,1.0,235.0,78.0,https://videos.nba.com/nba/pbp/media/2018/12/10/0021800401/14/2115158a-d0a7-a3f9-48fe-decc9de99e96_1280x720.mp4,13262,train-13262,PLAYER1628404 25' 3PT Jump Shot (PLAYER1628366 AST),PLAYER1628404 PLAYER1628366,action63
16 </> 18,Missed Shot </> Offensive Rebound,PT10M48.00S </> PT10M45.00S,MISS Richardson 8' Jump Shot </> Richardson REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,1626196.0 </> 1626196.0,Richardson </> Richardson,J. Richardson </> J. Richardson,0.0 </> 0.0, </> , </> ,8.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612748.0,MIA </> MIA,1.0 </> 1.0,-25.0 </> 0.0,79.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/10/0021800401/16/0da7b9fd-703f-3e32-eca1-846092ff907d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/10/0021800401/18/8ee89473-a2a7-6236-f8da-29667b8d27b3_1280x720.mp4,13263 </> 13264,train-13263 </> train-13264,MISS PLAYER1626196 8' Jump Shot </> PLAYER1626196 OFFENSIVE REBOUND ,PLAYER1626196 </> PLAYER1626196,action109 </> action135
19,Foul,PT10M44.00S,Hart P.FOUL (P1.T1) (K.Fitzgerald),0.0,h,1.0,1628404.0,Hart,J. Hart,0.0,,,0.0,,Personal,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/10/0021800401/19/b560cc41-b673-5e28-a1fe-4e2ddbfbaf22_1280x720.mp4,13265,train-13265,PLAYER1628404 P.FOUL ,PLAYER1628404,action16
22,Made Shot,PT10M34.00S,Dragic 7' Driving Floating Jump Shot (2 PTS) (Adebayo 1 AST),1.0,v,1.0,201609.0,Dragic,G. Dragic,8.0,5,3,7.0,Made,Driving Floating Jump Shot,1610612748.0,MIA,1.0,-3.0,69.0,https://videos.nba.com/nba/pbp/media/2018/12/10/0021800401/22/179ff79b-ef31-782f-fa9c-b842e9279128_1280x720.mp4,13266,train-13266,PLAYER201609 7' Driving Floating Jump Shot (PLAYER1628389 AST),PLAYER201609 PLAYER1628389,action51
24,Turnover,PT10M24.00S,McGee Out of Bounds Lost Ball Turnover (P1.T1),0.0,h,1.0,201580.0,McGee,J. McGee,0.0,,,0.0,,Out of Bounds Lost Ball Turnover,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/10/0021800401/24/81eb4308-4b23-d3b1-d9ea-76459c5c932b_1280x720.mp4,13267,train-13267,PLAYER201580 Out of Bounds Lost PLAYER1628366 Turnover ,PLAYER201580 PLAYER1628366,action158
25,Missed Shot,PT10M14.00S,MISS Dragic 27' 3PT Jump Shot,1.0,v,1.0,201609.0,Dragic,G. Dragic,0.0,,,27.0,Missed,Jump Shot,1610612748.0,MIA,1.0,149.0,230.0,https://videos.nba.com/nba/pbp/media/2018/12/10/0021800401/25/a8eeec65-524e-9957-dc8a-fff7949f6ec1_1280x720.mp4,13268,train-13268,MISS PLAYER201609 27' 3PT Jump Shot,PLAYER201609,action109
26,Defensive Rebound,PT10M10.00S,McGee REBOUND (Off:0 Def:1),0.0,h,1.0,201580.0,McGee,J. McGee,0.0,,,0.0,,Unknown,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/10/0021800401/26/088c3da3-ca6d-58ec-8efb-4f5a496a9907_1280x720.mp4,13269,train-13269,PLAYER201580 DEFENSIVE REBOUND ,PLAYER201580,action135
