actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Aldridge vs. Ayton: Tip to DeRozan,0.0,h,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/4/7178dae7-11bd-ba0c-ca50-b9e6ae60c834_1280x720.mp4,24482,train-24482,Jump Ball PLAYER200746 vs. PLAYER1629028: Tip to PLAYER201942,PLAYER200746 PLAYER1629028 PLAYER201942,action41
7.0,Made Shot,PT11M42.00S,Forbes 27' 3PT Jump Shot (3 PTS) (DeRozan 1 AST),1.0,h,1.0,1627854.0,Forbes,B. Forbes,3.0,0,3,27.0,Made,Jump Shot,1610612759.0,SAS,1.0,133.0,230.0,https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/7/16909a8d-ac84-a02e-9169-4c83d89d4508_1280x720.mp4,24483,train-24483,PLAYER1627854 27' 3PT Jump Shot (PLAYER201942 AST),PLAYER1627854 PLAYER201942,action63
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M17.00S </> PT11M14.00S,MISS Warren 26' 3PT Jump Shot </> Forbes REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203933.0 </> 1627854.0,Warren </> Forbes,T. Warren </> B. Forbes,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612759.0,PHX </> SAS,1.0 </> 1.0,180.0 </> 0.0,189.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/9/b5f6e4b7-3739-80d3-0d36-7897fd4523b1_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/10/3f585927-f693-3652-2fb2-02995fde93a0_1280x720.mp4,24484 </> 24485,train-24484 </> train-24485,MISS PLAYER203933 26' 3PT Jump Shot </> PLAYER1627854 DEFENSIVE REBOUND ,PLAYER203933 </> PLAYER1627854,action109 </> action135
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M09.00S </> PT11M06.00S,MISS Gay 28' 3PT Jump Shot </> Jackson REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,200752.0 </> 1628367.0,Gay </> Jackson,R. Gay </> J. Jackson,0.0 </> 0.0, </> , </> ,28.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612756.0,SAS </> PHX,1.0 </> 1.0,-132.0 </> 0.0,247.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/11/f99e818c-ac34-fe6a-061f-ec82979b2d38_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/12/d86112d2-b2a5-9935-b406-632ddd33662e_1280x720.mp4,24486 </> 24487,train-24486 </> train-24487,MISS PLAYER200752 28' 3PT Jump Shot </> PLAYER1628367 DEFENSIVE REBOUND ,PLAYER200752 </> PLAYER1628367,action109 </> action135
13.0,Foul,PT11M00.00S,Gay P.FOUL (P1.T1) (J.Capers),0.0,h,1.0,200752.0,Gay,R. Gay,0.0,,,0.0,,Personal,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/13/d3d7e0cf-1297-9752-ae33-305b128519e9_1280x720.mp4,24488,train-24488,PLAYER200752 P.FOUL ,PLAYER200752,action16
15.0 </> 16.0,Missed Shot </> Defensive Rebound,PT10M49.00S </> PT10M46.00S,MISS Ayton 17' Jump Shot </> Forbes REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629028.0 </> 1627854.0,Ayton </> Forbes,D. Ayton </> B. Forbes,0.0 </> 0.0, </> , </> ,17.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612759.0,PHX </> SAS,1.0 </> 1.0,66.0 </> 0.0,153.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/15/69a0eba0-7808-4f6b-d97f-ebbf927d907d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/16/7852854b-61fb-fd3d-4094-0d8f58a8c277_1280x720.mp4,24489 </> 24490,train-24489 </> train-24490,MISS PLAYER1629028 17' Jump Shot </> PLAYER1627854 DEFENSIVE REBOUND ,PLAYER1629028 </> PLAYER1627854,action109 </> action135
17.0 </> 18.0,Missed Shot </> Defensive Rebound,PT10M35.00S </> PT10M32.00S,MISS Aldridge 21' Jump Shot </> Melton REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,200746.0 </> 1629001.0,Aldridge </> Melton,L. Aldridge </> D. Melton,0.0 </> 0.0, </> , </> ,21.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612756.0,SAS </> PHX,1.0 </> 1.0,-120.0 </> 0.0,174.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/17/e9c20460-fb43-8ad9-a7f6-3f0f18620304_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/18/0cebb6e2-13f7-db02-9e19-d1faede95886_1280x720.mp4,24491 </> 24492,train-24491 </> train-24492,MISS PLAYER200746 21' Jump Shot </> PLAYER1629001 DEFENSIVE REBOUND ,PLAYER200746 </> PLAYER1629001,action109 </> action135
19.0,Made Shot,PT10M18.00S,Melton 25' 3PT Jump Shot (3 PTS) (Ayton 1 AST),1.0,v,1.0,1629001.0,Melton,D. Melton,6.0,3,3,25.0,Made,Jump Shot,1610612756.0,PHX,1.0,143.0,203.0,https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/19/4bfc947a-9443-b34b-ade1-c29f64404daf_1280x720.mp4,24493,train-24493,PLAYER1629001 25' 3PT Jump Shot (PLAYER1629028 AST),PLAYER1629001 PLAYER1629028,action63
21.0,Foul,PT10M10.00S,Bridges P.FOUL (P1.T1) (B.Forte),0.0,v,1.0,1628969.0,Bridges,M. Bridges,0.0,,,0.0,,Personal,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/21/b037d930-47a9-adc2-efd3-ce29c5dfb755_1280x720.mp4,24494,train-24494,PLAYER1628969 P.FOUL ,PLAYER1628969,action16
24.0,Made Shot,PT09M52.00S,Gay 8' Layup (2 PTS) (White 1 AST),1.0,h,1.0,200752.0,Gay,R. Gay,8.0,3,5,8.0,Made,Layup Shot,1610612759.0,SAS,1.0,-65.0,42.0,https://videos.nba.com/nba/pbp/media/2018/12/11/0021800403/24/638d2ad1-97b1-1760-a696-fed4ac3a2601_1280x720.mp4,24495,train-24495,PLAYER200752 8' Layup (PLAYER1628401 AST),PLAYER200752 PLAYER1628401,action64
