actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gobert vs. Adebayo: Tip to Mitchell,0.0,h,1.0,203497.0,Gobert,R. Gobert,0.0,,,0.0,,,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/4/c8e0208f-fd85-ff72-d732-2dcafe07ec37_1280x720.mp4,33277,train-33277,Jump Ball PLAYER203497 vs. PLAYER1628389: Tip to PLAYER1628378,PLAYER203497 PLAYER1628389 PLAYER1628378,action41
7.0,Made Shot,PT11M37.00S,Ingles 26' 3PT Jump Shot (3 PTS) (Rubio 1 AST),1.0,h,1.0,204060.0,Ingles,J. Ingles,3.0,0,3,26.0,Made,Jump Shot,1610612762.0,UTA,1.0,-128.0,226.0,https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/7/f10a40d2-4204-edb8-f6e5-63a32addaed4_1280x720.mp4,33278,train-33278,PLAYER204060 26' 3PT Jump Shot (PLAYER201937 AST),PLAYER204060 PLAYER201937,action63
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M22.00S </> PT11M19.00S,MISS Johnson 24' 3PT Jump Shot </> Mitchell REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201949.0 </> 1628378.0,Johnson </> Mitchell,J. Johnson </> D. Mitchell,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612762.0,MIA </> UTA,1.0 </> 1.0,115.0 </> 0.0,214.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/9/c42890fc-c486-ffde-c2bb-74bb9a5607de_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/10/0b1acd59-2910-cd5a-0b37-0587c6b2a121_1280x720.mp4,33279 </> 33280,train-33279 </> train-33280,MISS Johnson 24' 3PT Jump Shot </> PLAYER1628378 DEFENSIVE REBOUND , </> PLAYER1628378,action109 </> action135
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M13.00S </> PT11M09.00S,MISS Ingles 25' 3PT Pullup Jump Shot </> Adebayo REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,204060.0 </> 1628389.0,Ingles </> Adebayo,J. Ingles </> B. Adebayo,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612762.0 </> 1610612748.0,UTA </> MIA,1.0 </> 1.0,71.0 </> 0.0,238.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/11/22841b87-7a18-e3c8-db06-1316de813435_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/12/23cbe814-7f1d-7d87-51cc-bdea122b3461_1280x720.mp4,33281 </> 33282,train-33281 </> train-33282,MISS PLAYER204060 25' 3PT Pullup Jump Shot </> PLAYER1628389 DEFENSIVE REBOUND ,PLAYER204060 </> PLAYER1628389,action111 </> action135
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT10M55.00S </> PT10M52.00S,MISS Adebayo 12' Jump Shot </> Gobert REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628389.0 </> 203497.0,Adebayo </> Gobert,B. Adebayo </> R. Gobert,0.0 </> 0.0, </> , </> ,12.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612762.0,MIA </> UTA,1.0 </> 1.0,29.0 </> 0.0,121.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/13/256666d6-6c39-b1d3-32bc-fe7a28e823af_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/14/38824e42-9b6a-cb03-6ff7-2f44d9582f6e_1280x720.mp4,33283 </> 33284,train-33283 </> train-33284,MISS PLAYER1628389 12' Jump Shot </> PLAYER203497 DEFENSIVE REBOUND ,PLAYER1628389 </> PLAYER203497,action109 </> action135
15.0 </> 16.0,Missed Shot </> Offensive Rebound,PT10M47.00S </> PT10M43.00S,MISS Crowder 25' 3PT Jump Shot </> Mitchell REBOUND (Off:1 Def:1),1.0 </> 0.0,h </> h,1.0 </> 1.0,203109.0 </> 1628378.0,Crowder </> Mitchell,J. Crowder </> D. Mitchell,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612762.0 </> 1610612762.0,UTA </> UTA,1.0 </> 1.0,100.0 </> 0.0,227.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/15/84dd3406-5a81-5699-a8a3-7fb60e2eb08d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/16/e819d732-d65a-7f2b-7ee8-9b0c0bc0a473_1280x720.mp4,33285 </> 33286,train-33285 </> train-33286,MISS PLAYER203109 25' 3PT Jump Shot </> PLAYER1628378 OFFENSIVE REBOUND ,PLAYER203109 </> PLAYER1628378,action109 </> action135
17.0,Made Shot,PT10M41.00S,Mitchell 3' Driving Layup (2 PTS),1.0,h,1.0,1628378.0,Mitchell,D. Mitchell,5.0,0,5,3.0,Made,Driving Layup Shot,1610612762.0,UTA,1.0,-23.0,20.0,https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/17/e82427c3-397d-a283-b7a1-5d9d3a2dcd12_1280x720.mp4,33287,train-33287,PLAYER1628378 3' Driving Layup ,PLAYER1628378,action53
18.0,Missed Shot,PT10M25.00S,MISS Adebayo 3' Hook Shot,1.0,v,1.0,1628389.0,Adebayo,B. Adebayo,0.0,,,3.0,Missed,Hook Shot,1610612748.0,MIA,1.0,-11.0,31.0,https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/18/fd3bfe9d-a546-0840-6eab-66e4946c7211_1280x720.mp4,33288,train-33288,MISS PLAYER1628389 3' Hook Shot,PLAYER1628389,action107
22.0,Missed Shot,PT10M08.00S,MISS Mitchell 10' Fadeaway Jumper,1.0,h,1.0,1628378.0,Mitchell,D. Mitchell,0.0,,,10.0,Missed,Fadeaway Jump Shot,1610612762.0,UTA,1.0,30.0,99.0,https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/22/92647d54-72a7-ce9f-fd8a-c634b9bcb3d9_1280x720.mp4,33289,train-33289,MISS PLAYER1628378 10' Fadeaway Jumper,PLAYER1628378,action103
25.0,Turnover,PT09M48.00S,Johnson Traveling Turnover (P1.T1),0.0,v,1.0,204020.0,Johnson,T. Johnson,0.0,,,0.0,,Traveling,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/12/0021800413/25/e3cfa9f4-61e3-4dfd-5c1f-fe7e062f475e_1280x720.mp4,33290,train-33290,Johnson Traveling Turnover ,,action163
