actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Aldridge vs. Gortat: Tip to Bradley,0.0,h,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/4/308d9bd9-22cb-bdcd-13c1-52147dc7f8c4_1280x720.mp4,2373,train-2373,Jump Ball PLAYER200746 vs. PLAYER101162: Tip to PLAYER202340,PLAYER200746 PLAYER101162 PLAYER202340,action41
56.0,Turnover,PT11M36.00S,Gilgeous-Alexander Bad Pass Turnover (P1.T1),0.0,v,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,0.0,,,0.0,,Bad Pass,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/56/5a5597bc-3dea-2d5e-4916-6b3166a1fb7f_1280x720.mp4,2374,train-2374,PLAYER1628983 Bad Pass Turnover ,PLAYER1628983,action143
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M26.00S </> PT11M23.00S,MISS Forbes 27' 3PT Jump Shot </> Gortat REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627854.0 </> 101162.0,Forbes </> Gortat,B. Forbes </> M. Gortat,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612746.0,SAS </> LAC,1.0 </> 1.0,80.0 </> 0.0,253.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/9/b617760e-57ad-cc61-88d3-a320815e8f62_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/10/a4f90476-fde1-0b56-4ed4-4d5e22ac84ce_1280x720.mp4,2375 </> 2376,train-2375 </> train-2376,MISS PLAYER1627854 27' 3PT Jump Shot </> PLAYER101162 DEFENSIVE REBOUND ,PLAYER1627854 </> PLAYER101162,action109 </> action135
11.0,Made Shot,PT11M15.00S,Harris 15' Jump Shot (2 PTS) (Bradley 1 AST),1.0,v,1.0,202699.0,Harris,T. Harris,2.0,2,0,15.0,Made,Jump Shot,1610612746.0,LAC,1.0,-69.0,134.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/11/26ba6dbe-3666-b8eb-9493-33945eb34e31_1280x720.mp4,2377,train-2377,PLAYER202699 15' Jump Shot (PLAYER202340 AST),PLAYER202699 PLAYER202340,action63
13.0,Made Shot,PT10M52.00S,Aldridge 5' Turnaround Hook Shot (2 PTS) (DeRozan 1 AST),1.0,h,1.0,200746.0,Aldridge,L. Aldridge,4.0,2,2,5.0,Made,Turnaround Hook Shot,1610612759.0,SAS,1.0,-33.0,39.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/13/4b9ae9a9-aee3-47b5-eb6e-c5e35cd0d1d5_1280x720.mp4,2378,train-2378,PLAYER200746 5' Turnaround Hook Shot (PLAYER201942 AST),PLAYER200746 PLAYER201942,action86
15.0,Made Shot,PT10M37.00S,Bradley 26' 3PT Pullup Jump Shot (3 PTS) (Gallinari 1 AST),1.0,v,1.0,202340.0,Bradley,A. Bradley,7.0,5,2,26.0,Made,Pullup Jump shot,1610612746.0,LAC,1.0,-89.0,241.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/15/4b16cd6e-6b6f-f356-b0e8-951a2f2b7e1a_1280x720.mp4,2379,train-2379,PLAYER202340 26' 3PT Pullup Jump Shot (PLAYER201568 AST),PLAYER202340 PLAYER201568,action65
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M23.00S </> PT10M21.00S,MISS DeRozan 15' Turnaround Jump Shot </> Gortat REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,201942.0 </> 101162.0,DeRozan </> Gortat,D. DeRozan </> M. Gortat,0.0 </> 0.0, </> , </> ,15.0 </> 0.0,Missed </> ,Turnaround Jump Shot </> Unknown,1610612759.0 </> 1610612746.0,SAS </> LAC,1.0 </> 1.0,-6.0 </> 0.0,147.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/16/dfff45bb-2397-b29b-f674-1f67fbe5a074_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/17/8eaea9f6-defc-5c4e-4d8e-4abe9c752f12_1280x720.mp4,2380 </> 2381,train-2380 </> train-2381,MISS PLAYER201942 15' Turnaround Jump Shot </> PLAYER101162 DEFENSIVE REBOUND ,PLAYER201942 </> PLAYER101162,action133 </> action135
18.0 </> 20.0,Turnover </> Foul,PT10M15.00S </> PT10M15.00S,Gilgeous-Alexander Lost Ball Turnover (P2.T2) </> Gilgeous-Alexander P.FOUL (P1.T1) (H.Workman),0.0 </> 0.0,v </> v,1.0 </> 1.0,1628983.0 </> 1628983.0,Gilgeous-Alexander </> Gilgeous-Alexander,S. Gilgeous-Alexander </> S. Gilgeous-Alexander,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Lost Ball </> Personal,1610612746.0 </> 1610612746.0,LAC </> LAC,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/18/841bfa71-000e-031d-c303-93ccbddff099_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/20/b01cc6b7-02ed-754f-ece7-768f6e357250_1280x720.mp4,2382 </> 2383,train-2382 </> train-2383,PLAYER1628983 Lost Ball Turnover  </> PLAYER1628983 P.FOUL ,PLAYER1628983 </> PLAYER1628983,action153 </> action16
23.0,Made Shot,PT09M53.00S,Gay 26' 3PT Pullup Jump Shot (3 PTS),1.0,h,1.0,200752.0,Gay,R. Gay,10.0,5,5,26.0,Made,Pullup Jump shot,1610612759.0,SAS,1.0,107.0,239.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/23/8442116c-7b42-cf73-6d8e-57fe465589b2_1280x720.mp4,2384,train-2384,PLAYER200752 26' 3PT Pullup Jump Shot ,PLAYER200752,action65
24.0,Made Shot,PT09M40.00S,Harris 10' Pullup Jump Shot (4 PTS),1.0,v,1.0,202699.0,Harris,T. Harris,12.0,7,5,10.0,Made,Pullup Jump shot,1610612746.0,LAC,1.0,13.0,101.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800417/24/02c4b0de-c7b5-f1ba-ded8-7406a16fca60_1280x720.mp4,2385,train-2385,PLAYER202699 10' Pullup Jump Shot ,PLAYER202699,action65
