actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Ayton vs. Jordan: Tip to Smith Jr.,0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/4/323af8c6-6b15-c34f-cb47-7a1abd3ecb0b_1280x720.mp4,39804,test-678,Jump Ball PLAYER1629028 vs. PLAYER201599: Tip to PLAYER1628372,PLAYER1629028 PLAYER201599 PLAYER1628372,action41
7.0,Turnover,PT11M46.00S,Doncic Bad Pass Turnover (P1.T1),0.0,v,1.0,1629029.0,Doncic,L. Doncic,0.0,,,0.0,,Bad Pass,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/7/8cad5a9a-dc76-81ef-3b4e-151279b72741_1280x720.mp4,39805,test-679,PLAYER1629029 Bad Pass Turnover ,PLAYER1629029,action143
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M31.00S </> PT11M20.00S,MISS Ayton 14' Jump Shot </> Smith Jr. REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1629028.0 </> 1628372.0,Ayton </> Smith Jr.,D. Ayton </> D. Smith Jr.,0.0 </> 0.0, </> , </> ,14.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,125.0 </> 0.0,53.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/9/584c34ac-028f-d266-3681-aa124b311ffc_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/10/958f7e35-de98-494f-19f9-e958e0684c2f_1280x720.mp4,39806 </> 39807,test-680 </> test-681,MISS PLAYER1629028 14' Jump Shot </> PLAYER1628372 DEFENSIVE REBOUND ,PLAYER1629028 </> PLAYER1628372,action109 </> action135
11.0,Turnover,PT11M14.00S,Smith Jr. Bad Pass Turnover (P1.T2),0.0,v,1.0,1628372.0,Smith Jr.,D. Smith Jr.,0.0,,,0.0,,Bad Pass,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/11/f8b8544a-cc99-de9c-b0c0-d09a33ff7b79_1280x720.mp4,39808,test-682,PLAYER1628372 Bad Pass Turnover ,PLAYER1628372,action143
13.0,Missed Shot,PT10M55.00S,MISS Warren 3PT Jump Shot,1.0,h,1.0,203933.0,Warren,T. Warren,0.0,,,0.0,Missed,Jump Shot,1610612756.0,PHX,1.0,-231.0,13.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/13/22e1bd64-b33e-97d6-218c-87b545cc2dcc_1280x720.mp4,39809,test-683,MISS PLAYER203933 3PT Jump Shot,PLAYER203933,action109
14.0,Defensive Rebound,PT10M52.00S,Barnes REBOUND (Off:0 Def:1),0.0,v,1.0,203084.0,Barnes,H. Barnes,0.0,,,0.0,,Unknown,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/14/468d1ff2-414a-5fdb-8d80-f73abed6c526_1280x720.mp4,39810,test-684,PLAYER203084 DEFENSIVE REBOUND ,PLAYER203084,action135
15.0,Made Shot,PT10M39.00S,Barnes 17' Pullup Jump Shot (2 PTS),1.0,v,1.0,203084.0,Barnes,H. Barnes,2.0,2,0,17.0,Made,Pullup Jump shot,1610612742.0,DAL,1.0,1.0,167.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/15/ec7e1b98-e1ac-8164-a10b-cd41ea1fa631_1280x720.mp4,39811,test-685,PLAYER203084 17' Pullup Jump Shot ,PLAYER203084,action65
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M19.00S </> PT10M17.00S,MISS Ayton 5' Turnaround Hook Shot </> Jordan REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1629028.0 </> 201599.0,Ayton </> Jordan,D. Ayton </> D. Jordan,0.0 </> 0.0, </> , </> ,5.0 </> 0.0,Missed </> ,Turnaround Hook Shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,-51.0 </> 0.0,7.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/16/78652acb-4bcb-2a8e-100c-ec029b3a1695_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/17/a3533b95-f28c-2c78-0ab6-17a9d09684d6_1280x720.mp4,39812 </> 39813,test-686 </> test-687,MISS PLAYER1629028 5' Turnaround Hook Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER1629028 </> PLAYER201599,action132 </> action135
18.0,Missed Shot,PT10M09.00S,MISS Barnes 3PT Jump Shot,1.0,v,1.0,203084.0,Barnes,H. Barnes,0.0,,,0.0,Missed,Jump Shot,1610612742.0,DAL,1.0,228.0,19.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/18/773d10f2-1561-e2b7-cf3b-6085dde4b5d1_1280x720.mp4,39814,test-688,MISS PLAYER203084 3PT Jump Shot,PLAYER203084,action109
19.0,Defensive Rebound,PT10M07.00S,Bridges REBOUND (Off:0 Def:1),0.0,h,1.0,1628969.0,Bridges,M. Bridges,0.0,,,0.0,,Unknown,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/19/8634cec5-26be-43bf-d9d1-b787474a4d84_1280x720.mp4,39815,test-689,PLAYER1628969 DEFENSIVE REBOUND ,PLAYER1628969,action135
20.0,Made Shot,PT09M55.00S,Warren 2' Driving Layup (2 PTS),1.0,h,1.0,203933.0,Warren,T. Warren,4.0,2,2,2.0,Made,Driving Layup Shot,1610612756.0,PHX,1.0,-23.0,9.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/20/26a72d9b-e2b9-471b-59d9-d66c4ce82e2b_1280x720.mp4,39816,test-690,PLAYER203933 2' Driving Layup ,PLAYER203933,action53
21.0,Foul,PT09M39.00S,Warren S.FOUL (P1.T1) (T.Brothers),0.0,h,1.0,203933.0,Warren,T. Warren,0.0,,,0.0,,Shooting,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/21/81a650ee-d1b5-81bb-a4dc-91e421f5b23a_1280x720.mp4,39817,test-691,PLAYER203933 S.FOUL ,PLAYER203933,action18
26.0,Made Shot,PT09M19.00S,Warren 9' Driving Floating Bank Jump Shot (4 PTS),1.0,h,1.0,203933.0,Warren,T. Warren,7.0,3,4,9.0,Made,Driving Floating Bank Jump Shot,1610612756.0,PHX,1.0,84.0,38.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/26/5aadca21-ca92-590b-8d26-0b8aa291fdd0_1280x720.mp4,39818,test-692,PLAYER203933 9' Driving Floating Bank Jump Shot ,PLAYER203933,action50
27.0,Made Shot,PT09M06.00S,Matthews 4' Turnaround Jump Shot (2 PTS),1.0,v,1.0,202083.0,Matthews,W. Matthews,9.0,5,4,4.0,Made,Turnaround Jump Shot,1610612742.0,DAL,1.0,34.0,17.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/27/77bba1a3-981d-a5b8-0454-6b27a8b8ec64_1280x720.mp4,39819,test-693,PLAYER202083 4' Turnaround Jump Shot ,PLAYER202083,action87
28.0 </> 29.0,Missed Shot </> Defensive Rebound,PT08M54.00S </> PT08M52.00S,MISS Ayton 16' Jump Shot </> Jordan REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,1629028.0 </> 201599.0,Ayton </> Jordan,D. Ayton </> D. Jordan,0.0 </> 0.0, </> , </> ,16.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,41.0 </> 0.0,159.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/28/44934d42-caa1-c0a4-5f54-5858af789196_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/13/0021800419/29/12e1a2eb-0622-569b-3c5c-9abd0d0c8c84_1280x720.mp4,39820 </> 39821,test-694 </> test-695,MISS PLAYER1629028 16' Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER1629028 </> PLAYER201599,action109 </> action135
