actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Aldridge vs. Embiid: Tip to Simmons,0.0,h,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/4/327a1e8f-19e1-d94f-b031-1b5d4df1b9c9_1280x720.mp4,1709,train-1709,Jump Ball PLAYER200746 vs. PLAYER203954: Tip to PLAYER1627732,PLAYER200746 PLAYER203954 PLAYER1627732,action41
7.0,Made Shot,PT11M48.00S,Redick 21' Pullup Jump Shot (2 PTS) (Embiid 1 AST),1.0,v,1.0,200755.0,Redick,J. Redick,2.0,2,0,21.0,Made,Pullup Jump shot,1610612755.0,PHI,1.0,96.0,184.0,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/7/cea1cc6a-97cb-e753-5b9d-c9ec189b0257_1280x720.mp4,1710,train-1710,PLAYER200755 21' Pullup Jump Shot (PLAYER203954 AST),PLAYER200755 PLAYER203954,action65
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M25.00S </> PT11M22.00S,MISS Forbes 18' Pullup Jump Shot </> Simmons REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627854.0 </> 1627732.0,Forbes </> Simmons,B. Forbes </> B. Simmons,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612759.0 </> 1610612755.0,SAS </> PHI,1.0 </> 1.0,120.0 </> 0.0,132.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/9/16714c95-c9ea-6015-1558-f0212a281e33_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/10/a67b7b9c-229f-b860-c989-7bd17f5d063f_1280x720.mp4,1711 </> 1712,train-1711 </> train-1712,MISS PLAYER1627854 18' Pullup Jump Shot </> PLAYER1627732 DEFENSIVE REBOUND ,PLAYER1627854 </> PLAYER1627732,action111 </> action135
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M10.00S </> PT11M07.00S,MISS Butler 25' 3PT Pullup Jump Shot </> Gay REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202710.0 </> 200752.0,Butler </> Gay,J. Butler </> R. Gay,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612755.0 </> 1610612759.0,PHI </> SAS,1.0 </> 1.0,206.0 </> 0.0,137.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/11/cf64ab3b-3bda-8f78-de46-cad3b19f7eb8_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/12/8b70d0af-b7b2-85c4-d814-79d1f477c542_1280x720.mp4,1713 </> 1714,train-1713 </> train-1714,MISS PLAYER202710 25' 3PT Pullup Jump Shot </> PLAYER200752 DEFENSIVE REBOUND ,PLAYER202710 </> PLAYER200752,action111 </> action135
13.0,Made Shot,PT10M56.00S,Aldridge 20' Jump Shot (2 PTS) (DeRozan 1 AST),1.0,h,1.0,200746.0,Aldridge,L. Aldridge,4.0,2,2,20.0,Made,Jump Shot,1610612759.0,SAS,1.0,24.0,197.0,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/13/3e97b246-57b5-a706-d7ce-3b06d6434c59_1280x720.mp4,1715,train-1715,PLAYER200746 20' Jump Shot (PLAYER201942 AST),PLAYER200746 PLAYER201942,action63
15.0,Foul,PT10M48.00S,Forbes P.FOUL (P1.T1) (T.Maddox),0.0,h,1.0,1627854.0,Forbes,B. Forbes,0.0,,,0.0,,Personal,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/15/87599b29-2829-ffc4-9914-2ac3bd11de03_1280x720.mp4,1716,train-1716,PLAYER1627854 P.FOUL ,PLAYER1627854,action16
17.0,Foul,PT10M44.00S,Aldridge P.FOUL (P1.T2) (S.Foster),0.0,h,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,Personal,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/17/ee2be201-d23d-04be-0382-45baec971643_1280x720.mp4,1717,train-1717,PLAYER200746 P.FOUL ,PLAYER200746,action16
19.0 </> 20.0,Missed Shot </> Defensive Rebound,PT10M36.00S </> PT10M33.00S,MISS Embiid 26' 3PT Jump Shot </> Gay REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,203954.0 </> 200752.0,Embiid </> Gay,J. Embiid </> R. Gay,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612755.0 </> 1610612759.0,PHI </> SAS,1.0 </> 1.0,-5.0 </> 0.0,261.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/19/67007b15-5734-4a2b-1096-af5d78b30878_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/20/a249f84d-feaf-96f1-62ce-50058efbbf2a_1280x720.mp4,1718 </> 1719,train-1718 </> train-1719,MISS PLAYER203954 26' 3PT Jump Shot </> PLAYER200752 DEFENSIVE REBOUND ,PLAYER203954 </> PLAYER200752,action109 </> action135
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT10M27.00S </> PT10M23.00S,MISS Gay 17' Pullup Jump Shot </> Simmons REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,200752.0 </> 1627732.0,Gay </> Simmons,R. Gay </> B. Simmons,0.0 </> 0.0, </> , </> ,17.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612759.0 </> 1610612755.0,SAS </> PHI,1.0 </> 1.0,127.0 </> 0.0,120.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/21/372c82d3-15bf-b73a-eac4-aa9bda5279af_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/22/a854a429-61d4-d37f-b9d8-c45e0e2748bc_1280x720.mp4,1720 </> 1721,train-1720 </> train-1721,MISS PLAYER200752 17' Pullup Jump Shot </> PLAYER1627732 DEFENSIVE REBOUND ,PLAYER200752 </> PLAYER1627732,action111 </> action135
23.0,Made Shot,PT10M18.00S,Embiid 18' Jump Shot (2 PTS) (Simmons 1 AST),1.0,v,1.0,203954.0,Embiid,J. Embiid,6.0,4,2,18.0,Made,Jump Shot,1610612755.0,PHI,1.0,-4.0,180.0,https://videos.nba.com/nba/pbp/media/2018/12/17/0021800448/23/385fb2a7-742a-aeb3-c996-7f0a45904685_1280x720.mp4,1722,train-1722,PLAYER203954 18' Jump Shot (PLAYER1627732 AST),PLAYER203954 PLAYER1627732,action63
