actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Allen vs. Chandler: Tip to Russell,0.0,h,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/4/b1436df0-886e-8195-5fb5-f25ca2e5ffcd_1280x720.mp4,5190,train-5190,Jump PLAYER1628366 PLAYER1628386 vs. PLAYER2199: Tip to PLAYER1626156,PLAYER1628366 PLAYER1628386 PLAYER2199 PLAYER1626156,action41
7.0,Missed Shot,PT11M36.00S,MISS Kurucs 3PT Jump Shot,1.0,h,1.0,1629066.0,Kurucs,R. Kurucs,0.0,,,0.0,Missed,Jump Shot,1610612751.0,BKN,1.0,-230.0,-14.0,https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/7/50482196-65f6-778d-c55e-c41f92b0488c_1280x720.mp4,5191,train-5191,MISS PLAYER1629066 3PT Jump Shot,PLAYER1629066,action109
10.0,Made Shot,PT11M21.00S,Chandler 4' Hook Shot (2 PTS) (James 1 AST),1.0,v,1.0,2199.0,Chandler,T. Chandler,2.0,2,0,4.0,Made,Hook Shot,1610612747.0,LAL,1.0,24.0,37.0,https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/10/ddb51029-6e99-a778-2385-b8e80898f0ae_1280x720.mp4,5192,train-5192,PLAYER2199 4' Hook Shot (PLAYER2544 AST),PLAYER2199 PLAYER2544,action61
12.0,Missed Shot,PT11M07.00S,MISS Harris 2' Driving Layup,1.0,h,1.0,203925.0,Harris,J. Harris,0.0,,,2.0,Missed,Driving Layup Shot,1610612751.0,BKN,1.0,-22.0,8.0,https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/12/625f1b42-d269-07e9-ec9a-94dd5e6b005b_1280x720.mp4,5193,train-5193,MISS PLAYER203925 2' Driving Layup,PLAYER203925,action99
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M59.00S </> PT10M55.00S,MISS Allen 5' Hook Shot </> Kuzma REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628386.0 </> 1628398.0,Allen </> Kuzma,J. Allen </> K. Kuzma,0.0 </> 0.0, </> , </> ,5.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612751.0 </> 1610612747.0,BKN </> LAL,1.0 </> 1.0,-2.0 </> 0.0,48.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/16/dc1807b9-93cd-6306-d791-22e0a6673b5e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/17/78aab445-65ff-9463-a9c3-01b9dc7939cd_1280x720.mp4,5194 </> 5195,train-5194 </> train-5195,MISS PLAYER1628386 5' Hook Shot </> PLAYER1628398 DEFENSIVE REBOUND ,PLAYER1628386 </> PLAYER1628398,action107 </> action135
18.0 </> 20.0,Missed Shot </> Defensive Rebound,PT10M50.00S </> PT10M46.00S,MISS James 4' Driving Dunk </> Russell REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,2544.0 </> 1626156.0,James </> Russell,L. James </> D. Russell,0.0 </> 0.0, </> , </> ,4.0 </> 0.0,Missed </> ,Driving Dunk Shot </> Unknown,1610612747.0 </> 1610612751.0,LAL </> BKN,1.0 </> 1.0,18.0 </> 0.0,31.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/18/683554cb-f11b-4318-f74e-5afd1693da9a_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/20/0c7d67ca-01c6-7603-7d82-93bd939673f3_1280x720.mp4,5196 </> 5197,train-5196 </> train-5197,MISS PLAYER2544 4' Driving Dunk </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER2544 </> PLAYER1626156,action94 </> action135
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT10M36.00S </> PT10M34.00S,MISS Russell 18' Step Back Jump Shot </> James REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626156.0 </> 2544.0,Russell </> James,D. Russell </> L. James,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612751.0 </> 1610612747.0,BKN </> LAL,1.0 </> 1.0,167.0 </> 0.0,53.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/21/2ab95211-a032-e141-849f-70be3ee2f6b9_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/22/0525d1a2-45c0-4be4-6599-125ccdb62edc_1280x720.mp4,5198 </> 5199,train-5198 </> train-5199,MISS PLAYER1626156 18' Step Back Jump Shot </> PLAYER2544 DEFENSIVE REBOUND ,PLAYER1626156 </> PLAYER2544,action126 </> action135
23.0,Missed Shot,PT10M32.00S,MISS Hart 2' Driving Layup,1.0,v,1.0,1628404.0,Hart,J. Hart,0.0,,,2.0,Missed,Driving Layup Shot,1610612747.0,LAL,1.0,0.0,21.0,https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/23/b02d2bc1-72db-7255-c8f2-a109c4502673_1280x720.mp4,5200,train-5200,MISS PLAYER1628404 2' Driving Layup,PLAYER1628404,action99
27.0,Missed Shot,PT10M29.00S,MISS Kuzma 9' Floating Jump Shot,1.0,v,1.0,1628398.0,Kuzma,K. Kuzma,0.0,,,9.0,Missed,Floating Jump shot,1610612747.0,LAL,1.0,-81.0,36.0,https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/27/29b3cce1-d88d-3797-84ef-69d988966a15_1280x720.mp4,5201,train-5201,MISS PLAYER1628398 9' Floating Jump Shot,PLAYER1628398,action105
28.0,Offensive Rebound,PT10M26.00S,Ball REBOUND (Off:1 Def:0),0.0,v,1.0,1628366.0,Ball,L. Ball,0.0,,,0.0,,Unknown,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/28/f154ef99-67d7-b9e7-f485-5e8d17e1c376_1280x720.mp4,5202,train-5202,PLAYER1628366 OFFENSIVE REBOUND ,PLAYER1628366,action135
29.0,Turnover,PT10M21.00S,James Traveling Turnover (P1.T1),0.0,v,1.0,2544.0,James,L. James,0.0,,,0.0,,Traveling,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/18/0021800453/29/27bbecf7-5ae4-ced5-847b-d5b7e84071a4_1280x720.mp4,5203,train-5203,PLAYER2544 Traveling Turnover ,PLAYER2544,action163
