actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Allen vs. Ayton: Tip to Kurucs,0.0,h,1.0,1628386.0,Allen,J. Allen,0.0,,,0.0,,,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/4/e21fa4e0-46d9-b5f6-ccba-41ca1bb63543_1280x720.mp4,21762,train-21762,Jump Ball PLAYER1628386 vs. PLAYER1629028: Tip to PLAYER1629066,PLAYER1628386 PLAYER1629028 PLAYER1629066,action41
7.0,Missed Shot,PT11M43.00S,MISS Allen 4' Cutting Layup Shot,1.0,h,1.0,1628386.0,Allen,J. Allen,0.0,,,4.0,Missed,Cutting Layup Shot,1610612751.0,BKN,1.0,0.0,38.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/7/fe3d6ec9-3b82-68ae-f3b7-525b3e819957_1280x720.mp4,21763,train-21763,MISS PLAYER1628386 4' Cutting Layup Shot,PLAYER1628386,action92
10.0 </> 11.0,Missed Shot </> Defensive Rebound,PT11M26.00S </> PT11M22.00S,MISS Booker 18' Driving Floating Jump Shot </> Kurucs REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626164.0 </> 1629066.0,Booker </> Kurucs,D. Booker </> R. Kurucs,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612756.0 </> 1610612751.0,PHX </> BKN,1.0 </> 1.0,-84.0 </> 0.0,156.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/10/fe459339-1df7-2a5f-c5bc-f8e742893829_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/11/859d181e-2159-0f89-cad4-97c570223890_1280x720.mp4,21764 </> 21765,train-21764 </> train-21765,MISS PLAYER1626164 18' Driving Floating Jump Shot </> PLAYER1629066 DEFENSIVE REBOUND ,PLAYER1626164 </> PLAYER1629066,action97 </> action135
14.0,Missed Shot,PT11M04.00S,MISS Russell 22' Step Back Jump Shot,1.0,h,1.0,1626156.0,Russell,D. Russell,0.0,,,22.0,Missed,Step Back Jump shot,1610612751.0,BKN,1.0,103.0,194.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/14/56f41fe8-5d41-efec-e310-e82b571f6d05_1280x720.mp4,21766,train-21766,MISS PLAYER1626156 22' Step Back Jump Shot,PLAYER1626156,action126
15.0,Defensive Rebound,PT11M00.00S,Warren REBOUND (Off:0 Def:1),0.0,v,1.0,203933.0,Warren,T. Warren,0.0,,,0.0,,Unknown,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/15/4b4bfbc5-574c-daaa-c004-8dd1dbdad9c6_1280x720.mp4,21767,train-21767,PLAYER203933 DEFENSIVE REBOUND ,PLAYER203933,action135
16.0,Made Shot,PT10M54.00S,Ayton 2' Layup (2 PTS) (Bridges 1 AST),1.0,v,1.0,1629028.0,Ayton,D. Ayton,2.0,2,0,2.0,Made,Layup Shot,1610612756.0,PHX,1.0,16.0,-1.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/16/731b5f66-7cc2-71fc-8557-2f5761dd66dc_1280x720.mp4,21768,train-21768,PLAYER1629028 2' Layup (PLAYER1628969 AST),PLAYER1629028 PLAYER1628969,action64
18.0,Foul,PT10M41.00S,Melton P.FOUL (P1.T1) (A.Moyer-Gleich),0.0,v,1.0,1629001.0,Melton,D. Melton,0.0,,,0.0,,Personal,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/18/ea29dfad-35db-58d0-b417-39b516ae47b4_1280x720.mp4,21769,train-21769,PLAYER1629001 P.FOUL ,PLAYER1629001,action16
20.0,Made Shot,PT10M36.00S,Harris 25' 3PT Jump Shot (3 PTS) (Kurucs 1 AST),1.0,h,1.0,203925.0,Harris,J. Harris,5.0,2,3,25.0,Made,Jump Shot,1610612751.0,BKN,1.0,-11.0,247.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/20/6d294b57-7f1e-0b49-16b3-996c291211d7_1280x720.mp4,21770,train-21770,PLAYER203925 25' 3PT Jump Shot (PLAYER1629066 AST),PLAYER203925 PLAYER1629066,action63
22.0 </> 23.0,Missed Shot </> Defensive Rebound,PT10M17.00S </> PT10M14.00S,MISS Ayton 3' Driving Reverse Layup </> Hollis-Jefferson REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629028.0 </> 1626178.0,Ayton </> Hollis-Jefferson,D. Ayton </> R. Hollis-Jefferson,0.0 </> 0.0, </> , </> ,3.0 </> 0.0,Missed </> ,Driving Reverse Layup Shot </> Unknown,1610612756.0 </> 1610612751.0,PHX </> BKN,1.0 </> 1.0,-26.0 </> 0.0,4.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/22/73312789-fc0c-98ad-02a4-26c9ed9c0ae2_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/23/0198a4c7-001a-4e98-774b-184d27b1f93e_1280x720.mp4,21771 </> 21772,train-21771 </> train-21772,MISS PLAYER1629028 3' Driving Reverse Layup </> PLAYER1626178 DEFENSIVE REBOUND ,PLAYER1629028 </> PLAYER1626178,action101 </> action135
24.0 </> 27.0,Turnover </> Turnover,PT10M06.00S </> PT09M56.00S,Hollis-Jefferson Lost Ball Turnover (P1.T1) </> Bridges Bad Pass Turnover (P1.T1),0.0 </> 0.0,h </> v,1.0 </> 1.0,1626178.0 </> 1628969.0,Hollis-Jefferson </> Bridges,R. Hollis-Jefferson </> M. Bridges,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Lost Ball </> Bad Pass,1610612751.0 </> 1610612756.0,BKN </> PHX,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/24/1850e771-ae93-2f81-1b10-0fa5dbf2ed14_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/23/0021800489/27/c279bef5-82a0-5b51-db25-586f301d64ab_1280x720.mp4,21773 </> 21774,train-21773 </> train-21774,PLAYER1626178 Lost Ball Turnover  </> PLAYER1628969 Bad Pass Turnover ,PLAYER1626178 </> PLAYER1628969,action153 </> action143
