actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Durant vs. Gortat: Tip to Harris,0.0,h,1.0,201142.0,Durant,K. Durant,0.0,,,0.0,,,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/4/32bde64c-68ce-2b68-d67b-2db533be16ed_1280x720.mp4,11941,train-11941,Jump Ball PLAYER201142 vs. PLAYER101162: Tip to PLAYER202699,PLAYER201142 PLAYER101162 PLAYER202699,action41
7.0,Made Shot,PT11M37.00S,Gortat 2' Cutting Layup Shot (2 PTS) (Bradley 1 AST),1.0,v,1.0,101162.0,Gortat,M. Gortat,2.0,2,0,2.0,Made,Cutting Layup Shot,1610612746.0,LAC,1.0,-19.0,10.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/7/222331ea-098f-1764-5f48-7b169455a6c4_1280x720.mp4,11942,train-11942,PLAYER101162 2' Cutting Layup Shot (PLAYER202340 AST),PLAYER101162 PLAYER202340,action46
9.0,Made Shot,PT11M19.00S,Green 26' 3PT Jump Shot (3 PTS) (Durant 1 AST),1.0,h,1.0,203110.0,Green,D. Green,5.0,2,3,26.0,Made,Jump Shot,1610612744.0,GSW,1.0,-13.0,262.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/9/db3f7a9c-fd41-4b30-ffbf-2d3117d564e4_1280x720.mp4,11943,train-11943,PLAYER203110 26' 3PT Jump Shot (PLAYER201142 AST),PLAYER203110 PLAYER201142,action63
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M02.00S </> PT11M00.00S,MISS Bradley 25' 3PT Jump Shot </> Green REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202340.0 </> 203110.0,Bradley </> Green,A. Bradley </> D. Green,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612746.0 </> 1610612744.0,LAC </> GSW,1.0 </> 1.0,-189.0 </> 0.0,167.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/11/5c1056ec-5ef4-6187-2c35-aeb71dad94b8_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/12/8db535e6-aa05-3e39-6fee-77235e2578c8_1280x720.mp4,11944 </> 11945,train-11944 </> train-11945,MISS PLAYER202340 25' 3PT Jump Shot </> PLAYER203110 DEFENSIVE REBOUND ,PLAYER202340 </> PLAYER203110,action109 </> action135
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT10M51.00S </> PT10M50.00S,MISS Thompson 7' Driving Floating Bank Jump Shot </> Gortat REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202691.0 </> 101162.0,Thompson </> Gortat,K. Thompson </> M. Gortat,0.0 </> 0.0, </> , </> ,7.0 </> 0.0,Missed </> ,Driving Floating Bank Jump Shot </> Unknown,1610612744.0 </> 1610612746.0,GSW </> LAC,1.0 </> 1.0,-51.0 </> 0.0,42.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/13/e2ce3c70-7988-f001-bec8-e57810d31c0d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/14/abb107b5-3cf3-79bb-958b-635664c11c45_1280x720.mp4,11946 </> 11947,train-11946 </> train-11947,MISS PLAYER202691 7' Driving Floating Bank Jump Shot </> PLAYER101162 DEFENSIVE REBOUND ,PLAYER202691 </> PLAYER101162,action96 </> action135
15.0,Made Shot,PT10M43.00S,Harris 28' 3PT Jump Shot (3 PTS),1.0,v,1.0,202699.0,Harris,T. Harris,8.0,5,3,28.0,Made,Jump Shot,1610612746.0,LAC,1.0,88.0,261.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/15/b5f30824-a915-15b5-14bc-03e388f0c3e3_1280x720.mp4,11948,train-11948,PLAYER202699 28' 3PT Jump Shot ,PLAYER202699,action63
16.0,Made Shot,PT10M27.00S,Durant 2' Driving Dunk (2 PTS) (Green 1 AST),1.0,h,1.0,201142.0,Durant,K. Durant,10.0,5,5,2.0,Made,Driving Dunk Shot,1610612744.0,GSW,1.0,-3.0,18.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/16/c87230b9-6df8-cb29-6c84-1bb4824ebf11_1280x720.mp4,11949,train-11949,PLAYER201142 2' Driving Dunk (PLAYER203110 AST),PLAYER201142 PLAYER203110,action48
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT10M07.00S </> PT10M06.00S,MISS Gortat 8' Turnaround Hook Shot </> Durant REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,101162.0 </> 201142.0,Gortat </> Durant,M. Gortat </> K. Durant,0.0 </> 0.0, </> , </> ,8.0 </> 0.0,Missed </> ,Turnaround Hook Shot </> Unknown,1610612746.0 </> 1610612744.0,LAC </> GSW,1.0 </> 1.0,68.0 </> 0.0,48.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/18/475abe42-e2ec-b206-48c0-0b21aa5e3080_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/19/e013e7ad-aec5-d749-6644-a06bd77da0ea_1280x720.mp4,11950 </> 11951,train-11950 </> train-11951,MISS PLAYER101162 8' Turnaround Hook Shot </> PLAYER201142 DEFENSIVE REBOUND ,PLAYER101162 </> PLAYER201142,action132 </> action135
20.0,Foul,PT09M56.00S,Harris S.FOUL (P1.T1) (L.Wood),0.0,v,1.0,202699.0,Harris,T. Harris,0.0,,,0.0,,Shooting,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/20/8fc44b95-8c99-9998-091b-3f3f15fd9af0_1280x720.mp4,11952,train-11952,PLAYER202699 S.FOUL ,PLAYER202699,action18
24.0,Turnover,PT09M32.00S,Gilgeous-Alexander Bad Pass Turnover (P1.T1),0.0,v,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,0.0,,,0.0,,Bad Pass,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/24/2100435a-04fe-9419-1b2b-93b3cc7fc1b3_1280x720.mp4,11953,train-11953,PLAYER1628983 Bad Pass Turnover ,PLAYER1628983,action143
26.0 </> 27.0,Missed Shot </> Defensive Rebound,PT09M25.00S </> PT09M23.00S,MISS Green 27' 3PT Jump Shot </> Harris REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203110.0 </> 202699.0,Green </> Harris,D. Green </> T. Harris,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612746.0,GSW </> LAC,1.0 </> 1.0,-176.0 </> 0.0,204.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/26/efc933a1-4de4-f5e4-387d-aa9c359f2231_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/23/0021800494/27/d392d693-5ff7-5c0a-bc70-3e35fec79a34_1280x720.mp4,11954 </> 11955,train-11954 </> train-11955,MISS PLAYER203110 27' 3PT Jump Shot </> PLAYER202699 DEFENSIVE REBOUND ,PLAYER203110 </> PLAYER202699,action109 </> action135
