actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gobert vs. Embiid: Tip to Simmons,0.0,h,1.0,203497.0,Gobert,R. Gobert,0.0,,,0.0,,,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/4/f20f1e84-6ef9-b4ee-24d7-e67874a5ec95_1280x720.mp4,19975,train-19975,Jump Ball PLAYER203497 vs. PLAYER203954: Tip to PLAYER1627732,PLAYER203497 PLAYER203954 PLAYER1627732,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M47.00S </> PT11M45.00S,MISS Chandler 2' Layup </> Favors REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201163.0 </> 202324.0,Chandler </> Favors,W. Chandler </> D. Favors,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Layup Shot </> Unknown,1610612755.0 </> 1610612762.0,PHI </> UTA,1.0 </> 1.0,19.0 </> 0.0,14.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/7/e11d9fc7-b203-cd98-04c4-14965c7226a6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/8/ab908ba7-68e5-e6c1-5323-9647027e36b8_1280x720.mp4,19976 </> 19977,train-19976 </> train-19977,MISS PLAYER201163 2' Layup </> PLAYER202324 DEFENSIVE REBOUND ,PLAYER201163 </> PLAYER202324,action110 </> action135
9.0 </> 10.0 </> 11.0 </> 12.0 </> 13.0,Missed Shot </> Offensive Rebound </> Missed Shot </> Offensive Rebound </> Foul,PT11M31.00S </> PT11M30.00S </> PT11M30.00S </> PT11M30.00S </> PT11M30.00S,MISS Ingles 2' Driving Layup </> Gobert REBOUND (Off:1 Def:0) </> MISS Gobert 1' Tip Layup Shot </> Gobert REBOUND (Off:2 Def:0) </> Chandler S.FOUL (P1.T1) (K.Scott),1.0 </> 0.0 </> 1.0 </> 0.0 </> 0.0,h </> h </> h </> h </> v,1.0 </> 1.0 </> 1.0 </> 1.0 </> 1.0,204060.0 </> 203497.0 </> 203497.0 </> 203497.0 </> 201163.0,Ingles </> Gobert </> Gobert </> Gobert </> Chandler,J. Ingles </> R. Gobert </> R. Gobert </> R. Gobert </> W. Chandler,0.0 </> 0.0 </> 0.0 </> 0.0 </> 0.0, </>  </>  </>  </> , </>  </>  </>  </> ,2.0 </> 0.0 </> 1.0 </> 0.0 </> 0.0,Missed </>  </> Missed </>  </> ,Driving Layup Shot </> Unknown </> Tip Layup Shot </> Unknown </> Shooting,1610612762.0 </> 1610612762.0 </> 1610612762.0 </> 1610612762.0 </> 1610612755.0,UTA </> UTA </> UTA </> UTA </> PHI,1.0 </> 1.0 </> 1.0 </> 1.0 </> 1.0,-22.0 </> 0.0 </> 0.0 </> 0.0 </> 0.0,7.0 </> 0.0 </> -6.0 </> 0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/9/60695e05-580d-809f-f61a-8445db762eda_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/10/598da160-6058-5601-ac1a-e1faf450699b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/11/bd46f3e3-0caa-5900-9c7f-3130d188339a_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/12/0276fe31-677a-4e53-b663-13eb51be0965_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/13/3cb71fc1-977b-7bf1-2cfa-3c6b8c5e434d_1280x720.mp4,19978 </> 19979 </> 19980 </> 19981 </> 19982,train-19978 </> train-19979 </> train-19980 </> train-19981 </> train-19982,MISS PLAYER204060 2' Driving Layup </> PLAYER203497 OFFENSIVE REBOUND  </> MISS PLAYER203497 1' Tip Layup Shot </> PLAYER203497 OFFENSIVE REBOUND  </> PLAYER201163 S.FOUL ,PLAYER204060 </> PLAYER203497 </> PLAYER203497 </> PLAYER203497 </> PLAYER201163,action99 </> action135 </> action128 </> action135 </> action18
18.0 </> 19.0,Missed Shot </> Defensive Rebound,PT11M16.00S </> PT11M14.00S,MISS Embiid 8' Hook Shot </> Favors REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,203954.0 </> 202324.0,Embiid </> Favors,J. Embiid </> D. Favors,0.0 </> 0.0, </> , </> ,8.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612755.0 </> 1610612762.0,PHI </> UTA,1.0 </> 1.0,19.0 </> 0.0,77.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/18/7fc94e6c-5351-5824-04ca-766f4e7b569d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/19/c12df1d5-b67f-2d27-5cc4-746bded885a6_1280x720.mp4,19983 </> 19984,train-19983 </> train-19984,MISS PLAYER203954 8' Hook Shot </> PLAYER202324 DEFENSIVE REBOUND ,PLAYER203954 </> PLAYER202324,action107 </> action135
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT10M58.00S </> PT10M55.00S,MISS Gobert 4' Layup </> Simmons REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203497.0 </> 1627732.0,Gobert </> Simmons,R. Gobert </> B. Simmons,0.0 </> 0.0, </> , </> ,4.0 </> 0.0,Missed </> ,Layup Shot </> Unknown,1610612762.0 </> 1610612755.0,UTA </> PHI,1.0 </> 1.0,-34.0 </> 0.0,20.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/20/de9c7d2d-3bbe-f0c1-6472-9c3c0f7f1c13_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/21/2ab09143-13f2-a0ef-1972-36274a92660b_1280x720.mp4,19985 </> 19986,train-19985 </> train-19986,MISS PLAYER203497 4' Layup </> PLAYER1627732 DEFENSIVE REBOUND ,PLAYER203497 </> PLAYER1627732,action110 </> action135
22.0 </> 23.0,Missed Shot </> Defensive Rebound,PT10M53.00S </> PT10M51.00S,MISS Redick 24' 3PT Jump Shot </> Favors REBOUND (Off:0 Def:3),1.0 </> 0.0,v </> h,1.0 </> 1.0,200755.0 </> 202324.0,Redick </> Favors,J. Redick </> D. Favors,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612755.0 </> 1610612762.0,PHI </> UTA,1.0 </> 1.0,-152.0 </> 0.0,187.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/22/97ef8b95-b05e-36f3-dbf5-b51409c4725b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/23/674ac77e-1c61-ef77-1be5-8d7921dc319b_1280x720.mp4,19987 </> 19988,train-19987 </> train-19988,MISS PLAYER200755 24' 3PT Jump Shot </> PLAYER202324 DEFENSIVE REBOUND ,PLAYER200755 </> PLAYER202324,action109 </> action135
24.0,Made Shot,PT10M42.00S,Mitchell 1' Driving Layup (2 PTS),1.0,h,1.0,1628378.0,Mitchell,D. Mitchell,4.0,0,4,1.0,Made,Driving Layup Shot,1610612762.0,UTA,1.0,11.0,8.0,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/24/ffa138db-0b56-3b05-550e-22485402b28b_1280x720.mp4,19989,train-19989,PLAYER1628378 1' Driving Layup ,PLAYER1628378,action53
25.0 </> 27.0,Missed Shot </> Defensive Rebound,PT10M34.00S </> PT10M31.00S,MISS Simmons 2' Layup </> Favors REBOUND (Off:0 Def:4),1.0 </> 0.0,v </> h,1.0 </> 1.0,1627732.0 </> 202324.0,Simmons </> Favors,B. Simmons </> D. Favors,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Layup Shot </> Unknown,1610612755.0 </> 1610612762.0,PHI </> UTA,1.0 </> 1.0,-21.0 </> 0.0,3.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/25/f03e821a-6f43-4d6a-b0cf-a4af574d1568_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/27/06aa4924-4775-ee0f-5bbe-dc124e445afe_1280x720.mp4,19990 </> 19991,train-19990 </> train-19991,MISS PLAYER1627732 2' Layup </> PLAYER202324 DEFENSIVE REBOUND ,PLAYER1627732 </> PLAYER202324,action110 </> action135
28.0 </> 29.0,Missed Shot </> Defensive Rebound,PT10M28.00S </> PT10M25.00S,MISS Mitchell 27' 3PT Jump Shot </> Simmons REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628378.0 </> 1627732.0,Mitchell </> Simmons,D. Mitchell </> B. Simmons,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612762.0 </> 1610612755.0,UTA </> PHI,1.0 </> 1.0,-147.0 </> 0.0,230.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/28/d36935a8-6a57-d8e0-c918-47252e7db727_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/29/151575d7-4c8d-54c3-c03b-d699d52149c4_1280x720.mp4,19992 </> 19993,train-19992 </> train-19993,MISS PLAYER1628378 27' 3PT Jump Shot </> PLAYER1627732 DEFENSIVE REBOUND ,PLAYER1628378 </> PLAYER1627732,action109 </> action135
30.0 </> 31.0,Missed Shot </> Offensive Rebound,PT10M19.00S </> PT10M16.00S,MISS Simmons 4' Driving Layup </> Simmons REBOUND (Off:1 Def:2),1.0 </> 0.0,v </> v,1.0 </> 1.0,1627732.0 </> 1627732.0,Simmons </> Simmons,B. Simmons </> B. Simmons,0.0 </> 0.0, </> , </> ,4.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612755.0 </> 1610612755.0,PHI </> PHI,1.0 </> 1.0,-42.0 </> 0.0,8.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/30/2000a20e-7928-b012-b884-af9cd71ea327_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/27/0021800515/31/bbb712c2-73f8-9fad-e6dd-ef27773e67ed_1280x720.mp4,19994 </> 19995,train-19994 </> train-19995,MISS PLAYER1627732 4' Driving Layup </> PLAYER1627732 OFFENSIVE REBOUND ,PLAYER1627732 </> PLAYER1627732,action99 </> action135
