actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Ayton vs. Durant: Tip to Looney,0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/4/d3d8417a-5963-6364-9ab8-f1ee5fe27950_1280x720.mp4,9637,train-9637,Jump Ball PLAYER1629028 vs. PLAYER201142: Tip to PLAYER1626172,PLAYER1629028 PLAYER201142 PLAYER1626172,action41
7.0,Turnover,PT11M47.00S,Durant Bad Pass Turnover (P1.T1),0.0,v,1.0,201142.0,Durant,K. Durant,0.0,,,0.0,,Bad Pass,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/7/347fd414-1568-4709-c646-d0c6cea7754a_1280x720.mp4,9638,train-9638,PLAYER201142 Bad Pass Turnover ,PLAYER201142,action143
9.0,Made Shot,PT11M43.00S,Melton Running Dunk (2 PTS),1.0,h,1.0,1629001.0,Melton,D. Melton,2.0,0,2,0.0,Made,Running Dunk Shot,1610612756.0,PHX,1.0,3.0,-1.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/9/c6e8f678-4c2b-1159-ace6-0d29fe564976_1280x720.mp4,9639,train-9639,PLAYER1629001 Running Dunk ,PLAYER1629001,action72
10.0 </> 11.0,Missed Shot </> Offensive Rebound,PT11M19.00S </> PT11M17.00S,MISS Curry 1' Reverse Layup </> Thompson REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,201939.0 </> 202691.0,Curry </> Thompson,S. Curry </> K. Thompson,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Reverse Layup Shot </> Unknown,1610612744.0 </> 1610612744.0,GSW </> GSW,1.0 </> 1.0,-4.0 </> 0.0,9.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/10/44bcde6e-7cec-518f-653d-736c42d4a2e7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/11/ea69d193-a1cf-df5b-6c87-46ce2771b689_1280x720.mp4,9640 </> 9641,train-9640 </> train-9641,MISS PLAYER201939 1' Reverse Layup </> PLAYER202691 OFFENSIVE REBOUND ,PLAYER201939 </> PLAYER202691,action115 </> action135
12.0,Made Shot,PT11M16.00S,Thompson 1' Putback Layup (2 PTS),1.0,v,1.0,202691.0,Thompson,K. Thompson,4.0,2,2,1.0,Made,Putback Layup Shot,1610612744.0,GSW,1.0,2.0,11.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/12/9fe1f4e4-7114-0ac2-5374-63ef9545d963_1280x720.mp4,9642,train-9642,PLAYER202691 1' Putback Layup ,PLAYER202691,action67
13.0,Turnover,PT10M59.00S,Booker Bad Pass Turnover (P1.T1),0.0,h,1.0,1626164.0,Booker,D. Booker,0.0,,,0.0,,Bad Pass,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/13/4d4d607b-c788-8fcb-fb4c-ffd17c7ce480_1280x720.mp4,9643,train-9643,PLAYER1626164 Bad Pass Turnover ,PLAYER1626164,action143
15.0 </> 16.0,Missed Shot </> Offensive Rebound,PT10M51.00S </> PT10M47.00S,MISS Durant 20' Jump Shot </> Curry REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,201142.0 </> 201939.0,Durant </> Curry,K. Durant </> S. Curry,0.0 </> 0.0, </> , </> ,20.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612744.0,GSW </> GSW,1.0 </> 1.0,196.0 </> 0.0,-18.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/15/4904db3d-775e-1343-6fee-69451b9a6099_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/16/d8836d65-0fc3-f17e-aa5c-17172bf37afc_1280x720.mp4,9644 </> 9645,train-9644 </> train-9645,MISS PLAYER201142 20' Jump Shot </> PLAYER201939 OFFENSIVE REBOUND ,PLAYER201142 </> PLAYER201939,action109 </> action135
17.0 </> 18.0,Made Shot </> Foul,PT10M43.00S </> PT10M43.00S,Durant 5' Turnaround Fadeaway (2 PTS) </> Warren S.FOUL (P1.T1) (B.Barnaky),1.0 </> 0.0,v </> h,1.0 </> 1.0,201142.0 </> 203933.0,Durant </> Warren,K. Durant </> T. Warren,6.0 </> 0.0,4 </> ,2 </> ,5.0 </> 0.0,Made </> ,Turnaround Fadeaway shot </> Shooting,1610612744.0 </> 1610612756.0,GSW </> PHX,1.0 </> 1.0,6.0 </> 0.0,51.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/17/5aad83d5-8b0e-24eb-1e54-adb0230f2c32_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/18/48662485-425f-3022-ef7f-070e5a2c7a45_1280x720.mp4,9646 </> 9647,train-9646 </> train-9647,PLAYER201142 5' Turnaround Fadeaway  </> PLAYER203933 S.FOUL ,PLAYER201142 </> PLAYER203933,action85 </> action18
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT10M31.00S </> PT10M28.00S,MISS Booker 21' Jump Shot </> Green REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626164.0 </> 203110.0,Booker </> Green,D. Booker </> D. Green,0.0 </> 0.0, </> , </> ,21.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612744.0,PHX </> GSW,1.0 </> 1.0,11.0 </> 0.0,209.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/21/8b7557af-4589-c3ca-56b9-9cfc523f8ea9_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/22/3c96ef3a-ce30-b3d5-32e8-520081f42002_1280x720.mp4,9648 </> 9649,train-9648 </> train-9649,MISS PLAYER1626164 21' Jump Shot </> PLAYER203110 DEFENSIVE REBOUND ,PLAYER1626164 </> PLAYER203110,action109 </> action135
23.0,Foul,PT10M22.00S,Booker S.FOUL (P1.T2) (M.Dagher),0.0,h,1.0,1626164.0,Booker,D. Booker,0.0,,,0.0,,Shooting,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/23/e74e0230-f5f5-9cc7-d1aa-6e4a1e14539f_1280x720.mp4,9650,train-9650,PLAYER1626164 S.FOUL ,PLAYER1626164,action18
27.0 </> 28.0,Missed Shot </> Offensive Rebound,PT10M08.00S </> PT10M05.00S,MISS Bridges 3PT Jump Shot </> Melton REBOUND (Off:1 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,1628969.0 </> 1629001.0,Bridges </> Melton,M. Bridges </> D. Melton,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612756.0,PHX </> PHX,1.0 </> 1.0,230.0 </> 0.0,18.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/27/923ddfc2-b2b2-6ed5-f6ed-99e80da5650b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/28/8a9e71a4-76fa-a657-d9a8-95bfe94a8c72_1280x720.mp4,9651 </> 9652,train-9651 </> train-9652,MISS PLAYER1628969 3PT Jump Shot </> PLAYER1629001 OFFENSIVE REBOUND ,PLAYER1628969 </> PLAYER1629001,action109 </> action135
29.0,Made Shot,PT10M03.00S,Warren 25' 3PT Jump Shot (3 PTS) (Melton 1 AST),1.0,h,1.0,203933.0,Warren,T. Warren,12.0,7,5,25.0,Made,Jump Shot,1610612756.0,PHX,1.0,-229.0,102.0,https://videos.nba.com/nba/pbp/media/2018/12/31/0021800548/29/75f1ee02-4e3e-845f-4c27-67e0c03deab3_1280x720.mp4,9653,train-9653,PLAYER203933 25' 3PT Jump Shot (PLAYER1629001 AST),PLAYER203933 PLAYER1629001,action63
