actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gortat vs. Embiid: Tip to Gallinari,0.0,h,1.0,101162.0,Gortat,M. Gortat,0.0,,,0.0,,,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/4/7b7c3c51-7ea7-2e90-1071-0171c2b01579_1280x720.mp4,8933,train-8933,Jump Ball PLAYER101162 vs. PLAYER203954: Tip to PLAYER201568,PLAYER101162 PLAYER203954 PLAYER201568,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M44.00S </> PT11M41.00S,MISS Gortat 6' Driving Hook Shot </> Embiid REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,101162.0 </> 203954.0,Gortat </> Embiid,M. Gortat </> J. Embiid,0.0 </> 0.0, </> , </> ,6.0 </> 0.0,Missed </> ,Driving Hook Shot </> Unknown,1610612746.0 </> 1610612755.0,LAC </> PHI,1.0 </> 1.0,28.0 </> 0.0,55.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/7/7a9f65ac-4464-219f-c69d-910d19ff01c9_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/8/b49e63f7-609b-88e1-ef94-ab7691fd004b_1280x720.mp4,8934 </> 8935,train-8934 </> train-8935,MISS PLAYER101162 6' Driving Hook Shot </> PLAYER203954 DEFENSIVE REBOUND ,PLAYER101162 </> PLAYER203954,action98 </> action135
9.0,Made Shot,PT11M36.00S,Embiid 26' 3PT Jump Shot (3 PTS) (Simmons 1 AST),1.0,v,1.0,203954.0,Embiid,J. Embiid,3.0,3,0,26.0,Made,Jump Shot,1610612755.0,PHI,1.0,8.0,260.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/9/0ca06377-19df-c82d-44fa-b54131e3a168_1280x720.mp4,8936,train-8936,PLAYER203954 26' 3PT Jump Shot (PLAYER1627732 AST),PLAYER203954 PLAYER1627732,action63
11.0,Missed Shot,PT11M20.00S,MISS Harris 14' Pullup Jump Shot,1.0,h,1.0,202699.0,Harris,T. Harris,0.0,,,14.0,Missed,Pullup Jump shot,1610612746.0,LAC,1.0,134.0,29.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/11/7a4ba0c8-5029-8b1c-46e1-c5672d87420d_1280x720.mp4,8937,train-8937,MISS PLAYER202699 14' Pullup Jump Shot,PLAYER202699,action111
14.0,Foul,PT11M00.00S,Gilgeous-Alexander S.FOUL (P1.T1) (J.Tiven),0.0,h,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,0.0,,,0.0,,Shooting,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/14/e9796630-a1d8-1f33-15cc-21765b5870e7_1280x720.mp4,8938,train-8938,PLAYER1628983 S.FOUL ,PLAYER1628983,action18
18.0,Defensive Rebound,PT10M58.00S,Gortat REBOUND (Off:0 Def:1),0.0,h,1.0,101162.0,Gortat,M. Gortat,0.0,,,0.0,,Unknown,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/18/d2c48540-53d0-843c-c141-f65ec1c151ee_1280x720.mp4,8939,train-8939,PLAYER101162 DEFENSIVE REBOUND ,PLAYER101162,action135
19.0 </> 20.0,Missed Shot </> Defensive Rebound,PT10M48.00S </> PT10M43.00S,MISS Gilgeous-Alexander 14' Pullup Jump Shot </> Simmons REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628983.0 </> 1627732.0,Gilgeous-Alexander </> Simmons,S. Gilgeous-Alexander </> B. Simmons,0.0 </> 0.0, </> , </> ,14.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612746.0 </> 1610612755.0,LAC </> PHI,1.0 </> 1.0,77.0 </> 0.0,116.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/19/c4e966bb-21c4-7621-eeb4-287ec77309be_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/20/6d1c924e-ec82-f09e-f2e3-45424b615ff9_1280x720.mp4,8940 </> 8941,train-8940 </> train-8941,MISS PLAYER1628983 14' Pullup Jump Shot </> PLAYER1627732 DEFENSIVE REBOUND ,PLAYER1628983 </> PLAYER1627732,action111 </> action135
21.0,Turnover,PT10M40.00S,Simmons Lost Ball Turnover (P1.T1),0.0,v,1.0,1627732.0,Simmons,B. Simmons,0.0,,,0.0,,Lost Ball,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/21/129d5afb-e936-b7cb-0858-6fe9bc465ae9_1280x720.mp4,8942,train-8942,PLAYER1627732 Lost Ball Turnover ,PLAYER1627732,action153
23.0,Made Shot,PT10M35.00S,Harris 2' Running Layup (2 PTS),1.0,h,1.0,202699.0,Harris,T. Harris,6.0,4,2,2.0,Made,Running Layup Shot,1610612746.0,LAC,1.0,6.0,14.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/23/40bb1bdb-d385-d294-e4bd-fbef1c33c12c_1280x720.mp4,8943,train-8943,PLAYER202699 2' Running Layup ,PLAYER202699,action75
24.0 </> 25.0 </> 26.0,Missed Shot </> Offensive Rebound </> Made Shot,PT10M17.00S </> PT10M12.00S </> PT10M12.00S,MISS Butler 4' Driving Floating Bank Jump Shot </> Embiid REBOUND (Off:1 Def:1) </> Embiid 1' Putback Layup (5 PTS),1.0 </> 0.0 </> 1.0,v </> v </> v,1.0 </> 1.0 </> 1.0,202710.0 </> 203954.0 </> 203954.0,Butler </> Embiid </> Embiid,J. Butler </> J. Embiid </> J. Embiid,0.0 </> 0.0 </> 8.0, </>  </> 6, </>  </> 2,4.0 </> 0.0 </> 1.0,Missed </>  </> Made,Driving Floating Bank Jump Shot </> Unknown </> Putback Layup Shot,1610612755.0 </> 1610612755.0 </> 1610612755.0,PHI </> PHI </> PHI,1.0 </> 1.0 </> 1.0,36.0 </> 0.0 </> 0.0,4.0 </> 0.0 </> -6.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/24/d67a5333-996d-a1af-42ca-ca8e1edbc122_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/25/873ca099-5981-e234-1255-2abba87288ee_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/26/d8a5eeea-8039-e51c-df1d-99e0a2606ca9_1280x720.mp4,8944 </> 8945 </> 8946,train-8944 </> train-8945 </> train-8946,MISS PLAYER202710 4' Driving Floating Bank Jump Shot </> PLAYER203954 OFFENSIVE REBOUND  </> PLAYER203954 1' Putback Layup ,PLAYER202710 </> PLAYER203954 </> PLAYER203954,action96 </> action135 </> action67
27.0 </> 28.0,Missed Shot </> Defensive Rebound,PT09M59.00S </> PT09M59.00S,MISS Bradley 18' Pullup Jump Shot </> Simmons REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,202340.0 </> 1627732.0,Bradley </> Simmons,A. Bradley </> B. Simmons,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612746.0 </> 1610612755.0,LAC </> PHI,1.0 </> 1.0,-68.0 </> 0.0,169.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/27/b61e7484-a411-790f-2a45-9dd6f9bc0f0a_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/28/18bf9c8e-7b3f-c4b2-1b6f-0fab536b02aa_1280x720.mp4,8947 </> 8948,train-8947 </> train-8948,MISS PLAYER202340 18' Pullup Jump Shot </> PLAYER1627732 DEFENSIVE REBOUND ,PLAYER202340 </> PLAYER1627732,action111 </> action135
29.0 </> 30.0,Missed Shot </> Offensive Rebound,PT09M49.00S </> PT09M44.00S,MISS Butler 2' Driving Layup </> Butler REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,202710.0 </> 202710.0,Butler </> Butler,J. Butler </> J. Butler,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612755.0 </> 1610612755.0,PHI </> PHI,1.0 </> 1.0,18.0 </> 0.0,17.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/29/45728586-8bd7-a29b-a20f-d83f32e936f3_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/30/53383ecf-bd92-27a9-df39-b8ec96f31552_1280x720.mp4,8949 </> 8950,train-8949 </> train-8950,MISS PLAYER202710 2' Driving Layup </> PLAYER202710 OFFENSIVE REBOUND ,PLAYER202710 </> PLAYER202710,action99 </> action135
31.0,Made Shot,PT09M44.00S,Butler 1' Tip Layup Shot (3 PTS),1.0,v,1.0,202710.0,Butler,J. Butler,10.0,8,2,1.0,Made,Tip Layup Shot,1610612755.0,PHI,1.0,0.0,-6.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/31/b35dd82d-3602-0913-4383-e1425d7720a1_1280x720.mp4,8951,train-8951,PLAYER202710 1' Tip Layup Shot ,PLAYER202710,action82
32.0,Made Shot,PT09M31.00S,Gilgeous-Alexander 9' Turnaround Fadeaway (2 PTS),1.0,h,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,12.0,8,4,9.0,Made,Turnaround Fadeaway shot,1610612746.0,LAC,1.0,-41.0,80.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/32/06a8d300-be14-6bfa-34ef-b988e89f2c06_1280x720.mp4,8952,train-8952,PLAYER1628983 9' Turnaround Fadeaway ,PLAYER1628983,action85
33.0,Made Shot,PT09M21.00S,Redick 26' 3PT Pullup Jump Shot (3 PTS) (Simmons 2 AST),1.0,v,1.0,200755.0,Redick,J. Redick,15.0,11,4,26.0,Made,Pullup Jump shot,1610612755.0,PHI,1.0,-127.0,228.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/33/e809dc7f-8af8-b1d5-317e-44678467fc4b_1280x720.mp4,8953,train-8953,PLAYER200755 26' 3PT Pullup Jump Shot (PLAYER1627732 AST),PLAYER200755 PLAYER1627732,action65
35.0,Made Shot,PT09M09.00S,Bradley 19' Pullup Jump Shot (2 PTS) (Gortat 1 AST),1.0,h,1.0,202340.0,Bradley,A. Bradley,17.0,11,6,19.0,Made,Pullup Jump shot,1610612746.0,LAC,1.0,-51.0,184.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/35/a0fa7914-8f00-4587-b386-a277e66b15e4_1280x720.mp4,8954,train-8954,PLAYER202340 19' Pullup Jump Shot (PLAYER101162 AST),PLAYER202340 PLAYER101162,action65
37.0,Made Shot,PT08M58.00S,Simmons Cutting Dunk Shot (2 PTS) (Redick 1 AST),1.0,v,1.0,1627732.0,Simmons,B. Simmons,19.0,13,6,0.0,Made,Cutting Dunk Shot,1610612755.0,PHI,1.0,-3.0,2.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/37/83120650-61e5-7b98-1378-684f04a1cfbf_1280x720.mp4,8955,train-8955,PLAYER1627732 Cutting Dunk Shot (PLAYER200755 AST),PLAYER1627732 PLAYER200755,action44
39.0,Made Shot,PT08M43.00S,Harris 7' Driving Floating Jump Shot (4 PTS),1.0,h,1.0,202699.0,Harris,T. Harris,21.0,13,8,7.0,Made,Driving Floating Jump Shot,1610612746.0,LAC,1.0,67.0,22.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/39/7abf3805-6528-ea04-3096-7500bcfddc80_1280x720.mp4,8956,train-8956,PLAYER202699 7' Driving Floating Jump Shot ,PLAYER202699,action51
40.0,Made Shot,PT08M37.00S,Chandler Running Layup (2 PTS) (Simmons 3 AST),1.0,v,1.0,201163.0,Chandler,W. Chandler,23.0,15,8,0.0,Made,Running Layup Shot,1610612755.0,PHI,1.0,-2.0,-3.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/40/1a8f0042-c819-b554-c08c-ccf12ab371b9_1280x720.mp4,8957,train-8957,PLAYER201163 Running Layup (PLAYER1627732 AST),PLAYER201163 PLAYER1627732,action75
42.0 </> 43.0,Missed Shot </> Defensive Rebound,PT08M26.00S </> PT08M24.00S,MISS Harris 12' Pullup Jump Shot </> Butler REBOUND (Off:1 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202699.0 </> 202710.0,Harris </> Butler,T. Harris </> J. Butler,0.0 </> 0.0, </> , </> ,12.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612746.0 </> 1610612755.0,LAC </> PHI,1.0 </> 1.0,47.0 </> 0.0,105.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/42/853fc459-da0e-c4b2-1825-47b311aafca6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/43/43df0f99-9b14-3c6a-293b-53ea0fb0560f_1280x720.mp4,8958 </> 8959,train-8958 </> train-8959,MISS PLAYER202699 12' Pullup Jump Shot </> PLAYER202710 DEFENSIVE REBOUND ,PLAYER202699 </> PLAYER202710,action111 </> action135
44.0 </> 45.0,Missed Shot </> Defensive Rebound,PT08M18.00S </> PT08M14.00S,MISS Embiid 25' 3PT Jump Shot </> Gallinari REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203954.0 </> 201568.0,Embiid </> Gallinari,J. Embiid </> D. Gallinari,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612755.0 </> 1610612746.0,PHI </> LAC,1.0 </> 1.0,-14.0 </> 0.0,254.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/44/54186643-57c0-def4-a46b-1d368da962fa_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/45/f063a906-d6f4-6675-617e-28a102f7919f_1280x720.mp4,8960 </> 8961,train-8960 </> train-8961,MISS PLAYER203954 25' 3PT Jump Shot </> PLAYER201568 DEFENSIVE REBOUND ,PLAYER203954 </> PLAYER201568,action109 </> action135
46.0 </> 47.0,Made Shot </> Foul,PT08M06.00S </> PT08M06.00S,Gallinari 19' Pullup Jump Shot (2 PTS) </> Chandler S.FOUL (P1.T1) (J.Goble),1.0 </> 0.0,h </> v,1.0 </> 1.0,201568.0 </> 201163.0,Gallinari </> Chandler,D. Gallinari </> W. Chandler,25.0 </> 0.0,15 </> ,10 </> ,19.0 </> 0.0,Made </> ,Pullup Jump shot </> Shooting,1610612746.0 </> 1610612755.0,LAC </> PHI,1.0 </> 1.0,-79.0 </> 0.0,173.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/46/53f2544a-73c9-1e78-1d09-e32f0a4efb9c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/47/1ac376f6-e8fc-913b-7644-794660ca0bb5_1280x720.mp4,8962 </> 8963,train-8962 </> train-8963,PLAYER201568 19' Pullup Jump Shot  </> PLAYER201163 S.FOUL ,PLAYER201568 </> PLAYER201163,action65 </> action18
50.0,Turnover,PT07M51.00S,Butler Lost Ball Turnover (P1.T2),0.0,v,1.0,202710.0,Butler,J. Butler,0.0,,,0.0,,Lost Ball,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/50/d1617ffe-5384-ef77-6888-b90647434d9e_1280x720.mp4,8964,train-8964,PLAYER202710 Lost Ball Turnover ,PLAYER202710,action153
52.0,Missed Shot,PT07M47.00S,MISS Bradley 2' Running Layup,1.0,h,1.0,202340.0,Bradley,A. Bradley,0.0,,,2.0,Missed,Running Layup Shot,1610612746.0,LAC,1.0,6.0,15.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/52/062a238d-c0ae-b237-247d-ab9001d56c6b_1280x720.mp4,8965,train-8965,MISS PLAYER202340 2' Running Layup,PLAYER202340,action121
56.0,Foul,PT07M33.00S,Gortat P.FOUL (P1.T2) (J.Goble),0.0,h,1.0,101162.0,Gortat,M. Gortat,0.0,,,0.0,,Personal,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/56/82a255b3-a419-80df-89a8-66ffcb37babc_1280x720.mp4,8966,train-8966,PLAYER101162 P.FOUL ,PLAYER101162,action16
58.0 </> 59.0,Missed Shot </> Defensive Rebound,PT07M22.00S </> PT07M20.00S,MISS Embiid 8' Driving Floating Jump Shot </> Harris REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203954.0 </> 202699.0,Embiid </> Harris,J. Embiid </> T. Harris,0.0 </> 0.0, </> , </> ,8.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612755.0 </> 1610612746.0,PHI </> LAC,1.0 </> 1.0,-7.0 </> 0.0,75.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/58/cc775cf3-3f36-ba96-dd0d-e557e6c528f4_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/59/8330a299-76a8-2598-9beb-6c7f1c8855cc_1280x720.mp4,8967 </> 8968,train-8967 </> train-8968,MISS PLAYER203954 8' Driving Floating Jump Shot </> PLAYER202699 DEFENSIVE REBOUND ,PLAYER203954 </> PLAYER202699,action97 </> action135
60.0,Made Shot,PT07M12.00S,Harris 24' 3PT Pullup Jump Shot (7 PTS),1.0,h,1.0,202699.0,Harris,T. Harris,29.0,15,14,24.0,Made,Pullup Jump shot,1610612746.0,LAC,1.0,228.0,64.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/60/e0770406-8794-9a79-3dd2-27c4ae21c80f_1280x720.mp4,8969,train-8969,PLAYER202699 24' 3PT Pullup Jump Shot ,PLAYER202699,action65
61.0,Foul,PT06M55.00S,Harris P.FOUL (P1.T3) (J.Orr),0.0,h,1.0,202699.0,Harris,T. Harris,0.0,,,0.0,,Personal,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/61/e5726a0b-adc7-a54e-ffbf-bf80b848b7d8_1280x720.mp4,8970,train-8970,PLAYER202699 P.FOUL ,PLAYER202699,action16
70.0 </> 71.0,Missed Shot </> Offensive Rebound,PT06M41.00S </> PT06M41.00S,MISS Simmons 12' Turnaround Fadeaway Shot </> Muscala REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,1627732.0 </> 203488.0,Simmons </> Muscala,B. Simmons </> M. Muscala,0.0 </> 0.0, </> , </> ,12.0 </> 0.0,Missed </> ,Turnaround Fadeaway shot </> Unknown,1610612755.0 </> 1610612755.0,PHI </> PHI,1.0 </> 1.0,-33.0 </> 0.0,118.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/70/6b6b0b14-1bff-3db2-8a7e-1065a920e2eb_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/71/5e698774-e9e9-86f1-3f8f-1569c733e001_1280x720.mp4,8971 </> 8972,train-8971 </> train-8972,MISS PLAYER1627732 12' Turnaround Fadeaway Shot </> PLAYER203488 OFFENSIVE REBOUND ,PLAYER1627732 </> PLAYER203488,action131 </> action135
74.0 </> 75.0,Missed Shot </> Defensive Rebound,PT06M30.00S </> PT06M28.00S,MISS Gallinari 25' 3PT Jump Shot </> Simmons REBOUND (Off:0 Def:3),1.0 </> 0.0,h </> v,1.0 </> 1.0,201568.0 </> 1627732.0,Gallinari </> Simmons,D. Gallinari </> B. Simmons,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612746.0 </> 1610612755.0,LAC </> PHI,1.0 </> 1.0,-138.0 </> 0.0,211.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/74/10b3918f-a215-7e51-466d-df23bdb53d0e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/75/2def99dc-c53c-12a4-fa7d-723bb9932b09_1280x720.mp4,8973 </> 8974,train-8973 </> train-8974,MISS PLAYER201568 25' 3PT Jump Shot </> PLAYER1627732 DEFENSIVE REBOUND ,PLAYER201568 </> PLAYER1627732,action109 </> action135
76.0,Foul,PT06M23.00S,Gallinari FLAGRANT.FOUL.TYPE1 (P1.T4) (J.Goble),0.0,h,1.0,201568.0,Gallinari,D. Gallinari,0.0,,,0.0,,Flagrant Type 1,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/01/0021800553/76/81df2980-4f56-7a04-aaca-e519f858742c_1280x720.mp4,8975,train-8975,PLAYER201568 FLAGRANT.FOUL.TYPE1 ,PLAYER201568,action9
