actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Ayton vs. Embiid: Tip to Melton,0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/4/6e098cf4-da86-5bd5-e0f5-bcfc2ff8b70b_1280x720.mp4,22097,train-22097,Jump Ball PLAYER1629028 vs. PLAYER203954: Tip to PLAYER1629001,PLAYER1629028 PLAYER203954 PLAYER1629001,action41
7.0,Made Shot,PT11M42.00S,Ayton 11' Turnaround Fadeaway (2 PTS) (Melton 1 AST),1.0,h,1.0,1629028.0,Ayton,D. Ayton,2.0,0,2,11.0,Made,Turnaround Fadeaway shot,1610612756.0,PHX,1.0,-28.0,104.0,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/7/80b7c35d-f3bf-3f56-650c-5e700c3d3487_1280x720.mp4,22098,train-22098,PLAYER1629028 11' Turnaround Fadeaway (PLAYER1629001 AST),PLAYER1629028 PLAYER1629001,action85
9.0,Foul,PT11M28.00S,Ayton S.FOUL (P1.T1) (K.Mauer),0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,Shooting,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/9/bd206be2-f804-6a29-ce91-0e53c715da32_1280x720.mp4,22099,train-22099,PLAYER1629028 S.FOUL ,PLAYER1629028,action18
13.0,Turnover,PT11M14.00S,Melton Bad Pass Turnover (P1.T1),0.0,h,1.0,1629001.0,Melton,D. Melton,0.0,,,0.0,,Bad Pass,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/13/941cbc15-3254-2da6-744f-63bf66ac6cf4_1280x720.mp4,22100,train-22100,PLAYER1629001 Bad Pass Turnover ,PLAYER1629001,action143
15.0,Missed Shot,PT10M56.00S,MISS Embiid 2' Driving Finger Roll Layup,1.0,v,1.0,203954.0,Embiid,J. Embiid,0.0,,,2.0,Missed,Driving Finger Roll Layup Shot,1610612755.0,PHI,1.0,-3.0,22.0,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/15/8b5d0c55-b9d6-8823-c61e-1775ecb3eb82_1280x720.mp4,22101,train-22101,MISS PLAYER203954 2' Driving Finger Roll Layup,PLAYER203954,action95
16.0 </> 17.0 </> 18.0,Offensive Rebound </> Missed Shot </> Offensive Rebound,PT10M55.00S </> PT10M55.00S </> PT10M54.00S,Embiid REBOUND (Off:1 Def:0) </> MISS Embiid 1' Tip Layup Shot </> Embiid REBOUND (Off:2 Def:0),0.0 </> 1.0 </> 0.0,v </> v </> v,1.0 </> 1.0 </> 1.0,203954.0 </> 203954.0 </> 203954.0,Embiid </> Embiid </> Embiid,J. Embiid </> J. Embiid </> J. Embiid,0.0 </> 0.0 </> 0.0, </>  </> , </>  </> ,0.0 </> 1.0 </> 0.0, </> Missed </> ,Unknown </> Tip Layup Shot </> Unknown,1610612755.0 </> 1610612755.0 </> 1610612755.0,PHI </> PHI </> PHI,1.0 </> 1.0 </> 1.0,0.0 </> 0.0 </> 0.0,0.0 </> -6.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/16/25b1cfda-ea16-0714-fef5-adac0663edf6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/17/38020e7d-27bf-487f-6de2-f2e0829de6c8_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/18/dd3d6c78-0459-c13a-981c-79a20faa68f8_1280x720.mp4,22102 </> 22103 </> 22104,train-22102 </> train-22103 </> train-22104,PLAYER203954 OFFENSIVE REBOUND  </> MISS PLAYER203954 1' Tip Layup Shot </> PLAYER203954 OFFENSIVE REBOUND ,PLAYER203954 </> PLAYER203954 </> PLAYER203954,action135 </> action128 </> action135
19.0,Made Shot,PT10M54.00S,Embiid 1' Tip Layup Shot (4 PTS),1.0,v,1.0,203954.0,Embiid,J. Embiid,6.0,4,2,1.0,Made,Tip Layup Shot,1610612755.0,PHI,1.0,0.0,-6.0,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/19/10e2fddf-78c9-dd9f-e54f-d6d417c3f414_1280x720.mp4,22105,train-22105,PLAYER203954 1' Tip Layup Shot ,PLAYER203954,action82
20.0,Turnover,PT10M30.00S,Melton Bad Pass Turnover (P2.T2),0.0,h,1.0,1629001.0,Melton,D. Melton,0.0,,,0.0,,Bad Pass,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/20/79be309a-7d57-0e8d-3280-fd34d8a188b9_1280x720.mp4,22106,train-22106,PLAYER1629001 Bad Pass Turnover ,PLAYER1629001,action143
22.0,Made Shot,PT10M19.00S,Simmons 1' Layup (2 PTS) (Redick 1 AST),1.0,v,1.0,1627732.0,Simmons,B. Simmons,8.0,6,2,1.0,Made,Layup Shot,1610612755.0,PHI,1.0,14.0,5.0,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/22/4ea4ed1e-26df-66bd-7ea2-bd54c7e6e32a_1280x720.mp4,22107,train-22107,PLAYER1627732 1' Layup (PLAYER200755 AST),PLAYER1627732 PLAYER200755,action64
24.0 </> 25.0,Missed Shot </> Defensive Rebound,PT10M04.00S </> PT10M02.00S,MISS Booker 21' Jump Shot </> Embiid REBOUND (Off:2 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626164.0 </> 203954.0,Booker </> Embiid,D. Booker </> J. Embiid,0.0 </> 0.0, </> , </> ,21.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612756.0 </> 1610612755.0,PHX </> PHI,1.0 </> 1.0,-199.0 </> 0.0,53.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/24/97120977-288f-2c5e-d35a-c6d2a2299f61_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/02/0021800561/25/3ebb6d1e-a02d-1418-3044-ebec1bcc8877_1280x720.mp4,22108 </> 22109,train-22108 </> train-22109,MISS PLAYER1626164 21' Jump Shot </> PLAYER203954 DEFENSIVE REBOUND ,PLAYER1626164 </> PLAYER203954,action109 </> action135
