actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Ayton vs. Gortat: Tip to Harris,0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/4/71f80f5c-6c06-4a23-a5a4-7e6526d51008_1280x720.mp4,42585,test-3459,Jump Ball PLAYER1629028 vs. PLAYER101162: Tip to PLAYER202699,PLAYER1629028 PLAYER101162 PLAYER202699,action41
7.0,Made Shot,PT11M40.00S,Gortat 13' Jump Shot (2 PTS) (Harris 1 AST),1.0,v,1.0,101162.0,Gortat,M. Gortat,2.0,2,0,13.0,Made,Jump Shot,1610612746.0,LAC,1.0,55.0,117.0,https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/7/c25b5569-8d3f-107c-eeb6-c319649520ca_1280x720.mp4,42586,test-3460,PLAYER101162 13' Jump Shot (PLAYER202699 AST),PLAYER101162 PLAYER202699,action63
9.0,Made Shot,PT11M18.00S,Melton 26' 3PT Jump Shot (3 PTS) (Ayton 1 AST),1.0,h,1.0,1629001.0,Melton,D. Melton,5.0,2,3,26.0,Made,Jump Shot,1610612756.0,PHX,1.0,-71.0,252.0,https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/9/aad6f609-e5ce-1261-474f-7a912e818469_1280x720.mp4,42587,test-3461,PLAYER1629001 26' 3PT Jump Shot (PLAYER1629028 AST),PLAYER1629001 PLAYER1629028,action63
11.0,Turnover,PT11M04.00S,Gortat Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0,v,1.0,101162.0,Gortat,M. Gortat,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/11/1d32de70-03e8-f328-97a1-37855e9280fb_1280x720.mp4,42588,test-3462,PLAYER101162 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER101162,action157
12.0,Made Shot,PT10M40.00S,Booker Driving Finger Roll Layup (2 PTS),1.0,h,1.0,1626164.0,Booker,D. Booker,7.0,2,5,0.0,Made,Driving Finger Roll Layup Shot,1610612756.0,PHX,1.0,-2.0,4.0,https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/12/d7698a9f-a8bc-856c-f3b4-a6aab24550c7_1280x720.mp4,42589,test-3463,PLAYER1626164 Driving Finger Roll Layup ,PLAYER1626164,action49
13.0,Made Shot,PT10M19.00S,Gallinari 1' Driving Dunk (2 PTS) (Bradley 1 AST),1.0,v,1.0,201568.0,Gallinari,D. Gallinari,9.0,4,5,1.0,Made,Driving Dunk Shot,1610612746.0,LAC,1.0,-5.0,8.0,https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/13/545441b4-7b01-1038-cd7b-9828b437aae1_1280x720.mp4,42590,test-3464,PLAYER201568 1' Driving Dunk (PLAYER202340 AST),PLAYER201568 PLAYER202340,action48
15.0,Foul,PT09M59.00S,Gilgeous-Alexander P.FOUL (P1.T1) (T.Ford),0.0,v,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,0.0,,,0.0,,Personal,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/15/2bb1ff5e-ef48-d40d-52ac-798160d16df4_1280x720.mp4,42591,test-3465,PLAYER1628983 P.FOUL ,PLAYER1628983,action16
17.0 </> 18.0,Missed Shot </> Defensive Rebound,PT09M45.00S </> PT09M40.00S,MISS Bridges 7' Floating Jump Shot </> Gortat REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628969.0 </> 101162.0,Bridges </> Gortat,M. Bridges </> M. Gortat,0.0 </> 0.0, </> , </> ,7.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612756.0 </> 1610612746.0,PHX </> LAC,1.0 </> 1.0,4.0 </> 0.0,70.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/17/c0b57806-8756-c80d-b77e-6064119f5f8d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/18/ec605d71-d75f-036b-64b0-7bc94dccfe2c_1280x720.mp4,42592 </> 42593,test-3466 </> test-3467,MISS PLAYER1628969 7' Floating Jump Shot </> PLAYER101162 DEFENSIVE REBOUND ,PLAYER1628969 </> PLAYER101162,action105 </> action135
19.0 </> 20.0 </> 21.0,Missed Shot </> Offensive Rebound </> Missed Shot,PT09M37.00S </> PT09M33.00S </> PT09M31.00S,MISS Bradley 22' Running Pull-Up Jump Shot </> Gortat REBOUND (Off:1 Def:1) </> MISS Gortat 3' Driving Layup,1.0 </> 0.0 </> 1.0,v </> v </> v,1.0 </> 1.0 </> 1.0,202340.0 </> 101162.0 </> 101162.0,Bradley </> Gortat </> Gortat,A. Bradley </> M. Gortat </> M. Gortat,0.0 </> 0.0 </> 0.0, </>  </> , </>  </> ,22.0 </> 0.0 </> 3.0,Missed </>  </> Missed,Running Pull-Up Jump Shot </> Unknown </> Driving Layup Shot,1610612746.0 </> 1610612746.0 </> 1610612746.0,LAC </> LAC </> LAC,1.0 </> 1.0 </> 1.0,5.0 </> 0.0 </> 24.0,216.0 </> 0.0 </> 20.0,https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/19/a1679b75-4823-1ed5-e6cb-06217e87454c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/20/fb6138c8-36cf-78aa-dcaf-a36ba132de38_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/21/1e289c28-ca9f-23a8-b99f-573b08ca261f_1280x720.mp4,42594 </> 42595 </> 42596,test-3468 </> test-3469 </> test-3470,MISS PLAYER202340 22' Running Pull-Up Jump Shot </> PLAYER101162 OFFENSIVE REBOUND  </> MISS PLAYER101162 3' Driving Layup,PLAYER202340 </> PLAYER101162 </> PLAYER101162,action122 </> action135 </> action99
24.0,Made Shot,PT09M29.00S,Harris 17' Jump Shot (2 PTS) (Gilgeous-Alexander 1 AST),1.0,v,1.0,202699.0,Harris,T. Harris,11.0,6,5,17.0,Made,Jump Shot,1610612746.0,LAC,1.0,-157.0,67.0,https://videos.nba.com/nba/pbp/media/2019/01/04/0021800573/24/6a321af5-c347-f7f5-d768-f497c945a14d_1280x720.mp4,42597,test-3471,PLAYER202699 17' Jump Shot (PLAYER1628983 AST),PLAYER202699 PLAYER1628983,action63
