actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Embiid vs. Jordan: Tip to Simmons,0.0,h,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/4/4b16eb82-1350-3812-cdde-97620df1d27f_1280x720.mp4,15456,train-15456,Jump Ball PLAYER203954 vs. PLAYER201599: Tip to PLAYER1627732,PLAYER203954 PLAYER201599 PLAYER1627732,action41
7.0,Made Shot,PT11M43.00S,Simmons 5' Turnaround Fadeaway (2 PTS),1.0,h,1.0,1627732.0,Simmons,B. Simmons,2.0,0,2,5.0,Made,Turnaround Fadeaway shot,1610612755.0,PHI,1.0,44.0,30.0,https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/7/aefa7f58-5d14-9349-ad5b-d368c8d08bda_1280x720.mp4,15457,train-15457,PLAYER1627732 5' Turnaround Fadeaway ,PLAYER1627732,action85
8.0,Made Shot,PT11M24.00S,Matthews 14' Turnaround Fadeaway Bank Jump Shot (2 PTS),1.0,v,1.0,202083.0,Matthews,W. Matthews,4.0,2,2,14.0,Made,Turnaround Fadeaway Bank Jump Shot,1610612742.0,DAL,1.0,-121.0,60.0,https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/8/405b01bb-7e6b-6ca4-fd35-5db25d134c9c_1280x720.mp4,15458,train-15458,PLAYER202083 14' Turnaround Fadeaway Bank Jump Shot ,PLAYER202083,action84
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M12.00S </> PT11M09.00S,MISS Bolden 26' 3PT Jump Shot </> Jordan REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628413.0 </> 201599.0,Bolden </> Jordan,J. Bolden </> D. Jordan,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612755.0 </> 1610612742.0,PHI </> DAL,1.0 </> 1.0,105.0 </> 0.0,235.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/9/094026f1-8b2f-404b-1d7a-9725517626ac_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/10/f45c98d3-9d7d-aec7-4fed-03c350b34df7_1280x720.mp4,15459 </> 15460,train-15459 </> train-15460,MISS PLAYER1628413 26' 3PT Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER1628413 </> PLAYER201599,action109 </> action135
11.0,Made Shot,PT10M57.00S,Matthews 10' Step Back Jump Shot (4 PTS),1.0,v,1.0,202083.0,Matthews,W. Matthews,6.0,4,2,10.0,Made,Step Back Jump shot,1610612742.0,DAL,1.0,-34.0,93.0,https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/11/2936dddd-0b42-6761-37a4-697b2d471e39_1280x720.mp4,15461,train-15461,PLAYER202083 10' Step Back Jump Shot ,PLAYER202083,action80
13.0 </> 14.0,Missed Shot </> Offensive Rebound,PT10M44.00S </> PT10M41.00S,MISS Embiid 14' Jump Shot </> Simmons REBOUND (Off:1 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,203954.0 </> 1627732.0,Embiid </> Simmons,J. Embiid </> B. Simmons,0.0 </> 0.0, </> , </> ,14.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612755.0 </> 1610612755.0,PHI </> PHI,1.0 </> 1.0,-118.0 </> 0.0,80.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/13/19548844-1f63-4358-2c67-3328fd73a7c4_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/14/fb95a6bb-c044-75bb-d240-9680b059916f_1280x720.mp4,15462 </> 15463,train-15462 </> train-15463,MISS PLAYER203954 14' Jump Shot </> PLAYER1627732 OFFENSIVE REBOUND ,PLAYER203954 </> PLAYER1627732,action109 </> action135
15.0,Made Shot,PT10M40.00S,Simmons 1' Dunk (4 PTS),1.0,h,1.0,1627732.0,Simmons,B. Simmons,8.0,4,4,1.0,Made,Dunk Shot,1610612755.0,PHI,1.0,6.0,9.0,https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/15/41a4ee56-16d0-0e74-29e2-12977432d690_1280x720.mp4,15464,train-15464,PLAYER1627732 1' Dunk ,PLAYER1627732,action56
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M14.00S </> PT10M11.00S,MISS Doncic 29' 3PT Step Back Jump Shot </> Korkmaz REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629029.0 </> 1627788.0,Doncic </> Korkmaz,L. Doncic </> F. Korkmaz,0.0 </> 0.0, </> , </> ,29.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612742.0 </> 1610612755.0,DAL </> PHI,1.0 </> 1.0,-88.0 </> 0.0,274.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/16/083f90a9-57f3-b1e1-a12d-63f269c23cf7_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/17/cb010dc2-34f6-ec61-0371-d659ab5b8f6d_1280x720.mp4,15465 </> 15466,train-15465 </> train-15466,MISS PLAYER1629029 29' 3PT Step Back Jump Shot </> PLAYER1627788 DEFENSIVE REBOUND ,PLAYER1629029 </> PLAYER1627788,action126 </> action135
18.0,Made Shot,PT10M04.00S,Redick 19' Pullup Jump Shot (2 PTS) (Embiid 1 AST),1.0,h,1.0,200755.0,Redick,J. Redick,10.0,4,6,19.0,Made,Pullup Jump shot,1610612755.0,PHI,1.0,-14.0,185.0,https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/18/abffa04d-1c30-e8be-12a9-9537efedffc6_1280x720.mp4,15467,train-15467,PLAYER200755 19' Pullup Jump Shot (PLAYER203954 AST),PLAYER200755 PLAYER203954,action65
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT09M50.00S </> PT09M48.00S,MISS Smith Jr. 18' Driving Floating Bank Jump Shot </> Embiid REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628372.0 </> 203954.0,Smith Jr. </> Embiid,D. Smith Jr. </> J. Embiid,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Driving Floating Bank Jump Shot </> Unknown,1610612742.0 </> 1610612755.0,DAL </> PHI,1.0 </> 1.0,-17.0 </> 0.0,175.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/20/bc0d9cbb-c0b5-9f0c-d4b5-fd51f5c314eb_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/05/0021800578/21/ef89192c-f4e3-5841-1cad-c352a1782432_1280x720.mp4,15468 </> 15469,train-15468 </> train-15469,MISS PLAYER1628372 18' Driving Floating Bank Jump Shot </> PLAYER203954 DEFENSIVE REBOUND ,PLAYER1628372 </> PLAYER203954,action96 </> action135
