actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
29.0,Made Shot,PT09M46.00S,Ball 26' 3PT Jump Shot (3 PTS) (Hart 1 AST),1.0,v,1.0,1628366.0,Ball,L. Ball,8.0,3,5,26.0,Made,Jump Shot,1610612747.0,LAL,1.0,182.0,185.0,https://videos.nba.com/nba/pbp/media/2019/01/07/0021800596/29/b458c511-6785-3850-59ef-d95d129a178e_1280x720.mp4,4473,train-4473,PLAYER1628366 26' 3PT Jump Shot (PLAYER1628404 AST),PLAYER1628366 PLAYER1628404,action63
32.0,Made Shot,PT09M16.00S,Smith Jr. 25' 3PT Fadeaway Jumper (5 PTS),1.0,h,1.0,1628372.0,Smith Jr.,D. Smith Jr.,11.0,3,8,25.0,Made,Fadeaway Jump Shot,1610612742.0,DAL,1.0,-230.0,94.0,https://videos.nba.com/nba/pbp/media/2019/01/07/0021800596/32/dfa00fbf-e599-95fe-5cae-e60a59bb5651_1280x720.mp4,4474,train-4474,PLAYER1628372 25' 3PT Fadeaway Jumper ,PLAYER1628372,action57
51.0,Turnover,PT08M03.00S,Hart Lost Ball Turnover (P1.T2),0.0,v,1.0,1628404.0,Hart,J. Hart,0.0,,,0.0,,Lost Ball,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/07/0021800596/51/142346f1-8d99-e9d2-d847-b053b4790b50_1280x720.mp4,4475,train-4475,PLAYER1628404 Lost PLAYER1628366 Turnover ,PLAYER1628404 PLAYER1628366,action153
145.0,Made Shot,PT01M33.00S,Powell 1' Alley Oop Dunk (2 PTS) (Barea 2 AST),1.0,h,1.0,203939.0,Powell,D. Powell,48.0,20,28,1.0,Made,Alley Oop Dunk Shot,1610612742.0,DAL,1.0,6.0,-4.0,https://videos.nba.com/nba/pbp/media/2019/01/07/0021800596/145/e99cb985-2fd3-c1a8-f7b1-3525a891a3d4_1280x720.mp4,4476,train-4476,PLAYER203939 1' Alley Oop Dunk (PLAYER200826 AST),PLAYER203939 PLAYER200826,action42
148.0,Defensive Rebound,PT01M17.00S,Finney-Smith REBOUND (Off:0 Def:1),0.0,h,1.0,1627827.0,Finney-Smith,D. Finney-Smith,0.0,,,0.0,,Unknown,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/07/0021800596/148/a33c41aa-39a4-6b17-e4af-c1dac03bc14c_1280x720.mp4,4477,train-4477,PLAYER1627827 DEFENSIVE REBOUND ,PLAYER1627827,action135
150.0,Defensive Rebound,PT01M03.00S,Caldwell-Pope REBOUND (Off:0 Def:1),0.0,v,1.0,203484.0,Caldwell-Pope,K. Caldwell-Pope,0.0,,,0.0,,Unknown,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/07/0021800596/150/3d8337b9-6be8-de65-f65f-d5eca7c07b8d_1280x720.mp4,4478,train-4478,PLAYER203484 DEFENSIVE REBOUND ,PLAYER203484,action135
153.0,Made Shot,PT00M46.70S,Barea 5' Driving Layup (2 PTS),1.0,h,1.0,200826.0,Barea,J. Barea,52.0,22,30,5.0,Made,Driving Layup Shot,1610612742.0,DAL,1.0,14.0,44.0,https://videos.nba.com/nba/pbp/media/2019/01/07/0021800596/153/3e9efb41-8a0a-6eed-f4b4-626b8ce2252e_1280x720.mp4,4479,train-4479,PLAYER200826 5' Driving Layup ,PLAYER200826,action53
158.0,Missed Shot,PT00M04.90S,MISS Kuzma 4' Driving Layup,1.0,v,1.0,1628398.0,Kuzma,K. Kuzma,0.0,,,4.0,Missed,Driving Layup Shot,1610612747.0,LAL,1.0,39.0,19.0,https://videos.nba.com/nba/pbp/media/2019/01/07/0021800596/158/418f65b1-ca8b-27b7-20dd-35c3c2f1443f_1280x720.mp4,4480,train-4480,MISS PLAYER1628398 4' Driving Layup,PLAYER1628398,action99
186.0,Made Shot,PT10M58.00S,Nowitzki 20' Pullup Jump Shot (2 PTS) (Barea 3 AST),1.0,h,2.0,1717.0,Nowitzki,D. Nowitzki,64.0,27,37,20.0,Made,Pullup Jump shot,1610612742.0,DAL,1.0,120.0,163.0,https://videos.nba.com/nba/pbp/media/2019/01/07/0021800596/186/c27322df-37b2-a94a-3eaa-b2420e23a72f_1280x720.mp4,4481,train-4481,PLAYER1717 20' Pullup Jump Shot (PLAYER200826 AST),PLAYER1717 PLAYER200826,action65
239.0,Foul,PT06M30.00S,Hart S.FOUL (P1.T2) (M.Smith),0.0,v,2.0,1628404.0,Hart,J. Hart,0.0,,,0.0,,Shooting,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/07/0021800596/239/99ef6f56-0f2a-0647-99f1-ce6b9263fa22_1280x720.mp4,4482,train-4482,PLAYER1628404 S.FOUL ,PLAYER1628404,action18
