actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Jordan vs. Ayton: Tip to Warren,0.0,h,1.0,201599.0,Jordan,D. Jordan,0.0,,,0.0,,,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/4/6e948319-eca4-01b6-c324-06586c8c05b8_1280x720.mp4,0,train-0,Jump Ball PLAYER201599 vs. PLAYER1629028: Tip to PLAYER203933,PLAYER201599 PLAYER1629028 PLAYER203933,action41
7.0,Made Shot,PT11M40.00S,Jackson 12' Pullup Jump Shot (2 PTS),1.0,v,1.0,1628367.0,Jackson,J. Jackson,2.0,2,0,12.0,Made,Pullup Jump shot,1610612756.0,PHX,1.0,3.0,120.0,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/7/f54f8726-0583-dd15-14cd-964e55084e5a_1280x720.mp4,1,train-1,PLAYER1628367 12' Pullup Jump Shot ,PLAYER1628367,action65
8.0 </> 10.0,Foul </> Turnover,PT11M26.00S </> PT11M26.00S,Jordan OFF.Foul (P1) (D.Collins) </> Jordan Offensive Foul Turnover (P1.T1),0.0 </> 0.0,h </> h,1.0 </> 1.0,201599.0 </> 201599.0,Jordan </> Jordan,D. Jordan </> D. Jordan,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Offensive </> Offensive Foul Turnover,1610612742.0 </> 1610612742.0,DAL </> DAL,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/8/fe5f16dc-a7ec-7e73-c6a6-0f0a9b4b5e40_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/10/963e9207-32c3-d3af-5473-e5a377ea4a3f_1280x720.mp4,2 </> 3,train-2 </> train-3,PLAYER201599 OFF.Foul  </> PLAYER201599 Offensive Foul Turnover ,PLAYER201599 </> PLAYER201599,action14 </> action155
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M06.00S </> PT11M03.00S,MISS Warren 18' Pullup Jump Shot </> Doncic REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203933.0 </> 1629029.0,Warren </> Doncic,T. Warren </> L. Doncic,0.0 </> 0.0, </> , </> ,18.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,-21.0 </> 0.0,177.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/11/33ceb718-77bb-16c9-31b4-e20b89cbf918_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/12/d802fb03-51fa-e58c-95c9-8b34ec46aa4d_1280x720.mp4,4 </> 5,train-4 </> train-5,MISS PLAYER203933 18' Pullup Jump Shot </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER203933 </> PLAYER1629029,action111 </> action135
13.0,Turnover,PT10M51.00S,Jordan Lost Ball Turnover (P2.T2),0.0,h,1.0,201599.0,Jordan,D. Jordan,0.0,,,0.0,,Lost Ball,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/13/4c129759-3dfa-99d4-795a-23a82bb72d62_1280x720.mp4,6,train-6,PLAYER201599 Lost Ball Turnover ,PLAYER201599,action153
15.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M39.00S </> PT10M35.00S,MISS Warren 11' Driving Floating Jump Shot </> Kleber REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203933.0 </> 1628467.0,Warren </> Kleber,T. Warren </> M. Kleber,0.0 </> 0.0, </> , </> ,11.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,98.0 </> 0.0,53.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/15/cb1e8129-8353-d3e9-4485-4f034dc1f51e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/17/710fa08c-3287-fe97-6a9d-7c02fa2e17bf_1280x720.mp4,7 </> 8,train-7 </> train-8,MISS PLAYER203933 11' Driving Floating Jump Shot </> PLAYER1628467 DEFENSIVE REBOUND ,PLAYER203933 </> PLAYER1628467,action97 </> action135
18.0,Made Shot,PT10M24.00S,Jordan Cutting Finger Roll Layup Shot (2 PTS) (Matthews 1 AST),1.0,h,1.0,201599.0,Jordan,D. Jordan,4.0,2,2,0.0,Made,Cutting Finger Roll Layup Shot,1610612742.0,DAL,1.0,-2.0,4.0,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/18/8ec0e4b5-07e1-f8ff-72db-11a07db62756_1280x720.mp4,9,train-9,PLAYER201599 Cutting Finger Roll Layup Shot (PLAYER202083 AST),PLAYER201599 PLAYER202083,action45
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT10M08.00S </> PT10M06.00S,MISS Ayton 12' Turnaround Jump Shot </> Matthews REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629028.0 </> 202083.0,Ayton </> Matthews,D. Ayton </> W. Matthews,0.0 </> 0.0, </> , </> ,12.0 </> 0.0,Missed </> ,Turnaround Jump Shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,109.0 </> 0.0,38.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/20/026876ba-0961-89c5-f66d-f869aea0a76c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/21/8067c8a9-a871-ffc6-f07e-263dbe46efb4_1280x720.mp4,10 </> 11,train-10 </> train-11,MISS PLAYER1629028 12' Turnaround Jump Shot </> PLAYER202083 DEFENSIVE REBOUND ,PLAYER1629028 </> PLAYER202083,action133 </> action135
22.0,Missed Shot,PT09M58.00S,MISS Doncic 6' Driving Floating Jump Shot,1.0,h,1.0,1629029.0,Doncic,L. Doncic,0.0,,,6.0,Missed,Driving Floating Jump Shot,1610612742.0,DAL,1.0,-56.0,6.0,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/22/bc7c969a-4220-7545-2181-3a65bf68c6a8_1280x720.mp4,12,train-12,MISS PLAYER1629029 6' Driving Floating Jump Shot,PLAYER1629029,action97
26.0,Made Shot,PT09M51.00S,Kleber 3PT Jump Shot (3 PTS) (Matthews 2 AST),1.0,h,1.0,1628467.0,Kleber,M. Kleber,7.0,2,5,0.0,Made,Jump Shot,1610612742.0,DAL,1.0,-232.0,17.0,https://videos.nba.com/nba/pbp/media/2019/01/09/0021800613/26/96212022-ec7d-4a7b-da7d-0005c65167a9_1280x720.mp4,13,train-13,PLAYER1628467 3PT Jump Shot (PLAYER202083 AST),PLAYER1628467 PLAYER202083,action63
