actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Jordan vs. Durant: Tip to Curry,0.0,h,1.0,201599.0,Jordan,D. Jordan,0.0,,,0.0,,,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/4/f9de9863-1eec-8648-34c2-a910bc40dcdd_1280x720.mp4,38771,val-5182,Jump Ball PLAYER201599 vs. PLAYER201142: Tip to PLAYER201939,PLAYER201599 PLAYER201142 PLAYER201939,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M44.00S </> PT11M42.00S,MISS Green 26' 3PT Jump Shot </> Jordan REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203110.0 </> 201599.0,Green </> Jordan,D. Green </> D. Jordan,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612742.0,GSW </> DAL,1.0 </> 1.0,136.0 </> 0.0,218.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/7/17373000-195d-5079-cede-bbe0d5ad33ff_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/8/58163343-f957-c9f0-4b54-587cd691f39d_1280x720.mp4,38772 </> 38773,val-5183 </> val-5184,MISS PLAYER203110 26' 3PT Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER203110 </> PLAYER201599,action109 </> action135
9.0,Turnover,PT11M32.00S,Doncic Bad Pass Turnover (P1.T1),0.0,h,1.0,1629029.0,Doncic,L. Doncic,0.0,,,0.0,,Bad Pass,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/9/5074f0b6-ea32-0e42-c307-73ce3955cc19_1280x720.mp4,38774,val-5185,PLAYER1629029 Bad Pass Turnover ,PLAYER1629029,action143
11.0,Made Shot,PT11M22.00S,Durant 9' Turnaround Fadeaway (2 PTS),1.0,v,1.0,201142.0,Durant,K. Durant,2.0,2,0,9.0,Made,Turnaround Fadeaway shot,1610612744.0,GSW,1.0,-81.0,38.0,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/11/b7e4456c-fc90-7354-7007-27a0b49a4ac7_1280x720.mp4,38775,val-5186,PLAYER201142 9' Turnaround Fadeaway ,PLAYER201142,action85
12.0 </> 13.0,Missed Shot </> Defensive Rebound,PT11M06.00S </> PT11M04.00S,MISS Kleber 7' Driving Floating Jump Shot </> Looney REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1628467.0 </> 1626172.0,Kleber </> Looney,M. Kleber </> K. Looney,0.0 </> 0.0, </> , </> ,7.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612742.0 </> 1610612744.0,DAL </> GSW,1.0 </> 1.0,-58.0 </> 0.0,47.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/12/d58aaf70-02ce-40ab-5292-c065fe41c8fd_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/13/641b362b-4677-40d8-467c-9f64c7cf4d58_1280x720.mp4,38776 </> 38777,val-5187 </> val-5188,MISS PLAYER1628467 7' Driving Floating Jump Shot </> PLAYER1626172 DEFENSIVE REBOUND ,PLAYER1628467 </> PLAYER1626172,action97 </> action135
14.0,Turnover,PT11M02.00S,Green Traveling Turnover (P1.T1),0.0,v,1.0,203110.0,Green,D. Green,0.0,,,0.0,,Traveling,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/14/18dbf57d-ae0a-8d1c-5dd4-6d6e61d68317_1280x720.mp4,38778,val-5189,PLAYER203110 Traveling Turnover ,PLAYER203110,action163
15.0 </> 16.0,Missed Shot </> Defensive Rebound,PT10M52.00S </> PT10M50.00S,MISS Doncic 8' Driving Floating Jump Shot </> Looney REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,1629029.0 </> 1626172.0,Doncic </> Looney,L. Doncic </> K. Looney,0.0 </> 0.0, </> , </> ,8.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612742.0 </> 1610612744.0,DAL </> GSW,1.0 </> 1.0,-1.0 </> 0.0,84.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/15/4c50be34-15dd-e141-5afc-9aefb404df08_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/16/c82b543f-beaa-a263-eea8-40592d5b4ac6_1280x720.mp4,38779 </> 38780,val-5190 </> val-5191,MISS PLAYER1629029 8' Driving Floating Jump Shot </> PLAYER1626172 DEFENSIVE REBOUND ,PLAYER1629029 </> PLAYER1626172,action97 </> action135
18.0,Made Shot,PT10M35.00S,Curry 1' Driving Reverse Layup (2 PTS),1.0,v,1.0,201939.0,Curry,S. Curry,4.0,4,0,1.0,Made,Driving Reverse Layup Shot,1610612744.0,GSW,1.0,-3.0,4.0,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/18/84f1df45-5592-5318-ff6f-578994e62ec5_1280x720.mp4,38781,val-5192,PLAYER201939 1' Driving Reverse Layup ,PLAYER201939,action55
19.0,Made Shot,PT10M16.00S,Matthews 28' 3PT Jump Shot (3 PTS) (Jordan 1 AST),1.0,h,1.0,202083.0,Matthews,W. Matthews,7.0,4,3,28.0,Made,Jump Shot,1610612742.0,DAL,1.0,-202.0,194.0,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/19/47b0e70b-e2f9-b0f6-23ad-9252c406911a_1280x720.mp4,38782,val-5193,PLAYER202083 28' 3PT Jump Shot (PLAYER201599 AST),PLAYER202083 PLAYER201599,action63
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT09M59.00S </> PT09M57.00S,MISS Thompson 24' 3PT Jump Shot </> Jordan REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,202691.0 </> 201599.0,Thompson </> Jordan,K. Thompson </> D. Jordan,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612742.0,GSW </> DAL,1.0 </> 1.0,225.0 </> 0.0,77.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/21/56183300-cff8-55d5-90c8-3049177fe594_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/13/0021800642/22/f6a9f1c4-f52d-4c3a-b203-a4b7e8a7df88_1280x720.mp4,38783 </> 38784,val-5194 </> val-5195,MISS PLAYER202691 24' 3PT Jump Shot </> PLAYER201599 DEFENSIVE REBOUND ,PLAYER202691 </> PLAYER201599,action109 </> action135
