actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Jordan vs. Aldridge: Tip to Doncic,0.0,h,1.0,201599.0,Jordan,D. Jordan,0.0,,,0.0,,,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800661/4/bcdbb2e9-ffdd-7f48-dcf8-abc07a406d31_1280x720.mp4,23828,train-23828,Jump Ball PLAYER201599 vs. PLAYER200746: Tip to PLAYER1629029,PLAYER201599 PLAYER200746 PLAYER1629029,action41
7.0,Made Shot,PT11M42.00S,Matthews 14' Step Back Jump Shot (2 PTS),1.0,h,1.0,202083.0,Matthews,W. Matthews,2.0,0,2,14.0,Made,Step Back Jump shot,1610612742.0,DAL,1.0,-98.0,99.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800661/7/f6130241-259f-0077-6d38-1b4e6bf63517_1280x720.mp4,23829,train-23829,PLAYER202083 14' Step Back Jump Shot ,PLAYER202083,action80
8.0,Turnover,PT11M29.00S,DeRozan Double Dribble Turnover (P1.T1),0.0,v,1.0,201942.0,DeRozan,D. DeRozan,0.0,,,0.0,,Double Dribble,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800661/8/b2ca160e-3ca1-28a3-4629-2003e9985c98_1280x720.mp4,23830,train-23830,PLAYER201942 Double Dribble Turnover ,PLAYER201942,action145
9.0,Foul,PT11M09.00S,Aldridge S.FOUL (P1.T1) (R.Mott),0.0,v,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,Shooting,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800661/9/d1c43fc3-f51f-d93a-91c1-dbfbe79fe7da_1280x720.mp4,23831,train-23831,PLAYER200746 S.FOUL ,PLAYER200746,action18
13.0,Turnover,PT10M56.00S,Gay Lost Ball Turnover (P1.T2),0.0,v,1.0,200752.0,Gay,R. Gay,0.0,,,0.0,,Lost Ball,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800661/13/8f20a0f7-603c-57dc-e6fd-e7aa21c1987f_1280x720.mp4,23832,train-23832,PLAYER200752 Lost Ball Turnover ,PLAYER200752,action153
15.0,Turnover,PT10M45.00S,Kleber Bad Pass Turnover (P1.T1),0.0,h,1.0,1628467.0,Kleber,M. Kleber,0.0,,,0.0,,Bad Pass,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800661/15/c4cc3f79-fca1-79ef-e970-9fb1cacdd692_1280x720.mp4,23833,train-23833,PLAYER1628467 Bad Pass Turnover ,PLAYER1628467,action143
17.0,Made Shot,PT10M37.00S,White 10' Driving Floating Jump Shot (2 PTS) (Forbes 1 AST),1.0,v,1.0,1628401.0,White,D. White,6.0,2,4,10.0,Made,Driving Floating Jump Shot,1610612759.0,SAS,1.0,-52.0,84.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800661/17/88a6f20d-8621-ad4e-3aa7-bf3204090c92_1280x720.mp4,23834,train-23834,PLAYER1628401 10' Driving Floating Jump Shot (PLAYER1627854 AST),PLAYER1628401 PLAYER1627854,action51
19.0,Foul,PT10M21.00S,White S.FOUL (P1.T2) (R.Mott),0.0,v,1.0,1628401.0,White,D. White,0.0,,,0.0,,Shooting,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800661/19/0847e875-0d93-714b-bf31-e788c24ebbc1_1280x720.mp4,23835,train-23835,PLAYER1628401 S.FOUL ,PLAYER1628401,action18
23.0,Defensive Rebound,PT10M17.00S,DeRozan REBOUND (Off:0 Def:1),0.0,v,1.0,201942.0,DeRozan,D. DeRozan,0.0,,,0.0,,Unknown,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800661/23/3857b93b-39b7-fa87-b48b-eb167f5fd5d3_1280x720.mp4,23836,train-23836,PLAYER201942 DEFENSIVE REBOUND ,PLAYER201942,action135
24.0 </> 26.0,Missed Shot </> Defensive Rebound,PT10M00.00S </> PT09M56.00S,MISS Forbes 17' Fadeaway Jumper </> Doncic REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1627854.0 </> 1629029.0,Forbes </> Doncic,B. Forbes </> L. Doncic,0.0 </> 0.0, </> , </> ,17.0 </> 0.0,Missed </> ,Fadeaway Jump Shot </> Unknown,1610612759.0 </> 1610612742.0,SAS </> DAL,1.0 </> 1.0,163.0 </> 0.0,29.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800661/24/9d2eb719-623f-143a-bf52-123db456ba8c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/16/0021800661/26/2d43acc7-f435-7083-9bd1-df1df9286d66_1280x720.mp4,23837 </> 23838,train-23837 </> train-23838,MISS PLAYER1627854 17' Fadeaway Jumper </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER1627854 </> PLAYER1629029,action103 </> action135
