actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gortat vs. Gobert: Tip to Gobert,0.0,h,1.0,101162.0,Gortat,M. Gortat,0.0,,,0.0,,,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800664/4/6dbd8e7d-3046-cd80-32ba-dea4b4bf159a_1280x720.mp4,25807,train-25807,Jump Ball PLAYER101162 vs. PLAYER203497: Tip to PLAYER203497,PLAYER101162 PLAYER203497 PLAYER203497,action41
7.0,Turnover,PT11M41.00S,Mitchell Lost Ball Turnover (P1.T1),0.0,v,1.0,1628378.0,Mitchell,D. Mitchell,0.0,,,0.0,,Lost Ball,1610612762.0,UTA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800664/7/80288b57-9a9b-c155-2b64-794a3f6c74cd_1280x720.mp4,25808,train-25808,PLAYER1628378 Lost Ball Turnover ,PLAYER1628378,action153
9.0,Made Shot,PT11M36.00S,Gilgeous-Alexander 2' Running Layup (2 PTS),1.0,h,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,2.0,0,2,2.0,Made,Running Layup Shot,1610612746.0,LAC,1.0,24.0,2.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800664/9/4b4f505a-0e69-8881-5bdb-c3ead6835c0f_1280x720.mp4,25809,train-25809,PLAYER1628983 2' Running Layup ,PLAYER1628983,action75
10.0,Made Shot,PT11M12.00S,Gobert 1' Cutting Layup Shot (2 PTS) (Favors 1 AST),1.0,v,1.0,203497.0,Gobert,R. Gobert,4.0,2,2,1.0,Made,Cutting Layup Shot,1610612762.0,UTA,1.0,3.0,4.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800664/10/ce56b164-712d-c2b5-a2e4-65f1cf2e4594_1280x720.mp4,25810,train-25810,PLAYER203497 1' Cutting Layup Shot (PLAYER202324 AST),PLAYER203497 PLAYER202324,action46
12.0,Made Shot,PT10M58.00S,Harris 15' Pullup Jump Shot (2 PTS) (Gilgeous-Alexander 1 AST),1.0,h,1.0,202699.0,Harris,T. Harris,6.0,2,4,15.0,Made,Pullup Jump shot,1610612746.0,LAC,1.0,107.0,110.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800664/12/fcd56289-d0c9-f903-9983-3f4abe39e7eb_1280x720.mp4,25811,train-25811,PLAYER202699 15' Pullup Jump Shot (PLAYER1628983 AST),PLAYER202699 PLAYER1628983,action65
13.0,Made Shot,PT10M44.00S,Gobert 1' Cutting Dunk Shot (4 PTS) (Mitchell 1 AST),1.0,v,1.0,203497.0,Gobert,R. Gobert,8.0,4,4,1.0,Made,Cutting Dunk Shot,1610612762.0,UTA,1.0,-11.0,4.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800664/13/9cc2ff7f-7c8b-e589-436c-641c139cf88d_1280x720.mp4,25812,train-25812,PLAYER203497 1' Cutting Dunk Shot (PLAYER1628378 AST),PLAYER203497 PLAYER1628378,action44
15.0,Missed Shot,PT10M20.00S,MISS Harris 25' 3PT Jump Shot,1.0,h,1.0,202699.0,Harris,T. Harris,0.0,,,25.0,Missed,Jump Shot,1610612746.0,LAC,1.0,134.0,212.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800664/15/7a94ddb7-437d-5dc5-35b0-1347054b7c1f_1280x720.mp4,25813,train-25813,MISS PLAYER202699 25' 3PT Jump Shot,PLAYER202699,action109
16.0,Offensive Rebound,PT10M18.00S,Gortat REBOUND (Off:1 Def:0),0.0,h,1.0,101162.0,Gortat,M. Gortat,0.0,,,0.0,,Unknown,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800664/16/ed9bacbc-753e-bdba-5fb5-0c5c03ad8e8f_1280x720.mp4,25814,train-25814,PLAYER101162 OFFENSIVE REBOUND ,PLAYER101162,action135
17.0,Made Shot,PT10M17.00S,Gortat 12' Turnaround Jump Shot (2 PTS),1.0,h,1.0,101162.0,Gortat,M. Gortat,10.0,4,6,12.0,Made,Turnaround Jump Shot,1610612746.0,LAC,1.0,122.0,-3.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800664/17/6cf39d4b-9b39-f700-34c3-d0d623d8235a_1280x720.mp4,25815,train-25815,PLAYER101162 12' Turnaround Jump Shot ,PLAYER101162,action87
18.0,Made Shot,PT10M03.00S,Favors 18' Jump Shot (2 PTS) (Ingles 1 AST),1.0,v,1.0,202324.0,Favors,D. Favors,12.0,6,6,18.0,Made,Jump Shot,1610612762.0,UTA,1.0,-11.0,180.0,https://videos.nba.com/nba/pbp/media/2019/01/16/0021800664/18/028d6b4c-30c6-9839-58cf-2614177fae72_1280x720.mp4,25816,train-25816,PLAYER202324 18' Jump Shot (PLAYER204060 AST),PLAYER202324 PLAYER204060,action63
