actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Gortat vs. Durant: Tip to Harris,0.0,h,1.0,101162.0,Gortat,M. Gortat,0.0,,,0.0,,,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/4/8040a381-d54a-ce57-5df7-eacab9d9f18b_1280x720.mp4,41534,test-2408,Jump Ball PLAYER101162 vs. PLAYER201142: Tip to PLAYER202699,PLAYER101162 PLAYER201142 PLAYER202699,action41
7.0,Made Shot,PT11M36.00S,Harris 7' Driving Floating Bank Jump Shot (2 PTS),1.0,h,1.0,202699.0,Harris,T. Harris,2.0,0,2,7.0,Made,Driving Floating Bank Jump Shot,1610612746.0,LAC,1.0,63.0,26.0,https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/7/f674d8a6-f15c-dbad-3310-5d6e3ac69a9b_1280x720.mp4,41535,test-2409,PLAYER202699 7' Driving Floating Bank Jump Shot ,PLAYER202699,action50
8.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M16.00S </> PT11M13.00S,MISS Cousins 2' Driving Reverse Layup </> Gallinari REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202326.0 </> 201568.0,Cousins </> Gallinari,D. Cousins </> D. Gallinari,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Driving Reverse Layup Shot </> Unknown,1610612744.0 </> 1610612746.0,GSW </> LAC,1.0 </> 1.0,14.0 </> 0.0,11.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/8/6205de1a-5d4f-4176-1120-efd92154aedb_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/10/885d36b9-1321-bd4c-8d2e-d47ac78244d1_1280x720.mp4,41536 </> 41537,test-2410 </> test-2411,MISS PLAYER202326 2' Driving Reverse Layup </> PLAYER201568 DEFENSIVE REBOUND ,PLAYER202326 </> PLAYER201568,action101 </> action135
11.0,Missed Shot,PT11M09.00S,MISS Gallinari 25' 3PT Step Back Jump Shot,1.0,h,1.0,201568.0,Gallinari,D. Gallinari,0.0,,,25.0,Missed,Step Back Jump shot,1610612746.0,LAC,1.0,30.0,245.0,https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/11/509f1f7f-5e4f-b55c-3c27-89cb02b04c85_1280x720.mp4,41538,test-2412,MISS PLAYER201568 25' 3PT Step Back Jump Shot,PLAYER201568,action126
12.0,Defensive Rebound,PT11M05.00S,Green REBOUND (Off:0 Def:1),0.0,v,1.0,203110.0,Green,D. Green,0.0,,,0.0,,Unknown,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/12/26e33924-9e39-8ff5-3506-b6bd8851abcd_1280x720.mp4,41539,test-2413,PLAYER203110 DEFENSIVE REBOUND ,PLAYER203110,action135
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT10M58.00S </> PT10M55.00S,MISS Green 25' 3PT Jump Shot </> Gallinari REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,203110.0 </> 201568.0,Green </> Gallinari,D. Green </> D. Gallinari,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612746.0,GSW </> LAC,1.0 </> 1.0,19.0 </> 0.0,249.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/13/4770a3f2-6022-2ffc-ef81-00066da11042_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/14/2da9055e-7c22-87f9-6fe1-113a079bb58d_1280x720.mp4,41540 </> 41541,test-2414 </> test-2415,MISS PLAYER203110 25' 3PT Jump Shot </> PLAYER201568 DEFENSIVE REBOUND ,PLAYER203110 </> PLAYER201568,action109 </> action135
15.0 </> 17.0,Turnover </> Foul,PT10M50.00S </> PT10M48.00S,Harris Lost Ball Turnover (P1.T1) </> Gortat P.FOUL (P1.T1) (G.Petraitis),0.0 </> 0.0,h </> h,1.0 </> 1.0,202699.0 </> 101162.0,Harris </> Gortat,T. Harris </> M. Gortat,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Lost Ball </> Personal,1610612746.0 </> 1610612746.0,LAC </> LAC,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/15/71d409d8-bc7c-9315-fbd0-687595dd6d90_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/17/3fcffa74-cab1-0ab8-724f-f92f8141c646_1280x720.mp4,41542 </> 41543,test-2416 </> test-2417,PLAYER202699 Lost Ball Turnover  </> PLAYER101162 P.FOUL ,PLAYER202699 </> PLAYER101162,action153 </> action16
19.0,Made Shot,PT10M34.00S,Cousins 1' Cutting Dunk Shot (2 PTS) (Durant 1 AST),1.0,v,1.0,202326.0,Cousins,D. Cousins,4.0,2,2,1.0,Made,Cutting Dunk Shot,1610612744.0,GSW,1.0,-3.0,8.0,https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/19/8993fa3e-e299-c43d-d2e3-0eeb7fe5bfc0_1280x720.mp4,41544,test-2418,PLAYER202326 1' Cutting Dunk Shot (PLAYER201142 AST),PLAYER202326 PLAYER201142,action44
21.0,Foul,PT10M25.00S,Cousins S.FOUL (P1.T1) (G.Petraitis),0.0,v,1.0,202326.0,Cousins,D. Cousins,0.0,,,0.0,,Shooting,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/21/322a1afd-1c67-4497-1d52-418f8aedb8ab_1280x720.mp4,41545,test-2419,PLAYER202326 S.FOUL ,PLAYER202326,action18
25.0,Made Shot,PT10M09.00S,Thompson 17' Step Back Jump Shot (2 PTS) (Curry 1 AST),1.0,v,1.0,202691.0,Thompson,K. Thompson,8.0,4,4,17.0,Made,Step Back Jump shot,1610612744.0,GSW,1.0,-85.0,147.0,https://videos.nba.com/nba/pbp/media/2019/01/18/0021800676/25/036f1bb8-a4e1-3c12-4cb2-fe3fb6fa6803_1280x720.mp4,41546,test-2420,PLAYER202691 17' Step Back Jump Shot (PLAYER201939 AST),PLAYER202691 PLAYER201939,action80
