actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Chandler vs. Cousins: Tip to Green,0.0,h,1.0,2199.0,Chandler,T. Chandler,0.0,,,0.0,,,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800701/4/9cf56d90-91e6-7295-3aac-0b4320a36f3e_1280x720.mp4,8271,train-8271,Jump Ball PLAYER2199 vs. PLAYER202326: Tip to PLAYER203110,PLAYER2199 PLAYER202326 PLAYER203110,action41
8.0,Made Shot,PT11M46.00S,Thompson 20' Pullup Jump Shot (2 PTS) (Durant 1 AST),1.0,v,1.0,202691.0,Thompson,K. Thompson,2.0,2,0,20.0,Made,Pullup Jump shot,1610612744.0,GSW,1.0,113.0,170.0,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800701/8/e9db8590-526c-ce8f-cb83-51eea57ce315_1280x720.mp4,8272,train-8272,PLAYER202691 20' Pullup Jump Shot (PLAYER201142 AST),PLAYER202691 PLAYER201142,action65
10.0,Missed Shot,PT11M24.00S,MISS Chandler 6' Layup,1.0,h,1.0,2199.0,Chandler,T. Chandler,0.0,,,6.0,Missed,Layup Shot,1610612747.0,LAL,1.0,-3.0,56.0,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800701/10/3bed4d66-2eeb-e04f-d9d2-82e2f6118ac5_1280x720.mp4,8273,train-8273,MISS PLAYER2199 6' Layup,PLAYER2199,action110
14.0,Missed Shot,PT11M19.00S,MISS Kuzma 18' Fadeaway Jumper,1.0,h,1.0,1628398.0,Kuzma,K. Kuzma,0.0,,,18.0,Missed,Fadeaway Jump Shot,1610612747.0,LAL,1.0,-97.0,147.0,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800701/14/052e0dc3-96ea-1e0c-16e2-c093796ccf55_1280x720.mp4,8274,train-8274,MISS PLAYER1628398 18' Fadeaway Jumper,PLAYER1628398,action103
17.0,Foul,PT11M01.00S,Chandler S.FOUL (P1.T1) (T.Ford),0.0,h,1.0,2199.0,Chandler,T. Chandler,0.0,,,0.0,,Shooting,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800701/17/9bc53aa5-566a-9fcd-ab51-8926e582a279_1280x720.mp4,8275,train-8275,PLAYER2199 S.FOUL ,PLAYER2199,action18
21.0,Defensive Rebound,PT10M59.00S,Kuzma REBOUND (Off:0 Def:1),0.0,h,1.0,1628398.0,Kuzma,K. Kuzma,0.0,,,0.0,,Unknown,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800701/21/2bd09298-285e-1c5f-a035-9e16eae09b9d_1280x720.mp4,8276,train-8276,PLAYER1628398 DEFENSIVE REBOUND ,PLAYER1628398,action135
22.0,Made Shot,PT10M50.00S,Hart 27' 3PT Step Back Jump Shot (3 PTS),1.0,h,1.0,1628404.0,Hart,J. Hart,6.0,3,3,27.0,Made,Step Back Jump shot,1610612747.0,LAL,1.0,125.0,241.0,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800701/22/fd1a280d-7270-8f49-3f6b-dc3c3c950f5f_1280x720.mp4,8277,train-8277,PLAYER1628404 27' 3PT Step Back Jump Shot ,PLAYER1628404,action80
23.0 </> 24.0,Missed Shot </> Defensive Rebound,PT10M38.00S </> PT10M36.00S,MISS Green 3' Cutting Layup Shot </> Chandler REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203110.0 </> 2199.0,Green </> Chandler,D. Green </> T. Chandler,0.0 </> 0.0, </> , </> ,3.0 </> 0.0,Missed </> ,Cutting Layup Shot </> Unknown,1610612744.0 </> 1610612747.0,GSW </> LAL,1.0 </> 1.0,20.0 </> 0.0,20.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800701/23/28df7c6d-7277-ec4b-0960-9732606bab57_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/21/0021800701/24/6ee2ff0b-890a-6031-ac81-7d9f43035f23_1280x720.mp4,8278 </> 8279,train-8278 </> train-8279,MISS PLAYER203110 3' Cutting Layup Shot </> PLAYER2199 DEFENSIVE REBOUND ,PLAYER203110 </> PLAYER2199,action92 </> action135
25.0,Missed Shot,PT10M26.00S,MISS Ingram 20' Pullup Jump Shot,1.0,h,1.0,1627742.0,Ingram,B. Ingram,0.0,,,20.0,Missed,Pullup Jump shot,1610612747.0,LAL,1.0,114.0,161.0,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800701/25/0b7d96f0-f3b6-d960-523d-f37ae0231e80_1280x720.mp4,8280,train-8280,MISS PLAYER1627742 20' Pullup Jump Shot,PLAYER1627742,action111
26.0,Defensive Rebound,PT10M22.00S,Cousins REBOUND (Off:0 Def:1),0.0,v,1.0,202326.0,Cousins,D. Cousins,0.0,,,0.0,,Unknown,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/21/0021800701/26/d47cad70-58ca-0425-d36b-0b800184001a_1280x720.mp4,8281,train-8281,PLAYER202326 DEFENSIVE REBOUND ,PLAYER202326,action135
