actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Jordan vs. Harrell: Tip to Smith Jr.,0.0,h,1.0,201599.0,Jordan,D. Jordan,0.0,,,0.0,,,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/4/be8fa947-ab02-3ce0-c016-bd6851a351e9_1280x720.mp4,36392,val-2803,Jump Ball PLAYER201599 vs. PLAYER1626149: Tip to PLAYER1628372,PLAYER201599 PLAYER1626149 PLAYER1628372,action41
7.0 </> 9.0,Missed Shot </> Defensive Rebound,PT11M45.00S </> PT11M42.00S,MISS Barnes 2' Cutting Layup Shot </> Beverley REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,203084.0 </> 201976.0,Barnes </> Beverley,H. Barnes </> P. Beverley,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Cutting Layup Shot </> Unknown,1610612742.0 </> 1610612746.0,DAL </> LAC,1.0 </> 1.0,9.0 </> 0.0,17.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/7/62be279d-c530-0084-3d48-5c0f4a062315_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/9/cef5a440-9444-545a-b28b-153e2159b29c_1280x720.mp4,36393 </> 36394,val-2804 </> val-2805,MISS PLAYER203084 2' Cutting Layup Shot </> PLAYER201976 DEFENSIVE REBOUND ,PLAYER203084 </> PLAYER201976,action92 </> action135
10.0 </> 11.0,Missed Shot </> Offensive Rebound,PT11M26.00S </> PT11M24.00S,MISS Beverley 24' 3PT Jump Shot </> Harrell REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,201976.0 </> 1626149.0,Beverley </> Harrell,P. Beverley </> M. Harrell,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612746.0 </> 1610612746.0,LAC </> LAC,1.0 </> 1.0,-139.0 </> 0.0,200.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/10/8c719978-8d9d-772b-4c0d-90b2edad4c41_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/11/459458a7-2717-1f9f-1c64-58d1808ef55b_1280x720.mp4,36395 </> 36396,val-2806 </> val-2807,MISS PLAYER201976 24' 3PT Jump Shot </> PLAYER1626149 OFFENSIVE REBOUND ,PLAYER201976 </> PLAYER1626149,action109 </> action135
12.0 </> 14.0,Missed Shot </> Defensive Rebound,PT11M14.00S </> PT11M11.00S,MISS Gilgeous-Alexander 1' Driving Layup </> Smith Jr. REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628983.0 </> 1628372.0,Gilgeous-Alexander </> Smith Jr.,S. Gilgeous-Alexander </> D. Smith Jr.,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Driving Layup Shot </> Unknown,1610612746.0 </> 1610612742.0,LAC </> DAL,1.0 </> 1.0,-8.0 </> 0.0,4.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/12/b509f42c-af8a-b39d-4584-1e8f789a2e31_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/14/224c3ab6-0512-f1ef-4968-6e10f88bb38a_1280x720.mp4,36397 </> 36398,val-2808 </> val-2809,MISS PLAYER1628983 1' Driving Layup </> PLAYER1628372 DEFENSIVE REBOUND ,PLAYER1628983 </> PLAYER1628372,action99 </> action135
15.0 </> 16.0,Missed Shot </> Defensive Rebound,PT11M02.00S </> PT10M59.00S,MISS Jordan 4' Turnaround Hook Shot </> Bradley REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201599.0 </> 202340.0,Jordan </> Bradley,D. Jordan </> A. Bradley,0.0 </> 0.0, </> , </> ,4.0 </> 0.0,Missed </> ,Turnaround Hook Shot </> Unknown,1610612742.0 </> 1610612746.0,DAL </> LAC,1.0 </> 1.0,21.0 </> 0.0,28.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/15/117d8c8b-869b-5f17-6a9f-6cf5193e8fbc_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/16/fc087ab8-bed8-9d3d-5451-c7c2446c93d0_1280x720.mp4,36399 </> 36400,val-2810 </> val-2811,MISS PLAYER201599 4' Turnaround Hook Shot </> PLAYER202340 DEFENSIVE REBOUND ,PLAYER201599 </> PLAYER202340,action132 </> action135
17.0,Foul,PT10M52.00S,Jordan S.FOUL (P1.T1) (S.Wright),0.0,h,1.0,201599.0,Jordan,D. Jordan,0.0,,,0.0,,Shooting,1610612742.0,DAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/17/efbf24ab-d646-0421-7322-e9b032628317_1280x720.mp4,36401,val-2812,PLAYER201599 S.FOUL ,PLAYER201599,action18
21.0 </> 22.0,Made Shot </> Foul,PT10M33.00S </> PT10M33.00S,Barnes 3' Turnaround Fadeaway Bank Jump Shot (2 PTS) </> Harrell S.FOUL (P1.T1) (S.Wright),1.0 </> 0.0,h </> v,1.0 </> 1.0,203084.0 </> 1626149.0,Barnes </> Harrell,H. Barnes </> M. Harrell,4.0 </> 0.0,2 </> ,2 </> ,3.0 </> 0.0,Made </> ,Turnaround Fadeaway Bank Jump Shot </> Shooting,1610612742.0 </> 1610612746.0,DAL </> LAC,1.0 </> 1.0,-1.0 </> 0.0,32.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/21/a016eaf4-996b-97b7-fa09-56cdad5521e6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/22/4d823d84-6fbc-960e-8f95-249c2a4ebb75_1280x720.mp4,36402 </> 36403,val-2813 </> val-2814,PLAYER203084 3' Turnaround Fadeaway Bank Jump Shot  </> PLAYER1626149 S.FOUL ,PLAYER203084 </> PLAYER1626149,action84 </> action18
25.0,Defensive Rebound,PT10M30.00S,Harrell REBOUND (Off:1 Def:1),0.0,v,1.0,1626149.0,Harrell,M. Harrell,0.0,,,0.0,,Unknown,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/25/70d120fe-a9b7-c1ab-ea10-a28ecb93f681_1280x720.mp4,36404,val-2815,PLAYER1626149 DEFENSIVE REBOUND ,PLAYER1626149,action135
26.0,Missed Shot,PT10M16.00S,MISS Gilgeous-Alexander 4' Turnaround Jump Shot,1.0,v,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,0.0,,,4.0,Missed,Turnaround Jump Shot,1610612746.0,LAC,1.0,20.0,36.0,https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/26/10c846a6-1cfa-bd9c-e130-896f2dd316b9_1280x720.mp4,36405,val-2816,MISS PLAYER1628983 4' Turnaround Jump Shot,PLAYER1628983,action133
31.0,Made Shot,PT10M13.00S,Harris 24' 3PT Jump Shot (3 PTS) (Beverley 1 AST),1.0,v,1.0,202699.0,Harris,T. Harris,7.0,5,2,24.0,Made,Jump Shot,1610612746.0,LAC,1.0,-108.0,216.0,https://videos.nba.com/nba/pbp/media/2019/01/22/0021800704/31/32c4746f-4afa-47c0-b251-beba22fdbe9e_1280x720.mp4,36406,val-2817,PLAYER2734 24' 3PT Jump Shot (PLAYER201976 AST),PLAYER2734 PLAYER201976,action63
