actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Whiteside vs. Gortat: Tip to Harris,0.0,h,1.0,202355.0,Whiteside,H. Whiteside,0.0,,,0.0,,,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/4/ce727cc2-de3b-2dc2-6332-8d376b7dedf9_1280x720.mp4,19658,train-19658,Jump Ball PLAYER202355 vs. PLAYER101162: Tip to PLAYER202699,PLAYER202355 PLAYER101162 PLAYER202699,action41
7.0 </> 8.0 </> 9.0 </> 10.0,Missed Shot </> Offensive Rebound </> Missed Shot </> Defensive Rebound,PT11M44.00S </> PT11M40.00S </> PT11M37.00S </> PT11M34.00S,MISS Harris 26' 3PT Jump Shot </> Gortat REBOUND (Off:1 Def:0) </> MISS Gortat 5' Turnaround Jump Shot </> Whiteside REBOUND (Off:0 Def:1),1.0 </> 0.0 </> 1.0 </> 0.0,v </> v </> v </> h,1.0 </> 1.0 </> 1.0 </> 1.0,202699.0 </> 101162.0 </> 101162.0 </> 202355.0,Harris </> Gortat </> Gortat </> Whiteside,T. Harris </> M. Gortat </> M. Gortat </> H. Whiteside,0.0 </> 0.0 </> 0.0 </> 0.0, </>  </>  </> , </>  </>  </> ,26.0 </> 0.0 </> 5.0 </> 0.0,Missed </>  </> Missed </> ,Jump Shot </> Unknown </> Turnaround Jump Shot </> Unknown,1610612746.0 </> 1610612746.0 </> 1610612746.0 </> 1610612748.0,LAC </> LAC </> LAC </> MIA,1.0 </> 1.0 </> 1.0 </> 1.0,-165.0 </> 0.0 </> -9.0 </> 0.0,200.0 </> 0.0 </> 53.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/7/7aed6f5d-7920-087e-424f-9b3dc2cc4600_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/8/75cdf640-1722-3c1c-1a59-a7c3105c491f_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/9/28e48558-4954-f970-8baf-e86db6492e8e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/10/3ad1101d-216c-02ab-adec-65d0ce2191a5_1280x720.mp4,19659 </> 19660 </> 19661 </> 19662,train-19659 </> train-19660 </> train-19661 </> train-19662,MISS PLAYER202699 26' 3PT Jump Shot </> PLAYER101162 OFFENSIVE REBOUND  </> MISS PLAYER101162 5' Turnaround Jump Shot </> PLAYER202355 DEFENSIVE REBOUND ,PLAYER202699 </> PLAYER101162 </> PLAYER101162 </> PLAYER202355,action109 </> action135 </> action133 </> action135
11.0,Made Shot,PT11M19.00S,Winslow 3' Layup (2 PTS) (Richardson 1 AST),1.0,h,1.0,1626159.0,Winslow,J. Winslow,2.0,0,2,3.0,Made,Layup Shot,1610612748.0,MIA,1.0,-29.0,14.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/11/c10bd81b-b308-30c3-f6dc-b5651ef54bf2_1280x720.mp4,19663,train-19663,PLAYER1626159 3' Layup (PLAYER1626196 AST),PLAYER1626159 PLAYER1626196,action64
13.0,Turnover,PT11M07.00S,Bradley Lost Ball Turnover (P1.T1),0.0,v,1.0,202340.0,Bradley,A. Bradley,0.0,,,0.0,,Lost Ball,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/13/b4ee3be5-c8d6-86f3-da20-51356e43d22a_1280x720.mp4,19664,train-19664,PLAYER202340 Lost Ball Turnover ,PLAYER202340,action153
14.0,Made Shot,PT10M53.00S,Whiteside 4' Alley Oop Layup (2 PTS) (Winslow 1 AST),1.0,h,1.0,202355.0,Whiteside,H. Whiteside,4.0,0,4,4.0,Made,Alley Oop Layup shot,1610612748.0,MIA,1.0,18.0,35.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/14/7498034f-010a-402c-2668-6288ef7571a4_1280x720.mp4,19665,train-19665,PLAYER202355 4' Alley Oop Layup (PLAYER1626159 AST),PLAYER202355 PLAYER1626159,action43
16.0,Made Shot,PT10M40.00S,Harris 19' Pullup Jump Shot (2 PTS),1.0,v,1.0,202699.0,Harris,T. Harris,6.0,2,4,19.0,Made,Pullup Jump shot,1610612746.0,LAC,1.0,103.0,155.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/16/95a89fda-92e7-245a-e5bb-9678fd3a8036_1280x720.mp4,19666,train-19666,PLAYER202699 19' Pullup Jump Shot ,PLAYER202699,action65
17.0,Made Shot,PT10M31.00S,Whiteside 3' Dunk (4 PTS) (Johnson 1 AST),1.0,h,1.0,202355.0,Whiteside,H. Whiteside,8.0,2,6,3.0,Made,Dunk Shot,1610612748.0,MIA,1.0,-13.0,27.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/17/9cebaa63-7032-b18e-26cc-24d5c2c9a944_1280x720.mp4,19667,train-19667,PLAYER202355 3' Dunk (Johnson AST),PLAYER202355,action56
19.0,Made Shot,PT10M03.00S,Gilgeous-Alexander 13' Step Back Jump Shot (2 PTS),1.0,v,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,10.0,4,6,13.0,Made,Step Back Jump shot,1610612746.0,LAC,1.0,130.0,-11.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/19/cd8d0b37-b3c8-8075-4eda-1241af2703b6_1280x720.mp4,19668,train-19668,PLAYER1628983 13' Step Back Jump Shot ,PLAYER1628983,action80
20.0,Turnover,PT09M45.00S,Whiteside Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0,h,1.0,202355.0,Whiteside,H. Whiteside,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/20/b0a79aff-7d1e-5b2e-5e0a-10c07ed81a5d_1280x720.mp4,19669,train-19669,PLAYER202355 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER202355,action157
21.0 </> 22.0,Missed Shot </> Defensive Rebound,PT09M36.00S </> PT09M33.00S,MISS Gortat 6' Hook Shot </> Whiteside REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,101162.0 </> 202355.0,Gortat </> Whiteside,M. Gortat </> H. Whiteside,0.0 </> 0.0, </> , </> ,6.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612746.0 </> 1610612748.0,LAC </> MIA,1.0 </> 1.0,-6.0 </> 0.0,63.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/21/47d21254-fcaa-63d5-89cc-0aa4efab1213_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/22/256ad6e7-b24b-e9de-4d90-57d2447988f2_1280x720.mp4,19670 </> 19671,train-19670 </> train-19671,MISS PLAYER101162 6' Hook Shot </> PLAYER202355 DEFENSIVE REBOUND ,PLAYER101162 </> PLAYER202355,action107 </> action135
23.0,Made Shot,PT09M28.00S,Richardson 25' 3PT Jump Shot (3 PTS) (Winslow 2 AST),1.0,h,1.0,1626196.0,Richardson,J. Richardson,13.0,4,9,25.0,Made,Jump Shot,1610612748.0,MIA,1.0,-63.0,241.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/23/69fca5a4-e4e8-f9b6-31c0-c807800c986a_1280x720.mp4,19672,train-19672,PLAYER1626196 25' 3PT Jump Shot (PLAYER1626159 AST),PLAYER1626196 PLAYER1626159,action63
25.0,Made Shot,PT09M12.00S,Bradley 26' 3PT Pullup Jump Shot (3 PTS),1.0,v,1.0,202340.0,Bradley,A. Bradley,16.0,7,9,26.0,Made,Pullup Jump shot,1610612746.0,LAC,1.0,-186.0,186.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/25/f17bad93-3ef5-d71d-ebd1-c9fb6d7cb0de_1280x720.mp4,19673,train-19673,PLAYER202340 26' 3PT Pullup Jump Shot ,PLAYER202340,action65
26.0 </> 27.0,Missed Shot </> Defensive Rebound,PT08M59.00S </> PT08M56.00S,MISS Whiteside 5' Jump Shot </> Harris REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202355.0 </> 202699.0,Whiteside </> Harris,H. Whiteside </> T. Harris,0.0 </> 0.0, </> , </> ,5.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612746.0,MIA </> LAC,1.0 </> 1.0,-33.0 </> 0.0,32.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/26/09809090-b8ad-c81c-91c8-0333f5b2dfce_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/27/bbe158c7-b670-39ee-69a4-883c4f6ebc62_1280x720.mp4,19674 </> 19675,train-19674 </> train-19675,MISS PLAYER202355 5' Jump Shot </> PLAYER202699 DEFENSIVE REBOUND ,PLAYER202355 </> PLAYER202699,action109 </> action135
28.0,Made Shot,PT08M50.00S,Harris 17' Pullup Jump Shot (4 PTS),1.0,v,1.0,202699.0,Harris,T. Harris,18.0,9,9,17.0,Made,Pullup Jump shot,1610612746.0,LAC,1.0,-138.0,107.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/28/c60e3d6d-ee13-3ebf-253d-48128ca04cde_1280x720.mp4,19676,train-19676,PLAYER202699 17' Pullup Jump Shot ,PLAYER202699,action65
29.0,Missed Shot,PT08M39.00S,MISS Richardson 12' Turnaround Fadeaway Shot,1.0,h,1.0,1626196.0,Richardson,J. Richardson,0.0,,,12.0,Missed,Turnaround Fadeaway shot,1610612748.0,MIA,1.0,111.0,51.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/29/cde932ff-4046-0dc0-d3b6-84a05876f3bf_1280x720.mp4,19677,train-19677,MISS PLAYER1626196 12' Turnaround Fadeaway Shot,PLAYER1626196,action131
30.0,Defensive Rebound,PT08M33.00S,Beverley REBOUND (Off:0 Def:1),0.0,v,1.0,201976.0,Beverley,P. Beverley,0.0,,,0.0,,Unknown,1610612746.0,LAC,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/30/679b64b9-3fed-cb09-f995-4960e573a352_1280x720.mp4,19678,train-19678,PLAYER201976 DEFENSIVE REBOUND ,PLAYER201976,action135
31.0,Made Shot,PT08M30.00S,Gortat 4' Cutting Layup Shot (2 PTS) (Gilgeous-Alexander 1 AST),1.0,v,1.0,101162.0,Gortat,M. Gortat,20.0,11,9,4.0,Made,Cutting Layup Shot,1610612746.0,LAC,1.0,-27.0,23.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/31/99114f98-5566-f80e-0a0e-98c439460b79_1280x720.mp4,19679,train-19679,PLAYER101162 4' Cutting Layup Shot (PLAYER1628983 AST),PLAYER101162 PLAYER1628983,action46
33.0,Made Shot,PT08M15.00S,Winslow 4' Driving Layup (4 PTS),1.0,h,1.0,1626159.0,Winslow,J. Winslow,22.0,11,11,4.0,Made,Driving Layup Shot,1610612748.0,MIA,1.0,-35.0,15.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/33/b7925be0-ee12-04d2-d931-780951862746_1280x720.mp4,19680,train-19680,PLAYER1626159 4' Driving Layup ,PLAYER1626159,action53
34.0,Made Shot,PT08M00.00S,Gilgeous-Alexander 19' Pullup Jump Shot (4 PTS) (Gortat 1 AST),1.0,v,1.0,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,24.0,13,11,19.0,Made,Pullup Jump shot,1610612746.0,LAC,1.0,-81.0,175.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/34/03f59901-a151-d541-333f-375d8b418878_1280x720.mp4,19681,train-19681,PLAYER1628983 19' Pullup Jump Shot (PLAYER101162 AST),PLAYER1628983 PLAYER101162,action65
36.0 </> 37.0,Missed Shot </> Defensive Rebound,PT07M41.00S </> PT07M36.00S,MISS Winslow 3' Driving Finger Roll Layup </> Gilgeous-Alexander REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626159.0 </> 1628983.0,Winslow </> Gilgeous-Alexander,J. Winslow </> S. Gilgeous-Alexander,0.0 </> 0.0, </> , </> ,3.0 </> 0.0,Missed </> ,Driving Finger Roll Layup Shot </> Unknown,1610612748.0 </> 1610612746.0,MIA </> LAC,1.0 </> 1.0,13.0 </> 0.0,22.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/36/9e8e0b16-1753-1912-20e0-d64a7b3e1925_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/23/0021800709/37/53f8cd9a-0c86-76ab-5a53-ca5e3dd12636_1280x720.mp4,19682 </> 19683,train-19682 </> train-19683,MISS PLAYER1626159 3' Driving Finger Roll Layup </> PLAYER1628983 DEFENSIVE REBOUND ,PLAYER1626159 </> PLAYER1628983,action95 </> action135
