actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Embiid vs. Aldridge: Tip to Simmons,0.0,h,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/4/606059c9-7dff-1dbb-b0d7-ec2e20fe89c6_1280x720.mp4,30890,train-30890,Jump Ball PLAYER203954 vs. PLAYER200746: Tip to PLAYER1627732,PLAYER203954 PLAYER200746 PLAYER1627732,action41
7.0,Missed Shot,PT11M47.00S,MISS Chandler 17' Jump Shot,1.0,h,1.0,201163.0,Chandler,W. Chandler,0.0,,,17.0,Missed,Jump Shot,1610612755.0,PHI,1.0,-27.0,164.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/7/a687397a-b082-ce0e-9727-d4eb0de6f468_1280x720.mp4,30891,train-30891,MISS PLAYER201163 17' Jump Shot,PLAYER201163,action109
8.0,Offensive Rebound,PT11M43.00S,Simmons REBOUND (Off:1 Def:0),0.0,h,1.0,1627732.0,Simmons,B. Simmons,0.0,,,0.0,,Unknown,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/8/03308dbf-88ef-d537-a012-0938f75b28ae_1280x720.mp4,30892,train-30892,PLAYER1627732 OFFENSIVE REBOUND ,PLAYER1627732,action135
9.0 </> 11.0,Missed Shot </> Offensive Rebound,PT11M41.00S </> PT11M38.00S,MISS Simmons 2' Driving Finger Roll Layup </> Simmons REBOUND (Off:2 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,1627732.0 </> 1627732.0,Simmons </> Simmons,B. Simmons </> B. Simmons,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Driving Finger Roll Layup Shot </> Unknown,1610612755.0 </> 1610612755.0,PHI </> PHI,1.0 </> 1.0,-20.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/9/ebef17db-b7bb-1879-e013-5110f136e11b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/11/38320b48-d639-8282-de2e-1bc984575454_1280x720.mp4,30893 </> 30894,train-30893 </> train-30894,MISS PLAYER1627732 2' Driving Finger Roll Layup </> PLAYER1627732 OFFENSIVE REBOUND ,PLAYER1627732 </> PLAYER1627732,action95 </> action135
12.0,Missed Shot,PT11M35.00S,MISS Simmons 5' Driving Hook Shot,1.0,h,1.0,1627732.0,Simmons,B. Simmons,0.0,,,5.0,Missed,Driving Hook Shot,1610612755.0,PHI,1.0,41.0,34.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/12/b6b96298-cf58-b4cb-02b4-1674b54bbd86_1280x720.mp4,30895,train-30895,MISS PLAYER1627732 5' Driving Hook Shot,PLAYER1627732,action98
13.0 </> 14.0,Offensive Rebound </> Made Shot,PT11M30.00S </> PT11M30.00S,Embiid REBOUND (Off:1 Def:0) </> Embiid 1' Tip Layup Shot (2 PTS),0.0 </> 1.0,h </> h,1.0 </> 1.0,203954.0 </> 203954.0,Embiid </> Embiid,J. Embiid </> J. Embiid,0.0 </> 2.0, </> 0, </> 2,0.0 </> 1.0, </> Made,Unknown </> Tip Layup Shot,1610612755.0 </> 1610612755.0,PHI </> PHI,1.0 </> 1.0,0.0 </> 0.0,0.0 </> -6.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/13/1fe3e111-de18-854f-ef42-3c50a0b20991_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/14/ed0595f9-5dfa-d0d0-79ad-ef158f96fc08_1280x720.mp4,30896 </> 30897,train-30896 </> train-30897,PLAYER203954 OFFENSIVE REBOUND  </> PLAYER203954 1' Tip Layup Shot ,PLAYER203954 </> PLAYER203954,action135 </> action82
15.0 </> 16.0,Missed Shot </> Defensive Rebound,PT11M20.00S </> PT11M17.00S,MISS DeRozan 15' Pullup Jump Shot </> Embiid REBOUND (Off:1 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201942.0 </> 203954.0,DeRozan </> Embiid,D. DeRozan </> J. Embiid,0.0 </> 0.0, </> , </> ,15.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612759.0 </> 1610612755.0,SAS </> PHI,1.0 </> 1.0,-63.0 </> 0.0,136.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/15/5f7f3117-9a18-bf65-d65e-07ceb3fa141b_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/16/bdf38d43-db86-6f89-6b7c-0b2a4455bd92_1280x720.mp4,30898 </> 30899,train-30898 </> train-30899,MISS PLAYER201942 15' Pullup Jump Shot </> PLAYER203954 DEFENSIVE REBOUND ,PLAYER201942 </> PLAYER203954,action111 </> action135
17.0,Made Shot,PT11M12.00S,Embiid 26' 3PT Jump Shot (5 PTS) (Simmons 1 AST),1.0,h,1.0,203954.0,Embiid,J. Embiid,5.0,0,5,26.0,Made,Jump Shot,1610612755.0,PHI,1.0,-57.0,252.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/17/bedd0fe5-ae17-969d-bada-3ab69f949b62_1280x720.mp4,30900,train-30900,PLAYER203954 26' 3PT Jump Shot (PLAYER1627732 AST),PLAYER203954 PLAYER1627732,action63
19.0,Made Shot,PT11M00.00S,Forbes 26' 3PT Jump Shot (3 PTS) (Gay 1 AST),1.0,v,1.0,1627854.0,Forbes,B. Forbes,8.0,3,5,26.0,Made,Jump Shot,1610612759.0,SAS,1.0,158.0,206.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/19/2cc72590-de00-8dc9-8479-aa6ab7b873df_1280x720.mp4,30901,train-30901,PLAYER1627854 26' 3PT Jump Shot (PLAYER200752 AST),PLAYER1627854 PLAYER200752,action63
21.0,Made Shot,PT10M50.00S,Redick 25' 3PT Pullup Jump Shot (3 PTS) (Simmons 2 AST),1.0,h,1.0,200755.0,Redick,J. Redick,11.0,3,8,25.0,Made,Pullup Jump shot,1610612755.0,PHI,1.0,-110.0,221.0,https://videos.nba.com/nba/pbp/media/2019/01/23/0021800711/21/6a15aec3-17c7-bbfb-befc-711bc95aff02_1280x720.mp4,30902,train-30902,PLAYER200755 25' 3PT Pullup Jump Shot (PLAYER1627732 AST),PLAYER200755 PLAYER1627732,action65
