actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Zubac vs. Bender: Tip to Caldwell-Pope,0.0,h,1.0,1627826.0,Zubac,I. Zubac,0.0,,,0.0,,,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/4/8b78ff3d-83e4-24e9-7867-d2cefe61dc4b_1280x720.mp4,37429,val-3840,Jump Ball PLAYER1627826 vs. PLAYER1627733: Tip to PLAYER203484,PLAYER1627826 PLAYER1627733 PLAYER203484,action41
7.0 </> 8.0,Missed Shot </> Offensive Rebound,PT11M41.00S </> PT11M37.00S,MISS Caldwell-Pope 24' 3PT Jump Shot </> Beasley REBOUND (Off:1 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,203484.0 </> 201563.0,Caldwell-Pope </> Beasley,K. Caldwell-Pope </> M. Beasley,0.0 </> 0.0, </> , </> ,24.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612747.0 </> 1610612747.0,LAL </> LAL,1.0 </> 1.0,-172.0 </> 0.0,171.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/7/1b711a64-f033-a528-a00a-dce3a645e737_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/8/436a97b1-d2f9-538d-0e6e-f0185ddf7aa9_1280x720.mp4,37430 </> 37431,val-3841 </> val-3842,MISS PLAYER203484 24' 3PT Jump Shot </> PLAYER201563 OFFENSIVE REBOUND ,PLAYER203484 </> PLAYER201563,action109 </> action135
9.0,Made Shot,PT11M34.00S,Caldwell-Pope 2' Cutting Layup Shot (2 PTS) (Beasley 1 AST),1.0,h,1.0,203484.0,Caldwell-Pope,K. Caldwell-Pope,2.0,0,2,2.0,Made,Cutting Layup Shot,1610612747.0,LAL,1.0,-10.0,13.0,https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/9/30564fe6-8b4b-9146-e7ce-139cebf11703_1280x720.mp4,37432,val-3843,PLAYER203484 2' Cutting Layup Shot (PLAYER201563 AST),PLAYER203484 PLAYER201563,action46
11.0 </> 12.0,Missed Shot </> Offensive Rebound,PT11M11.00S </> PT11M06.00S,MISS Jackson 6' Floating Jump Shot </> Jackson REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,1628367.0 </> 1628367.0,Jackson </> Jackson,J. Jackson </> J. Jackson,0.0 </> 0.0, </> , </> ,6.0 </> 0.0,Missed </> ,Floating Jump shot </> Unknown,1610612756.0 </> 1610612756.0,PHX </> PHX,1.0 </> 1.0,0.0 </> 0.0,58.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/11/e567bfb1-fb14-10a5-8b22-b7a9f0046269_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/12/5adf6d37-f469-28a4-b48c-332ec8bb6378_1280x720.mp4,37433 </> 37434,val-3844 </> val-3845,MISS PLAYER1628367 6' Floating Jump Shot </> PLAYER1628367 OFFENSIVE REBOUND ,PLAYER1628367 </> PLAYER1628367,action105 </> action135
13.0 </> 15.0,Missed Shot </> Offensive Rebound,PT11M05.00S </> PT11M03.00S,MISS Jackson 2' Layup </> Okobo REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,1628367.0 </> 1629059.0,Jackson </> Okobo,J. Jackson </> E. Okobo,0.0 </> 0.0, </> , </> ,2.0 </> 0.0,Missed </> ,Layup Shot </> Unknown,1610612756.0 </> 1610612756.0,PHX </> PHX,1.0 </> 1.0,0.0 </> 0.0,18.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/13/e350406f-1968-7da1-7c5f-0df5c86605b6_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/15/fbc39c4d-2eb0-d3ec-6ed7-beb1ffa50da3_1280x720.mp4,37435 </> 37436,val-3846 </> val-3847,MISS PLAYER1628367 2' Layup </> PLAYER1629059 OFFENSIVE REBOUND ,PLAYER1628367 </> PLAYER1629059,action110 </> action135
16.0,Turnover,PT11M01.00S,Bender Step Out of Bounds Turnover (P1.T1),0.0,v,1.0,1627733.0,Bender,D. Bender,0.0,,,0.0,,Step Out of Bounds Turnover,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/16/a71354d8-6753-8198-f55e-4ff5750836ac_1280x720.mp4,37437,val-3848,PLAYER1627733 Step Out of Bounds Turnover ,PLAYER1627733,action162
17.0 </> 18.0,Missed Shot </> Defensive Rebound,PT10M40.00S </> PT10M38.00S,MISS Zubac 5' Hook Shot </> Bender REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627826.0 </> 1627733.0,Zubac </> Bender,I. Zubac </> D. Bender,0.0 </> 0.0, </> , </> ,5.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612747.0 </> 1610612756.0,LAL </> PHX,1.0 </> 1.0,19.0 </> 0.0,42.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/17/78e76089-20ec-9f75-4e53-b6b6b2f106db_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/18/3585b2ad-79cf-6feb-2bb7-084bdfa4ba08_1280x720.mp4,37438 </> 37439,val-3849 </> val-3850,MISS PLAYER1627826 5' Hook Shot </> PLAYER1627733 DEFENSIVE REBOUND ,PLAYER1627826 </> PLAYER1627733,action107 </> action135
19.0,Missed Shot,PT10M30.00S,MISS Booker 2' Driving Layup,1.0,v,1.0,1626164.0,Booker,D. Booker,0.0,,,2.0,Missed,Driving Layup Shot,1610612756.0,PHX,1.0,-19.0,12.0,https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/19/454d28b8-6dcf-36ec-2589-1cffffe70890_1280x720.mp4,37440,val-3851,MISS PLAYER1626164 2' Driving Layup,PLAYER1626164,action99
21.0,Offensive Rebound,PT10M24.00S,Bender REBOUND (Off:1 Def:1),0.0,v,1.0,1627733.0,Bender,D. Bender,0.0,,,0.0,,Unknown,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/21/4222e08a-bae2-d6d7-db46-e45ccbf355b7_1280x720.mp4,37441,val-3852,PLAYER1627733 OFFENSIVE REBOUND ,PLAYER1627733,action135
22.0,Made Shot,PT10M24.00S,Bender 1' Tip Layup Shot (2 PTS),1.0,v,1.0,1627733.0,Bender,D. Bender,4.0,2,2,1.0,Made,Tip Layup Shot,1610612756.0,PHX,1.0,0.0,-6.0,https://videos.nba.com/nba/pbp/media/2019/01/27/0021800743/22/8d163fb3-1830-e8ea-6129-74f53ee9a927_1280x720.mp4,37442,val-3853,PLAYER1627733 1' Tip Layup Shot ,PLAYER1627733,action82
