actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Zubac vs. Embiid: Tip to Rondo,0.0,h,1.0,1627826.0,Zubac,I. Zubac,0.0,,,0.0,,,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/4/488eb320-67e1-43fc-dba7-4a2312715608_1280x720.mp4,22826,train-22826,Jump Ball PLAYER1627826 vs. PLAYER203954: Tip to PLAYER200765,PLAYER1627826 PLAYER203954 PLAYER200765,action41
7.0,Turnover,PT11M45.00S,Zubac Bad Pass Turnover (P1.T1),0.0,h,1.0,1627826.0,Zubac,I. Zubac,0.0,,,0.0,,Bad Pass,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/7/fbc494ac-3286-7b6b-b8ca-73a8f6cfc427_1280x720.mp4,22827,train-22827,PLAYER1627826 Bad Pass Turnover ,PLAYER1627826,action143
9.0,Made Shot,PT11M41.00S,Simmons 1' Running Alley Oop Layup Shot (2 PTS) (Butler 1 AST),1.0,v,1.0,1627732.0,Simmons,B. Simmons,2.0,2,0,1.0,Made,Running Alley Oop Layup Shot,1610612755.0,PHI,1.0,10.0,6.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/9/3d7ff03c-c8f7-8333-c0e0-51c9c66d09f3_1280x720.mp4,22828,train-22828,PLAYER1627732 1' Running Alley Oop Layup Shot (PLAYER202710 AST),PLAYER1627732 PLAYER202710,action71
11.0,Made Shot,PT11M21.00S,Rondo 8' Driving Floating Jump Shot (2 PTS),1.0,h,1.0,200765.0,Rondo,R. Rondo,4.0,2,2,8.0,Made,Driving Floating Jump Shot,1610612747.0,LAL,1.0,12.0,75.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/11/bebb033a-cc1e-05fb-2798-5ec5befead9c_1280x720.mp4,22829,train-22829,PLAYER200765 8' Driving Floating Jump Shot ,PLAYER200765,action51
12.0 </> 13.0,Missed Shot </> Defensive Rebound,PT10M57.00S </> PT10M53.00S,MISS Butler 25' 3PT Jump Shot </> Beasley REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202710.0 </> 201563.0,Butler </> Beasley,J. Butler </> M. Beasley,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612755.0 </> 1610612747.0,PHI </> LAL,1.0 </> 1.0,152.0 </> 0.0,199.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/12/4efaab7d-fe10-444a-6ccf-53627d85ec79_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/13/dda470fc-cd29-e7af-98b1-522b3cf51d0c_1280x720.mp4,22830 </> 22831,train-22830 </> train-22831,MISS PLAYER202710 25' 3PT Jump Shot </> PLAYER201563 DEFENSIVE REBOUND ,PLAYER202710 </> PLAYER201563,action109 </> action135
14.0,Turnover,PT10M46.00S,Zubac Traveling Turnover (P2.T2),0.0,h,1.0,1627826.0,Zubac,I. Zubac,0.0,,,0.0,,Traveling,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/14/b4faa876-925e-f216-b6ae-b0ea9fe93a11_1280x720.mp4,22832,train-22832,PLAYER1627826 Traveling Turnover ,PLAYER1627826,action163
15.0,Missed Shot,PT10M40.00S,MISS Embiid 26' 3PT Jump Shot,1.0,v,1.0,203954.0,Embiid,J. Embiid,0.0,,,26.0,Missed,Jump Shot,1610612755.0,PHI,1.0,20.0,260.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/15/55911507-6f2e-7408-9770-3300f21a5eb0_1280x720.mp4,22833,train-22833,MISS PLAYER203954 26' 3PT Jump Shot,PLAYER203954,action109
16.0,Offensive Rebound,PT10M37.00S,Chandler REBOUND (Off:1 Def:0),0.0,v,1.0,201163.0,Chandler,W. Chandler,0.0,,,0.0,,Unknown,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/16/6aa2fb76-a5f5-9ac9-cd59-fa5fc08dfc66_1280x720.mp4,22834,train-22834,PLAYER2199 OFFENSIVE REBOUND ,PLAYER2199,action135
17.0,Made Shot,PT10M31.00S,Redick 24' 3PT Pullup Jump Shot (3 PTS) (Chandler 1 AST),1.0,v,1.0,200755.0,Redick,J. Redick,7.0,5,2,24.0,Made,Pullup Jump shot,1610612755.0,PHI,1.0,227.0,71.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/17/2da9d0af-37ff-7ab7-2d1d-776d77590300_1280x720.mp4,22835,train-22835,PLAYER200755 24' 3PT Pullup Jump Shot (PLAYER2199 AST),PLAYER200755 PLAYER2199,action65
19.0 </> 21.0,Missed Shot </> Defensive Rebound,PT10M20.00S </> PT10M17.00S,MISS Ingram 17' Pullup Jump Shot </> Chandler REBOUND (Off:1 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627742.0 </> 201163.0,Ingram </> Chandler,B. Ingram </> W. Chandler,0.0 </> 0.0, </> , </> ,17.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612747.0 </> 1610612755.0,LAL </> PHI,1.0 </> 1.0,147.0 </> 0.0,92.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/19/6a776278-0938-618c-d36b-d010edab69cf_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/21/3f0b8243-36b4-a3cf-5ed6-71f56f48e35c_1280x720.mp4,22836 </> 22837,train-22836 </> train-22837,MISS PLAYER1627742 17' Pullup Jump Shot </> PLAYER2199 DEFENSIVE REBOUND ,PLAYER1627742 </> PLAYER2199,action111 </> action135
22.0 </> 23.0,Made Shot </> Foul,PT10M08.00S </> PT10M08.00S,Simmons 7' Turnaround Jump Shot (4 PTS) </> Ingram S.FOUL (P1.T1) (K.Mauer),1.0 </> 0.0,v </> h,1.0 </> 1.0,1627732.0 </> 1627742.0,Simmons </> Ingram,B. Simmons </> B. Ingram,9.0 </> 0.0,7 </> ,2 </> ,7.0 </> 0.0,Made </> ,Turnaround Jump Shot </> Shooting,1610612755.0 </> 1610612747.0,PHI </> LAL,1.0 </> 1.0,65.0 </> 0.0,37.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/22/bd93364f-420d-c323-20f9-1f410bc18b42_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/23/0c105f28-6eba-a2ff-2abc-4145ca42d677_1280x720.mp4,22838 </> 22839,train-22838 </> train-22839,PLAYER1627732 7' Turnaround Jump Shot  </> PLAYER1627742 S.FOUL ,PLAYER1627732 </> PLAYER1627742,action87 </> action18
26.0,Turnover,PT09M58.00S,Rondo Out of Bounds - Bad Pass Turnover Turnover (P1.T3),0.0,h,1.0,200765.0,Rondo,R. Rondo,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/26/b3ef7ca1-0d14-04a5-8d72-f78c64fdd45f_1280x720.mp4,22840,train-22840,PLAYER200765 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER200765,action157
27.0,Foul,PT09M41.00S,Zubac S.FOUL (P1.T2) (K.Mauer),0.0,h,1.0,1627826.0,Zubac,I. Zubac,0.0,,,0.0,,Shooting,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/27/ab1f4eec-56b2-d9c2-d912-5b647bed239f_1280x720.mp4,22841,train-22841,PLAYER1627826 S.FOUL ,PLAYER1627826,action18
31.0,Missed Shot,PT09M29.00S,MISS Caldwell-Pope 2' Cutting Layup Shot,1.0,h,1.0,203484.0,Caldwell-Pope,K. Caldwell-Pope,0.0,,,2.0,Missed,Cutting Layup Shot,1610612747.0,LAL,1.0,16.0,10.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/31/f32b5b46-b970-ec3a-9ad5-f6019517dc40_1280x720.mp4,22842,train-22842,MISS PLAYER203484 2' Cutting Layup Shot,PLAYER203484,action92
32.0,Defensive Rebound,PT09M25.00S,Simmons REBOUND (Off:0 Def:1),0.0,v,1.0,1627732.0,Simmons,B. Simmons,0.0,,,0.0,,Unknown,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/29/0021800755/32/d1fa2652-13a9-e61f-b958-9dc85e5ca9b7_1280x720.mp4,22843,train-22843,PLAYER1627732 DEFENSIVE REBOUND ,PLAYER1627732,action135
