actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Aldridge vs. Allen: Tip to Russell,0.0,h,1.0,200746.0,Aldridge,L. Aldridge,0.0,,,0.0,,,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/4/61db92db-be56-8c1c-90d2-7b46b4f3a31a_1280x720.mp4,8619,train-8619,Jump Ball PLAYER200746 vs. PLAYER1628386: Tip to PLAYER1626156,PLAYER200746 PLAYER1628386 PLAYER1626156,action41
7.0,Missed Shot,PT11M40.00S,MISS Russell 8' Driving Floating Jump Shot,1.0,v,1.0,1626156.0,Russell,D. Russell,0.0,,,8.0,Missed,Driving Floating Jump Shot,1610612751.0,BKN,1.0,2.0,80.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/7/c89f1ba9-5d2c-7a01-b365-1d4548917164_1280x720.mp4,8620,train-8620,MISS PLAYER1626156 8' Driving Floating Jump Shot,PLAYER1626156,action97
11.0,Made Shot,PT11M28.00S,White 18' Pullup Jump Shot (2 PTS),1.0,h,1.0,1628401.0,White,D. White,2.0,0,2,18.0,Made,Pullup Jump shot,1610612759.0,SAS,1.0,-24.0,182.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/11/7bcf2489-3af0-a27a-008f-9f3a45a173e0_1280x720.mp4,8621,train-8621,PLAYER1628401 18' Pullup Jump Shot ,PLAYER1628401,action65
14.0,Turnover,PT11M16.00S,Kurucs Offensive Foul Turnover (P1.T1),0.0,v,1.0,1629066.0,Kurucs,R. Kurucs,0.0,,,0.0,,Offensive Foul Turnover,1610612751.0,BKN,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/14/bf12c7c4-ed78-aa5e-87ac-e72f3c08ea78_1280x720.mp4,8622,train-8622,PLAYER1629066 Offensive Foul Turnover ,PLAYER1629066,action155
15.0 </> 16.0,Missed Shot </> Defensive Rebound,PT11M03.00S </> PT11M00.00S,MISS Aldridge 14' Jump Shot </> Russell REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,200746.0 </> 1626156.0,Aldridge </> Russell,L. Aldridge </> D. Russell,0.0 </> 0.0, </> , </> ,14.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612751.0,SAS </> BKN,1.0 </> 1.0,-138.0 </> 0.0,3.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/15/516ce404-1d7b-734c-a654-22542dd4bc40_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/16/9ae48066-9996-e6d6-6465-c32cfd8773b1_1280x720.mp4,8623 </> 8624,train-8623 </> train-8624,MISS PLAYER200746 14' Jump Shot </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER200746 </> PLAYER1626156,action109 </> action135
18.0,Made Shot,PT10M42.00S,Harris 11' Driving Floating Jump Shot (2 PTS) (Russell 1 AST),1.0,v,1.0,203925.0,Harris,J. Harris,4.0,2,2,11.0,Made,Driving Floating Jump Shot,1610612751.0,BKN,1.0,67.0,88.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/18/0ce4a505-b3d4-857a-0206-c63a831e4a18_1280x720.mp4,8625,train-8625,PLAYER203925 11' Driving Floating Jump Shot (PLAYER1626156 AST),PLAYER203925 PLAYER1626156,action51
20.0 </> 21.0,Missed Shot </> Defensive Rebound,PT10M29.00S </> PT10M27.00S,MISS Forbes 15' Pullup Jump Shot </> Kurucs REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627854.0 </> 1629066.0,Forbes </> Kurucs,B. Forbes </> R. Kurucs,0.0 </> 0.0, </> , </> ,15.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612759.0 </> 1610612751.0,SAS </> BKN,1.0 </> 1.0,32.0 </> 0.0,147.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/20/6a8eada1-862b-fd01-b769-8b69fdc88b80_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/21/423f96db-9436-3030-a264-519f2a909c47_1280x720.mp4,8626 </> 8627,train-8626 </> train-8627,MISS PLAYER1627854 15' Pullup Jump Shot </> PLAYER1629066 DEFENSIVE REBOUND ,PLAYER1627854 </> PLAYER1629066,action111 </> action135
22.0 </> 23.0,Missed Shot </> Defensive Rebound,PT10M19.00S </> PT10M16.00S,MISS Kurucs 25' 3PT Pullup Jump Shot </> Forbes REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629066.0 </> 1627854.0,Kurucs </> Forbes,R. Kurucs </> B. Forbes,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612751.0 </> 1610612759.0,BKN </> SAS,1.0 </> 1.0,-202.0 </> 0.0,154.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/22/a4f03991-b987-f9e8-5e48-dba0583748c3_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/23/3e9e7de3-c4b3-6fd4-e920-fb9ba85cde5d_1280x720.mp4,8628 </> 8629,train-8628 </> train-8629,MISS PLAYER1629066 25' 3PT Pullup Jump Shot </> PLAYER1627854 DEFENSIVE REBOUND ,PLAYER1629066 </> PLAYER1627854,action111 </> action135
24.0,Missed Shot,PT10M10.00S,MISS Forbes 7' Driving Floating Jump Shot,1.0,h,1.0,1627854.0,Forbes,B. Forbes,0.0,,,7.0,Missed,Driving Floating Jump Shot,1610612759.0,SAS,1.0,62.0,31.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/24/b8a68a90-b01e-e023-e3ed-2d16f165cc88_1280x720.mp4,8630,train-8630,MISS PLAYER1627854 7' Driving Floating Jump Shot,PLAYER1627854,action97
28.0 </> 29.0 </> 30.0,Missed Shot </> Offensive Rebound </> Foul,PT10M06.00S </> PT10M04.00S </> PT10M04.00S,MISS DeRozan 17' Jump Shot </> Aldridge REBOUND (Off:1 Def:0) </> Harris P.FOUL (P1.T1) (E.Lewis),1.0 </> 0.0 </> 0.0,h </> h </> v,1.0 </> 1.0 </> 1.0,201942.0 </> 200746.0 </> 203925.0,DeRozan </> Aldridge </> Harris,D. DeRozan </> L. Aldridge </> J. Harris,0.0 </> 0.0 </> 0.0, </>  </> , </>  </> ,17.0 </> 0.0 </> 0.0,Missed </>  </> ,Jump Shot </> Unknown </> Personal,1610612759.0 </> 1610612759.0 </> 1610612751.0,SAS </> SAS </> BKN,1.0 </> 1.0 </> 1.0,168.0 </> 0.0 </> 0.0,-6.0 </> 0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/28/b4bd79df-f957-4b13-29d8-ba25beddb857_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/29/0df3c377-63b3-4686-a69b-e5e50da8b46e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/30/78681ba6-7145-0465-72fd-857ad0dd1e5c_1280x720.mp4,8631 </> 8632 </> 8633,train-8631 </> train-8632 </> train-8633,MISS PLAYER201942 17' Jump Shot </> PLAYER200746 OFFENSIVE REBOUND  </> PLAYER203925 P.FOUL ,PLAYER201942 </> PLAYER200746 </> PLAYER203925,action109 </> action135 </> action16
32.0,Turnover,PT09M52.00S,White Lost Ball Turnover (P1.T1),0.0,h,1.0,1628401.0,White,D. White,0.0,,,0.0,,Lost Ball,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/32/c1fe922a-8edf-451a-d5c2-4ceb1f256e47_1280x720.mp4,8634,train-8634,PLAYER1628401 Lost Ball Turnover ,PLAYER1628401,action153
34.0,Made Shot,PT09M47.00S,Russell 1' Running Finger Roll Layup (2 PTS) (Graham 1 AST),1.0,v,1.0,1626156.0,Russell,D. Russell,6.0,4,2,1.0,Made,Running Finger Roll Layup Shot,1610612751.0,BKN,1.0,-3.0,7.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/34/74eb135f-4c50-c602-87f9-df15d49734ca_1280x720.mp4,8635,train-8635,PLAYER1626156 1' Running Finger Roll Layup (PLAYER1626203 AST),PLAYER1626156 PLAYER1626203,action73
35.0 </> 36.0,Missed Shot </> Defensive Rebound,PT09M32.00S </> PT09M32.00S,MISS Aldridge 9' Turnaround Jump Shot </> Russell REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,200746.0 </> 1626156.0,Aldridge </> Russell,L. Aldridge </> D. Russell,0.0 </> 0.0, </> , </> ,9.0 </> 0.0,Missed </> ,Turnaround Jump Shot </> Unknown,1610612759.0 </> 1610612751.0,SAS </> BKN,1.0 </> 1.0,3.0 </> 0.0,94.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/35/a503b8f8-220c-d3a4-571b-b217d38fa005_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/31/0021800767/36/4ed2cfdd-9600-ca34-dd21-cd9f880185c9_1280x720.mp4,8636 </> 8637,train-8636 </> train-8637,MISS PLAYER200746 9' Turnaround Jump Shot </> PLAYER1626156 DEFENSIVE REBOUND ,PLAYER200746 </> PLAYER1626156,action133 </> action135
