actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Cousins vs. Embiid: Tip to Simmons,0.0,h,1.0,202326.0,Cousins,D. Cousins,0.0,,,0.0,,,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/4/01847ac0-28d1-da83-1c59-12b46fbfd5f3_1280x720.mp4,3769,train-3769,Jump Ball PLAYER202326 vs. PLAYER203954: Tip to PLAYER1627732,PLAYER202326 PLAYER203954 PLAYER1627732,action41
7.0,Made Shot,PT11M45.00S,Redick 25' 3PT Jump Shot (3 PTS) (Butler 1 AST),1.0,v,1.0,200755.0,Redick,J. Redick,3.0,3,0,25.0,Made,Jump Shot,1610612755.0,PHI,1.0,27.0,247.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/7/2afde4ba-0bc8-50cb-b11f-02d1c97a95a7_1280x720.mp4,3770,train-3770,PLAYER200755 25' 3PT Jump Shot (PLAYER202710 AST),PLAYER200755 PLAYER202710,action63
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M29.00S </> PT11M28.00S,MISS Durant 19' Jump Shot </> Chandler REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201142.0 </> 201163.0,Durant </> Chandler,K. Durant </> W. Chandler,0.0 </> 0.0, </> , </> ,19.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612755.0,GSW </> PHI,1.0 </> 1.0,134.0 </> 0.0,132.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/9/0f47c58f-df6e-3d84-7523-0c7edcd1228d_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/10/4bc7dfd5-57db-669f-90a9-c6ad7802057b_1280x720.mp4,3771 </> 3772,train-3771 </> train-3772,MISS PLAYER201142 19' Jump Shot </> PLAYER201163 DEFENSIVE REBOUND ,PLAYER201142 </> PLAYER201163,action109 </> action135
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M21.00S </> PT11M19.00S,MISS Embiid 26' 3PT Jump Shot </> McKinnie REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,203954.0 </> 1628035.0,Embiid </> McKinnie,J. Embiid </> A. McKinnie,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612755.0 </> 1610612744.0,PHI </> GSW,1.0 </> 1.0,-2.0 </> 0.0,263.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/11/a3699cfd-970d-a636-b013-aa5052f659ba_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/12/19b41c28-0d76-78d3-6bfa-5b18cc705d90_1280x720.mp4,3773 </> 3774,train-3773 </> train-3774,MISS PLAYER203954 26' 3PT Jump Shot </> PLAYER1628035 DEFENSIVE REBOUND ,PLAYER203954 </> PLAYER1628035,action109 </> action135
13.0 </> 15.0,Turnover </> Turnover,PT11M14.00S </> PT11M10.00S,Durant Bad Pass Turnover (P1.T1) </> Chandler Out of Bounds Lost Ball Turnover (P1.T1),0.0 </> 0.0,h </> v,1.0 </> 1.0,201142.0 </> 201163.0,Durant </> Chandler,K. Durant </> W. Chandler,0.0 </> 0.0, </> , </> ,0.0 </> 0.0, </> ,Bad Pass </> Out of Bounds Lost Ball Turnover,1610612744.0 </> 1610612755.0,GSW </> PHI,1.0 </> 1.0,0.0 </> 0.0,0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/13/ed325dbe-ad47-2165-8537-e98ceaf18b04_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/15/c760271a-004a-1fd4-489f-3087409b3351_1280x720.mp4,3775 </> 3776,train-3775 </> train-3776,PLAYER201142 Bad Pass Turnover  </> PLAYER201163 Out of Bounds Lost Ball Turnover ,PLAYER201142 </> PLAYER201163,action143 </> action158
16.0,Made Shot,PT10M59.00S,McKinnie 2' Cutting Layup Shot (2 PTS) (Cousins 1 AST),1.0,h,1.0,1628035.0,McKinnie,A. McKinnie,5.0,3,2,2.0,Made,Cutting Layup Shot,1610612744.0,GSW,1.0,-6.0,15.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/16/847153f8-0de9-06ed-dc01-130638368fa8_1280x720.mp4,3777,train-3777,PLAYER1628035 2' Cutting Layup Shot (PLAYER202326 AST),PLAYER1628035 PLAYER202326,action46
18.0,Made Shot,PT10M47.00S,Simmons 6' Turnaround Hook Shot (2 PTS) (Redick 1 AST),1.0,v,1.0,1627732.0,Simmons,B. Simmons,7.0,5,2,6.0,Made,Turnaround Hook Shot,1610612755.0,PHI,1.0,3.0,58.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/18/65a61566-470d-db34-67e2-784b116fe4fb_1280x720.mp4,3778,train-3778,PLAYER1627732 6' Turnaround Hook Shot (PLAYER200755 AST),PLAYER1627732 PLAYER200755,action86
20.0 </> 22.0,Made Shot </> Foul,PT10M38.00S </> PT10M38.00S,Curry 3' Cutting Layup Shot (2 PTS) (Cousins 2 AST) </> Redick S.FOUL (P1.T1) (B.Taylor),1.0 </> 0.0,h </> v,1.0 </> 1.0,201939.0 </> 200755.0,Curry </> Redick,S. Curry </> J. Redick,9.0 </> 0.0,5 </> ,4 </> ,3.0 </> 0.0,Made </> ,Cutting Layup Shot </> Shooting,1610612744.0 </> 1610612755.0,GSW </> PHI,1.0 </> 1.0,-1.0 </> 0.0,31.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/20/fdb06bf7-22ab-d939-6a99-b935c3ec49f8_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/22/55b8f650-c5c5-d596-768a-e193d342b1d7_1280x720.mp4,3779 </> 3780,train-3779 </> train-3780,PLAYER201939 3' Cutting Layup Shot (PLAYER202326 AST) </> PLAYER200755 S.FOUL ,PLAYER201939 PLAYER202326 </> PLAYER200755,action46 </> action18
25.0,Defensive Rebound,PT10M37.00S,Embiid REBOUND (Off:0 Def:1),0.0,v,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,Unknown,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/25/c7f7c587-a103-358a-8163-dfb38a645b87_1280x720.mp4,3781,train-3781,PLAYER203954 DEFENSIVE REBOUND ,PLAYER203954,action135
27.0,Turnover,PT10M34.00S,Embiid Lost Ball Turnover (P1.T2),0.0,v,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,Lost Ball,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/01/31/0021800768/27/b3502cde-d681-fb5b-f29a-a4d1144a448d_1280x720.mp4,3782,train-3782,PLAYER203954 Lost Ball Turnover ,PLAYER203954,action153
