actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Cousins vs. Zubac: Tip to Green,0.0,h,1.0,202326.0,Cousins,D. Cousins,0.0,,,0.0,,,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/4/c5bb917d-9b4c-716b-1405-59395ea05738_1280x720.mp4,42914,test-3788,Jump Ball PLAYER202326 vs. PLAYER1627826: Tip to PLAYER203110,PLAYER202326 PLAYER1627826 PLAYER203110,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M46.00S </> PT11M43.00S,MISS Cousins 8' Turnaround Jump Shot </> Zubac REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,202326.0 </> 1627826.0,Cousins </> Zubac,D. Cousins </> I. Zubac,0.0 </> 0.0, </> , </> ,8.0 </> 0.0,Missed </> ,Turnaround Jump Shot </> Unknown,1610612744.0 </> 1610612747.0,GSW </> LAL,1.0 </> 1.0,-6.0 </> 0.0,79.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/7/cda6900c-1541-d0da-9d9c-499ffd9bb27e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/8/d949b2a7-76cf-ec21-cf13-54cd71758853_1280x720.mp4,42915 </> 42916,test-3789 </> test-3790,MISS PLAYER202326 8' Turnaround Jump Shot </> PLAYER1627826 DEFENSIVE REBOUND ,PLAYER202326 </> PLAYER1627826,action133 </> action135
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M22.00S </> PT11M20.00S,MISS Kuzma 6' Hook Shot </> Thompson REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1628398.0 </> 202691.0,Kuzma </> Thompson,K. Kuzma </> K. Thompson,0.0 </> 0.0, </> , </> ,6.0 </> 0.0,Missed </> ,Hook Shot </> Unknown,1610612747.0 </> 1610612744.0,LAL </> GSW,1.0 </> 1.0,2.0 </> 0.0,64.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/9/2ad7295a-f957-0f3d-dd94-7d5b9706fb94_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/10/d8831b21-4e11-ff2e-8fba-574dc52185cb_1280x720.mp4,42917 </> 42918,test-3791 </> test-3792,MISS PLAYER1628398 6' Hook Shot </> PLAYER202691 DEFENSIVE REBOUND ,PLAYER1628398 </> PLAYER202691,action107 </> action135
11.0,Made Shot,PT11M14.00S,Cousins 2' Cutting Dunk Shot (2 PTS) (Durant 1 AST),1.0,h,1.0,202326.0,Cousins,D. Cousins,2.0,0,2,2.0,Made,Cutting Dunk Shot,1610612744.0,GSW,1.0,-3.0,16.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/11/7e74c988-838e-f2c1-ddbf-7090c3652e66_1280x720.mp4,42919,test-3793,PLAYER202326 2' Cutting Dunk Shot (PLAYER201142 AST),PLAYER202326 PLAYER201142,action44
13.0,Turnover,PT11M00.00S,Rondo Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0,v,1.0,200765.0,Rondo,R. Rondo,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/13/1bcdd414-866d-af6f-8dc4-b9d04c94b88d_1280x720.mp4,42920,test-3794,PLAYER200765 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER200765,action157
14.0,Made Shot,PT10M50.00S,Thompson 2' Layup (2 PTS),1.0,h,1.0,202691.0,Thompson,K. Thompson,4.0,0,4,2.0,Made,Layup Shot,1610612744.0,GSW,1.0,14.0,17.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/14/e2741362-289e-d446-c879-300f71f68ba4_1280x720.mp4,42921,test-3795,PLAYER202691 2' Layup ,PLAYER202691,action64
15.0,Foul,PT10M43.00S,Curry P.FOUL (P1.T1) (T.Ford),0.0,h,1.0,201939.0,Curry,S. Curry,0.0,,,0.0,,Personal,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/15/ddb00ae6-f860-2b63-44c8-52c93e713c5c_1280x720.mp4,42922,test-3796,PLAYER201939 P.FOUL ,PLAYER201939,action16
17.0 </> 19.0 </> 20.0,Missed Shot </> Offensive Rebound </> Foul,PT10M33.00S </> PT10M32.00S </> PT10M32.00S,MISS Caldwell-Pope 3PT Jump Shot </> Caldwell-Pope REBOUND (Off:1 Def:0) </> Cousins S.FOUL (P1.T2) (M.Callahan),1.0 </> 0.0 </> 0.0,v </> v </> h,1.0 </> 1.0 </> 1.0,203484.0 </> 203484.0 </> 202326.0,Caldwell-Pope </> Caldwell-Pope </> Cousins,K. Caldwell-Pope </> K. Caldwell-Pope </> D. Cousins,0.0 </> 0.0 </> 0.0, </>  </> , </>  </> ,0.0 </> 0.0 </> 0.0,Missed </>  </> ,Jump Shot </> Unknown </> Shooting,1610612747.0 </> 1610612747.0 </> 1610612744.0,LAL </> LAL </> GSW,1.0 </> 1.0 </> 1.0,228.0 </> 0.0 </> 0.0,11.0 </> 0.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/17/31c76806-a5a4-4083-2434-d4e86aecf225_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/19/f40e02f4-28e9-255c-1c89-8ff8e23ecb6e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/20/896dcf4a-06d2-2cdd-3077-25b93b23e436_1280x720.mp4,42923 </> 42924 </> 42925,test-3797 </> test-3798 </> test-3799,MISS PLAYER203484 3PT Jump Shot </> PLAYER203484 OFFENSIVE REBOUND  </> PLAYER202326 S.FOUL ,PLAYER203484 </> PLAYER203484 </> PLAYER202326,action109 </> action135 </> action18
25.0,Defensive Rebound,PT10M30.00S,Cousins REBOUND (Off:0 Def:1),0.0,h,1.0,202326.0,Cousins,D. Cousins,0.0,,,0.0,,Unknown,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/25/de387118-b0f9-90a9-38de-de553153fff9_1280x720.mp4,42926,test-3800,PLAYER202326 DEFENSIVE REBOUND ,PLAYER202326,action135
26.0,Foul,PT10M23.00S,Ingram S.FOUL (P1.T1) (T.Ford),0.0,v,1.0,1627742.0,Ingram,B. Ingram,0.0,,,0.0,,Shooting,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/26/ce0e8822-0071-9c3d-eda6-b6724450c11e_1280x720.mp4,42927,test-3801,PLAYER1627742 S.FOUL ,PLAYER1627742,action18
31.0,Foul,PT10M11.00S,Cousins P.FOUL (P2.T3) (T.Ford),0.0,h,1.0,202326.0,Cousins,D. Cousins,0.0,,,0.0,,Personal,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/31/00bb4113-e89e-bb6b-596e-443089109754_1280x720.mp4,42928,test-3802,PLAYER202326 P.FOUL ,PLAYER202326,action16
33.0,Turnover,PT10M04.00S,Rondo Bad Pass Turnover (P2.T2),0.0,v,1.0,200765.0,Rondo,R. Rondo,0.0,,,0.0,,Bad Pass,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/33/3dee704e-9a43-3413-efd7-1d87514d7376_1280x720.mp4,42929,test-3803,PLAYER200765 Bad Pass Turnover ,PLAYER200765,action143
35.0,Made Shot,PT10M00.00S,Green 3' Layup (2 PTS),1.0,h,1.0,203110.0,Green,D. Green,7.0,0,7,3.0,Made,Layup Shot,1610612744.0,GSW,1.0,5.0,25.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/35/e8c37bbe-fe91-3625-6725-d114fd5295d8_1280x720.mp4,42930,test-3804,PLAYER203110 3' Layup ,PLAYER203110,action64
36.0,Made Shot,PT09M53.00S,Ingram 3' Running Layup (2 PTS),1.0,v,1.0,1627742.0,Ingram,B. Ingram,9.0,2,7,3.0,Made,Running Layup Shot,1610612747.0,LAL,1.0,24.0,24.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/36/3422d7d4-a8c6-39f5-77c6-63c43e963d2e_1280x720.mp4,42931,test-3805,PLAYER1627742 3' Running Layup ,PLAYER1627742,action75
37.0,Made Shot,PT09M45.00S,Thompson 7' Running Finger Roll Layup (4 PTS) (Green 1 AST),1.0,h,1.0,202691.0,Thompson,K. Thompson,11.0,2,9,7.0,Made,Running Finger Roll Layup Shot,1610612744.0,GSW,1.0,-27.0,63.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/37/6eb51b19-948b-bbcd-7acc-a2aaf2dc7f7f_1280x720.mp4,42932,test-3806,PLAYER202691 7' Running Finger Roll Layup (PLAYER203110 AST),PLAYER202691 PLAYER203110,action73
39.0 </> 41.0 </> 42.0 </> 43.0,Missed Shot </> Offensive Rebound </> Missed Shot </> Defensive Rebound,PT09M34.00S </> PT09M33.00S </> PT09M30.00S </> PT09M29.00S,MISS Rondo 4' Reverse Layup </> Zubac REBOUND (Off:1 Def:1) </> MISS Zubac 3' Hook Shot </> Cousins REBOUND (Off:0 Def:2),1.0 </> 0.0 </> 1.0 </> 0.0,v </> v </> v </> h,1.0 </> 1.0 </> 1.0 </> 1.0,200765.0 </> 1627826.0 </> 1627826.0 </> 202326.0,Rondo </> Zubac </> Zubac </> Cousins,R. Rondo </> I. Zubac </> I. Zubac </> D. Cousins,0.0 </> 0.0 </> 0.0 </> 0.0, </>  </>  </> , </>  </>  </> ,4.0 </> 0.0 </> 3.0 </> 0.0,Missed </>  </> Missed </> ,Reverse Layup Shot </> Unknown </> Hook Shot </> Unknown,1610612747.0 </> 1610612747.0 </> 1610612747.0 </> 1610612744.0,LAL </> LAL </> LAL </> GSW,1.0 </> 1.0 </> 1.0 </> 1.0,-33.0 </> 0.0 </> 22.0 </> 0.0,26.0 </> 0.0 </> 19.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/39/4d239f92-616e-e13b-37f0-661d02c33a21_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/41/cd0632d2-00f2-9618-06bf-db12ed75c316_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/42/5962dbfe-e06a-cc8f-d8ed-13aeffb9eb1c_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/02/0021800782/43/dcc599e9-0f4b-17cb-070d-deff99545600_1280x720.mp4,42933 </> 42934 </> 42935 </> 42936,test-3807 </> test-3808 </> test-3809 </> test-3810,MISS PLAYER200765 4' Reverse Layup </> PLAYER1627826 OFFENSIVE REBOUND  </> MISS PLAYER1627826 3' Hook Shot </> PLAYER202326 DEFENSIVE REBOUND ,PLAYER200765 </> PLAYER1627826 </> PLAYER1627826 </> PLAYER202326,action115 </> action135 </> action107 </> action135
