actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Cousins vs. Poeltl: Tip to Green,0.0,h,1.0,202326.0,Cousins,D. Cousins,0.0,,,0.0,,,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/4/1cdcb9f7-470d-c070-feef-4aa438346ad0_1280x720.mp4,11290,train-11290,Jump Ball PLAYER202326 vs. PLAYER1627751: Tip to PLAYER203110,PLAYER202326 PLAYER1627751 PLAYER203110,action41
9.0,Made Shot,PT11M40.00S,Thompson 2' Cutting Dunk Shot (2 PTS) (Cousins 1 AST),1.0,h,1.0,202691.0,Thompson,K. Thompson,2.0,0,2,2.0,Made,Cutting Dunk Shot,1610612744.0,GSW,1.0,3.0,21.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/9/8310bc74-8f55-87ab-4351-a0fe2a35d862_1280x720.mp4,11291,train-11291,PLAYER202691 2' Cutting Dunk Shot (PLAYER202326 AST),PLAYER202691 PLAYER202326,action44
11.0 </> 12.0,Missed Shot </> Defensive Rebound,PT11M23.00S </> PT11M22.00S,MISS Belinelli 13' Jump Shot </> Cousins REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,201158.0 </> 202326.0,Belinelli </> Cousins,M. Belinelli </> D. Cousins,0.0 </> 0.0, </> , </> ,13.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612744.0,SAS </> GSW,1.0 </> 1.0,-8.0 </> 0.0,128.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/11/20639d0a-c6ce-85bf-55e2-66c3a69f515e_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/12/3e4e0948-8af1-d6f7-3fb5-088d20461af1_1280x720.mp4,11292 </> 11293,train-11292 </> train-11293,MISS PLAYER201158 13' Jump Shot </> PLAYER202326 DEFENSIVE REBOUND ,PLAYER201158 </> PLAYER202326,action109 </> action135
13.0,Made Shot,PT11M15.00S,Durant 27' 3PT Jump Shot (3 PTS) (Green 1 AST),1.0,h,1.0,201142.0,Durant,K. Durant,5.0,0,5,27.0,Made,Jump Shot,1610612744.0,GSW,1.0,122.0,246.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/13/ba850a5b-918a-672e-0625-7537a59a46e5_1280x720.mp4,11294,train-11294,PLAYER201142 27' 3PT Jump Shot (PLAYER203110 AST),PLAYER201142 PLAYER203110,action63
15.0 </> 17.0,Made Shot </> Foul,PT11M04.00S </> PT11M04.00S,Poeltl 7' Cutting Finger Roll Layup Shot (2 PTS) (Mills 1 AST) </> Thompson S.FOUL (P1.T1) (E.Dalen),1.0 </> 0.0,v </> h,1.0 </> 1.0,1627751.0 </> 202691.0,Poeltl </> Thompson,J. Poeltl </> K. Thompson,7.0 </> 0.0,2 </> ,5 </> ,7.0 </> 0.0,Made </> ,Cutting Finger Roll Layup Shot </> Shooting,1610612759.0 </> 1610612744.0,SAS </> GSW,1.0 </> 1.0,-11.0 </> 0.0,73.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/15/1f1f0c3b-b34d-e27a-1145-ec5d7ea3d792_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/17/c52271eb-8bad-ab40-518c-740c604c5e1b_1280x720.mp4,11295 </> 11296,train-11295 </> train-11296,PLAYER1627751 7' Cutting Finger Roll Layup Shot (PLAYER201988 AST) </> PLAYER202691 S.FOUL ,PLAYER1627751 PLAYER201988 </> PLAYER202691,action45 </> action18
20.0 </> 21.0,Missed Shot </> Offensive Rebound,PT10M48.00S </> PT10M46.00S,MISS Cousins 26' 3PT Jump Shot </> Thompson REBOUND (Off:1 Def:0),1.0 </> 0.0,h </> h,1.0 </> 1.0,202326.0 </> 202691.0,Cousins </> Thompson,D. Cousins </> K. Thompson,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612744.0,GSW </> GSW,1.0 </> 1.0,-189.0 </> 0.0,174.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/20/5804ecae-100f-01f6-effe-5519b7cfe436_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/21/022d5078-8564-6769-e118-ec0ad8a85b76_1280x720.mp4,11297 </> 11298,train-11297 </> train-11298,MISS PLAYER202326 26' 3PT Jump Shot </> PLAYER202691 OFFENSIVE REBOUND ,PLAYER202326 </> PLAYER202691,action109 </> action135
22.0,Made Shot,PT10M42.00S,Durant 27' 3PT Jump Shot (6 PTS) (Thompson 1 AST),1.0,h,1.0,201142.0,Durant,K. Durant,11.0,3,8,27.0,Made,Jump Shot,1610612744.0,GSW,1.0,76.0,262.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/22/47851b73-c4d4-9953-248e-d6f666915676_1280x720.mp4,11299,train-11299,PLAYER201142 27' 3PT Jump Shot (PLAYER202691 AST),PLAYER201142 PLAYER202691,action63
25.0,Made Shot,PT10M33.00S,Gay 19' Pullup Jump Shot (2 PTS),1.0,v,1.0,200752.0,Gay,R. Gay,13.0,5,8,19.0,Made,Pullup Jump shot,1610612759.0,SAS,1.0,-130.0,138.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/25/4a29745d-2450-3398-0b86-b71c1d05a12e_1280x720.mp4,11300,train-11300,PLAYER200752 19' Pullup Jump Shot ,PLAYER200752,action65
26.0,Foul,PT10M22.00S,Mills P.FOUL (P1.T1) (S.Foster),0.0,v,1.0,201988.0,Mills,P. Mills,0.0,,,0.0,,Personal,1610612759.0,SAS,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/26/5e68b2ae-1410-15b6-aa7f-a363878d0924_1280x720.mp4,11301,train-11301,PLAYER201988 P.FOUL ,PLAYER201988,action16
28.0,Made Shot,PT10M12.00S,Durant 17' Pullup Jump Shot (8 PTS),1.0,h,1.0,201142.0,Durant,K. Durant,15.0,5,10,17.0,Made,Pullup Jump shot,1610612744.0,GSW,1.0,116.0,126.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/28/0fa35cea-aa1e-8be0-f9d2-f7045c7cf4ca_1280x720.mp4,11302,train-11302,PLAYER201142 17' Pullup Jump Shot ,PLAYER201142,action65
29.0 </> 31.0 </> 32.0,Turnover </> Missed Shot </> Offensive Rebound,PT10M05.00S </> PT09M59.00S </> PT09M58.00S,Mills Lost Ball Turnover (P1.T1) </> MISS Thompson 2' Running Layup </> Cousins REBOUND (Off:1 Def:1),0.0 </> 1.0 </> 0.0,v </> h </> h,1.0 </> 1.0 </> 1.0,201988.0 </> 202691.0 </> 202326.0,Mills </> Thompson </> Cousins,P. Mills </> K. Thompson </> D. Cousins,0.0 </> 0.0 </> 0.0, </>  </> , </>  </> ,0.0 </> 2.0 </> 0.0, </> Missed </> ,Lost Ball </> Running Layup Shot </> Unknown,1610612759.0 </> 1610612744.0 </> 1610612744.0,SAS </> GSW </> GSW,1.0 </> 1.0 </> 1.0,0.0 </> -2.0 </> 0.0,0.0 </> 22.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/29/91696e30-55bd-5979-c344-21177f52ff12_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/31/b04fd06a-304f-f6a8-35a1-e6c739047a80_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/32/0e7eb720-89cc-da81-63f0-f9023be5303c_1280x720.mp4,11303 </> 11304 </> 11305,train-11303 </> train-11304 </> train-11305,PLAYER201988 Lost Ball Turnover  </> MISS PLAYER202691 2' Running Layup </> PLAYER202326 OFFENSIVE REBOUND ,PLAYER201988 </> PLAYER202691 </> PLAYER202326,action153 </> action121 </> action135
33.0,Made Shot,PT09M58.00S,Cousins 1' Tip Layup Shot (2 PTS),1.0,h,1.0,202326.0,Cousins,D. Cousins,17.0,5,12,1.0,Made,Tip Layup Shot,1610612744.0,GSW,1.0,0.0,-6.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/33/48b0c0ab-54c8-e1ed-99eb-d095d0bcc2b4_1280x720.mp4,11306,train-11306,PLAYER202326 1' Tip Layup Shot ,PLAYER202326,action82
34.0,Made Shot,PT09M36.00S,Bertans 19' Jump Shot (2 PTS) (Poeltl 1 AST),1.0,v,1.0,202722.0,Bertans,D. Bertans,19.0,7,12,19.0,Made,Jump Shot,1610612759.0,SAS,1.0,130.0,141.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/34/1906d1f1-86d8-c25f-cda7-899e370f2623_1280x720.mp4,11307,train-11307,PLAYER202722 19' Jump Shot (PLAYER1627751 AST),PLAYER202722 PLAYER1627751,action63
36.0,Made Shot,PT09M21.00S,Cousins 9' Driving Hook Shot (4 PTS) (Green 2 AST),1.0,h,1.0,202326.0,Cousins,D. Cousins,21.0,7,14,9.0,Made,Driving Hook Shot,1610612744.0,GSW,1.0,-2.0,94.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/36/f7826e27-c9ec-9051-c6b9-ac65200ee602_1280x720.mp4,11308,train-11308,PLAYER202326 9' Driving Hook Shot (PLAYER203110 AST),PLAYER202326 PLAYER203110,action52
38.0 </> 39.0,Missed Shot </> Offensive Rebound,PT09M04.00S </> PT09M02.00S,MISS Bertans 26' 3PT Jump Shot </> Poeltl REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,202722.0 </> 1627751.0,Bertans </> Poeltl,D. Bertans </> J. Poeltl,0.0 </> 0.0, </> , </> ,26.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612759.0 </> 1610612759.0,SAS </> SAS,1.0 </> 1.0,139.0 </> 0.0,225.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/38/42062b24-ccca-aeff-92f6-8951b68ac787_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/39/6198e335-a468-b0e6-6f6e-43dbb0504007_1280x720.mp4,11309 </> 11310,train-11309 </> train-11310,MISS PLAYER202722 26' 3PT Jump Shot </> PLAYER1627751 OFFENSIVE REBOUND ,PLAYER202722 </> PLAYER1627751,action109 </> action135
40.0,Made Shot,PT09M00.00S,Poeltl 2' Layup (5 PTS),1.0,v,1.0,1627751.0,Poeltl,J. Poeltl,23.0,9,14,2.0,Made,Layup Shot,1610612759.0,SAS,1.0,10.0,21.0,https://videos.nba.com/nba/pbp/media/2019/02/06/0021800810/40/5ad9b5d4-1fe6-26b8-cadb-e4bb127b2b32_1280x720.mp4,11311,train-11311,PLAYER1627751 2' Layup ,PLAYER1627751,action64
