actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,,0.0,h,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/4/284af15c-9c5e-7058-c4bf-85d4d5a57f84_1280x720.mp4,14739,train-14739,,,action41
8.0,Made Shot,PT11M41.00S,McGee 1' Cutting Dunk Shot (2 PTS) (James 1 AST),1.0,v,1.0,201580.0,McGee,J. McGee,2.0,2,0,1.0,Made,Cutting Dunk Shot,1610612747.0,LAL,1.0,0.0,12.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/8/7d535587-8392-4df2-1c09-9a694aea6b94_1280x720.mp4,14740,train-14740,PLAYER201580 1' Cutting Dunk Shot (PLAYER2544 AST),PLAYER201580 PLAYER2544,action44
10.0,Foul,PT11M41.00S,Harris S.FOUL (P1.T1) (A.Smith),0.0,h,1.0,202699.0,Harris,T. Harris,0.0,,,0.0,,Shooting,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/10/543732b0-c015-4d5c-46db-f5000cc4925b_1280x720.mp4,14741,train-14741,PLAYER202699 S.FOUL ,PLAYER202699,action18
13.0 </> 14.0,Missed Shot </> Defensive Rebound,PT11M31.00S </> PT11M27.00S,MISS Simmons 15' Pullup Jump Shot </> McGee REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627732.0 </> 201580.0,Simmons </> McGee,B. Simmons </> J. McGee,0.0 </> 0.0, </> , </> ,15.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612755.0 </> 1610612747.0,PHI </> LAL,1.0 </> 1.0,-57.0 </> 0.0,138.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/13/dfc8b48a-2290-5eff-33b9-5ee9cc552bab_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/14/cefcdb43-01ac-f593-fa35-d580c7dad710_1280x720.mp4,14742 </> 14743,train-14742 </> train-14743,MISS Simmons 15' Pullup Jump Shot </> PLAYER201580 DEFENSIVE REBOUND , </> PLAYER201580,action111 </> action135
15.0,Missed Shot,PT11M21.00S,MISS Bullock 20' Jump Shot,1.0,v,1.0,203493.0,Bullock,R. Bullock,0.0,,,20.0,Missed,Jump Shot,1610612747.0,LAL,1.0,-39.0,201.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/15/337890a7-64e1-ac4d-f77b-6d075e1d1e24_1280x720.mp4,14744,train-14744,MISS PLAYER203493 20' Jump Shot,PLAYER203493,action109
16.0,Defensive Rebound,PT11M18.00S,Embiid REBOUND (Off:0 Def:1),0.0,h,1.0,203954.0,Embiid,J. Embiid,0.0,,,0.0,,Unknown,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/16/adc32209-c33b-ae64-c75e-86db8c6f4dec_1280x720.mp4,14745,train-14745,PLAYER203954 DEFENSIVE REBOUND ,PLAYER203954,action135
17.0 </> 18.0,Missed Shot </> Defensive Rebound,PT11M13.00S </> PT11M11.00S,MISS Simmons 1' Running Layup </> McGee REBOUND (Off:0 Def:2),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627732.0 </> 201580.0,Simmons </> McGee,B. Simmons </> J. McGee,0.0 </> 0.0, </> , </> ,1.0 </> 0.0,Missed </> ,Running Layup Shot </> Unknown,1610612755.0 </> 1610612747.0,PHI </> LAL,1.0 </> 1.0,-3.0 </> 0.0,8.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/17/bacd8ee1-31f8-2a49-de12-2f84bce011ff_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/18/e3841cc5-6816-a951-37df-6cf4e0d47f58_1280x720.mp4,14746 </> 14747,train-14746 </> train-14747,MISS Simmons 1' Running Layup </> PLAYER201580 DEFENSIVE REBOUND , </> PLAYER201580,action121 </> action135
19.0,Made Shot,PT11M03.00S,Kuzma 17' Pullup Jump Shot (2 PTS),1.0,v,1.0,1628398.0,Kuzma,K. Kuzma,5.0,5,0,17.0,Made,Pullup Jump shot,1610612747.0,LAL,1.0,-34.0,167.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/19/ebce6852-b0a2-e9ba-2244-2846b9efceb3_1280x720.mp4,14748,train-14748,PLAYER1628398 17' Pullup Jump Shot ,PLAYER1628398,action65
20.0,Missed Shot,PT10M53.00S,MISS Embiid 25' 3PT Pullup Jump Shot,1.0,h,1.0,203954.0,Embiid,J. Embiid,0.0,,,25.0,Missed,Pullup Jump shot,1610612755.0,PHI,1.0,30.0,252.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/20/61b9f64e-46c9-499d-75db-f5443a764605_1280x720.mp4,14749,train-14749,MISS PLAYER203954 25' 3PT Pullup Jump Shot,PLAYER203954,action111
21.0,Offensive Rebound,PT10M49.00S,Butler REBOUND (Off:1 Def:0),0.0,h,1.0,202710.0,Butler,J. Butler,0.0,,,0.0,,Unknown,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/21/b59e267e-01fa-954e-3cad-af41b13d434c_1280x720.mp4,14750,train-14750,PLAYER202710 OFFENSIVE REBOUND ,PLAYER202710,action135
22.0,Made Shot,PT10M46.00S,Harris 1' Driving Finger Roll Layup (2 PTS) (Butler 1 AST),1.0,h,1.0,202699.0,Harris,T. Harris,7.0,5,2,1.0,Made,Driving Finger Roll Layup Shot,1610612755.0,PHI,1.0,-8.0,5.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/22/8b4959f2-65bd-3cea-7f9b-a74ecccb344b_1280x720.mp4,14751,train-14751,PLAYER202699 1' Driving Finger Roll Layup (PLAYER202710 AST),PLAYER202699 PLAYER202710,action49
24.0,Turnover,PT10M38.00S,James Bad Pass Turnover (P1.T1),0.0,v,1.0,2544.0,James,L. James,0.0,,,0.0,,Bad Pass,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/24/8dd4fc77-9732-b3aa-6280-109f1cdbd8bf_1280x720.mp4,14752,train-14752,PLAYER2544 Bad Pass Turnover ,PLAYER2544,action143
26.0,Made Shot,PT10M32.00S,Simmons 1' Running Finger Roll Layup (2 PTS) (Redick 1 AST),1.0,h,1.0,1627732.0,Simmons,B. Simmons,9.0,5,4,1.0,Made,Running Finger Roll Layup Shot,1610612755.0,PHI,1.0,9.0,8.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/26/82f0a548-3afa-90b5-b210-e12e5d3ee3c3_1280x720.mp4,14753,train-14753,Simmons 1' Running Finger Roll Layup (PLAYER200755 AST),PLAYER200755,action73
28.0,Missed Shot,PT10M16.00S,MISS Kuzma 18' Pullup Jump Shot,1.0,v,1.0,1628398.0,Kuzma,K. Kuzma,0.0,,,18.0,Missed,Pullup Jump shot,1610612747.0,LAL,1.0,172.0,55.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/28/7e214550-9525-cba2-e131-387508a088a8_1280x720.mp4,14754,train-14754,MISS PLAYER1628398 18' Pullup Jump Shot,PLAYER1628398,action111
29.0,Defensive Rebound,PT10M13.00S,Simmons REBOUND (Off:0 Def:1),0.0,h,1.0,1627732.0,Simmons,B. Simmons,0.0,,,0.0,,Unknown,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/29/93409e5d-c9a2-7f8d-6523-8b015ea47522_1280x720.mp4,14755,train-14755,Simmons DEFENSIVE REBOUND ,,action135
30.0 </> 31.0,Missed Shot </> Defensive Rebound,PT10M07.00S </> PT10M05.00S,MISS Simmons 6' Driving Floating Jump Shot </> Ingram REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1627732.0 </> 1627742.0,Simmons </> Ingram,B. Simmons </> B. Ingram,0.0 </> 0.0, </> , </> ,6.0 </> 0.0,Missed </> ,Driving Floating Jump Shot </> Unknown,1610612755.0 </> 1610612747.0,PHI </> LAL,1.0 </> 1.0,36.0 </> 0.0,45.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/30/aecf2617-4c9b-6afd-c547-8decd17dc3f9_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/31/b6d85b36-689b-548d-7df7-e623a9bc72d4_1280x720.mp4,14756 </> 14757,train-14756 </> train-14757,MISS Simmons 6' Driving Floating Jump Shot </> PLAYER1627742 DEFENSIVE REBOUND , </> PLAYER1627742,action97 </> action135
32.0,Foul,PT10M04.00S,Redick S.FOUL (P1.T2) (J.Phillips),0.0,h,1.0,200755.0,Redick,J. Redick,0.0,,,0.0,,Shooting,1610612755.0,PHI,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/32/ed552b61-bb26-2a8a-b99e-3034ba80ecc7_1280x720.mp4,14758,train-14758,PLAYER200755 S.FOUL ,PLAYER200755,action18
36.0,Foul,PT09M52.00S,McGee P.FOUL (P1.T1) (J.Phillips),0.0,v,1.0,201580.0,McGee,J. McGee,0.0,,,0.0,,Personal,1610612747.0,LAL,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/36/92588af4-6615-488d-72f7-b72eba3e67db_1280x720.mp4,14759,train-14759,PLAYER201580 P.FOUL ,PLAYER201580,action16
38.0,Made Shot,PT09M46.00S,Butler 17' Jump Shot (2 PTS) (Simmons 1 AST),1.0,h,1.0,202710.0,Butler,J. Butler,13.0,7,6,17.0,Made,Jump Shot,1610612755.0,PHI,1.0,110.0,124.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/38/92be7342-7e5b-a16a-07cd-959904ef21ca_1280x720.mp4,14760,train-14760,PLAYER202710 17' Jump Shot (Simmons AST),PLAYER202710,action63
40.0,Made Shot,PT09M35.00S,James 26' 3PT Jump Shot (3 PTS),1.0,v,1.0,2544.0,James,L. James,16.0,10,6,26.0,Made,Jump Shot,1610612747.0,LAL,1.0,57.0,251.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/40/a17d9d8a-e13a-7f20-9666-a8db171b6991_1280x720.mp4,14761,train-14761,PLAYER2544 26' 3PT Jump Shot ,PLAYER2544,action63
41.0,Made Shot,PT09M22.00S,Harris 26' 3PT Jump Shot (5 PTS) (Redick 2 AST),1.0,h,1.0,202699.0,Harris,T. Harris,19.0,10,9,26.0,Made,Jump Shot,1610612755.0,PHI,1.0,-151.0,215.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800835/41/6df1ad0b-cd49-457b-e80e-3423ed7b0ce5_1280x720.mp4,14762,train-14762,PLAYER202699 26' 3PT Jump Shot (PLAYER200755 AST),PLAYER202699 PLAYER200755,action63
