actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Cousins vs. Whiteside: Tip to Olynyk,0.0,h,1.0,202326.0,Cousins,D. Cousins,0.0,,,0.0,,,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/4/cf22da4a-94d3-3019-0ffb-9ad98745cdf0_1280x720.mp4,4497,train-4497,Jump Ball PLAYER202326 vs. PLAYER202355: Tip to PLAYER203482,PLAYER202326 PLAYER202355 PLAYER203482,action41
7.0,Turnover,PT11M44.00S,Waiters Out of Bounds - Bad Pass Turnover Turnover (P1.T1),0.0,v,1.0,203079.0,Waiters,D. Waiters,0.0,,,0.0,,Out of Bounds - Bad Pass Turnover,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/7/de1154c0-39c3-46e4-b6fb-ea382fac3487_1280x720.mp4,4498,train-4498,PLAYER203079 Out of Bounds - Bad Pass Turnover Turnover ,PLAYER203079,action157
8.0,Made Shot,PT11M30.00S,Durant 2' Cutting Dunk Shot (2 PTS) (Green 1 AST),1.0,h,1.0,201142.0,Durant,K. Durant,2.0,0,2,2.0,Made,Cutting Dunk Shot,1610612744.0,GSW,1.0,2.0,15.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/8/e2d2cc0d-b391-e3be-660a-3c7bdea1ddf9_1280x720.mp4,4499,train-4499,PLAYER201142 2' Cutting Dunk Shot (PLAYER203110 AST),PLAYER201142 PLAYER203110,action44
10.0 </> 11.0,Missed Shot </> Offensive Rebound,PT11M17.00S </> PT11M15.00S,MISS Richardson 28' 3PT Jump Shot </> Olynyk REBOUND (Off:1 Def:0),1.0 </> 0.0,v </> v,1.0 </> 1.0,1626196.0 </> 203482.0,Richardson </> Olynyk,J. Richardson </> K. Olynyk,0.0 </> 0.0, </> , </> ,28.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612748.0,MIA </> MIA,1.0 </> 1.0,-187.0 </> 0.0,203.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/10/f66a3cef-a7ad-3f61-e6d8-39eb20884764_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/11/94f1c9fc-9199-5dc9-28ca-e1405f487681_1280x720.mp4,4500 </> 4501,train-4500 </> train-4501,MISS PLAYER1626196 28' 3PT Jump Shot </> PLAYER203482 OFFENSIVE REBOUND ,PLAYER1626196 </> PLAYER203482,action109 </> action135
12.0,Turnover,PT11M04.00S,Olynyk Bad Pass Turnover (P1.T2),0.0,v,1.0,203482.0,Olynyk,K. Olynyk,0.0,,,0.0,,Bad Pass,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/12/af369516-de0f-1ff8-9df2-3fd6e3bb7736_1280x720.mp4,4502,train-4502,PLAYER203482 Bad Pass Turnover ,PLAYER203482,action143
14.0 </> 15.0,Missed Shot </> Defensive Rebound,PT10M59.00S </> PT10M55.00S,MISS Durant 28' 3PT Jump Shot </> Waiters REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,201142.0 </> 203079.0,Durant </> Waiters,K. Durant </> D. Waiters,0.0 </> 0.0, </> , </> ,28.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612744.0 </> 1610612748.0,GSW </> MIA,1.0 </> 1.0,177.0 </> 0.0,212.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/14/bb08345f-58d2-528d-febb-7c8a59927727_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/15/e73c87bd-119c-f2b8-b214-3632eb3dc881_1280x720.mp4,4503 </> 4504,train-4503 </> train-4504,MISS PLAYER201142 28' 3PT Jump Shot </> PLAYER203079 DEFENSIVE REBOUND ,PLAYER201142 </> PLAYER203079,action109 </> action135
16.0 </> 17.0,Missed Shot </> Defensive Rebound,PT10M44.00S </> PT10M42.00S,MISS Winslow 27' 3PT Jump Shot </> Green REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,1626159.0 </> 203110.0,Winslow </> Green,J. Winslow </> D. Green,0.0 </> 0.0, </> , </> ,27.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612748.0 </> 1610612744.0,MIA </> GSW,1.0 </> 1.0,-16.0 </> 0.0,268.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/16/5cefc913-447e-f2ef-bb5f-69c1d3010e0a_1280x720.mp4 </> https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/17/48c48948-eade-9530-e6c0-2298bc967bf2_1280x720.mp4,4505 </> 4506,train-4505 </> train-4506,MISS PLAYER1626159 27' 3PT Jump Shot </> PLAYER203110 DEFENSIVE REBOUND ,PLAYER1626159 </> PLAYER203110,action109 </> action135
18.0,Made Shot,PT10M29.00S,Durant 13' Turnaround Fadeaway (4 PTS),1.0,h,1.0,201142.0,Durant,K. Durant,4.0,0,4,13.0,Made,Turnaround Fadeaway shot,1610612744.0,GSW,1.0,125.0,37.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/18/8e556bf3-ce99-0f18-6294-71a0cd935d0b_1280x720.mp4,4507,train-4507,PLAYER201142 13' Turnaround Fadeaway ,PLAYER201142,action85
19.0,Foul,PT10M18.00S," Foul : Double Personal - Cousins (1 PF), Whiteside (1 PF) (K.Cutler)",0.0,,1.0,202326.0,Cousins,D. Cousins,0.0,,,0.0,,Double Personal,1610612744.0,GSW,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/19/11e04d20-2229-d27d-65d9-d76eedb4f744_1280x720.mp4,4508,train-4508," Foul : Double Personal - PLAYER202326 , PLAYER202355 ",PLAYER202326 PLAYER202355,action6
23.0,Turnover,PT10M18.00S,Richardson Bad Pass Turnover (P1.T3),0.0,v,1.0,1626196.0,Richardson,J. Richardson,0.0,,,0.0,,Bad Pass,1610612748.0,MIA,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2019/02/10/0021800838/23/5ee89005-92e1-68b0-39da-126f1d96ae19_1280x720.mp4,4509,train-4509,PLAYER1626196 Bad Pass Turnover ,PLAYER1626196,action143
